country,year_first,year_last,share_year,share,seats,seats_total,name,name_short,country_name,party_id
AGO,2012,2012,2012,6,8,220,Broad Convergence for the Salvation of Angola-Electoral Coalition,CASA-CE,Angola,AGO-BCSAEC
AGO,1992,2012,1992,34.1,70,220,National Union for the Total Independence of Angola,UNITA,Angola,AGO-NUTIA
AGO,1992,2012,2008,81.6,191,220,Popular Movement for the Liberation of Angola,MPLA,Angola,AGO-PMLA
BDI,1961,1961,1961,17.9,6,64,Common Front,FC,Burundi,BDI-CF
BDI,1993,2005,1993,72.5,65,81,Front for Democracy in Burundi,FRODEBU,Burundi,BDI-FDB
BDI,1965,1993,1965,6.1,2,33,Independents,,Burundi,BDI-I
BDI,2005,2010,2010,76.4,81,106,National Council for the Defense of Democracy-Forces for the Defense of Democracy,CNDD-FDD,Burundi,BDI-NCDDFDD
BDI,1965,1993,1965,30.3,10,33,People's Party,PP,Burundi,BDI-PP
BDI,1961,2010,1982,100,65,65,Union for National Progress,UPRONA,Burundi,BDI-UNP
BEN,1995,1999,1995,12,10,83,Action Front for Renewal and Development,,Benin,BEN-AFRD
BEN,1999,2003,1999,10.8,9,83,African Movement for Democracy and Progress,MADEP,Benin,BEN-AMDP
BEN,2007,2007,2007,24.1,20,83,Alliance for a Dynamic Democracy,ADD,Benin,BEN-ADD
BEN,1979,1989,1979,100,336,336,Benin People's Revolutionary Party,PRPB,Benin,BEN-BPRP
BEN,2007,2011,2011,49.4,41,83,Cauri Forces for an Emerging Benin,FCBE,Benin,BEN-CFEB
BEN,1959,1959,1959,17.1,22,70,Dahomey Democratic Rally,RDD,Benin,BEN-DDR
BEN,1964,1964,1964,100,42,42,Dahomeyan Democratic Party,PDD,Benin,BEN-DDP
BEN,1957,1960,1959,43.9,11,70,Dahomeyan Democratic Union,UDD,Benin,BEN-DDU
BEN,1960,1960,1960,68.7,60,60,Dahomeyan Unity Party,PDU,Benin,BEN-DUP
BEN,1957,1957,1957,10,6,60,Democratic Movement of Dahomey,MDD,Benin,BEN-DMD
BEN,1995,2007,1995,22.9,19,83,Democratic Renewal Party,PRD,Benin,BEN-DRP
BEN,1957,1957,1957,20,12,60,Independents,,Benin,BEN-I
BEN,2003,2007,2003,6,5,83,Key Force,FC,Benin,BEN-KF
BEN,1991,1991,1991,8.4,6,64,"National Movement for Democracy and Development-Movement for Solidarity, Union, and Progress-Union for Democracy and National Reconstruction",,Benin,BEN-NMDDMSUPUDNR
BEN,1991,1991,1991,11.7,9,64,National Party for Democracy and Development-Democratic Renewal Party,PNDD-PRD,Benin,BEN-NPDDDRP
BEN,1991,1991,1991,12.1,7,64,National Rally for Democracy,RND,Benin,BEN-NRD
BEN,1991,1995,1991,10.1,6,64,Our Common Cause,NCC,Benin,BEN-OCC
BEN,1991,1995,1991,5.6,4,64,Rally of Liberal Democrats for National Reconstruction-Vivoten,,Benin,BEN-RLDNRV
BEN,1995,1995,1995,25.3,21,83,Renaissance Party of Benin,PRB,Benin,BEN-RPB
BEN,1999,2003,1999,32.5,27,83,Renaissance Party of Benin,RB,Benin,BEN-RPB-2
BEN,1957,1957,1957,58.3,35,60,Republican Party of Dahomey,,Benin,BEN-RPD
BEN,1959,1959,1959,38.9,37,70,Republican Party of Dahomey,PRD,Benin,BEN-RPD-2
BEN,1991,1991,1991,9.8,8,64,Social Democratic Party-National Union for Solidarity and Progress,PSD-UNSP,Benin,BEN-SDPNUSP
BEN,1995,1995,1995,9.6,8,83,Social Democratic Party,PSD,Benin,BEN-SDP
BEN,1991,1995,1991,7.1,5,64,Union for Democracy and National Solidarity,UDS,Benin,BEN-UDNS
BEN,2003,2003,2003,37.3,31,83,Union for the Benin of the Future,UBF,Benin,BEN-UBF
BEN,1991,1991,1991,18.9,12,64,Union for the Triumph of Democratic Renewal,UTRD,Benin,BEN-UTDR
BEN,2011,2011,2011,36.1,30,83,Union Makes the Nation,UN,Benin,BEN-UMN
BFA,1959,1997,1959,56.2,64,75,African Democratic Rally,RDA,Burkina Faso,BFA-ADR
BFA,1959,1978,1959,43.8,11,75,African Regroupment Party,PRA,Burkina Faso,BFA-ARP
BFA,2002,2007,2002,12.7,17,111,Alliance for Democracy and Federation-African Democratic Rally,ADF-RDA,Burkina Faso,BFA-ADFADR
BFA,1992,1997,1997,7.4,2,111,Alliance for Democracy and Federation,ADF,Burkina Faso,BFA-ADF
BFA,1997,2007,1997,68.6,101,111,Congress for Democracy and Progress,CDP,Burkina Faso,BFA-CDP
BFA,1992,1992,1992,11.2,12,107,National Convention of Progressive Patriots-Social Democratic Party,CNPP-PSD,Burkina Faso,BFA-NCPPSDP
BFA,1970,1970,1970,10.9,6,57,National Liberation Movement,MNL,Burkina Faso,BFA-NLM
BFA,1978,1978,1978,22.8,13,57,National Union for the Defence of Democracy,UNDD,Burkina Faso,BFA-NUDD
BFA,1992,1992,1992,72.9,78,107,Organization for People's Democracy-Labor Movement,ODP-MT,Burkina Faso,BFA-OPDLM
BFA,1997,1997,1997,7.4,,111,Others,,Burkina Faso,BFA-O
BFA,2002,2002,2002,7.5,10,111,Party for Democracy and Progress-Socialist Party,PDP,Burkina Faso,BFA-PDPSP
BFA,1997,1997,1997,10.1,6,111,Party for Democracy and Progress,PDP,Burkina Faso,BFA-PDP
BFA,1965,1978,1965,100,75,75,Voltaic Democratic Union-African Democratic Rally,UDV-RDA,Burkina Faso,BFA-VDUADR
BFA,1978,1978,1978,15.8,9,57,Voltaic Progressive Union,UPV,Burkina Faso,BFA-VPU
BWA,1965,1965,1965,80.4,28,31,Bechuanaland Democratic Party,BDP,Botswana,BWA-BDP
BWA,1965,1965,1965,14.2,3,31,Bechuanaland People’s Party,BPP,Botswana,BWA-BPP
BWA,1999,2009,2009,19.1,4,57,Botswana Congress Party,BCP,Botswana,BWA-BCP
BWA,1969,2009,1974,84.4,27,32,Botswana Democratic Party,BDP,Botswana,BWA-BDP-2
BWA,1969,2004,1994,37.7,13,40,Botswana National Front,BNF,Botswana,BWA-BNF
BWA,2009,2009,2009,21.9,6,57,Botswana National Front,BNP,Botswana,BWA-BNF-2
BWA,1969,2004,1969,12.1,3,31,Botswana People’s Party,BPP,Botswana,BWA-BPP-2
CAF,1993,2005,1993,7.1,6,85,Alliance for Democracy and Progress,ADP,Central African Republic,CAF-ADP
CAF,1987,2005,1987,100,52,52,Central African Democratic Rally,RDC,Central African Republic,CAF-CADR
CAF,1993,2011,2005,32.4,34,105,Independents,,Central African Republic,CAF-I
CAF,2011,2011,2011,24.8,26,105,Kwa Na Kwa,KNK,Central African Republic,CAF-KNK
CAF,1993,1998,1993,8.2,7,85,Liberal Democratic Party,PLD,Central African Republic,CAF-LDP
CAF,1993,1998,1998,7.3,8,109,Movement for Democracy and Development,MDD,Central African Republic,CAF-MDD
