country,party,party_id,n,share,name_short,name,name_english,country_short
Algeria,Movement of Society for Peace (HMS),293,30,7.9,HMS,,Movement of Society for Peace,DZA
Algeria,National Liberation Front (FLN),289,205,54.1,FLN,,National Liberation Front,DZA
Algeria,Socialist Forces Front (FFS),291,40,10.6,FFS,,Socialist Forces Front,DZA
Algeria,The National Rally for Democracy (RND),290,46,12.1,RND,,The National Rally for Democracy,DZA
Algeria,Workers' Party (PT),292,30,7.9,PT,,Workers' Party,DZA
Benin,Alliance ABT,8,29,6.4,ABT,,Alliance ABT,BEN
Benin,Force Cauris pour un Bénin Emergent (FCBE de Yayi Boni),3,281,62,FCBE,,Force Cauris pour un Bénin Emergent (FCBE de Yayi Boni),BEN
Benin,PRD,6,44,9.7,PRD,,,BEN
Benin,RB (Lehady Soglo),5,30,6.6,RB,RB (Lehady Soglo),,BEN
Benin,Union fait la Nation,4,56,12.4,,,Union fait la Nation,BEN
Botswana,Botswana Congress Party (BCP),9,196,23.3,BCP,,Botswana Congress Party,BWA
Botswana,Botswana Democratic Party (BDP),10,525,62.5,BDP,,Botswana Democratic Party,BWA
Botswana,Botswana National Front (BNF),12,65,7.7,BNF,,Botswana National Front,BWA
Burkina Faso,CDP,16,79,21,CDP,,,BFA
Burkina Faso,MPP,19,153,40.6,MPP,,,BFA
Burkina Faso,UNIR/PS,22,22,5.8,UNIR,UNIR/PS,,BFA
Burkina Faso,UPC de Zéphirin DIABRE,23,72,19.1,UPC,UPC de Zéphirin DIABRE,,BFA
Burundi,CNDD-FDD,261,657,82.2,CNDD,CNDD-FDD,,BDI
Burundi,UPRONA,263,43,5.4,UPRONA,,,BDI
Cameroon,Cameroon People's Democratic Movement (CPDM),270,388,81.7,CPDM,,Cameroon People's Democratic Movement,CMR
Cameroon,Social Democratic Front (SDF),271,58,12.2,SDF,,Social Democratic Front,CMR
Cape Verde,African Party of Independence of Cape Verde (PAICV),27,214,52.7,PAICV,,African Party of Independence of Cape Verde,CPV
Cape Verde,Movement for Democracy (MPD),26,179,44.1,MPD,,Movement for Democracy,CPV
Cote d'Ivoire,Front Populaire Ivoirien (FPI),277,235,36.2,FPI,,Front Populaire Ivoirien,CIV
Cote d'Ivoire,Parti Démocratique de Cote d'Ivoire (PDCI),276,135,20.8,PDCI,Parti Démocratique de Cote d'Ivoire,,CIV
Cote d'Ivoire,Rassemblement des Républicains (RDR),275,253,38.9,RDR,Rassemblement des Républicains,,CIV
Egypt,Al Messreyoun Al Ahrar,307,67,25.2,,Al Messreyoun Al Ahrar,,EGY
Egypt,Egyptian Patriotic Movement,300,40,15,,,Egyptian Patriotic Movement,EGY
Egypt,Egyptian Social Democratic,302,22,8.3,,,Egyptian Social Democratic,EGY
Egypt,El Doustour,305,16,6,,El Doustour,,EGY
Egypt,El-Wafad,299,33,12.4,,El-Wafad,,EGY
Egypt,Ennour,301,22,8.3,,Ennour,,EGY
Egypt,Misr Alqawia,303,34,12.8,,Misr Alqawia,,EGY
Gabon,PDG (Parti Démocratique Gabonais),340,198,60.2,PDG,PDG (Parti Démocratique Gabonais),,GAB
Gabon,UN (Union Nationale),341,94,28.6,UN,,UN (Union Nationale),GAB
Gabon,UPG (Union du Peuple Gabonais),342,27,8.2,UPG,,UPG (Union du Peuple Gabonais),GAB
Ghana,National Democratic Congress (NDC),30,570,43.6,NDC,,National Democratic Congress,GHA
Ghana,New Patriotic Party (NPP),31,658,50.4,NPP,,New Patriotic Party,GHA
Guinea,Rassemblement du Peuple de Guinée (RPG),283,415,63.5,RPG,Rassemblement du Peuple de Guinée,,GIN
Guinea,Union des Forces Démocratiques de Guinée (UFDG),284,174,26.6,UFDG,,Union des Forces Démocratiques de Guinée,GIN
Guinea,Union des Forces Républicaines,285,41,6.3,,,Union des Forces Républicaines,GIN
Kenya,Orange Democratic Movement (ODM),38,565,38.4,ODM,,Orange Democratic Movement,KEN
Kenya,The National Alliance (TNA),41,592,40.2,TNA,,The National Alliance,KEN
Kenya,United Republican Party (URP),43,185,12.6,URP,,United Republican Party,KEN
Lesotho,All Basotho Convention (ABC),47,241,32.9,ABC,,All Basotho Convention,LSO
Lesotho,Basotho National Party (BNP),49,51,7,BNP,,Basotho National Party,LSO
Lesotho,Democratic Congress (DC),46,242,33,DC,,Democratic Congress,LSO
Lesotho,Lesotho Congress for Democracy (LCD),48,179,24.4,LCD,,Lesotho Congress for Democracy,LSO
