country,party_id,name_short,name_english,year_first,year_last,year_renamed,Party
AFG,AFG-2,,National Revolutionary Party of Afghanistan,1974,1977,,National Revolutionary Party of Afghanistan
AFG,AFG-3,,People's Democratic Party of Afghanistan / Homeland Party,1965,1991,1990,People's Democratic Party of Afghanistan / Homeland Party
ALB,ALB-7,,Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania,1941,1991,"1948, 1991",Communist Party of Albania / Party of Labour of Albania / Socialist Party of Albania
ALB,ALB-8,,Democratic Party of Albania,1990,1996,,Democratic Party of Albania
DZA,DZA-9,FLN,National Liberation Front ,1954,1991,,National Liberation Front (FLN)
DZA,DZA-11,,National Rally for Democracy,1997,1999,,National Rally for Democracy
DZA,DZA-12,FLN,National Liberation Front ,1954,,,National Liberation Front (FLN)
AGO,AGO-13,,People's Movement for the Liberation of Angola,1956,,,People's Movement for the Liberation of Angola
ATG,ATG-14,ALP,Antigua Labour Party ,1946,2003,,Antigua Labour Party (ALP)
ARG,ARG-15,C,National Democratic Party ,1931,1942,,National Democratic Party (Concordance Alliance)
ARG,ARG-17,,Labour Party,1945,1947,,Labour Party
ARG,ARG-18,,Justicialist Party,1947,1954,,Justicialist Party
ARM,ARM-23,PANM,Pan-Armenian National Movement ,1988,1998,,"Pan-Armenian National Movement (PANM, or HHSh)"
ARM,ARM-24,RPA,Republican Party of Armenia ,1990,,,"Republican Party of Armenia (RPA, or HHK)"
AUT,AUT-25,,Fatherland Front [Austria],1933,1938,,Fatherland Front [Austria]
AZE,AZE-27,,Azerbaijan Communist Party,1920,1991,,Azerbaijan Communist Party
AZE,AZE-28,APFP,Azerbaijani Popular Front Party ,1988,1992,,Azerbaijani Popular Front Party (APFP)
AZE,AZE-29,,New Azerbaijan Party,1992,,,New Azerbaijan Party
BGD,BGD-31,,Bangladesh Awami League,1949,1974,,Bangladesh Awami League
BGD,BGD-33,,Bangladesh Nationalist Party,1978,1981,,Bangladesh Nationalist Party
BGD,BGD-35,E,Jatiya Party ,1986,1990,,Jatiya Party (Ershad)
BGD,BGD-37,,Bangladesh Awami League,1949,,,Bangladesh Awami League
BEN,BEN-39,,Dahomeyan Unity Party,1960,1962,,Dahomeyan Unity Party
BEN,BEN-40,,Dahomeyan Democratic Party,1963,1964,,Dahomeyan Democratic Party
BEN,BEN-42,,People's Revolutionary Party of Benin,1975,1990,,People's Revolutionary Party of Benin
BOL,BOL-45,,Concordance,1939,1942,,Concordance
BOL,BOL-47,,Republican Socialist Unity Party,1946,1950,,Republican Socialist Unity Party
BOL,BOL-49,,Revolutionary Nationalist Movement,1941,1963,,Revolutionary Nationalist Movement
BOL,BOL-51,,Popular Christian Movement,1966,1968,,Popular Christian Movement
BRA,BRA-55,,National Renewal Alliance / Democratic Social Party,1964,1984,,National Renewal Alliance / Democratic Social Party
BGR,BGR-58,,Fatherland Front [Bulgaria],1943,1945,,Fatherland Front [Bulgaria]
BGR,BGR-59,,Bulgarian Communist Party,1903,1989,,Bulgarian Communist Party
BFA,BFA-60,UDV,Voltaic Democratic Union-African Democratic Rally ,1957,1965,,Voltaic Democratic Union-African Democratic Rally (UDV-RDA)
BFA,BFA-62,UDV,Voltaic Democratic Union-African Democratic Rally ,1957,1973,,Voltaic Democratic Union-African Democratic Rally (UDV-RDA)
BFA,BFA-64,,National Movement for Renewal,1974,1979,,National Movement for Renewal
BFA,BFA-66,CDP,Popular Front / Organization for Popular Democracy – Labour Movement / Congress for Democracy and Progress ,1987,2013,"1991, 1996",Popular Front / Organization for Popular Democracy – Labour Movement / Congress for Democracy and Progress (CDP)
BFA,BFA-68,MPP,People's Movement for Progress ,2014,,,People's Movement for Progress (MPP)
BDI,BDI-70,UPRONA,Union for National Progress ,1960,1975,,Union for National Progress (UPRONA)
BDI,BDI-72,UPRONA,Union for National Progress ,1960,1992,,Union for National Progress (UPRONA)
BDI,BDI-74,FRODEBU,Front for Democracy in Burundi ,1986,2004,,Front for Democracy in Burundi (FRODEBU)
KHM,KHM-76,C,Sangkum ,1955,1969,,Sangkum (Community)
KHM,KHM-78,,Social Republican Party,1972,1974,,Social Republican Party
KHM,KHM-79,K,Communist Party of Kampuchea ,1951,1978,,Communist Party of Kampuchea (Khmer Rouge)
KHM,KHM-81,,Kampuchean People's Revolutionary Party / Cambodian People's Party,1979,,1991,Kampuchean People's Revolutionary Party / Cambodian People's Party
CMR,CMR-82,CPDM,Cameroon National Union / Cameroonian Union / Cameroon People's Democratic Movement ,1958,,"1966, 1985",Cameroon National Union / Cameroonian Union / Cameroon People's Democratic Movement (CPDM or RDPC)
CPV,CPV-83,PAIGC,African Party for the Independence of Guinea and Cape Verde ,1956,1980,,African Party for the Independence of Guinea and Cape Verde (PAIGC)
CPV,CPV-84,PAICV,African Party of Independence of Cape Verde ,1981,1990,,African Party of Independence of Cape Verde (PAICV)
CAF,CAF-85,MESAN,Movement for the Social Evolution of Black Africa ,1949,1978,,Movement for the Social Evolution of Black Africa (MESAN)
CAF,CAF-86,,Central African Democratic Union,1979,1980,,Central African Democratic Union
CAF,CAF-88,,Central African Democratic Rally,1987,1992,,Central African Democratic Rally
CAF,CAF-90,,"National Convergence ""Kwa Na Kwa""",2004,2012,,"National Convergence ""Kwa Na Kwa"""
TCD,TCD-92,,Chadian Progressive Party / National Movement for the Cultural and Social Revolution,1947,1974,1973,Chadian Progressive Party / National Movement for the Cultural and Social Revolution
TCD,TCD-94,,National Union for Independence and Revolution,1984,1989,,National Union for Independence and Revolution
TCD,TCD-95,,Patriotic Salvation Movement,1990,,,Patriotic Salvation Movement
CHN,CHN-97,,Kuomintang,1911,1948,,Kuomintang
CHN,CHN-98,,Communist Party of China,1921,,,Communist Party of China
COL,COL-99,,Colombian Conservative Party,1849,1952,,Colombian Conservative Party
COL,COL-101,,Popular Action Movement,1955,1957,,Popular Action Movement
COM,COM-103,RDPC,Democratic Rally of the Comorian People ,1968,1977,,Democratic Rally of the Comorian People (RDPC)
COM,COM-104,,Comorian Democratic Union,1968,1981,,Comorian Democratic Union
COM,COM-105,,Comorian Union for Progress,1982,1992,,Comorian Union for Progress
COM,COM-106,,Rally for Democracy and Renewal,1993,1995,,Rally for Democracy and Renewal
COM,COM-107,,National Rally for Development,1996,1998,,National Rally for Development
COG,COG-109,,Democratic Union for the Defence of African Interests,1956,1963,,Democratic Union for the Defence of African Interests
COG,COG-110,,National Revolutionary Movement,1964,1968,,National Revolutionary Movement
COG,COG-111,,Congolese Party of Labour,1969,1991,,Congolese Party of Labour
COG,COG-112,,Pan-African Union for Social Democracy,1991,1996,,Pan-African Union for Social Democracy
COG,COG-113,,Congolese Party of Labour,1969,,,Congolese Party of Labour
COD,COD-114,B,Association of the Bakongo People ,1955,1964,,Association of the Bakongo People (Bakongos' Alliance)
COD,COD-116,MPR,Popular Movement of the Revolution ,1967,1996,,Popular Movement of the Revolution (MPR)
COD,COD-118,,People's Party for Reconstruction and Democracy,2002,,,People's Party for Reconstruction and Democracy
CRI,CRI-119,I,"",1932,1947,,(Independent) National Republican Party (PRN)
HRV,HRV-121,HDZ,Croatian Democratic Union ,1989,1999,,Croatian Democratic Union (HDZ)
CUB,CUB-122,,Progressive Action Party,1952,1958,,Progressive Action Party
CUB,CUB-123,,26th of July Movement / United Party of the Cuban Socialist Revolution / Communist Party of Cuba,1953,,"1962, 1965",26th of July Movement / United Party of the Cuban Socialist Revolution / Communist Party of Cuba
CZE,CZE-125,,Communist Party of Czechoslovakia,1921,1989,,Communist Party of Czechoslovakia
DJI,DJI-126,,People's Rally for Independence / People's Rally for Progress,1977,,1979,People's Rally for Independence / People's Rally for Progress
DOM,DOM-127,,Dominican Party,1931,1961,,Dominican Party
ECU,ECU-129,,Ecuadorian Radical Liberal Party,1878,1943,,Ecuadorian Radical Liberal Party
ECU,ECU-130,,Conservative Party,1869,1946,,Conservative Party
ECU,ECU-133,,Democratic Institutionalist Coalition,1965,1967,,Democratic Institutionalist Coalition
ECU,ECU-134,,Velasquista National Federation,1952,1971,,Velasquista National Federation
ECU,ECU-136,,Popular Democracy / Christian Democratic Union,1977,2002,,Popular Democracy / Christian Democratic Union
EGY,EGY-139,,Liberation Rally / National Union / Arab Socialist Union,1952,1977,"1956, 1962",Liberation Rally / National Union / Arab Socialist Union
EGY,EGY-140,NDP,National Democratic Party  [Egypt],1978,2010,,National Democratic Party (NDP) [Egypt]
EGY,EGY-142,,Freedom and Justice Party,2011,2012,,Freedom and Justice Party
SLV,SLV-144,,National Pro-Patria Party,1931,1944,,National Pro-Patria Party
SLV,SLV-145,,Unification Social Democratic Party,1945,1947,,Unification Social Democratic Party
SLV,SLV-147,,Revolutionary Party of Democratic Unification,1945,1961,,Revolutionary Party of Democratic Unification
SLV,SLV-148,,National Conciliation Party,1961,1978,,National Conciliation Party
SLV,SLV-150,ARENA,Nationalist Republican Alliance ,1981,1983,,Nationalist Republican Alliance (ARENA)
GNQ,GNQ-151,IPGE,Popular Idea of Equatorial Guinea ,1958,1971,,Popular Idea of Equatorial Guinea (IPGE)
GNQ,GNQ-152,PUNT,United National Workers' Party ,1972,1978,,United National Workers' Party (PUNT)
GNQ,GNQ-154,,Democratic Party of Equatorial Guinea,1987,,,Democratic Party of Equatorial Guinea
ERI,ERI-155,,Eritrean People's Liberation Front / People's Front for Democracy and Justice,1970,,1994,Eritrean People's Liberation Front / People's Front for Democracy and Justice
ETH,ETH-159,,Commission for Organizing the Party of the Working People of Ethiopia / Ethiopian Workers' Party,1979,1990,1984,Commission for Organizing the Party of the Working People of Ethiopia / Ethiopian Workers' Party
ETH,ETH-160,,Ethiopian People's Revolutionary Democratic Front,1989,1992,,Ethiopian People's Revolutionary Democratic Front
ETH,ETH-161,,Ethiopian People's Revolutionary Democratic Front,1989,,,Ethiopian People's Revolutionary Democratic Front
FJI,FJI-163,S,Fijian Political Party ,1990,1999,,Fijian Political Party (Soqosoqo ni Vakavulewa ni Taukei)
FJI,FJI-165,S,United Fiji Party ,2001,2005,,United Fiji Party (Soqosoqo Duavata ni Lewenivanua)
GAB,GAB-168,,Gabonese Democratic Bloc / Gabonese Democratic Party,1953,,1967,Gabonese Democratic Bloc / Gabonese Democratic Party
GMB,GMB-169,,People's Progressive Party,1959,1971,,People's Progressive Party
GMB,GMB-171,,Alliance for Patriotic Reorientation and Construction,1996,,,Alliance for Patriotic Reorientation and Construction
GEO,GEO-172,,Round Table - Free Georgia,1990,1991,,Round Table - Free Georgia
GEO,GEO-174,SMK,Union of Citizens of Georgia ,1995,2003,,Union of Citizens of Georgia (SMK)
DEU,DEU-175,NSDAP,National Socialist German Workers' Party ,1920,1945,,National Socialist German Workers' Party (NSDAP)
DDR,DDR-177,,Socialist Unity Party of Germany / Party of Democratic Socialism,1946,1990,1989,Socialist Unity Party of Germany / Party of Democratic Socialism
GHA,GHA-178,CPP,Convention People's Party ,1949,1965,,Convention People's Party (CPP)
GHA,GHA-182,NDC,National Democratic Congress ,1992,1996,,National Democratic Congress (NDC)
GRD,GRD-185,,New Jewel Movement,1973,1983,,New Jewel Movement
GTM,GTM-186,,Liberal Progressive Party,1931,1944,,Liberal Progressive Party
GTM,GTM-187,,National Democratic Movement,1954,1957,,National Democratic Movement
GTM,GTM-188,PID,Institutional Democratic Party ,1963,1965,,Institutional Democratic Party (PID)
GIN,GIN-190,,Democratic Party of Guinea-African Democratic Rally,1947,1983,,Democratic Party of Guinea-African Democratic Rally
GIN,GIN-192,,Unity and Progress Party,1992,2007,,Unity and Progress Party
GIN,GIN-194,RPG,Rally of the Guinean People ,1992,,,Rally of the Guinean People (RPG)
GNB,GNB-195,PAIGC,African Party for the Independence of Guinea and Cape Verde ,1956,1993,,African Party for the Independence of Guinea and Cape Verde (PAIGC)
GNB,GNB-196,PAIGC,African Party for the Independence of Guinea and Cape Verde ,1956,1999,,African Party for the Independence of Guinea and Cape Verde (PAIGC)
GNB,GNB-197,,Party for Social Renewal,1992,2003,,Party for Social Renewal
GNB,GNB-198,PAIGC,African Party for the Independence of Guinea and Cape Verde ,1956,,,African Party for the Independence of Guinea and Cape Verde (PAIGC)
GUY,GUY-199,,People's National Congress,1957,1991,,People's National Congress
