country,partyfacts_id,technical
AFG,4912,15
AFG,4911,12
AFG,4910,11
AFG,4909,10
AFG,4908,8
AFG,4907,7
ALB,3883,15
ALB,2993,12
ALB,2571,11
ALB,2570,10
ALB,2569,8
ALB,2568,7
DZA,3884,15
DZA,3567,12
DZA,3566,11
DZA,3565,10
DZA,3563,8
DZA,3562,7
AND,3885,15
AND,3311,12
AND,3310,11
AND,3309,10
AND,3307,8
AND,3306,7
AGO,3886,15
AGO,2994,12
AGO,2576,11
AGO,2575,10
AGO,2573,8
AGO,2572,7
AIA,3887,15
AIA,3317,12
AIA,3316,11
AIA,3315,10
AIA,3313,8
AIA,3312,7
ATG,3888,15
ATG,3323,12
ATG,3322,11
ATG,3321,10
ATG,3319,8
ATG,3318,7
ARG,3889,15
ARG,2995,12
ARG,2580,11
ARG,2579,10
ARG,2577,8
ARG,1863,7
ARM,3890,15
ARM,2996,12
ARM,2585,11
ARM,2584,10
ARM,2582,8
ARM,2581,7
ABW,5421,15
ABW,5420,12
ABW,5419,11
ABW,5418,10
ABW,5417,8
ABW,5416,7
AUS,3891,15
AUS,2997,12
AUS,2588,11
AUS,2587,10
AUS,2586,8
AUS,1833,7
AUT,3892,15
AUT,2998,12
AUT,2591,11
AUT,2590,10
AUT,2589,8
AUT,1857,7
AUH,5439,15
AUH,5438,12
AUH,5437,11
AUH,5436,10
AUH,5435,8
AUH,5434,7
AZE,3893,15
AZE,2999,12
AZE,2596,11
AZE,2595,10
AZE,2593,8
AZE,2592,7
BHS,3894,15
BHS,3290,12
BHS,3289,11
BHS,3288,10
BHS,3286,8
BHS,3285,7
BHR,5816,15
BHR,5815,12
BHR,5814,11
BHR,5813,10
BHR,5812,8
BHR,5811,7
BGD,3895,15
BGD,3000,12
BGD,2601,11
BGD,2600,10
BGD,2598,8
BGD,2597,7
BRB,3896,15
BRB,3329,12
BRB,3328,11
BRB,3327,10
BRB,3325,8
BRB,3324,7
BLR,3897,15
BLR,3001,12
BLR,2606,11
BLR,2605,10
BLR,2603,8
BLR,2602,7
BEL,3898,15
BEL,3002,12
BEL,2609,11
BEL,2608,10
BEL,2607,8
BEL,1834,7
BLZ,3899,15
BLZ,3335,12
BLZ,3334,11
BLZ,3333,10
BLZ,3331,8
BLZ,3330,7
BEN,3900,15
BEN,3003,12
BEN,2614,11
BEN,2613,10
BEN,2611,8
BEN,2610,7
BMU,3901,15
BMU,3341,12
BMU,3340,11
BMU,3339,10
BMU,3337,8
BMU,3336,7
BTN,3902,15
BTN,3347,12
BTN,3346,11
BTN,3345,10
BTN,3343,8
BTN,3342,7
BOL,3903,15
BOL,3004,12
BOL,2618,11
BOL,2617,10
BOL,2615,8
BOL,1880,7
BIH,3904,15
BIH,3005,12
BIH,2623,11
BIH,2622,10
BIH,2620,8
BIH,2619,7
BWA,3905,15
BWA,3006,12
BWA,2628,11
BWA,2627,10
BWA,2625,8
BWA,2624,7
BRA,3906,15
BRA,3007,12
BRA,2632,11
BRA,2631,10
BRA,2629,8
BRA,1864,7
VGB,3907,15
VGB,3353,12
VGB,3352,11
VGB,3351,10
VGB,3349,8
VGB,3348,7
BGR,3908,15
BGR,3008,12
BGR,2635,11
BGR,2634,10
BGR,2633,8
BGR,1835,7
BFA,3909,15
BFA,3573,12
BFA,3572,11
BFA,3571,10
BFA,3569,8
BFA,3568,7
BDI,4918,15
BDI,4917,12
BDI,4916,11
BDI,4915,10
BDI,4914,8
BDI,4913,7
KHM,3910,15
KHM,3359,12
KHM,3358,11
KHM,3357,10
KHM,3355,8
KHM,3354,7
CMR,3911,15
CMR,3365,12
CMR,3364,11
CMR,3363,10
CMR,3361,8
CMR,3360,7
CAN,3912,15
CAN,3009,12
CAN,2638,11
CAN,2637,10
CAN,2636,8
CAN,1836,7
CPV,3913,15
CPV,3371,12
CPV,3370,11
CPV,3369,10
CPV,3367,8
CPV,3366,7
CYM,3914,15
CYM,3377,12
CYM,3376,11
CYM,3375,10
CYM,3373,8
CYM,3372,7
CAF,4665,15
CAF,4664,12
CAF,4663,11
CAF,4662,10
CAF,4661,8
CAF,4660,7
TCD,4671,15
TCD,4670,12
TCD,4669,11
TCD,4668,10
TCD,4667,8
TCD,4666,7
CHL,3915,15
CHL,3010,12
CHL,2641,11
CHL,2640,10
CHL,2639,8
CHL,1865,7
CHN,4924,15
CHN,4923,12
CHN,4922,11
CHN,4921,10
CHN,4920,8
CHN,4919,7
COL,3916,15
COL,3011,12
COL,2645,11
COL,2644,10
