country,name_short,name,year_first,year_last,party_id,partyfacts_id
AUS,,Liberal Party of Australia,2007,2013,,486
AUS,ALP,Australian Labor Party,2007,2013,,424
AUS,,Australian Greens,2007,2013,,1209
AUS,,National Party of Australia,2007,2013,,1743
AUS,,Other Party,2007,2007,,1833
AUS,,LibNat,2010,2010,,3891
AUS,,Family First Party,2007,2007,,1263
AUS,,Australian Democrats,2007,2007,,990
AUS,,Pauline Hanson,2007,2007,,7012
AUS,,Citizens Electoral Council of Australia,2007,2007,,2588
ALB,PS,Partia Socialiste,2013,2013,,1729
ALB,PD,Partia Demokratike,2013,2013,,190
ALB,LSI,Levizija Socialiste per Integrim,2013,2013,,2297
ALB,PDIU,Partia Per Drejtesi,2013,2013,,3270
ALB,PR,Partia Republikane,2013,2013,,819
ALB,PBDNJ,Partia Bashkimi Per Te Drejtat e Njeriut,2013,2013,,1636
ALB,PKD,Partia Kristian Demokrate,2013,2013,,4715
ALB,PDK,Partia Demokristiane e Shqipërisë,2013,2013,,7013
ALB,PAA,Partia Agrare,2013,2013,,840
ALB,PPSH,Partia e Punës së Shqipërisë,2013,2013,,4711
ALB,PAD,Partia Aleanca Demokratike,2013,2013,,594
ALB,PSD,Partia Social Demokrate,2013,2013,,838
ALB,PLL,Partia Lëvizja e Legalitetit,2013,2013,,732
AUT,SPOE,,2008,2008,,1384
AUT,OEVP,,2008,2008,,1329
AUT,Gruene,,2008,2008,,1659
AUT,FPOE,,2008,2008,,463
AUT,BZOE,,2008,2008,,599
AUT,FRITZ,,2008,2008,,439
AUT,DC,,2008,2008,,2591
AUT,KPOE,,2008,2008,,996
AUT,LIF,,2008,2008,,605
AUT,RETTOE,,2008,2008,,2591
AUT,LINKE,,2008,2008,,2591
AUT,STARK,,2008,2008,,2591
AUT,TRP,,2008,2008,,2591
AUT,KHK,,2008,2008,,2591
BEL,PS,,2007,2014,,500
BEL,MR,,2007,2014,,789
BEL,CDH,,2007,2014,,2338
BEL,ECOLO,,2007,2014,,1563
BEL,FN,,2007,2007,,191
BEL,CD&V,,2007,2014,,604
BEL,N-VA,,2007,2014,,36
BEL,sp.a,,2007,2014,,1680
BEL,spirit,,2007,2014,,7015
BEL,Open VLD,,2007,2014,,49
BEL,VB,VlaamsBelang,2007,2014,,1968
BEL,,GROEN,2007,2014,,528
BEL,,LijstDedecker,2007,2010,,43
BEL,CVP,,2010,2010,,2608
BEL,FDF,,2010,2014,,698
BEL,ID21,,2010,2010,,2608
BEL,VU,,2010,2014,,2608
BEL,CDF,,2010,2010,,2609
BEL,PP,,2010,2014,,639
BEL,PVDA,,2014,2014,,1753
BEL,PTB,,2014,2014,,1753
CAN,,Liberal Party,2008,2015,,1739
CAN,NDP,New Democratic Party,2008,2015,,152
CAN,,Conservative Party,2015,2015,,1004
CAN,,Green Party,2015,2015,,931
CAN,,Bloc Québécois,2015,2015,,1428
CHE,CVP/PDC,,2007,2015,,1808
CHE,FDP/PRD,,2007,2015,,360
CHE,SVP/UDC,,2007,2015,,308
CHE,SPS/PSS,,2007,2015,,29
CHE,GPS/PES,,2007,2015,,1006
CHE,GLP,,2007,2015,,1759
CHE,LPS/PLS,,2007,2015,,444
CHE,CSP/PCS,,2007,2015,,1122
CHE,EVP/PEV,,2007,2015,,1123
CHE,EDU/UDF,,2007,2015,,631
CHE,SD/DS,,2007,2015,,1819
CHE,Lega,,2007,2015,,1661
CHE,Pda/PST,,2007,2015,,669
CHE,Sol,SolidaritéS,2007,2015,,2939
CHE,FGA,,2007,2007,,2939
CHE,FPS/PSL,,2007,2015,,2939
CHE,,Other Party,2007,2011,,1964
CHE,,PLS/LPS,2011,2011,,2939
CHE,LdU,LdU / Alliance des Indépendants,2011,2015,,2939
CHE,MCG,Mouvement Citoyen Romand,2011,2015,,2939
CHE,,BDP,2011,2015,,1415
CHL,,Renovación Nacional,2017,2017,,928
CHL,,Partido Demócrata Cristiano,2017,2017,,390
CHL,,Partido por la Democracia,2017,2017,,54
CHL,,Unión Demócrata Independiente,2017,2017,,1599
CHL,,Partido Socialista de Chile,2017,2017,,6
CHL,,Partido Radical Socialdemócrata,2017,2017,,437
CHL,,Partido Comunista de Chile,2017,2017,,162
CHL,,Partido Humanista,2017,2017,,209
CHL,,Partido Ecologista Verde,2017,2017,,7016
CHL,,Partido Progresista,2017,2017,,7017
CHL,,Partido Igualdad,2017,2017,,7018
CHL,,Mas Región,2017,2017,,812
CHL,,Partido Regionalista Independiente,2017,2017,,1748
CHL,,Democracia Regional Patagónica,2017,2017,,2641
CHL,,ANDHA Chile,2017,2017,,2641
CHL,,Partido Liberal de Chile,2017,2017,,7019
CHL,,PAIS,2017,2017,,2641
CHL,,Amplitud,2017,2017,,7020
CHL,,Partido Izquierda Ciudadana de Chile,2017,2017,,2641
CHL,,Partido Evolución Política,2017,2017,,7021
CHL,,Unión Patriótica,2017,2017,,2641
CHL,,Poder,2017,2017,,2641
CHL,,Todos,2017,2017,,2641
CHL,,Revolución Democrática,2017,2017,,6911
CHL,,Ciudadanos,2017,2017,,7022
CHL,,Por la Integración Regional,2017,2017,,2641
CHL,,Federación Regionalista Verde Social,2017,2017,,7023
CHL,,Partido de Trabajadores Revolucionarios,2017,2017,,2641
CHL,,Independents,2017,2017,,2639
CZE,CSSD,,2006,2006,,177
CZE,KDU,,2006,2006,,676
CZE,KSCM,,2006,2006,,1728
CZE,ODS,,2006,2006,,466
CZE,SZ,,2006,2006,,1554
DEU,SPD,Social Democratic Party,2005,2013,,383
DEU,CDU,Christian Democratic Union,2005,2013,,1375
DEU,CSU,Christian Social Union,2005,2013,,1731
DEU,FDP,Free Democratic Party,2005,2013,,573
DEU,Alliance90/The Greens,Buendnis90 / Die Gruenen,2005,2013,,1816
DEU,Linke,Die Linke,2005,2013,,1545
DEU,WASG,,2005,2005,,2702
DEU,,Other Party,2005,2009,,1895
DEU,AfD,Alternative for Germany,2013,2013,,1976
DEU,Pirates,Pirate Party of Germany,2013,2013,,1287
DNK,,Red/Green Alliance,2011,2011,,1527
DNK,,Socialist People,2011,2011,,329
DNK,,Social Democrats,2011,2011,,379
DNK,,Social Liberals,2011,2011,,1507
DNK,,Christian Democrats,2011,2011,,53
DNK,,Liberal Alliance,2011,2011,,212
DNK,,Liberals,2011,2011,,1914
DNK,,Conservative People,2011,2011,,536
DNK,,Danish People,2011,2011,,1022
DNK,,Liberal Center,2011,2011,,2659
DNK,,Left Socialists,2011,2011,,1136
DNK,,Denmark,2011,2011,,2659
DNK,,Progress Party,2011,2011,,1601
DNK,,Peace Party,2011,2011,,2659
DNK,,Center Democrats,2011,2011,,800
DNK,,Justice Party,2011,2011,,1134
EST,,Estonian Independence Party,2011,2015,,2679
EST,,Estonian Center Party,2011,2015,,533
EST,,Estonian Reform Party,2011,2015,,821
EST,,People,2011,2011,,110
EST,,Estonian Christian Democrats,2011,2011,,790
EST,,Estonian Greens,2011,2015,,1040
EST,,Union of Pro Patria and Res Publica,2011,2011,,685
EST,,Social Democratic Party,2011,2015,,1150
EST,,Russian Party in Estonia,2011,2011,,1975
EST,,Independent,2011,2015,,2567
EST,,Eesti Konservatiivne Rahvaerakond,2015,2015,,4094
EST,,Erakond Isamaa ja Res Publica Liit,2015,2015,,685
EST,,Eesti Ühendatud Vasakpartei,2015,2015,,2679
EST,,Eesti Vabaerakond,2015,2015,,3271
EST,,Rahva Ühtsuse Erakond,2015,2015,,2679
FIN,,Centre Party,2007,2015,,901
FIN,,National Coalition Party,2007,2015,,495
FIN,,Social Democrats,2007,2015,,1303
FIN,,Left Alliance,2007,2015,,1044
FIN,Greens,Green League,2007,2015,,479
FIN,,Christian Democrats,2007,2015,,703
FIN,,Swedish People,2007,2015,,1229
FIN,,True Finns,2007,2015,,1689
FIN,,Finnish Communist Party,2007,2011,,7030
FIN,Liberals,no longer a registered party,2007,2007,,249
FIN,Senior,Pensioners,2007,2011,,2687
FIN,,Party of Peace and Socialism,2007,2007,,2687
FIN,,Independence Party,2007,2011,,2687
FIN,,Independent list in Helsinki,2007,2007,,2685
FIN,,Independent list in Varsinais,2007,2007,,2685
FIN,,Finnish People,2007,,,2687
FIN,,Finnish Workers Party,2007,2011,,2687
FIN,,Patriotic People,2007,,,2687
FIN,,Other Party,2007,2015,,1859
FIN,Finland,The Communist Workers Party,2011,2011,,2687
FIN,,Pirate Party of Finland,2011,2011,,2687
FIN,,Change 2011,2011,2011,,2687
FIN,,Liberty Party,2011,2011,,2687
FIN,,For the Poor,2011,2011,,2687
GBR,,Labour Party,2010,2010,,1516
GBR,,Conservative Party,2010,2010,,1567
GBR,,Liberal Democrats,2010,2010,,1388
GBR,UKIP,UK Independence Party,2010,2010,,601
GBR,GPEW,Green Party of England and Wales,2010,2010,,1794
GBR,SNP,Scottish National Party,2010,2010,,986
GBR,,Plaid Cymru the Party of Wales,2010,2010,,1002
GBR,BNP,British National Party,2010,2010,,855
GBR,,English Democrats,2010,2010,,1675
GBR,TUSC,Trade Unionist and Socialist Coalition,2010,2010,,2966
GBR,SGP,Scottish Green Party,2010,2010,,6687
GBR,,Other party,2010,2010,,1841
GRC,ND,New Democracy,2007,2015,,794
GRC,PASOK,PanhellenicSocialistMovement,2007,2015,,1468
GRC,Syriza,,2012,2015,,301
GRC,ANEL,,2012,2015,,1651
GRC,CA,GOLDEN DAWN,2012,2015,,1660
GRC,DIMAR,,2012,2012,,1160
GRC,RIVER,,2015,2015,,3118
GRC,KKE,,2015,2015,,48
GRC,Other,,2015,2015,,1842
HUN,Fidesz,,2010,2014,,1691
HUN,KDNP,,2010,2014,,1412
HUN,MSZP,,2010,2014,,1408
HUN,Jobbik,,2010,2014,,42
HUN,LMP,,2010,2014,,1650
HUN,,Other Party,2010,2010,,1843
HUN,,Együtt,2014,2014,,2458
HUN,,Demokratikus koalíció,2014,2014,,469
HUN,,Párbeszéd Magyarországért,2014,2014,,3115
IRL,FF,,2007,2007,,1055
IRL,FG,,2007,2007,,1288
IRL,Greens,,2007,2007,,1775
IRL,,Labour,2007,2007,,562
IRL,PD,Progressive Democrats,2007,2007,,924
IRL,SF,Sinn Fein,2007,2007,,4
IRL,,Independents,2007,2007,,2735
ISL,,Social Democratic Alliance,2009,2013,,1396
ISL,,Progressive Party,2009,2013,,964
ISL,Conservative,Independence Party,2009,2013,,363
ISL,,Left Green Movement,2009,2013,,457
ISL,,Liberal Party,2009,2013,,1224
ISL,,Civic Movement,2009,2013,,224
ISL,,Bright Future,2013,2013,,2517
ISL,,Pirate Party,2013,2013,,2048
ISL,,Union of Liberals and Leftists,2013,2013,,1517
ISL,,Womens,2013,2013,,2723
ISL,,Peoples,2013,2013,,2723
ISL,,O,2013,2013,,2723
ISL,,Democratic Movement,2013,2013,,2723
ISL,,Icelandic Movement,2013,2013,,125
ISL,,Humanist Party,2013,2013,,1070
ISL,,Green List,2013,2013,,2723
ISL,,Movement,2013,2013,,2723
ISL,,Peoples,2013,2013,,2723
ISL,,Social Democratic Party,2013,2013,,2723
ISL,,Alliance of Social Democrats,2013,2013,,2723
ITA,,Centro Democratico,2013,2013,,2278
ITA,,Fratelli d'Italia,2013,2013,,2280
ITA,,Il Popolo Della Liberta,2013,2013,,365
ITA,,Lega Nord,2013,2013,,1221
ITA,,Movimento 5 Stelle Beppegrillo,2013,2013,,2046
ITA,,Partito Democratico,2013,2013,,802
ITA,,Rivoluzione Civile,2013,2013,,2277
ITA,,Scelta Civica Con Monti Per l'Italia,2013,2013,,2281
ITA,,Sinistra Ecologia Liberta,2013,2013,,7031
ITA,SVP,,2013,2013,,1369
ITA,,Unione di Centro,2013,2013,,201
LUX,PCL,Parti Communiste Luxembourgeois,2009,2009,,1647
LUX,,La Gauche,2009,2009,,271
LUX,,Les Verts,2009,2009,,1138
LUX,POSL,Parti Ouvrier Socialiste Luxembourgeois,2009,2009,,186
LUX,PD,Parti Démocratique,2009,2009,,300
LUX,PCS,Parti Chrétien Social,2009,2009,,539
LUX,ADR,Parti Démocrate Réformateur,2009,2009,,1114
LUX,BL,Bierger Lëscht,2009,2009,,1213
MLT,,Partit Nazzjonalista,2013,2013,,699
MLT,,Partit Laburista,2013,2013,,808
MLT,,Alternattiva Demokratika,2013,2013,,62
MLT,,Other,2013,2013,,1849
MNE,DPS,Demokratska partija socijalista,2012,2016,,3162
MNE,SDP,Socijaldemokratska partija,2012,2016,,3185
MNE,SNP,Socijalistièka narodna partija,2012,2016,,3104
MNE,,NOVA srpska demokratija,2012,2016,,3252
MNE,PzP,Pokret za promjene,2012,2016,,4766
MNE,,Pozitivna Crna Gora,2012,2016,,4767
MNE,LP,Liberalna partija,2012,2016,,4768
MNE,BS,Bošnjaèka stranka,2012,2016,,3255
MNE,HGI,Hrvatska graðanska inicijativa,2012,2016,,3253
MNE,DUA,Demokratska unija Albanaca,2012,2012,,3250
MNE,FORCA,,2012,2016,,3251
MNE,,Graðanski pokret PERSPEKTIVA,2012,2012,,2822
MNE,DEMOS,Demokratski savez,2012,2016,,5467
MNE,,Demokratska partija,2012,2012,,2822
MNE,,Stranka srpskih radikala,2012,2012,,3161
MNE,,Demokratska srpska stranka,2012,2012,,5487
MNE,AA,Albanska alternativa,2016,2016,,5661
MNE,,Bošnjacka demokratska zajednica,2016,2016,,2823
MNE,DNP,Demokratska narodna partija,2016,2016,,6624
MNE,,Demokratski savez Albanaca,2016,2016,,2822
MNE,DUA,,2016,2016,,3250
MNE,SD,Socijaldemokrate,2016,2016,,5470
MNE,URA,Ujedinjena reformska akcija,2016,2016,,5468
MNE,,Druga manjinska politicka partija,2016,2016,,2819
NLD,CDA,,2006,2006,,1157
NLD,PvdA,,2006,2006,,1234
NLD,SP,,2006,2006,,1363
NLD,VVD,,2006,2006,,828
NLD,,Groep Wilders PVV,2006,2006,,298
NLD,,Groen Links,2006,2006,,1537
NLD,,Christen Unie,2006,2006,,1459
NLD,D66,,2006,2006,,45
NLD,SGP,,2006,2006,,1178
NLD,,Pvd Dieren,2006,2006,,1467
NOR,SV,,2009,2013,,719
NOR,Ap,,2009,2013,,448
NOR,Sp,,2009,2013,,1072
NOR,KrF,,2009,2013,,705
NOR,V,,2009,2013,,1173
NOR,,Høyre,2009,2013,,503
NOR,FrP,,2009,2013,,101
NOR,,Rødt,2013,2013,,3698
NZL,,Labour,2011,2011,,1049
NZL,,National,2011,2011,,1824
NZL,Green,,2011,2011,,1099
NZL,,NZ First,2011,2011,,591
NZL,,Maori Party,2011,2011,,1716
NZL,Act,,2011,2011,,752
NZL,,United Future,2011,2011,,940
NZL,,Mana Party,2011,2011,,1427
NZL,,Other,2011,2011,,1851
PRT,BE,Bloco de Esquerda,2009,2015,,1310
PRT,CDS,Centro Democrático e Social,2009,2015,,1308
PRT,CDU,,2009,2009,,284
PRT,PSD,Partido Social Democrata,2009,2015,,1359
PRT,PS,Partido Socialista,2009,2015,,655
PRT,PEV,Partido Ecologista,2011,2011,,886
PRT,PCP,Partido Comunista Português,2011,2015,,310
PRT,PAN,,2015,2015,,97
ROU,PSD,,2012,2016,,120
ROU,PNL,,2012,2016,,481
ROU,PC,,2012,2012,,1443
ROU,UNPR,,2012,2012,,1541
ROU,USL,,2012,2012,,5941
ROU,PDL,,2012,2012,,660
ROU,PN?CD,,2012,2012,,296
ROU,FC,,2012,2012,,2473
ROU,ARD,,2012,2012,,5940
ROU,UDMR,,2012,2016,,1105
ROU,PPDD,,2012,2012,,2474
ROU,USR,,2016,2016,,5969
ROU,ALDE,,2016,2016,,5662
ROU,PMP,,2016,2016,,3210
ROU,PCM/MPP,,2016,2016,,2534
SWE,,The Center Party,2010,2014,,199
SWE,,The Feminist Initiative,2010,2014,,1240
SWE,,The Liberal Party,2010,2014,,1274
SWE,,The Christian Democrats,2010,2014,,651
SWE,,The Green Party,2010,2014,,456
SWE,,The Conservatives,2010,2014,,690
SWE,,The Social Democrats,2010,2014,,487
SWE,,The Sweden Democrats,2010,2014,,409
SWE,,The Left Party,2010,2014,,830
