country,name_short,name,year,party_id,partyfacts_id,partyfacts_name
AUS,,Liberal Party of Australia,2007,1-1-1-2007,486,LPA
AUS,ALP,Australian Labor Party,2007,1-1-2-2007,424,ALP
AUS,,National Party of Australia,2007,1-1-3-2007,1743,ACP-NPA
AUS,,Australian Democrats,2007,1-1-4-2007,990,AD
AUS,,Australian Greens,2007,1-1-5-2007,1209,AG
AUS,,Pauline Hanson,2007,1-1-6-2007,7012,PUAP
AUS,,Family First Party,2007,1-1-7-2007,1263,FFP
AUS,,Citizens Electoral Council of Australia,2007,1-1-8-2007,2588,1-perc
AUS,,Other Party,2007,1-1-20-2007,1833,etc
AUS,ALP,Australian Labor Party,2010,1-1-1-2010,424,ALP
AUS,,Australian Greens,2010,1-1-2-2010,1209,AG
AUS,,LibNat,2010,1-1-3-2010,3891,ally
CHE,,CVP/PDC,2007,1-2-1-2007,1808,KK/CVP
CHE,,FDP/PRD,2007,1-2-2-2007,360,FDP
CHE,,SVP/UDC,2007,1-2-3-2007,308,SVP
CHE,,SPS/PSS,2007,1-2-4-2007,29,SP
CHE,,GPS/PES,2007,1-2-5-2007,1006,Grue
CHE,,GLP,2007,1-2-6-2007,1759,GPL
CHE,,LPS/PLS,2007,1-2-7-2007,444,LPS
CHE,,CSP/PCS,2007,1-2-8-2007,1122,CsP
CHE,,EVP/PEV,2007,1-2-9-2007,1123,EVP
CHE,,EDU/UDF,2007,1-2-10-2007,631,EDU
CHE,,SD/DS,2007,1-2-11-2007,1819,NA-SD
CHE,,Lega,2007,1-2-12-2007,1661,LdT
CHE,,Pda/PST,2007,1-2-13-2007,669,PdA
CHE,,Sol,2007,1-2-14-2007,2939,1-perc
CHE,,FGA,2007,1-2-15-2007,2939,1-perc
CHE,,FPS/PSL,2007,1-2-16-2007,2939,1-perc
CHE,,Other Party,2007,1-2-20-2007,1964,etc
CHE,,FDP/PRD,2011,1-2-1-2011,360,FDP
CHE,,CVP/PDC,2011,1-2-2-2011,1808,KK/CVP
CHE,,SP/PS,2011,1-2-3-2011,29,SP
CHE,,SVP/UDC,2011,1-2-4-2011,308,SVP
CHE,,PLS/LPS,2011,1-2-5-2011,2939,1-perc
CHE,,LdU,2011,1-2-6-2011,2939,1-perc
CHE,,EVP/PEP,2011,1-2-7-2011,1123,EVP
CHE,,CSP/PCS,2011,1-2-8-2011,1122,CsP
CHE,,PdA/PdT,2011,1-2-9-2011,669,PdA
CHE,,GLP/Vert,2011,1-2-10-2011,1759,GPL
CHE,,MCG,2011,1-2-11-2011,2939,1-perc
CHE,,Otherleft parties,2011,1-2-12-2011,1964,etc
CHE,,GPS/PES,2011,1-2-13-2011,1006,Grue
CHE,,SD/DS,2011,1-2-15-2011,1819,NA-SD
CHE,,EDU/UDF,2011,1-2-16-2011,631,EDU
CHE,,FPS/PSL,2011,1-2-17-2011,2939,1-perc
CHE,,Lega,2011,1-2-18-2011,1661,LdT
CHE,,BDP,2011,1-2-19-2011,1415,BDP
CHE,,Others,2011,1-2-20-2011,1964,etc
DEU,,SPD,2005,1-3-1-2005,383,SPD
DEU,,CDU,2005,1-3-2-2005,1375,CDU
DEU,,CSU,2005,1-3-3-2005,1731,CSU
DEU,,FDP,2005,1-3-4-2005,573,FDP
