country,name_short,name,year_first,year_last,party_id_1,party_id_2,party_id_3,party_id_4,partyfacts_id
AUS,,Liberal Party of Australia,2007,2013,1-1-1-2007,2-5-2-2013,,,486
AUS,ALP,Australian Labor Party,2007,2013,1-1-2-2007,1-1-1-2010,2-5-1-2013,,424
AUS,,National Party of Australia,2007,2013,1-1-3-2007,2-5-3-2013,,,1743
AUS,,Australian Democrats,2007,2007,1-1-4-2007,,,,990
AUS,,Australian Greens,2007,2013,1-1-5-2007,1-1-2-2010,2-5-4-2013,,1209
AUS,,Pauline Hanson,2007,2007,1-1-6-2007,,,,7012
AUS,,Family First Party,2007,2007,1-1-7-2007,,,,1263
PRT,BE,Bloco de Esquerda,2009,2015,1-10-1-2009,1-10-1-2011,2-16-1-2015,,1310
PRT,CDS,Centro Democrático e Social,2009,2015,1-10-2-2009,1-10-2-2011,2-16-2-2015,,1308
PRT,CDU,,2009,2009,1-10-3-2009,,,,284
PRT,PEV,Partido Ecologista,2011,2011,1-10-3-2011,,,,886
PRT,PSD,Partido Social Democrata,2009,2015,1-10-4-2009,1-10-5-2011,2-16-5-2015,2-16-6-2015,1359
PRT,PCP,Partido Comunista Português,2011,2015,1-10-4-2011,2-16-4-2015,,,310
PRT,PS,Partido Socialista,2009,2015,1-10-5-2009,1-10-6-2011,2-16-7-2015,,655
EST,,Estonian Center Party,2011,2015,1-11-2-2011,2-14-8-2015,,,533
EST,,Estonian Reform Party,2011,2015,1-11-3-2011,2-14-3-2015,,,821
EST,,People,2011,2011,1-11-4-2011,,,,110
EST,,Estonian Christian Democrats,2011,2011,1-11-5-2011,,,,790
EST,,Estonian Greens,2011,2015,1-11-6-2011,2-14-5-2015,,,1040
EST,,Union of Pro Patria and Res Publica,2011,2011,1-11-7-2011,2-14-4-2015,,,685
EST,,Social Democratic Party,2011,2015,1-11-8-2011,2-14-9-2015,,,1150
EST,,Russian Party in Estonia,2011,2011,1-11-9-2011,,,,1975
ISL,,Social Democratic Alliance,2009,2013,1-12-1-2009,2-12-1-2013,,,1396
