dataset_party_id,partyfacts_id
2-11-3-2013,2297
2-11-9-2013,840
2-11-11-2013,594
2-11-6-2013,1636
2-11-2-2013,190
2-11-8-2013,7013
2-11-10-2013,4711
2-11-7-2013,4715
2-11-13-2013,732
2-11-4-2013,3270
2-11-5-2013,819
2-11-12-2013,838
2-11-1-2013,1729
1-1-4-2007,990
1-1-5-2007,1209
1-1-2-2007,424
1-1-7-2007,1263
1-1-1-2007,486
1-1-3-2007,1743
1-1-6-2007,7012
1-14-5-2008,599
1-14-4-2008,463
1-14-6-2008,439
1-14-3-2008,1659
1-14-8-2008,996
1-14-9-2008,605
1-14-2-2008,1329
1-14-1-2008,1384
2-18-19-2014,1753
1-7-14-2007,7015
1-7-3-2007,2338
1-7-11-2007,604
1-7-4-2007,1563
1-7-6-2010,698
1-7-5-2007,191
1-7-17-2007,528
1-7-18-2007,43
1-7-2-2007,789
1-7-12-2007,36
1-7-15-2007,49
1-7-19-2010,639
1-7-1-2007,500
2-18-1-2014,1753
1-7-13-2007,1680
1-7-16-2007,1968
2-3-5-2015,1428
2-3-1-2015,1004
2-3-4-2015,931
1-9-1-2008,1739
1-9-2-2008,152
2-17-18-2017,7020
2-17-25-2017,7022
2-17-27-2017,7023
2-17-12-2017,812
2-17-7-2017,162
2-17-2-2017,390
2-17-9-2017,7016
2-17-20-2017,7021
2-17-8-2017,209
2-17-11-2017,7018
2-17-16-2017,7019
2-17-3-2017,54
2-17-10-2017,7017
2-17-6-2017,437
2-17-13-2017,1748
2-17-5-2017,6
2-17-1-2017,928
2-17-24-2017,6911
2-17-4-2017,1599
1-18-1-2006,177
1-18-2-2006,676
1-18-3-2006,1728
1-18-4-2006,466
1-18-5-2006,1554
1-16-15-2011,800
1-16-5-2011,53
1-16-8-2011,536
1-16-9-2011,1022
1-16-16-2011,1134
1-16-11-2011,1136
1-16-6-2011,212
1-16-7-2011,1914
1-16-13-2011,1601
1-16-1-2011,1527
1-16-3-2011,379
1-16-2-2011,329
1-16-4-2011,1507
2-14-2-2015,4094
2-14-7-2015,3271
1-11-2-2011,533
1-11-5-2011,790
1-11-6-2011,1040
