"country","party_id","party_abbrev","party_name","party_name_english","country_iso3","cmp_id","electionyear","vote","year_first","year_last"
"BE",102,"PS","Parti Socialiste","Socialist Party","BEL",21322,2010,13.7,1999,2014
"BE",103,"SP; SPA","Socialistische Partij; Socialistische Partij Anders","Socialist Party; Socialist Party Diﬀerent","BEL",21321,2003,14.9,1999,2014
"BE",104,"ECOLO","Ecolo","Ecolo","BEL",21111,1999,7.3,1999,2014
"BE",105,"AGALEV; Groen","Agalev; Groen!","Agalev; Green!","BEL",21112,1999,7,1999,2014
"BE",106,"PRL; MR","Parti Réformateur Libéral; Mouvement Réformateur","Liberal Reformist Party; Reformist Movement","BEL",21426,2003,11.4,1999,2014
"BE",107,"VLD","Open Vlaamse Liberalen en Democraten","Open Flemish Liberals and Democrats","BEL",21421,2003,15.4,1999,2014
"BE",108,"PSC; CDH","Parti Social Chrétien; Centre Démocrate Humaniste","Christian Social Party; Humanist Democratic Centre","BEL",21522,1999,5.9,1999,2014
"BE",109,"CVP; CD&V","Christelijke Volkspartij; Christen-Democratisch & Vlaams","Christian People’s Party; Christian Democratic & Flemish","BEL",21521,1999,14.1,1999,2014
"BE",110,"VU; NVA","Volksunie; Nieuw-Vlaamse Alliantie","People’s Union; New Flemish Alliance","BEL",21916,2014,20.3,1999,2014
"BE",111,"FDF","Front Démocratique des Francophones","Francophone Democratic Front","BEL",21912,1999,2.4,1999,2014
"BE",112,"VB","Vlaams Blok; Vlaams Belang","Flemish Bloc; Flemish Interest","BEL",21917,2003,11.6,1999,2014
"BE",113,"MCC","Mouvement des Citoyens pour le Changement","Citizens’ Movement for Change","BEL",,,,2014,2014
"BE",114,"ID21","ID21","ID21","BEL",,,,2014,2014
"BE",115,"FN","Front National","National Front","BEL",,1999,1.5,1999,2010
"BE",117,"LDD","Lijst Dedecker","List Dedecker","BEL",21430,2010,2.3,2010,2010
"BE",118,"SLP; Spirit","Sociaal-Liberale Partij; Spirit","Social-Liberal Party; Spirit","BEL",,2010,0.1,2010,2010
"BE",119,"PVDA","Partij van de Arbeid van België","Workers’ Party of Belgium","BEL",,2014,3.7,2010,2014
"BE",120,"PP","Parti Populaire","People’s Party","BEL",,2014,1.5,2014,2014
"DK",201,"SD","Socialdemokraterne","Social Democrats","DNK",13320,1998,35.9,1999,2014
"DK",202,"RV","Det Radikale Venstre","Radical Left-Social Liberal Party","DNK",13410,2011,9.4,1999,2014
"DK",203,"KF","Det Konservative Folksparti","Conservative People’s Party","DNK",13620,2007,10.4,1999,2014
"DK",204,"CD","Centrum-Demokraterne","Centre Democrats","DNK",13330,1998,4.3,1999,1999
"DK",206,"SF","Socialistisk Folkeparti","Socialist People’s Party","DNK",13230,2007,13,1999,2014
"DK",210,"KRF","Kristeligt Folkeparti","Christian People’s Party","DNK",13520,1998,2.4,1999,1999
"DK",211,"V","Venstre, Danmarks Liberale Parti","Venstre, Liberal Party of Denmark","DNK",13420,2001,31.3,1999,2014
"DK",212,"FP","Fremskridtspartiet","Progress Party","DNK",13951,1998,2.4,1999,1999
"DK",213,"EL","Enhedslisten","Unity List-Red / Green Alliance","DNK",13229,2011,6.6,1999,2014
"DK",215,"DF","Dansk Folkeparti","Danish People’s Party","DNK",13720,2007,13.9,1999,2014
"DK",216,"JuniB","JuniBevægelsen","June Movement","DNK",,,,2014,2014
"DK",217,"FolkB","Folkebevægelsen mod EU","People’s Movement Against the EU","DNK",,,,2014,2014
"DK",218,"LA","Liberal Alliance","Liberal Alliance","DNK",13001,2011,4.9,2010,2014
"GE",301,"CDU","Christlich Demokratische Union Deutschlands","Christian Democratic Union of Germany","DEU",41521,2013,34.1,1999,2014
"GE",302,"SPD","Sozialdemokratische Partei Deutschlands","Social Democratic Party of Germany","DEU",41320,1998,40.9,1999,2014
"GE",303,"FDP","Freie Demokratische Partei","Free Democratic Party","DEU",41420,2009,14.6,1999,2014
"GE",304,"Grunen","Bündnis ’90; Die Grünen","Alliance 90; The Greens","DEU",41113,2009,10.7,1999,2014
"GE",305,"REP","Republikaner","Republikaner","DEU",,1998,1.8,1999,1999
