country,party_id,party_abbrev,party_name,party_name_english
GER,301,CDU,Christlich Democratische Union Deutschlands,Christian Democratic Union of Germany
GER,302,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
GER,303,FDP,Freie Demokratische Partei,Free Democratic Party
GER,304,Grunen,Bündnis ’90; Die Grünen,Alliance 90; The Greens
GER,306,Linke,Die Linke,The Left
GER,308,CSU,Christlich Soziale Union in Bayern,Christian Social Union in Bavaria
GER,310,AfD,Alternative für Deutschland,Alternative for Germany
GER,350,LKR,Liberal-Konservative Reformer,Liberal Conservative Party
GER,351,BLAU,Die Blaue Partei,The Blue Party
GR,401,PASOK,Panellinio Sosialistikó Kínima,Panhellenic Socialist Movement
GR,402,ND,Néa Dimokratía,New Democracy
GR,403,SYRIZA,Synaspismó’s Rizospastikís Aristerás,Coalition of the Radical Left
GR,404,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece
GR,412,ANEL,Anexartitoi Ellines,Independent Greeks
GR,413,Potami,To Potami,The River
GR,414,DIMAR,Dimokratiki Aristera,Democratic Left
GR,415,XA,Laïkós Sýndesmos—Chrysí Avgí,Popular Association- Golden Dawn
GR,450,EK,Enosi Kentroon,Union of Centrists
ESP,501,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party
ESP,502,PP,Partido Popular,People’s Party
ESP,504,IU,Izquierda Unida,United Left
ESP,506,EAJ/PNV,Euzko Alderdi Jeltzalea/ Partido Nacionalista Vasco,Basque Nationalist Party
ESP,507,EA/EH BILDU,Eusko Alkartasuna/ Euskal Herria Bildu,Basque Solidarity/Basque Country Unite
ESP,511,ERC-CatSI,Esquerra Republicana de Catalunya,Republican Left of Catalonia
ESP,517,CC,Coalición Canaria,Coalición Canaria
ESP,525,Podemos,Podemos,We Can
ESP,526,C’s,Ciudadanos- Partido de la Ciudadanía,Citizens- Party of the Citizenry
ESP,550,CDC/PDeCAT,Convergència Democràtica de Catalunya/ Partit Demòcrata Europeu Català,Democratic Convergence of Catalonia/ Catalan European Democratic Party
FR,601,PCF,Parti Communiste Français,French Communist Party
FR,602,PS,Parti Socialiste,Socialist Party
FR,605,EELV,Europe Ecologie Les Verts,Europe Ecology—The Greens
FR,609,LR,Les Républicains,The Republicans
FR,610,FN,Front National,National Front
FR,613,MODEM,Mouvement Démocrate,Democratic Movement
FR,621,NC,Nouveau Centre,New Center
FR,626,LREM,La République en Marche,The Republic on the Move
FR,627,Insoumis,La France Insoumise,France Unbowed
FR,628,DLF,Debout la France,France Arise
IT,811,LN,Lega Nord,Northern League
IT,814,UDC,Unione de Centro,Union of the Centre
IT,815,FI,Forza Italia,Forward Italy
IT,827,SVP,Südtiroler Volkspartei,South Tyrolean People’s Party
IT,837,PD,Partido Democratico,Democratic Party
IT,843,CD,Centro Democratico—Diritti e Libertá,Democratic Centre
IT,844,FdI,Fratelli d’Italia,Brothers of Italy
IT,845,M5S,Movimento Cinque Stelle,Five Star Movement
IT,847,VdA,Vallée d’Aoste,Aosta Valley
IT,850,SI,Sinistra Italiana,Italian Left
IT,851,MDP,Progressista,Democratic and Progressive Movement
IT,852,AP,Alternative Popolare,Popular Alternative
NL,1001,CDA,Christen-Democratisch Appel,Christian Democratic Appeal
NL,1002,PvdA,Partij van de Arbeid,Labour Party
NL,1003,VVD,Volkspartij voor Vrijheid en Demokratie,People’s Party for Freedom and Democracy
NL,1004,D66,Democraten 66,Democrats 66
NL,1005,GL,GroenLinks,GreenLeft
NL,1006,SGP,Staatkundig Gereformeerde Partij,Political Reformed Party
NL,1014,SP,Socialistische Partij,Socialist Party
NL,1016,CU,ChristenUnie,Christian Union
NL,1017,PVV,Partij voor de Vrijheid,Party for Freedom
NL,1018,PvdD,Partij voor de Dieren,Party for the Animals
NL,1020,50PLUS,50PLUS,50PLUS
NL,1050,Denk,Denk,Think/Equality
NL,1051,FvD,Forum voor Democratie,Forum for Democracy
UK,1101,Cons,Conservative Party,Conservative Party
UK,1102,Lab,Labour Party,Labour Party
UK,1104,LibDem,Liberal Democratic Party,Liberal Democratic Party
UK,1105,SNP,Scottish National Party,Scottish National Party
UK,1106,Plaid,Plaid Cymru,Party of Wales
UK,1107,Greens,Green Party,Green Party
UK,1108,UKIP,UK Independence Party,UK Independence Party
