name,name_english,party_id,name_short
Parti Socialiste,SocialistParty,102,PS
Socialistische Partij Anders,SocialistParty Differently,103,SPA
Ecolo,Ecolo,104,ECOLO
Groen,Green,105,Groen
Mouvement Réformateur,ReformistMovement,106,MR
Open Vlaamse Liberalen en Democraten,OpenFlemish Liberals and Democrats,107,VLD
Centre Démocrate Humaniste,HumanistDemocratic Centre,108,cdH
Christen-Democratisch en Vlaams,ChristianDemocratic and Flemish,109,CD&V
Nieuw-Vlaamse Alliantie,NewFlemish Alliance,110,NVA
Vlaams Belang,FlemishInterest,112,VB
Partij van de Arbeid van België - Parti du Travail de Belgique,Workers’Party of Belgium,119,PVDA-PTB
Socialdemokraterne,SocialDemocracy,201,SD
Det Radikale Venstre,RadicalLeft-Social Liberal Party,202,RV
Det Konservative Folkeparti,ConservativePeople’s Party,203,KF
Socialistisk Folkeparti,SocialistPeople’s Party,206,SF
"Venstre, Danmarks Liberale Parti Venstre",LiberalParty of Denmark,211,V
Enhedslisten—De Rød-Grønne,UnityList/Red-Green Alliance,213,EL
Dansk Folkeparti,DanishPeople’s Party,215,DF
Liberal Alliance,LiberalAlliance,218,LA
Alternativet,TheAlternative,219,A
Nye Borgerlige,TheNew Right,220,NB
Christlich Demokratische Union Deutschlands,ChristianDemocratic Union of Germany,301,CDU
Sozialdemokratische Partei Deutschlands,SocialDemocratic Party of Germany,302,SPD
Freie Demokratische Partei,FreeDemocratic Party,303,FDP
Bündnis 90/Die Grünen,Alliance’90/The Greens,304,Grunen
Die Linke,TheLeft,306,Linke
Christlich Soziale Union in Bayern,ChristianSocial Union in Bavaria,308,CSU
Alternative für Deutschland,Alternativefor Germany,310,AfD
Piratenpartei Deutschland,PirateParty of Germany,311,Piraten
Mensch Umwelt Tierschutz,HumanEnvironment Animal Protection,312,DieTier
Panellinio Sosialistikó Kínima,PanhellenicSocialist Movement,401,PASOK
Néa Dimokratía,NewDemocracy,402,ND
Synaspismós Rizospastikís Aristerás,Coalitionof the Radical Left,403,SYRIZA
Kommounistikó Kómma Elládas,CommunistParty of Greece,404,KKE
Laïkós Sýndesmos—Chrysí Avgí,PopularAssociation—Golden Dawn,415,XA
Elliniki Lisi,GreekSolution,416,EL
Métopo Evropaikís Realistikís Anypakoís,EuropeanRealistic Disobedience Front [MeRa25],417,MR25
Kinima Dimokraton Sosialiston,Movementof Democratic Socialists,418,KIDISO
Partido Socialista Obrero Español,SpanishSocialist Workers’ Party,501,PSOE
Partido Popular,People’sParty,502,PPP
Izquierda Unida,UnitedLeft,504,IU
Partido Nacionalista Vasco,BasqueNationalist Party,506,PNV
Esquerra Republicana de Catalunya,RepublicanLeft of Catalonia,511,ERC
Bloque Nacionalista Galego,GalicianNationalist Bloc,513,BNG
Coalición Canaria,CanarianCoalition,517,CC
Euskal Herria Bildu,BasqueCountry Unite/Gather,524,EHB
Podemos Unidas,PodemosWe Can,525,Podemos
Ciudadanos—Partido de la Ciudadanía,Citizens—Partyof the Citizenry,526,Cs
Vox,Voice(Latin),527,Vox
Más Pais,MoreCountry,528,Pais
Partit Demócrata Europeu Catalá (Junts per Cataluyna),CatalanEuropean Democratic Party (Together for Catalonia partner),550,PdeCat
Parti Communiste Français,FrenchCommunist Party,601,PCF
Parti Socialiste,SocialistParty,602,PS
Europe Écologie Les Verts,EuropeEcology—The Greens,605,EELV
Les Républicains,TheRepublicans,609,LR
Rassemblement national,NationalRally,610,RN
Mouvement Démocrate,DemocraticMovement,613,MoDem
La République En Marche,TheRepublic Forward,626,LREM
La France Insourmise,UnbowedFrance,627,FI
Debout la France,FranceArise,628,DLF
Fianna Fáil,Soldiersof Destiny,701,FF
Fine Gael,Familyof the Irish,702,FG
Páirti Lucht,OibreLabour,703,Lab
Comhaontas Glas,GreenParty,705,GP
Sinn Féin,WeOurselves,707,SF
Dlúthphairtíocht–Pobal Roimh Bhrabús,Solidarity—PeopleBefore Profit,709,S-PBP
Daonlathaigh Shóisialta,SocialDemocrats,710,DS
Independents for Change,Independentsfor Change,711,I4C
Renua Ireland,RenuaIreland,712,RI
Lega Nord,NorthernLeague,811,LN
Radicali Italiani,ItalianRadicals,813,RI
Forza Italia,ForwardItaly,815,FI
Südtiroler Volkspartei,SouthTyrolean People’s Party,827,SVP
Partito Democratico,DemocraticParty,837,PD
Sinistra Italiana,ItalianLeft—Left Ecology Freedom,838,SI
Fratelli d’Italia,Brothersof Italy,843,FdI
MoVimento Cinque Stelle,FiveStar Movement,845,M5S
Christen-Democratisch Appél,ChristianDemocratic Appeal,1001,CDA
Partij van de Arbeid,LabourParty,1002,PvdA
Volkspartij voor Vrijheid en Democratie,People’sParty for Freedom and Democracy,1003,VVD
Democraten 66,Democrats66,1004,D66
GroenLinks,GreenLeft,1005,GL
Staatkundig Gereformeerde Partij,ReformedPolitical Party,1006,SGP
Socialistische Partij,SocialistParty,1014,SP
ChristenUnie,ChristianUnion,1016,CU
Partij voor de Vrijheid,Partyfor Freedom,1017,PVV
Partij voor de Dieren,Partyfor the Animals,1018,PvdD
50PLUS,50PLUS,1020,50PLUS
Beweging DENK,Think,1050,DENK
Forum voor Democratie,Forumfor Democracy,1051,FvD
Conservative Party,ConservativeParty,1101,Cons
Labour Party,LabourParty,1102,Lab
Liberal Democratic Party,LiberalDemocratic Party,1104,LibDem
Scottish National Party,ScottishNational Party,1105,SNP
Plaid Cymru,Partyof Wales,1106,Plaid
Green Party,GreenParty,1107,Green
United Kingdom Independence Party,UnitedKingdom Independence Party,1108,UKIP
Brexit Party,BrexitParty,1110,Brexit
Coligação Democrática Unitária,DemocraticUnitarian Coalition,1201,CDU
Centro Democrático e Social—Partido,PopularCDS—People’s Party,1202,CDS-PP
Partido Socialista,SocialistParty,1205,PS
Partido Social Democrata,SocialDemocratic Party,1206,PSD
Bloco de Esquerda,LeftBloc,1208,BE
Partido Comunista Português,PortugueseCommunist Party,1210,PCP
Partido Ecologista “Os Verdes�,�Ecologist Party “The Greens”,1211,PEV
Pessosas—Animais—Natureza,People—Animals—Nature,1250,PAN
