countrycode,countryshort,countryname,party_id,party_short,party_name,party_name_english,file
1,BEL,Belgium,102,PS,Parti Socialiste,Socialist Party,1999-2019_CHES_codebook
1,BEL,Belgium,103,SP; SPA,Socialistische Partij; Socialistische Partij  Anders,Socialist Party; Socialist Party Differently,1999-2019_CHES_codebook
1,BEL,Belgium,104,ECOLO,Ecolo,Ecolo,1999-2019_CHES_codebook
1,BEL,Belgium,105,AGALEV; Groen,Agalev; Groen!,Agalev; Green!,1999-2019_CHES_codebook
1,BEL,Belgium,106,PRL; MR,Parti Reformateur Liberal; Mouvement Reformateur,Liberal Reformist Party; Reformist Movement,1999-2019_CHES_codebook
1,BEL,Belgium,107,VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats,1999-2019_CHES_codebook
1,BEL,Belgium,108,PSC; CDH,Parti Social Chretien; Centre Democrate Humaniste,Christian Social Party; Humanist Democratic Centre,1999-2019_CHES_codebook
1,BEL,Belgium,109,CVP; CD&V,Christelijke  Volkspartij; Christen-Democratisch en Vlaams,Christian Peoples Party; Christian Democratic & Flemish,1999-2019_CHES_codebook
1,BEL,Belgium,110,VU; NVA,Volksunie; Nieuw-Vlaamse Alliantie,Peoples Union; New Flemish Alliance,1999-2019_CHES_codebook
1,BEL,Belgium,111,FDF,Front Democratique des Francophones,Francophone Democratic Front,1999-2019_CHES_codebook
1,BEL,Belgium,112,VB,Vlaams Blok; Vlaams Belang,Flemish Bloc; Flemish Interest,1999-2019_CHES_codebook
1,BEL,Belgium,113,MCC,Mouvement des Citoyens pour le Changement,Citizens Movement for Change,1999-2019_CHES_codebook
1,BEL,Belgium,114,ID21,ID21,ID21,1999-2019_CHES_codebook
1,BEL,Belgium,115,FN,Front National,National  Front,1999-2019_CHES_codebook
1,BEL,Belgium,117,LDD,Lijst Dedecker,List Dedecker,1999-2019_CHES_codebook
1,BEL,Belgium,118,SLP; Spirit,Sociaal-Liberale Partij; Spirit,Social-Liberal Party; Spirit,1999-2019_CHES_codebook
1,BEL,Belgium,119,PVDA;PVDA-PTB,Partij van de Arbeid van Belgie; Parti du Travail de Belgique,Workers Party of Belgiwn,1999-2019_CHES_codebook
1,BEL,Belgium,120,PP,Parti Populaire,Peoples Party,1999-2019_CHES_codebook
2,DNK,Denmark,201,SD,Socialdemokraterne,Social Democrats,1999-2019_CHES_codebook
2,DNK,Denmark,202,RV,Det Radikale Venstre,Radical Left-Social Liberal Party,1999-2019_CHES_codebook
2,DNK,Denmark,203,KF,Det Konservative Folksparti,Conservative Peoples Party,1999-2019_CHES_codebook
2,DNK,Denmark,204,CD,Centrum-Demokraterne,Centre Democrats,1999-2019_CHES_codebook
2,DNK,Denmark,206,SF,Socialistisk Folkeparti,Socialist Peoples Party,1999-2019_CHES_codebook
2,DNK,Denmark,210,KRF,Kristeligt Folkeparti,Christian Peoples Party,1999-2019_CHES_codebook
2,DNK,Denmark,211,V,"Venstre, Danmarks Liberale Parti","Venstre, Liberal Party of Denmark",1999-2019_CHES_codebook
2,DNK,Denmark,212,FP,Fremskridtspartiet,Progress Party,1999-2019_CHES_codebook
2,DNK,Denmark,213,EL,Enhedslisten-De Rod-Gron,Unity List-Red/Green Alliance,1999-2019_CHES_codebook
2,DNK,Denmark,215,DF,Dansk Folkeparti,Danish Peoples Party,1999-2019_CHES_codebook
2,DNK,Denmark,216,juniB,juniBevregelsen,june Movement,1999-2019_CHES_codebook
2,DNK,Denmark,217,FolkB,Folkebevregelsen mod EU,Peoples Movement Against the EU,1999-2019_CHES_codebook
2,DNK,Denmark,218,LA,Liberal Alliance,Liberal Alliance,1999-2019_CHES_codebook
2,DNK,Denmark,219,A,Alternativet,The Alternative,1999-2019_CHES_codebook
2,DNK,Denmark,220,NB,Nye Borgerlige,The New Right,1999-2019_CHES_codebook
3,DEU,Germany,301,CDU,Christlich Demokratische Union Deutschlands,Christian Democratic Union of Germany,1999-2019_CHES_codebook
3,DEU,Germany,302,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1999-2019_CHES_codebook
3,DEU,Germany,303,FDP,Freie Demokratische Partei,Free Democratic Party,1999-2019_CHES_codebook
3,DEU,Germany,304,Grunen,Bundnis 90; Die Grunen,Alliance 90; The Greens,1999-2019_CHES_codebook
3,DEU,Germany,305,REP,Republikaner,Republikaner,1999-2019_CHES_codebook
3,DEU,Germany,308,CSU,Christlich Soziale Union in Bayern,Christian Social Union in Bavaria,1999-2019_CHES_codebook
3,DEU,Germany,310,AfD,Alternative fur Deutschland,Alternative for Germany,1999-2019_CHES_codebook
3,DEU,Germany,309,DVU; NPD,Deutsche Volksunion; Nationaldemokratische Partei Deutschlands,German Peoples Union; National Democratic Party of Germany,1999-2019_CHES_codebook
3,DEU,Germany,311,Piraten,Piratenpartei Deutschland,Pirate Party of Germany,1999-2019_CHES_codebook
3,DEU,Germany,312,DieTier,Mensch Umwelt Tierschutz,Human Environment  Animal Protection,1999-2019_CHES_codebook
4,GRC,Greece,401,PASOK,Panellinio Sosialistiko Kinima,Panhellenic Socialist Movement,1999-2019_CHES_codebook
4,GRC,Greece,402,ND,Nea Dimokratia,New Democracy,1999-2019_CHES_codebook
4,GRC,Greece,403,SYN; SYRIZA,Synaspismos tis Aristeras kai tis Proodou; Synaspismos Rizospastikis Aristeras,Coalition of the Left and Progress; Coalition of the Radical Left ,1999-2019_CHES_codebook
4,GRC,Greece,404,KKE,Kommounistiko Komma Elladas,Communist Party of Greece,1999-2019_CHES_codebook
4,GRC,Greece,408,POLA,Politiki Anixi,Political Spring,1999-2019_CHES_codebook
4,GRC,Greece,409,DIKKI,Dimokratiko Kinoniko Kinima,Democratic Social Movement,1999-2019_CHES_codebook
4,GRC,Greece,410,LAOS,Laikos Orthodoxos Synagermos,Popular Orthodox Rally,1999-2019_CHES_codebook
4,GRC,Greece,411,OP,Oikologoi Prasinoi,Ecologist Greens,1999-2019_CHES_codebook
4,GRC,Greece,412,ANEL,Anexartitoi Ellines,Independent  Greeks,1999-2019_CHES_codebook
4,GRC,Greece,413,Potami,To Potami,The River,1999-2019_CHES_codebook
