"country","party_id","party","cmp_id","electionyear","vote","year_first","year_last"
"BE",102,"PS",21322,2010,13.7,1999,2014
"BE",103,"SPA",21321,2003,14.9,1999,2014
"BE",104,"ECOLO",21111,1999,7.3,1999,2014
"BE",105,"AGALEV",21112,1999,7,1999,2014
"BE",106,"MR",21426,2003,11.4,1999,2014
"BE",107,"VLD",21421,2003,15.4,1999,2014
"BE",108,"PSC",21522,1999,5.9,1999,2014
"BE",109,"CVP",21521,1999,14.1,1999,2014
"BE",110,"NVA",21916,2014,20.3,1999,2014
"BE",111,"FDF",21912,1999,2.4,1999,2014
"BE",112,"VB",21917,2003,11.6,1999,2014
"BE",115,"FN",,1999,1.5,1999,2010
"BE",117,"LDD",21430,2010,2.3,2010,2010
"BE",118,"Spirit",,2010,0.1,2010,2010
"BE",119,"PVDA",,2014,3.7,2010,2014
"BE",120,"PP",,2014,1.5,2014,2014
"DK",201,"SD",13320,1998,35.9,1999,2014
"DK",202,"RV",13410,2011,9.4,1999,2014
"DK",203,"KF",13620,2007,10.4,1999,2014
"DK",204,"CD",13330,1998,4.3,1999,1999
"DK",206,"SF",13230,2007,13,1999,2014
"DK",210,"KRF",13520,1998,2.4,1999,1999
"DK",211,"V",13420,2001,31.3,1999,2014
"DK",212,"FP",13951,1998,2.4,1999,1999
"DK",213,"EL",13229,2011,6.6,1999,2014
"DK",215,"DF",13720,2007,13.9,1999,2014
"DK",218,"LA",13001,2011,4.9,2010,2014
"GE",301,"CDU",41521,2013,34.1,1999,2014
"GE",302,"SPD",41320,1998,40.9,1999,2014
"GE",303,"FDP",41420,2009,14.6,1999,2014
"GE",304,"Grunen",41113,2009,10.7,1999,2014
"GE",305,"REP",,1998,1.8,1999,1999
"GE",306,"LINKE",41223,2009,11.9,1999,2014
"GE",308,"CSU",,2002,9,1999,2014
"GE",309,"NPD",,2013,1.3,1999,2014
"GE",310,"AfD",41953,2013,4.7,2014,2014
"GE",311,"Piraten",41952,2013,2.2,2014,2014
"GE",312,"DieTier",,2013,0.3,2014,2014
"GR",401,"PASOK",34313,2009,43.9,1999,2014
"GR",402,"ND",34511,2004,45.4,1999,2014
"GR",403,"SYRIZA",34020,2012,26.9,1999,2014
"GR",404,"KKE",34210,2009,7.5,1999,2014
"GR",408,"POLA",34512,1996,2.9,1999,1999
"GR",409,"DIKKI",34314,1996,4.4,1999,2010
"GR",410,"LAOS",34710,2009,5.6,2006,2014
"GR",411,"OP",,2009,2.5,2010,2010
"GR",412,"ANEL",34730,2012,7.5,2014,2014
"GR",414,"DIMAR",34213,2012,6.3,2014,2014
"GR",415,"XA",34720,2012,6.9,2014,2014
"ESP",501,"PSOE",33320,2008,43.7,1999,2014
"ESP",502,"PP",33610,2000,44.6,1999,2014
"ESP",504,"IU",33220,1996,10.5,1999,2014
"ESP",505,"CiU",33611,1996,4.6,1999,2014
"ESP",506,"PNV",33902,2004,1.6,1999,2014
"ESP",507,"EA",33903,1996,0.5,1999,2014
"ESP",508,"EH",,1996,0.7,1999,1999
"ESP",510,"PAR",33904,1996,0.2,1999,1999
"ESP",511,"ERC",33905,2004,2.5,1999,2014
"ESP",512,"UV",,1996,0.4,1999,1999
"ESP",513,"BNG",33908,2000,1.3,1999,2014
"ESP",514,"VERDE",,1996,0.2,1999,1999
"ESP",516,"PA",33906,2000,0.9,2002,2002
"ESP",517,"CC",33907,2000,1.1,1999,2014
"ESP",518,"ICV",,2011,1.3,1999,2014
"ESP",520,"CHA",33909,2004,0.4,2006,2010
"ESP",523,"UPyD",33440,2011,4.8,2010,2014
"ESP",524,"Amaiur",33092,2011,1.2,2014,2014
"FR",601,"PCF",31220,1997,9.9,1999,2014
"FR",602,"PS",31320,2012,29.4,1999,2014
"FR",603,"PRG",31230,2007,3.4,1999,2014
"FR",605,"EELV",31110,2012,5.5,1999,2014
"FR",609,"UMP",31626,2007,40.3,1999,2014
"FR",610,"FN",31720,1997,14.9,1999,2014
"FR",612,"RPF",,1997,2.4,1999,2014
"FR",613,"UDF",31624,1997,14.7,1999,2014
"FR",615,"DL",,2002,0.4,1999,2002
"FR",621,"NC",31630,2012,2.2,2010,2014
"FR",622,"PRV",31421,2012,1.2,2014,2014
"FR",623,"AC",31631,2012,0.6,2014,2014
"FR",624,"PG",,2012,0.7,2014,2014
"IRL",701,"FF",53620,2007,41.6,1999,2014
"IRL",702,"FG",53520,2011,36.1,1999,2014
"IRL",703,"Lab",53320,2011,19.5,1999,2014
"IRL",705,"GP",53110,2007,4.7,1999,2014
"IRL",706,"PD",53420,1997,4.7,1999,2006
"IRL",707,"SF",53951,2011,9.9,1999,2014
"IRL",708,"SP",53230,2011,1.2,1999,2014
"IRL",709,"PBPA",,2011,1,2014,2014
"IT",802,"PDS",32220,1996,21.1,1999,2006
"IT",803,"RC",32212,1996,8.6,1999,2014
"IT",805,"AN",32710,1996,15.7,1999,2010
"IT",806,"PRI",,1996,1.7,1999,1999
"IT",807,"SDI",,2006,1.5,1999,2006
"IT",808,"FdV",32110,1996,2.5,1999,2010
"IT",811,"LN",32720,1996,10.1,1999,2014
"IT",813,"RAD",,2006,1.1,2006,2006
"IT",814,"UDC",32530,2006,6.8,1999,2014
"IT",815,"PDL",32061,2008,38.2,1999,2014
"IT",817,"UD",,1996,1.7,1999,1999
"IT",818,"CDU",,1996,2.9,1999,2002
"IT",819,"DL",,2006,10.9,1999,2006
"IT",821,"MS",,1996,0.9,1999,1999
"IT",823,"PPI",32520,2001,4.6,1999,2002
"IT",824,"PsDA",,1996,0.7,1999,1999
"IT",825,"RI",32321,1996,4.3,1999,2002
"IT",827,"SVP",32904,1996,1.7,1999,2014
"IT",828,"IdV",32902,2008,4.5,2002,2010
"IT",829,"UDEUR",32953,2006,1.4,2002,2006
"IT",830,"PP",,2006,0.9,2006,2006
