countryshort,party_id,party,year_first,year_last,partyfacts_id
BEL,115,FN,1999,2010,191
BEL,109,CVP,1999,2023,604
BEL,107,PVV/VLD,1999,2023,49
BEL,106,PRL,1999,2023,789
BEL,110,VU,1999,2023,36
BEL,111,FDF,1999,2014,698
BEL,103,SP,1999,2023,1680
BEL,113,MCC,1999,1999,791
BEL,114,ID21,1999,1999,2609
BEL,108,PSC,1999,2023,633
BEL,102,PS,1999,2023,500
BEL,105,AGALEV,1999,2023,528
BEL,112,VB,1999,2023,553
BEL,104,ECOLO,1999,2023,1563
BEL,117,LDD,2010,2010,43
BEL,119,PVDA,2010,2023,1753
BEL,118,Spirit,2010,2010,7015
BEL,120,PP,2014,2014,639
DNK,213,EL,1999,2023,1527
DNK,211,V,1999,2023,1204
DNK,204,CD,1999,1999,800
DNK,212,FP,1999,1999,1601
DNK,210,KRF,1999,1999,53
DNK,206,SF,1999,2023,329
DNK,201,SD,1999,2023,379
DNK,215,DF,1999,2023,1022
DNK,203,KF,1999,2023,536
DNK,216,JuniB,1999,2006,1421
DNK,217,FolkB,1999,2014,333
DNK,202,RV,1999,2023,1507
DNK,218,LA,2010,2023,212
DNK,220,NB,2019,2023,7339
DNK,219,A,2019,2023,4070
DEU,309,DVU,1999,2014,695
DEU,301,CDU,1999,2023,1375
DEU,302,SPD,1999,2023,383
DEU,306,PDS,1999,2023,1545
DEU,305,REP,1999,1999,720
DEU,304,Grunen,1999,2023,1816
DEU,308,CSU,1999,2023,1731
DEU,303,FDP,1999,2023,573
DEU,310,AfD,2014,2023,1976
DEU,312,DieTier,2014,2020,749
DEU,311,Piraten,2014,2020,1287
GRC,401,PASOK,1999,2023,1468
GRC,408,POLA,1999,1999,312
GRC,409,DIKKI,1999,2010,1682
GRC,404,KKE,1999,2023,48
GRC,403,SYN,1999,2023,301
GRC,402,ND,1999,2023,794
GRC,410,LAOS,2006,2014,965
GRC,411,OP,2010,2010,378
GRC,414,DIMAR,2014,2017,1160
GRC,415,XA,2014,2023,1660
GRC,413,Potami,2014,2017,3118
GRC,412,ANEL,2014,2017,1651
GRC,417,MR25,2019,2023,7348
GRC,418,KIDISO,2019,2023,3212
GRC,416,EL,2019,2023,7347
ESP,502,PP,1999,2023,441
ESP,519,PSC,1999,1999,1687
ESP,507,EA,1999,2017,1324
ESP,517,CC,1999,2023,81
