statename,party,chisols_first
Afghanistan,Barakzay Dynasty,1929 Inayatullah Khan (Barakzay Dynasty)
Afghanistan,HDK,1978 Taraki (HDK)
Afghanistan,JIA,1992 Burhanuddin Rabbani (JIA)
Afghanistan,JNM,1992 Mojadidi (JNM)
Afghanistan,Non-party,2001 Hamid Karzai (Non-party)
Afghanistan,"Non-party, NRP","1973 Daud (Non-party, NRP)"
Afghanistan,Tal,1996 Mullah Omar (Tal)
Afghanistan,unknown,1929 Habibullah Ghazi (unknown)
Albania,Mati,1925 Zogu (Mati)
Albania,PDS,1992 Berisha (PDS)
Albania,PPS,1944 Hoxha (PPS)
Albania,PSS,1997 Fatos Nano (PSS)
Albania,unknown,1920 Delvina (unknown)
Algeria,Mil,1962 Ben Khedda (Mil)
Angola,MPLA-PT,1975 Neto (MPLA-PT)
Argentina,CC,1932 Justo (CC)
Argentina,FJL,1973 Campora (FJL)
Argentina,Mil,1930 Uriburu (Mil)
Argentina,PJ,1973 Peron (PJ)
Argentina,UCR,1922 Alvear (UCR)
Argentina,UCRI,1958 Frondizi (UCRI)
Argentina,UCRP,1963 Illia (UCRP)
Armenia,HHK,2008 Sarkisyan (HHK)
Armenia,Non-party,1998 Kocharyan (Non-party)
Australia,ACP,1939 Page (ACP)
Australia,ALP,1929 Scullin (ALP)
Australia,CNT,1967 McEwen (CNT)
Australia,LP,1949 Menzies (LP)
Australia,NP,1923 Bruce (NP)
Australia,"UAP, UAP","1932 Lyons (UAP, UAP)"
Austria,CS,1920 Mayr (CS)
Austria,Non-party,1921 Schober (Non-party)
Austria,OVP,1961 Gorbach (OVP)
Austria,SPO,1970 Kreisky (SPO)
Austria,VF,1934 Schuschnigg (VF)
Azerbaijan,AKC,1992 Gambarov (AKC)
Azerbaijan,Non-party,1992 Mamedov (Non-party)
Azerbaijan,YAP,1993 H. Aliyev (YAP)
Bahrain,Al-Khalifa Dynasty,1971 Isa Ibn Al-Khalifah (Al-Khalifa Dynasty)
Bangladesh,BAL,1972 Rahman (BAL)
Bangladesh,BJD,1981 Sattar (BJD)
Bangladesh,Mil,2007 Fakhruddin Ahmed (Mil)
Bangladesh,"Mil, JD","1982 Ershad (Mil, JD)"
Bangladesh,"Mil, Mil","1975 Ziaur Rahman (Mil, Mil)"
Bangladesh,Non-party,1990 Ahmed (Non-party)
Belarus,Non-party,1994 Kuznyatsu (Non-party)
Belgium,BSP,1945 van Acker (BSP)
Belgium,CD&V-NVA,2008 Leterme (CD&V-NVA)
Belgium,CP,1920 de Wiart (CP)
Belgium,CVP,1949 Eyskens G. (CVP)
Belgium,"CVP, CVP","1958 Eyskens G. (CVP, CVP)"
Belgium,Lib,1937 Janson (Lib)
Belgium,PCS-KVV,1939 Pierlot (PCS-KVV)
Belgium,PSC,1978 Vanden Boeynants (PSC)
Belgium,Soc,1938 Spaak (Soc)
Belgium,VLD,1999 Verhofstadt (VLD)
Benin,FARD,1996 Kerekou (FARD)
Benin,Mil,1963 Soglo (Mil)
Benin,"Mil, PRPB, PRB","1972 Kerekou (Mil, PRPB, PRB)"
Benin,Non-party,2006 Boni (Non-party)
Benin,PD,1964 Apithy (PD)
Benin,PRB,1991 Soglo (PRB)
Benin,RDD,1970 Maga (RDD)
Bhutan,DPT,2008 Lyonpo Jigme Thinley (DPT)
Bhutan,Wangchuk Dynasty,1972 Jigme Singye Wangchuk (Wangchuk Dynasty)
Bolivia,ADN,1997 Banzer Suarez (ADN)
Bolivia,FRB,1966 Barrientos Ortuno (FRB)
Bolivia,MAS,2006 Morales Ayama (MAS)
Bolivia,Mil,1930 Blanco Galindo (Mil)
Bolivia,MIR,1989 Paz Zamora (MIR)
Bolivia,MNR,1952 Siles Zuazo (MNR)
Bolivia,MNRA,1979 Guevara Arze (MNRA)
Bolivia,MNRI,1982 Siles Zuazo (MNRI)
Bolivia,Non-party,1946 Guillen (Non-party)
Bolivia,PL,1934 Tejada Sorzano (PL)
Bolivia,PR,1920 Saavedra (PR)
Bolivia,PRIN,1979 Gueiler Tejada (PRIN)
Bolivia,PSD-FRB,1969 Siles Salinas (PSD-FRB)
Bolivia,PURS,1947 Hertzog (PURS)
Bosnia and Herzegovina,HDZ,1999 Jelavic (HDZ)
Bosnia and Herzegovina,SBiH,2002 Belkic (SBiH)
Bosnia and Herzegovina,SDA,2000 Izetbegovic (SDA)
Bosnia and Herzegovina,SDP,2001 Krizanovic (SDP)
Bosnia and Herzegovina,SDS,2002 Sarovic (SDS)
Bosnia and Herzegovina,SNSD,2006 Radmanovic (SNSD)
Bosnia and Herzegovina,SPRS,1998 Radisic (SPRS)
Botswana,BDP,1966 Seretse Khama (BDP)
Brazil,Mil,1964 Ranieri Mazzilli (Mil)
Brazil,Non-party,1930 Vargas (Non-party)
Brazil,PDC,1961 Quadros (PDC)
Brazil,PMDB,1985 Sarney (PMDB)
Brazil,PRM,1919 E. Pessoa (PRM)
Brazil,PRN,1990 Collor de Mello (PRN)
Brazil,PRP,1926 Washington Luis (PRP)
Brazil,PSD,1946 Dutra (PSD)
Brazil,PSDB,1995 Cardoso (PSDB)
Brazil,PT,2003 Lula da Silva (PT)
Brazil,PTB,1951 Vargas (PTB)
Bulgaria,BKP,1946 Dimitrov (BKP)
Bulgaria,BSP,1995 Videnov (BSP)
Bulgaria,BSP-KzB,2005 Stanishev (BSP-KzB)
Bulgaria,House of Saxe-Coburg-Gotha,1943 Cyril (House of Saxe-Coburg-Gotha)
Bulgaria,Mil,1944 Georgiev (Mil)
Bulgaria,NDSV,2001 Sakskoburggotski (NDSV)
Bulgaria,Non-party,1990 Popov (Non-party)
Bulgaria,SDS,1991 F. Dimitrov (SDS)
Burkina Faso,Mil,1966 Lamizana (Mil)
Burkina Faso,UDV,1960 Yameogo (UDV)
Burkina Faso,UDV-RDA,1971 Gerard Kango Ouedraogo (UDV-RDA)
Burundi,CNDD-FDD,2005 Nkurunziza (CNDD-FDD)
Burundi,FRODEBU,1993 Ndadaye (FRODEBU)
Burundi,Mil,1966 Micombero (Mil)
Burundi,Mwambutsa dynasty,1962 Mwambutsa (Mwambutsa dynasty)
Burundi,UPRONA,1993 Kinigi (UPRONA)
Cambodia,FUNK,1953 Sihanouk (FUNK)
Cambodia,KCP,1975 Pol Pot (KCP)
Cambodia,KPK,1993 Ranariddh (KPK)
Cambodia,Mil,1970 Lon Nol (Mil)
Cambodia,PRPK,1979 Heng Samrin (PRPK)
