country,statename,first,last,ignore,duplicate,party,name_english,name,comment-coding
AFG,Afghanistan,1929,1973,,,Barakzay,Pashtun [tribe from Kandahar],,
AFG,Afghanistan,1973,1978,,,NRP,National Revolutionary Party,,
AFG,Afghanistan,1978,1992,,,HDK,People’s Democratic Party of Afghanistan,,
AFG,Afghanistan,1992,1996,,,JIA,Islamic Association of Afghanistan,,
AFG,Afghanistan,1992,1992,,,JNM,National Liberation Front of Afghanistan,,
AFG,Afghanistan,1996,2001,,,Tal,,,
AGO,Angola,1975,1979,,,MPLA-PT,Popular Liberation Movement of Angola-Labor Party,,
ALB,Albania,1925,1944,,,Mati,,,
ALB,Albania,1944,1992,,,PPS,Albanian Workers’ Party,,
ALB,Albania,1992,2005,,,PDS,,,
ALB,Albania,1997,2005,,,PSS,,,
ARE,United Arab Emirates,1971,2004,,,Al-Nahyan,Al Nahyan [family],,
ARG,Argentina,1922,2001,,,UCR,Radical Civic Union,,
ARG,Argentina,1932,1938,,,CC,Concordance,,
ARG,Argentina,1946,1955,,,PL,Labor Party,Partitdo Laborista,
ARG,Argentina,1946,1955,,,PP,Partido Peronista,,
ARG,Argentina,1958,1962,,,UCRI,Radical Intransigent Civic Union,Unión Cívica Radical Intransigente,
ARG,Argentina,1963,1966,,,UCRP,Radical Civic Union,,
ARG,Argentina,1973,1973,,,FJL,Justicialist Liberation Front,,
ARG,Argentina,1973,2007,,,PJ,Justicalist Party,Partido Justicialista,
ARG,Argentina,1999,2001,,,AL,,,
ARM,Armenia,1998,1998,,,HHS,Hayots Hamazgain Sharzhum,,
ARM,Armenia,2008,2008,,,HHK,Hayastani Hanrapetakan Kusaktsutyun,,
AUS,Australia,1923,1941,,,ACP,Country Party,,
AUS,Australia,1923,2007,,,NP,,,
AUS,Australia,1929,1996,,,ALP,Australian Labor,,
AUS,Australia,1932,1941,,,UAP,,,
AUS,Australia,1949,1983,,,CNT,,,
AUS,Australia,1949,2007,,,LP,,,
AUT,Austria,1920,1961,,,CS,,,
AUT,Austria,1920,1932,,,GV,Greater German People’s Party,,
AUT,Austria,1920,2008,,,OVP,,,
AUT,Austria,1920,1961,,,SDAP,,,
AUT,Austria,1920,2008,,,SPO,,,
AUT,Austria,1926,1934,,,L,Agrarian League,,
AUT,Austria,1930,1934,,,HB,Heimatblock,,
AUT,Austria,1932,1934,,,VF,,,
AUT,Austria,1983,2007,,,FPO,,,
AUT,Austria,2.00E+03,2007,,,BZO,,,
AZE,Azerbaijan,1992,1993,,,AKC,Azerbaijani Popular Front (nationalist),Azerbaycan Khalq Cabhasi,
AZE,Azerbaijan,1993,2003,,,YAP,,,
BDI,Burundi,1962,1966,,,Mwambutsa,,,
BDI,Burundi,1966,2003,,,UPRONA,Progrès National,,
BDI,Burundi,1993,2005,,,FRODEBU,,,
BDI,Burundi,2005,2005,,,CNDD-FDD,Défense de Démocratie,,
BEL,Belgium,1920,1939,,,CP,Catholics,,
BEL,Belgium,1920,1945,,,Lib,,,
BEL,Belgium,1920,1945,,,Soc,,,
BEL,Belgium,1939,1945,,,PCS-KVV,Social Catholic Party-Catholic Flemish People's Party,,
BEL,Belgium,1945,2008,,,BSP,Belgian Socialist Party,,
BEL,Belgium,1945,1999,,,CVP,Christian People’s Party,,
BEL,Belgium,1945,1946,,,DU,Democratic Union,,
BEL,Belgium,1945,1946,,,ICAT,unknown,,"CHISOLS: ""it is unclear what ICAT stands for and Broughton and Donovan 1999, p. 185 do not list ICAT"""
BEL,Belgium,1945,1947,,,KPB,Communist Party of Belgium,,
BEL,Belgium,1945,1968,,,LP,Liberal Party,,
BEL,Belgium,1968,1999,,,PSC,Parti Social Chrétien,,
BEL,Belgium,1973,1992,,,PVV,,,
BEL,Belgium,1974,1981,,,FDF,Fédéralistes Démocrates Francophones,,
BEL,Belgium,1974,1978,,,PLP,,,
BEL,Belgium,1974,1978,,,PRLW,,,
BEL,Belgium,1974,1978,,,RW,,,
BEL,Belgium,1974,1992,,,VU,People’s Union,,
BEL,Belgium,1979,1992,,,PRL,,,
BEL,Belgium,1979,2008,,,PSB,,,
BEL,Belgium,1999,2008,,,Agalev,,,
BEL,Belgium,1999,2008,,,CD&V-NVA,,,
BEL,Belgium,1999,2008,,,CDH,,,
BEL,Belgium,1999,2008,,,Ecolo,,,
BEL,Belgium,1999,2008,,,MR,,,
BEL,Belgium,1999,2008,,,PRL-FDF,,,
BEL,Belgium,1999,2008,,,SPA-Spirit,,,
BEL,Belgium,1999,2008,,,VLD,,,
BEN,Benin,1963,1972,,,RDD,Rassemblement Démocratique du Dahomé,,
BEN,Benin,1964,1972,,,PD,Parti Démocratique,,
BEN,Benin,1972,1996,,,PRB,,,
BEN,Benin,1972,1991,,,PRPB,,,
BEN,Benin,1996,2006,,,FARD,,,
BFA,Burkina Faso,1960,1966,,,UDV,Union Démocratique du Volta party,,
BFA,Burkina Faso,1966,1980,,,MNR,Nationalist Revolutionary Movement,,
BFA,Burkina Faso,1971,1974,,,UDV-RDA,,,
BFA,Burkina Faso,1987,1987,,,CDP,,,
BFA,Burkina Faso,1987,1987,,,FP,Front Popular,,
BFA,Burkina Faso,1987,1987,,,ODP-MT,,,
BGD,Bangladesh,1972,2001,,,BAL,,,
BGD,Bangladesh,1975,2006,,,BJD,Bengal Nationalist Party,,
BGD,Bangladesh,1982,2001,,,JD,Jatiyo Dal,,
BGD,Bangladesh,1996,2001,,,JSD-Rab,,,
BGD,Bangladesh,2001,2006,,,Jammat,,,
BGD,Bangladesh,2001,2006,,,JP,,,
BGD,Bangladesh,2001,2006,,,OIJ,Islami Oikya Jote,,
BGR,Bulgaria,1944,1946,,,NSZ,Zveno Peoples’ League,,
BGR,Bulgaria,1944,1946,,,OF,Fatherland Front,,
BGR,Bulgaria,1946,1990,,,BKP,,,
BGR,Bulgaria,1990,1997,,,BSP,,,
BGR,Bulgaria,1991,2001,,,SDS,Union of Democratic Forces,,
BGR,Bulgaria,2001,2005,,,MDL,Movement for Rights and Freedoms,,
BGR,Bulgaria,2001,2005,,,NDSV,National Movement Simeon II,,
BGR,Bulgaria,2005,2005,,,BSP-KzB,,,
BGR,Bulgaria,2005,2005,,,DPS,,,
BIH,Bosnia and Herzegovina,1998,2006,,,SDA,,,
BIH,Bosnia and Herzegovina,1998,2001,,,SPRS,,,
BIH,Bosnia and Herzegovina,1999,2006,,,HDZ,,,
BIH,Bosnia and Herzegovina,2001,2008,,,SDP,,,
BIH,Bosnia and Herzegovina,2002,2008,,,SBiH,,,
BIH,Bosnia and Herzegovina,2002,2005,,,SDS,,,
BIH,Bosnia and Herzegovina,2006,2008,,,SNSD,,,
BOL,Bolivia,1920,1936,,,PL,Liberal Party,,
BOL,Bolivia,1920,1934,,,PR,Republican Party,,
BOL,Bolivia,1943,1946,,,Radepa-MNR,Nationalist Revolutionary Movement,,
BOL,Bolivia,1947,1951,,,PURS,Republican Socialist Unity Party,,
BOL,Bolivia,1952,2003,,,MNR,Nationalist Revolutionary Movement,,
BOL,Bolivia,1966,1969,,,FRB,Front of the Bolivian Revolution ,,
BOL,Bolivia,1969,1969,,,PSD-FRB,Partido Socialista Democrática (member of FRB),,
BOL,Bolivia,1979,1979,,,MNRA,Nationalist Revolutionary Movement,,
BOL,Bolivia,1979,1980,,,PRIN,Revolutionary Party of the Nationalist Left,,
BOL,Bolivia,1982,1985,,,MNRI,Nationalist Revolutionary Movement of the Left,,
BOL,Bolivia,1989,1993,,,MIR,Movement of Revolutionary Left,,
BOL,Bolivia,1997,2002,,,ADN,Nationalist Democratic Action,,
BOL,Bolivia,2006,2006,,,MAS,Movement towards Socialism,,
BRA,Brazil,1919,1926,,,PRM,Republican Party Minas,,
BRA,Brazil,1926,1930,,,PRP,Republican Party Paulista,,
BRA,Brazil,1946,1961,,,PSD,Social Democratic Party,,
BRA,Brazil,1951,1964,,,PTB,Brazilian Labor Party,,
BRA,Brazil,1961,1961,,,PDC,Christian Democratic Party,,
BRA,Brazil,1969,1985,,,ARENA,National Renovating Alliance,,
BRA,Brazil,1985,1995,,,PMDB,Democratic Movement Party,Partido do Movimento Democrático Brasileiro,
BRA,Brazil,1990,1992,,,PRN,Party of National Reconstruction,,
BRA,Brazil,1995,2003,,,PSDB,Party of the Brazilian Social Democracy,,
BRA,Brazil,2003,2003,,,PT,Labour Party,,
BTN,Bhutan,1972,2008,,,Wangchuk,Wangchuk Dynasty,,
BTN,Bhutan,2008,1947,,,DPT,Druk Phuensum Tshogpa/Bhutan Peace and Prosperity Party,,
BWA,Botswana,1966,2008,,,BDP,Botswana Democratic Party,,
CAF,Central African Republic,1960,1981,,,MESAN,Mouvement d'Évolution Sociale d'Afrique Noire,,
CAF,Central African Republic,1979,1981,,,UDC,Union Démocratique Centrafricain,,
CAF,Central African Republic,1981,1993,,,RDC,Mil to Rassemblement Démocratique Centrafricain,,
CAF,Central African Republic,1993,2003,,,MLPC,Libération du Peuple Centrafricain,,
CAN,Canada,1920,1935,,,CP,Conservative Party,,
CAN,Canada,1921,2006,,,LP,Liberal Party,,
CAN,Canada,1957,1993,,,PC,Progressive Conservative Party,,
CAN,Canada,2006,2006,,,CPC,Conservative Party of Canada,,
CHE,Switzerland,1919,2008,,,CVP,Christlich-Demokratische Volkspartei,,
CHE,Switzerland,1919,2008,,,FDP,FreisinnigDemokratische Partei,,
CHE,Switzerland,1919,1920,,,LP,Liberal Party,,
CHE,Switzerland,1929,2008,,,SVP,Schweizerische Volkspartei,,
CHE,Switzerland,1943,2008,,,SP,,,
CHL,Chile,1920,1938,,,PL,Liberal Party,,
CHL,Chile,1920,1931,,,PLD,Liberal Democratic Party,,
CHL,Chile,1931,1952,,,PR,"Montero, Radical Party",,
CHL,Chile,1946,1946,,,FP,,,
CHL,Chile,1952,1958,,,APL,,,
CHL,Chile,1958,1964,,,PC,,,
CHL,Chile,1964,1970,,,PDC,,,
CHL,Chile,1970,1973,,,PS-UP,,,
CHL,Chile,1990,2006,,,Concertacion,,,
CHN,China,1928,1949,,,KMT,,,
CHN,China,1940,1944,,,KMT-WC,,,
CHN,China,1949,2003,,,CPC,,,
CIV,Ivory Coast,1960,1999,,,PDCI,Parti Démocratique de Côte d'Ivoire-Rassemblement Démocratique Africain,,
CIV,Ivory Coast,2.00E+03,1958,,,FPI,Front Populaire Ivorien,,
CMR,Cameroon,1960,1982,,,UC,Union du Camerounais,,
CMR,Cameroon,1960,1982,,,UNC,,,
CMR,Cameroon,1982,1960,,,RDPC,,,
COD,Democratic Republic of the Congo,1960,1965,,,ABAKO,Bakongo,,
COD,Democratic Republic of the Congo,1960,1960,,,MNC-L,Movement Congolese Nationaux Congolese-Lumumba,,
COD,Democratic Republic of the Congo,1965,1997,,,MRP,,,
COD,Democratic Republic of the Congo,1997,2001,,,AFDL,,,
COD,Democratic Republic of the Congo,2001,1962,,,PPRD,,,
COG,Congo,1960,1963,,,UDDIA,Défense d'Intérêts Africains,,
COG,Congo,1963,1968,,,MNR,National Révolutionnaire Mouvement,,
COG,Congo,1969,1992,,,PCT,,,
COG,Congo,1992,1997,,,UPADS,,,
COG,Congo,1997,1960,,,FDU,,,
COL,Colombia,1921,2002,,,PCS,Social Conservative Party,,
COL,Colombia,1930,1998,,,PL,Liberal Party,,
COL,Colombia,2002,2002,,,PC,,,
COM,Comoros,1978,1978,,,RDPC,Rassemblement Démocratique du Peuple Comorien,,
COM,Comoros,1989,1996,,,RDR,Renouveau,,
COM,Comoros,1989,1995,,,UCP,Comoran Union for Progress,,
COM,Comoros,1996,1998,,,RND,,,
COM,Comoros,2002,2006,,,CRC,,,
COM,Comoros,2002,2002,,,PRC,,,
COM,Comoros,2006,1968,,,FNS,,,
CRI,Costa Rica,1920,1924,,,PCon,,,
CRI,Costa Rica,1924,1928,,,PR,Republican Party,,
CRI,Costa Rica,1928,1932,,,Civ,Civil Party,Partido Civil,
CRI,Costa Rica,1932,1948,,,PRN,,,
CRI,Costa Rica,1948,1948,,,BV,,,
CRI,Costa Rica,1948,1949,,,PSD,,,
CRI,Costa Rica,1949,1970,,,PUN,,,
CRI,Costa Rica,1953,2006,,,PLN,,,
CRI,Costa Rica,1978,1982,,,PRD,,,
CRI,Costa Rica,1978,1982,,,UC,,,
CRI,Costa Rica,1990,2006,,,PUSC,,,
CUB,Cuba,1921,1921,,,PC,Conservative Party,,
CUB,Cuba,1921,1925,,,PPC-LN,Cuban Popular [Liberal] Party,,President Alfredo Zayas y Alfonso (Liberal Party) in 1920
CUB,Cuba,1925,1933,,,PL,Liberal Party,,
