statename,affiliation,first,last
Afghanistan,Barakzay Dynasty,1919,1973
Afghanistan,HDK,1978,1992
Afghanistan,JIA,1992,1996
Afghanistan,JNM,1992,1992
Afghanistan,Non-party,1973,2008
Afghanistan,NRP,1977,1978
Afghanistan,Tal,1996,2001
Afghanistan,unknown,1929,1929
Albania,Mati,1925,1939
Albania,PDS,1992,2008
Albania,PPS,1944,1992
Albania,PSS,1997,2005
Albania,unknown,1919,1925
Algeria,FLN,1962,1992
Algeria,Mil,1962,2008
Angola,MPLA-PT,1975,2008
Argentina,AL,1999,2001
Argentina,CC,1932,1938
Argentina,FJL,1973,1973
Argentina,Mil,1930,1983
Argentina,PJ,1973,2008
Argentina,PL,1946,1955
Argentina,PP,1946,1955
Argentina,UCR,1919,2001
Argentina,UCRI,1958,1962
Argentina,UCRP,1963,1966
Armenia,HHK,2008,2008
Armenia,HHS,1991,1998
Armenia,Non-party,1998,2008
Australia,ACP,1923,1941
Australia,ALP,1929,2008
Australia,CNT,1949,1983
Australia,LP,1949,2007
Australia,NP,1920,2007
Australia,UAP,1932,1941
Austria,BZO,2006,2007
Austria,CS,1919,1933
Austria,FPO,1983,2005
Austria,GV,1920,1932
Austria,HB,1930,1933
Austria,L,1926,1933
Austria,Non-party,1921,1930
Austria,OVP,1955,2008
Austria,SDAP,1919,1920
Austria,SPO,1955,2008
Austria,VF,1934,1938
Azerbaijan,AKC,1992,1993
Azerbaijan,Non-party,1991,1992
Azerbaijan,YAP,1993,2008
Bahrain,Al-Khalifa Dynasty,1971,2008
Bangladesh,BAL,1971,2001
Bangladesh,BJD,1979,2006
Bangladesh,Jammat,2001,2006
Bangladesh,JD,1987,1997
Bangladesh,JP,2001,2006
Bangladesh,JSD-Rab,1996,2001
Bangladesh,Mil,1975,2008
Bangladesh,Non-party,1990,2007
Bangladesh,OIJ,2001,2006
Belarus,Non-party,1991,2008
Belgium,Agalev,1999,2003
Belgium,BSP,1945,2003
Belgium,CD&V-NVA,2008,2008
Belgium,CDH,2008,2008
Belgium,CP,1919,1939
Belgium,CVP,1945,1999
Belgium,DU,1946,1946
Belgium,Ecolo,1999,2003
Belgium,FDF,1978,1980
Belgium,ICAT,1946,1946
Belgium,KPB,1945,1947
Belgium,Lib,1919,1940
Belgium,LP,1945,1968
Belgium,MR,2004,2008
Belgium,PCS-KVV,1939,1945
Belgium,PLP,1974,1976
Belgium,PRL,1981,1988
Belgium,PRL-FDF,1999,2003
Belgium,PRLW,1977,1977
Belgium,PSB,1979,2008
Belgium,PSC,1973,1999
Belgium,PVV,1973,1988
Belgium,RW,1975,1977
Belgium,Soc,1919,1940
Belgium,SPA-Spirit,2004,2007
Belgium,VLD,1999,2008
Belgium,VU,1978,1992
Benin,FARD,1996,2006
Benin,Mil,1963,1972
Benin,Non-party,2006,2008
Benin,PD,1964,1972
Benin,PRB,1991,1996
Benin,PRPB,1973,1990
Benin,RDD,1960,1972
Bhutan,DPT,2008,2008
Bhutan,Wangchuk Dynasty,1971,2008
Bolivia,ADN,1997,2002
Bolivia,FRB,1966,1969
Bolivia,MAS,2006,2008
Bolivia,Mil,1930,1982
Bolivia,MIR,1989,1993
Bolivia,MNR,1952,2003
Bolivia,MNRA,1979,1979
Bolivia,MNRI,1982,1985
Bolivia,Non-party,1946,2006
Bolivia,PL,1919,1936
Bolivia,PR,1920,1934
Bolivia,PRIN,1979,1980
Bolivia,PSD-FRB,1969,1969
Bolivia,PURS,1947,1951
Bolivia,Radepa-MNR,1943,1946
Bosnia and Herzegovina,HDZ,1999,2006
Bosnia and Herzegovina,SBiH,2002,2008
Bosnia and Herzegovina,SDA,1992,2006
Bosnia and Herzegovina,SDP,2001,2008
Bosnia and Herzegovina,SDS,2002,2005
Bosnia and Herzegovina,SNSD,2006,2008
Bosnia and Herzegovina,SPRS,1998,2001
Botswana,BDP,1966,2008
Brazil,ARENA,1969,1985
Brazil,Mil,1964,1985
Brazil,Non-party,1930,1946
Brazil,PDC,1961,1961
Brazil,PMDB,1985,1995
Brazil,PRM,1919,1926
Brazil,PRN,1990,1992
Brazil,PRP,1926,1930
Brazil,PSD,1946,1961
Brazil,PSDB,1995,2003
Brazil,PT,2003,2008
Brazil,PTB,1951,1964
Bulgaria,BKP,1946,1990
Bulgaria,BSP,1990,1997
Bulgaria,BSP-KzB,2005,2008
Bulgaria,DPS,2005,2008
Bulgaria,House of Saxe-Coburg-Gotha,1919,1944
Bulgaria,MDL,2001,2005
Bulgaria,Mil,1944,1946
Bulgaria,NDSV,2001,2008
Bulgaria,Non-party,1990,1995
Bulgaria,NSZ,1944,1946
Bulgaria,OF,1944,1946
Bulgaria,SDS,1991,2001
Burkina Faso,CDP,1997,2008
Burkina Faso,FP,1987,1991
Burkina Faso,Mil,1966,1991
Burkina Faso,MNR,1966,1980
Burkina Faso,ODP-MT,1992,1996
Burkina Faso,UDV,1960,1966
Burkina Faso,UDV-RDA,1971,1974
Burundi,CNDD-FDD,2005,2008
Burundi,FRODEBU,1993,2005
Burundi,Mil,1966,1993
Burundi,Mwambutsa dynasty,1962,1966
Burundi,UPRONA,1966,2003
Cambodia,FUNK,1953,1970
Cambodia,KCP,1975,1979
Cambodia,KPK,1992,2008
Cambodia,Mil,1970,1975
Cambodia,PRPK,1979,1991
Cameroon,RDPC,1986,2008
Cameroon,UC,1960,1966
Cameroon,UNC,1967,1985
Canada,CP,1920,1935
Canada,CPC,2006,2008
Canada,LP,1921,2006
Canada,PC,1957,1993
Central African Republic,MESAN,1960,1980
Central African Republic,Mil,1966,2008
Central African Republic,MLPC,1993,2003
Central African Republic,Non-party,2003,2008
Central African Republic,RDC,1986,1993
Central African Republic,UDC,1981,1981
Chad,FAN,1982,1984
Chad,FROLIANT-FAP,1979,1982
Chad,Mil,1975,1979
Chad,MNRCS,1974,1975
Chad,MPS,1990,2008
Chad,PPT,1960,1973
Chad,UNIR,1985,1990
Chile,APL,1952,1958
Chile,Concertacion,1990,2008
Chile,FP,1946,1946
Chile,Mil,1924,1990
Chile,Non-party,1932,1932
Chile,PC,1958,1964
Chile,PDC,1964,1970
Chile,PL,1920,1938
Chile,PLD,1919,1931
Chile,PR,1931,1952
Chile,PS-UP,1970,1973
China,CPC,1949,2008
China,KMT,1928,1949
China,KMT-WC,1940,1944
China,Mil,1928,1949
China,unknown,1919,1946
Colombia,Mil,1953,1958
Colombia,Non-party,2002,2005
Colombia,PC,2006,2008
Colombia,PCS,1919,2002
Colombia,PL,1930,1998
Comoros,CRC,2002,2006
Comoros,FNS,2006,2008
Comoros,Mil,1999,2002
Comoros,non-party,1998,1999
Comoros,PRC,2002,2002
Comoros,RDPC,1975,1978
Comoros,RDR,1994,1996
Comoros,RND,1996,1998
Comoros,UCP,1989,1991
Comoros,unknown,1978,1995
Congo,FDU,2003,2008
Congo,Mil,1968,1992
Congo,MNR,1963,1968
Congo,PCT,1969,2002
Congo,UDDIA,1960,1963
Congo,UPADS,1992,1997
Costa Rica,BV,1948,1948
Costa Rica,Civ,1928,1932
Costa Rica,Mil,1948,1949
Costa Rica,PCon,1920,1924
Costa Rica,PLN,1953,2008
Costa Rica,PR,1924,1928
Costa Rica,PRD,1978,1982
Costa Rica,PRN,1932,1948
Costa Rica,PSD,1948,1949
Costa Rica,PUN,1949,1970
Costa Rica,PUSC,1990,2006
Costa Rica,UC,1978,1982
Croatia,HDZ,1992,2000
Croatia,HSS,2000,2000
Croatia,Non-party,2000,2008
Cuba,ABC,1933,1933
Cuba,CSD,1940,1944
Cuba,Mil,1952,1959
Cuba,MR-26-7,1959,1976
Cuba,ORI,1959,1976
Cuba,PAP,1952,1959
Cuba,PAU,1952,1959
Cuba,PC,1919,1921
Cuba,PCC,1959,2008
Cuba,PL,1925,1933
Cuba,PPC-LN,1921,1925
Cuba,PRC,1933,1934
Cuba,PRC-A,1944,1952
Cuba,PRUSC,1959,1976
Cuba,UN,1934,1940
Cyprus,AKEL,2008,2008
Cyprus,DIKO,1977,2008
Cyprus,DISY,1993,2003
Cyprus,Eniaion,1974,1974
Cyprus,EOKA,1974,1974
Cyprus,Non-party,1960,1993
Czech Republic,CSSD,1998,2006
Czech Republic,KDU-CSL,1993,2008
Czech Republic,Non-party,1997,1998
Czech Republic,ODA,1993,1997
Czech Republic,ODS,1993,2008
Czech Republic,SZ,2008,2008
Czech Republic,US-DEU,2002,2006
Czechoslovakia,BdL,1926,1938
Czechoslovakia,CDU,1992,1992
Czechoslovakia,Civic Forum,1991,1992
Czechoslovakia,CND,1919,1938
Czechoslovakia,CNSP,1945,1948
Czechoslovakia,CNSS,1919,1938
Czechoslovakia,CPP,1945,1948
Czechoslovakia,CSDP,1945,1948
Czechoslovakia,CSDS,1919,1938
Czechoslovakia,CSL,1921,1938
Czechoslovakia,CZOSS,1926,1938
Czechoslovakia,DCVP,1926,1938
Czechoslovakia,DP,1945,1948
Czechoslovakia,DSAP,1930,1938
Czechoslovakia,HSL'S,1928,1929
Czechoslovakia,HZDS,1992,1992
Czechoslovakia,KDS-CSL,1991,1992
Czechoslovakia,KDU-CSL,1992,1992
Czechoslovakia,KSC,1945,1990
Czechoslovakia,non-party,1921,1938
Czechoslovakia,Non-party,1945,1945
Czechoslovakia,ODS-KDS,1992,1992
Czechoslovakia,PAV,1991,1991
Czechoslovakia,RSZML,1919,1939
Democratic Republic of the Congo,ABAKO,1960,1965
Democratic Republic of the Congo,AFDL,1997,2002
Democratic Republic of the Congo,Mil,1960,1967
Democratic Republic of the Congo,MNC-L,1960,1960
Democratic Republic of the Congo,MRP,1968,1997
Democratic Republic of the Congo,PPRD,2003,2008
Denmark,CDM,1982,1996
Denmark,COM,1945,1945
Denmark,CON,1950,2008
Denmark,CPP,1982,1994
Denmark,DS,1945,1945
Denmark,JP,1958,1960
Denmark,KF,1945,1945
Denmark,LIB,1945,2008
Denmark,LP-V,1920,1945
Denmark,Non-party,1920,1920
Denmark,RAD,1958,2001
Denmark,RP,1919,1945
Denmark,SD,1919,2001
Djibouti,RPP,1977,2008
Dominican Republic,Mil,1930,1965
Dominican Republic,Mil ,1965,1965
Dominican Republic,PD,1930,1962
Dominican Republic,PLD,1996,2008
Dominican Republic,PNG,1924,1930
Dominican Republic,PRD,1963,2004
Dominican Republic,PRSC,1965,1996
Dominican Republic,Rep,1930,1963
Dominican Republic,UCN,1963,1965
East Timor,Non-party,2002,2007
East Timor,Non-Party,2007,2008
Ecuador,AD,1934,1947
Ecuador,AP,2007,2008
Ecuador,CFP,1979,1981
Ecuador,CID,1966,1968
Ecuador,DP,2005,2007
Ecuador,DP-UDC,1981,2003
Ecuador,FNV,1952,1972
Ecuador,FRA,1997,1998
Ecuador,ID,1988,1992
Ecuador,MCDN,1948,1952
Ecuador,MIAR,1997,1997
Ecuador,Mil,1931,1979
Ecuador,MSC,1956,1960
Ecuador,Non-party,1935,1966
Ecuador,PCE,1947,1947
Ecuador,PL,1931,1940
Ecuador,PLR,1919,1944
Ecuador,PNR,1961,1963
Ecuador,PRE,1996,1997
Ecuador,PSC,1984,1988
Ecuador,PSP,2003,2005
Ecuador,PUR,1992,1996
Ecuador,unknown,1925,1944
Ecuador,Unknown,1947,1948
Ecuador,VR,1932,1932
Egypt,ASU,1963,1978
Egypt,HDW,1979,2008
Egypt,LR,1952,1956
Egypt,Mil,1952,1956
Egypt,Muhammad Ali Dynasty,1937,1952
Egypt,NU,1957,1962
El Salvador,ARENA,1989,2008
El Salvador,Mil,1931,1980
El Salvador,Non-party,1962,1984
El Salvador,PCN,1962,1979
El Salvador,PDC,1980,1989
El Salvador,PND,1919,1931
El Salvador,PPP,1931,1944
El Salvador,PRUD,1950,1960
El Salvador,PT,1931,1931
Equatorial Guinea,Mil,1979,1987
Equatorial Guinea,Non-Party,1968,1970
Equatorial Guinea,PDGE,1988,2008
Equatorial Guinea,PUNT,1971,1979
Eritrea,PFDJ,1993,2008
Estonia,Ansiedler,1925,1933
Estonia,Center,1932,1933
Estonia,EK,1992,1992
Estonia,EMRL,1919,1919
Estonia,ER,1919,1933
Estonia,ERL,2003,2007
Estonia,ERSP,1992,1994
Estonia,ESTP,1928,1932
Estonia,ETE,1919,1932
Estonia,I,1936,1940
Estonia,IERSP,1999,2002
Estonia,IRL,2008,2008
Estonia,Isamaa,1992,1994
Estonia,Kesk,2002,2007
Estonia,KMU-K,1995,1999
Estonia,KRE,1921,1931
Estonia,Moderates,1992,2002
Estonia,NCP,1932,1932
Estonia,Non-party,1994,1995
Estonia,PK,1921,1935
Estonia,PKK,1932,1932
Estonia,R,1991,1996
Estonia,RE,1999,2008
Estonia,ResP,2003,2005
Estonia,SDE,1919,2008
Ethiopia,EPRDF,1991,2008
Ethiopia,EWP,1977,1991
Ethiopia,Mil,1974,1991
Ethiopia,Solomonic Dynasty,1919,1974
Ethiopia,TPLF,1991,2008
Fiji,CA,2002,2006
Fiji,FAP,1970,2000
Fiji,FLP,1987,2006
Fiji,FPP-SVT,1992,1999
Fiji,FUP-SDL,2002,2006
Fiji,GVP,1995,1999
Fiji,LU,2002,2006
Fiji,Mil,1987,2008
Fiji,NFP,1987,1987
Fiji,Non-party,2000,2007
Fiji,Non-Party,1987,2000
Fiji,PANU,1999,2000
Finland,ED,1919,1944
Finland,KESK,1956,1981
Finland,KOK,1931,1956
Finland,Mil,1919,1919
Finland,ML,1925,1981
Finland,non-party,1944,1946
Finland,SDP,1981,2008
France,AD,1927,1928
France,ARS,1920,1940
France,CR,1934,1936
France,DP,1930,1932
France,ERD,1920,1940
France,FR,1935,1936
France,GAUL,1948,1958
France,GD,1919,1940
France,GR,1919,1934
France,GRad,1925,1937
France,GRep,1926,1926
France,GSR,1932,1932
France,Ind,1969,1974
France,IND,1948,1958
France,Mil,1940,1942
France,MRP,1946,1958
France,Non-party,1931,1946
France,Non-Party,1920,1920
France,PCF,1946,1947
France,PRS,1920,1940
France,PS,1938,1995
France,PSF,1946,1958
France,Rad,1930,1930
France,RAD,1919,1940
France,RAIS,1936,1936
France,RG,1919,1936
France,RI,1974,1981
France,RIAS,1934,1935
France,RPR,1995,2002
France,RSP,1946,1958
France,SEIO,1933,1933
France,SF,1932,1936
France,SFIO,1933,1940
France,UDR,1930,1974
France,UMP,2003,2008
France,UNR,1959,1969
France,UR,1919,1940
France,URD,1924,1935
France,URS,1939,1940
France,US,1936,1936
France,USR,1937,1938
Gabon,BDG,1960,1968
Gabon,Mil,1964,1964
Gabon,PDG,1969,2008
Gambia,APRC,1997,2008
Gambia,Mil,1994,1996
Gambia,PPP,1965,1994
Georgia,BDA,2003,2008
Georgia,ENM,2004,2008
Georgia,Mil,1992,1992
Georgia,MM-TS,1991,1992
Georgia,Non-party,1992,1995
Georgia,SMK,1996,2003
German Democratic Republic,SED,1954,1989
German Democratic Republic,SED-PDS,1989,1990
German Federal Republic,CDU,1955,1990
German Federal Republic,DP,1955,1960
German Federal Republic,FDP,1955,1990
German Federal Republic,GBHE,1955,1955
German Federal Republic,SPD,1967,1982
Germany,BVP,1924,1932
Germany,CDU,1990,2008
Germany,DDP,1919,1931
Germany,DNVP,1925,1933
Germany,DSTP,1932,1932
Germany,DVP,1920,1931
Germany,FPD,1990,1998
Germany,Greens,1998,2005
Germany,KVP,1930,1932
Germany,LV,1932,1933
Germany,Mil,1945,1945
Germany,Non-party,1922,1933
Germany,NSDAP,1933,1945
Germany,SPD,1919,2008
Germany,WP,1930,1930
Germany,Z,1919,1932
Ghana,CPP,1957,1966
Ghana,Mil,1966,1992
Ghana,NDC,1993,2001
Ghana,NPP,2001,2008
Ghana,PNP,1979,1981
Ghana,PP,1969,1972
Greece,CR,1924,1925
Greece,CU,1963,1965
Greece,DE,1924,1932
Greece,Diss-CU,1965,1966
Greece,EEK,1945,1945
Greece,EK,1944,1945
Greece,EPEK,1950,1952
Greece,ERE,1957,1974
Greece,ERK,1926,1926
Greece,FLP,1926,1928
Greece,FOP,1926,1928
Greece,GRAL,1952,1956
Greece,House of Denmark,1920,1922
Greece,KF,1919,1936
Greece,LIB,1946,1952
Greece,LIB-?,1950,1950
Greece,LIB-Nat,1946,1947
Greece,LIB-Ref,1946,1947
Greece,LIB-Sof,1945,1950
Greece,LIB-Ven,1947,1950
Greece,LK,1920,1935
Greece,LKK,1955,1955
Greece,Mil,1922,1974
Greece,ND,1975,2008
Greece,Non-party,1926,1990
Greece,NP,1947,1949
Greece,NPU,1946,1947
Greece,NRP,1935,1935
Greece,NU,1949,1950
Greece,NUP,1950,1950
Greece,PASOK,1981,2004
Greece,POP,1946,1950
Greece,PP,1965,1966
Greece,ProgLib,1926,1928
Greece,SocDem,1947,1951
Greece,SYN,1989,1990
Guatemala,FRG,2000,2004
Guatemala,GANA,2004,2008
Guatemala,Lib,1919,1944
Guatemala,MAS,1991,1993
Guatemala,Mil,1921,1986
Guatemala,Non-Party,1993,1996
