statename,party,first,last,country,name_english,name,chisols_first,party_id
Afghanistan,HDK,1978,1992,AFG,People’s Democratic Party of Afghanistan,,1978 Taraki (HDK),AFG-HDK
Afghanistan,JIA,1992,1996,AFG,Islamic Association of Afghanistan,,1992 Burhanuddin Rabbani (JIA),AFG-JIA
Afghanistan,JNM,1992,1992,AFG,National Liberation Front of Afghanistan,,1992 Mojadidi (JNM),AFG-JNM
Afghanistan,NRP,1977,1978,AFG,National Revolutionary Party,,,AFG-NRP
Afghanistan,Tal,1996,2001,AFG,,,1996 Mullah Omar (Tal),AFG-Tal
Albania,Mati,1925,1939,ALB,,,1925 Zogu (Mati),ALB-Mati
Albania,PDS,1992,2008,ALB,,,1992 Berisha (PDS),ALB-PDS
Albania,PPS,1944,1992,ALB,Albanian Workers’ Party,,1944 Hoxha (PPS),ALB-PPS
Albania,PSS,1997,2005,ALB,,,1997 Fatos Nano (PSS),ALB-PSS
Algeria,FLN,1962,1992,DZA,Libération Nationale,,,DZA-FLN
Angola,MPLA-PT,1975,2008,AGO,Popular Liberation Movement of Angola-Labor Party,,1975 Neto (MPLA-PT),AGO-MPLA-PT
Argentina,AL,1999,2001,ARG,,,,ARG-AL
Argentina,CC,1932,1938,ARG,Concordance,,1932 Justo (CC),ARG-CC
Argentina,FJL,1973,1973,ARG,Justicialist Liberation Front,,1973 Campora (FJL),ARG-FJL
Argentina,PJ,1973,2008,ARG,Justicalist Party,Partido Justicialista,1973 Peron (PJ),ARG-PJ
Argentina,PL,1946,1955,ARG,Labor Party,Partitdo Laborista,,ARG-PL
Argentina,PP,1946,1955,ARG,Partido Peronista,,,ARG-PP
Argentina,UCR,1919,2001,ARG,Radical Civic Union,,1922 Alvear (UCR),ARG-UCR
Argentina,UCRI,1958,1962,ARG,Radical Intransigent Civic Union,Unión Cívica Radical Intransigente,1958 Frondizi (UCRI),ARG-UCRI
Argentina,UCRP,1963,1966,ARG,Radical Civic Union,,1963 Illia (UCRP),ARG-UCRP
Armenia,HHK,2008,2008,ARM,Hayastani Hanrapetakan Kusaktsutyun,,2008 Sarkisyan (HHK),ARM-HHK
Armenia,HHS,1991,1998,ARM,Hayots Hamazgain Sharzhum,,,ARM-HHS
Australia,ACP,1923,1941,AUS,Country Party,,1939 Page (ACP),AUS-ACP
Australia,ALP,1929,2008,AUS,Australian Labor,,1929 Scullin (ALP),AUS-ALP
Australia,CNT,1949,1983,AUS,,,1967 McEwen (CNT),AUS-CNT
Australia,LP,1949,2007,AUS,,,1949 Menzies (LP),AUS-LP
Australia,NP,1920,2007,AUS,,,1923 Bruce (NP),AUS-NP
Australia,UAP,1932,1941,AUS,,,,AUS-UAP
Austria,BZO,2006,2007,AUT,,,,AUT-BZO
Austria,CS,1919,1933,AUT,,,1920 Mayr (CS),AUT-CS
Austria,FPO,1983,2005,AUT,,,,AUT-FPO
Austria,GV,1920,1932,AUT,Greater German People’s Party,,,AUT-GV
Austria,HB,1930,1933,AUT,Heimatblock,,,AUT-HB
Austria,L,1926,1933,AUT,Agrarian League,,,AUT-L
Austria,OVP,1955,2008,AUT,,,1961 Gorbach (OVP),AUT-OVP
Austria,SDAP,1919,1920,AUT,,,,AUT-SDAP
Austria,SPO,1955,2008,AUT,,,1970 Kreisky (SPO),AUT-SPO
Austria,VF,1934,1938,AUT,,,1934 Schuschnigg (VF),AUT-VF
Azerbaijan,AKC,1992,1993,AZE,Azerbaijani Popular Front (nationalist),Azerbaycan Khalq Cabhasi,1992 Gambarov (AKC),AZE-AKC
Azerbaijan,YAP,1993,2008,AZE,,,1993 H. Aliyev (YAP),AZE-YAP
Bangladesh,BAL,1971,2001,BGD,,,1972 Rahman (BAL),BGD-BAL
Bangladesh,BJD,1979,2006,BGD,Bengal Nationalist Party,,1981 Sattar (BJD),BGD-BJD
Bangladesh,Jammat,2001,2006,BGD,,,,BGD-Jammat
Bangladesh,JD,1987,1997,BGD,Jatiyo Dal,,,BGD-JD
Bangladesh,JP,2001,2006,BGD,,,,BGD-JP
Bangladesh,JSD-Rab,1996,2001,BGD,,,,BGD-JSD-Rab
Bangladesh,OIJ,2001,2006,BGD,Islami Oikya Jote,,,BGD-OIJ
Belgium,Agalev,1999,2003,BEL,,,,BEL-Agalev
Belgium,BSP,1945,2003,BEL,Belgian Socialist Party,,1945 van Acker (BSP),BEL-BSP
Belgium,CD&V-NVA,2008,2008,BEL,,,2008 Leterme (CD&V-NVA),BEL-CD&V-NVA
Belgium,CDH,2008,2008,BEL,,,,BEL-CDH
Belgium,CP,1919,1939,BEL,Catholics,,1920 de Wiart (CP),BEL-CP
Belgium,CVP,1945,1999,BEL,Christian People’s Party,,1949 Eyskens G. (CVP),BEL-CVP
Belgium,DU,1946,1946,BEL,Democratic Union,,,BEL-DU
Belgium,Ecolo,1999,2003,BEL,,,,BEL-Ecolo
Belgium,FDF,1978,1980,BEL,Fédéralistes Démocrates Francophones,,,BEL-FDF
Belgium,ICAT,1946,1946,BEL,unknown,,,BEL-ICAT
