"ctr_n","ctr","pty_n","pty","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","abbr","name","name_english","name_other","comment","country"
"Albania",8,"aleanca demokratike",1,2001,2013,2.8,2005,4,8000001,"AD","Partia Aleanca Demokratike","Democratic Alliance Party","","","ALB"
"Albania",8,"lëvizja socialiste për integrim",8,2005,2013,10.5,2013,3,8000008,"LSI","Lëvizja Socialiste për Integrim","Socialist Movement for Integration","","","ALB"
"Albania",8,"partia agrare ambientaliste e shqipërisë",9,2005,2013,3.6,2005,3,8000009,"PAA","Partia Agrare Ambientaliste","Environmentalist Agrarian Party","","","ALB"
"Albania",8,"partia bashkimi për të drejtat e njeriut",17,2001,2013,2.5,2005,4,8000017,"PBDNJ","Partia Bashkimi për të Drejtat e Njeriut","Unity for Human Rights Party","","","ALB"
"Albania",8,"partia demokratike",23,2001,2013,40.2,2009,4,8000023,"PD","Partia Demokratike","Democratic Party","","","ALB"
"Albania",8,"pdr",28,2005,2005,3.7,2005,1,8000028,"PDR","Partia Demokrate e Re","New Democratic Party","","","ALB"
"Albania",8,"partia demokracia sociale",29,2005,2013,2.4,2005,3,8000029,"PDSSH","Partia Demokracia Sociale e Shqiperisë","Social Democracy Party of Albania","","","ALB"
"Albania",8,"pr",44,2005,2005,10,2005,1,8000044,"PR","Partia Republikane","Republican Party of Albania","","","ALB"
"Albania",8,"partia republikane shqiptare",46,2001,2013,3.1,2013,3,8000046,"PRSH","Partia Republikane Shqiptare","Albanian Republican Party","","","ALB"
"Albania",8,"partia socialdemokrate e shqipërisë",47,2001,2013,7,2005,4,8000047,"PSD","Partia Social Demokrate","Social Democrat Party","","","ALB"
"Albania",8,"partia socialiste e shqipërisë",52,2001,2013,43.9,2001,4,8000052,"PSSH","Partia Socialiste e Shqipërisë","Socialist Party of Albania","","","ALB"
"Albania",8,"pv",54,2001,2001,4.1,2001,1,8000054,"PV","","","","","ALB"
"Albania",8,"partia drejtësi. integrim dhe unitet",74,2013,2013,2.6,2013,1,8000074,"PDIU","Partia Drejtësi. Integrim dhe Unitet","Party for Justice, Integration and Unity","","","ALB"
"Andorra",20,"Agrupament Independent per Sant Julía",1,2001,2001,3.1,2001,1,20000001,"","Argupament Independent per Sant Julia","Independent Group for Sant Julía","","","AND"
"Andorra",20,"Agrupament Nacional Democràtic",2,1997,1997,30.9,1997,1,20000002,"","Agrupament Nacional Democràtic","National Democratic Group","","","AND"
"Andorra",20,"Andorra pel Canvi",3,2009,2011,12.3,2009,2,20000003,"","Andorra pel Canvi","Andorra for Change","","","AND"
"Andorra",20,"Andorra pel Canvi-Units per al Progrés",4,2009,2009,2.5,2009,1,20000004,"","Andorra pel Canvi-Units per al Progrés","Andorra for Change-United for Progress","","","AND"
"Andorra",20,"Demòcrates per Andorra",5,2011,2011,49.1,2011,1,20000005,"","Demòcrates per Andorra","Democrats for Andorra","","","AND"
"Andorra",20,"Iniciativa Democràtica Nacional",7,1997,1997,9.2,1997,1,20000007,"","Iniciativa Democràtica Nacional","Democratic National Initiative","","","AND"
"Andorra",20,"Joint Coalició Reformista-Unió Laurediana",8,2009,2009,3.7,2009,1,20000008,"","Joint Coalició Reformista-Unió Laurediana","Reformist Coalition-Lauredian Union","","","AND"
"Andorra",20,"Nova Democràcia",9,1997,1997,15,1997,1,20000009,"","Nova Democràcia","New Democracy","","","AND"
"Andorra",20,"Partit Demòcrata",10,2001,2001,22.9,2001,1,20000010,"","Partit Demòcrata","Democratic Party","","","AND"
"Andorra",20,"Partit Liberal d'Andorra",11,2001,2005,42.1,2001,2,20000011,"","Partit Liberal d'Andorra","Liberal Party of Andorra","","","AND"
"Andorra",20,"Partit Socialdemòcratica",12,2001,2011,38.1,2005,4,20000012,"","Partit Socialdemòcratica","Social Democratic Party","","","AND"
"Andorra",20,"Renovació Democràtica",13,2005,2005,6.2,2005,1,20000013,"","Renovació Democràtica","Democratic Renewal","","","AND"
"Andorra",20,"Unió Laurediana",14,2001,2011,4.4,2011,2,20000014,"","Unió Laurediana","Lauredian Union","","","AND"
"Andorra",20,"Unió Liberal",15,1997,1997,43.3,1997,1,20000015,"","Unió Liberal","Liberal Union","","","AND"
"Andorra",20,"Verds d'Andorra",19,2005,2011,3.5,2005,3,20000019,"","Verds d'Andorra","Greens of Andorra","","","AND"
"Angola",24,"Convergência Ampla de Salvação de Angola-Coligação Eleitoral",5,2012,2012,6,2012,1,24000005,"","Convergência Ampla de Salvação de Angola-Coligação Eleitoral","","","","AGO"
"Angola",24,"Movimento Popular de Libertação de Angola",9,2008,2012,81.6,2008,2,24000009,"","Movimento Popular de Libertação de Angola","","","","AGO"
"Angola",24,"Partido de Renovação Social",16,2008,2012,3.2,2008,2,24000016,"","Partido de Renovação Social","","","","AGO"
"Angola",24,"União Nacional para a Independência Total de Angola",18,2008,2012,18.7,2012,2,24000018,"","União Nacional para a Independência Total de Angola","","","","AGO"
"Antigua and Barbuda",28,"antigua labour party",2,1951,2009,87.4,1951,13,28000002,"ALP","Antigua Labour Party","","","","ATG"
"Antigua and Barbuda",28,"united progressive party",5,1994,2009,55.5,2004,4,28000005,"UPP","United Progressive Party","","","","ATG"
"Antigua and Barbuda",28,"Antigua Caribbean Liberation Movement",6,1980,1989,2,1989,2,28000006,"ACLM","Antigua Caribbean Liberation Movement","","","","ATG"
"Antigua and Barbuda",28,"Antigua Democratic Labour Party",7,1960,1960,2.6,1960,1,28000007,"ADLP","Antigua Democratic Labour Party","","","","ATG"
"Antigua and Barbuda",28,"Antigua National Party",8,1956,1956,12.5,1956,1,28000008,"ANP","Antigua National Party","","","","ATG"
"Antigua and Barbuda",28,"Antigua People’s Party",9,1971,1971,3.5,1971,1,28000009,"APP","Antigua People’s Party","","","","ATG"
"Antigua and Barbuda",28,"Antigua and Barbuda Democratic Movement",10,1965,1965,20.2,1965,1,28000010,"ABDM","Antigua and Barbuda Democratic Movement","","","","ATG"
"Antigua and Barbuda",28,"Barbuda Democratic Movement",11,1960,1989,6,1960,2,28000011,"BDM","Barbuda Democratic Movement","","","","ATG"
"Antigua and Barbuda",28,"Progressive Labour Movement",17,1971,1984,57.7,1971,4,28000017,"PLM","Progressive Labour Movement","","","","ATG"
"Antigua and Barbuda",28,"United National Democratic Party",18,1989,1989,31,1989,1,28000018,"UNDP","United National Democratic Party","","","","ATG"
"Antigua and Barbuda",28,"United People’s Movement",19,1984,1984,23,1984,1,28000019,"UPM","United People’s Movement","","","","ATG"
"Azerbaijan",31,"Musavat Party",30,2010,2010,2,2010,1,31000030,"","Musavat Party","","","","AZE"
"Azerbaijan",31,"New Azerbaijan Party",32,2010,2010,46.5,2010,1,31000032,"","New Azerbaijan Party","","","","AZE"
"Argentina",32,"afirmación para una república igualitaria",7,2003,2009,3.7,2005,4,32000007,"","Afirmación para una República Igualitaria","","","","ARG"
"Argentina",32,"movimiento por la dignidad y la independencia",78,1991,2009,5.8,1993,10,32000078,"","Movimiento por la Dignidad y la Independencia","","","","ARG"
"Argentina",32,"partido humanista",168,1985,2009,2.5,2001,10,32000168,"","Partido Humanista","","","","ARG"
"Argentina",32,"partido intransigente",171,1983,2009,6.1,1985,11,32000171,"","Partido Intransigente","","","","ARG"
"Argentina",32,"partido justicialista",175,1983,2009,38.5,1983,13,32000175,"","Partido Justicialista","","","","ARG"
"Argentina",32,"partido socialista",211,1983,2009,5.7,2007,8,32000211,"","Partido Socialista","","","","ARG"
"Argentina",32,"partido unidad federalista",223,2001,2009,2.5,2001,4,32000223,"","Partido Unidad Federalista","","","","ARG"
"Argentina",32,"UNION CIVICA RADICAL (U.C.R.)",236,1983,2009,48,1983,13,32000236,"","Unión Cívica Radical","","","","ARG"
"Argentina",32,"uni—n del centro democr‡tico",237,1983,2009,5.1,1991,13,32000237,"","Unión del Centro Democrático","","","","ARG"
"Argentina",32,"union provincial",242,1985,2009,13.3,2009,4,32000242,"","Union Provincial","","","","ARG"
"Argentina",32,"ACUERDO CIVICO Y SOCIAL",298,2009,2009,9.5,2009,1,32000298,"","Acuerdo Civico y Social","","","","ARG"
"Australia",36,"anti-socialist party",2,1906,1906,42.1,1906,1,36000002,"","Anti-Socialist Party","","","","AUS"
"Australia",36,"australia party",3,1969,1983,2.4,1972,6,36000003,"","Australia Party","","","","AUS"
"Australia",36,"australian democrats",7,1977,1984,9.4,1977,4,36000007,"","Australian Democrats","","","","AUS"
"Australia",36,"australian labor party",8,1901,1984,50.9,1914,34,36000008,"","Australian Labor Party","","","","AUS"
"Australia",36,"australian labor party (anti-communist)",9,1955,1955,5.1,1955,1,36000009,"","Australian Labor Party (Anti-Communist)","","","","AUS"
"Australia",36,"australian labor party (non-communist)",10,1940,1943,4.4,1940,2,36000010,"","Australian Labor Party (Non-Communist)","","","","AUS"
"Australia",36,"australian labor party (nsw)",11,1931,1934,13.5,1934,2,36000011,"","Australian Labor Party (NSW)","","","","AUS"
"Australia",36,"commonwealth liberal party",20,1910,1914,49.5,1913,3,36000020,"","Commonwealth Liberal Party","","","","AUS"
"Australia",36,"communist party of australia",21,1931,1984,2,1943,21,36000021,"","Communist Party of Australia","","","","AUS"
"Australia",36,"country - national party (qld)",25,1943,1943,4,1943,1,36000025,"","Country - National Party (Qld)","","","","AUS"
"Australia",36,"country party",27,1919,1974,16.7,1937,22,36000027,"","Country Party","","","","AUS"
"Australia",36,"democratic labor party",31,1958,1984,7.8,1958,11,36000031,"","Democratic Labor Party","","","","AUS"
"Australia",36,"emergency committee of south australia",33,1931,1931,4.9,1931,1,36000033,"","Emergency Committee of South Australia","","","","AUS"
"Australia",36,"free trade party",36,1901,1903,57.1,1901,2,36000036,"","Free Trade Party","","","","AUS"
"Australia",36,"liberal and country league",40,1934,1946,4.6,1934,2,36000040,"","Liberal and Country League","","","","AUS"
"Australia",36,"liberal party",43,1922,1922,3.8,1922,1,36000043,"","Liberal Party","","","","AUS"
"Australia",36,"liberal party of australia",45,1946,1984,41.6,1975,17,36000045,"","Liberal Party of Australia","","","","AUS"
"Australia",36,"national country party of australia",52,1975,1980,11.4,1975,3,36000052,"","National Country Party of Australia","","","","AUS"
"Australia",36,"national party of australia",54,1983,1984,10.6,1984,2,36000054,"","National Party of Australia","","","","AUS"
"Australia",36,"nationalist party",58,1917,1929,54.2,1917,6,36000058,"","Nationalist Party","","","","AUS"
"Australia",36,"one parliament for australia",60,1943,1943,2.1,1943,1,36000060,"","One Parliament for Australia","","","","AUS"
"Australia",36,"protectionist party",69,1901,1906,34,1901,3,36000069,"","Protectionist Party","","","","AUS"
"Australia",36,"social credit",81,1931,1946,4.7,1934,5,36000081,"","Social Credit","","","","AUS"
"Australia",36,"state labor party (nsw)",89,1940,1943,2.3,1940,2,36000089,"","State Labor Party (NSW)","","","","AUS"
"Australia",36,"united australia party",93,1931,1943,38,1931,5,36000093,"","United Australia Party","","","","AUS"
"Australia",36,"victorian farmers' union",97,1919,1919,4.2,1919,1,36000097,"","Victorian Farmers' Union","","","","AUS"
"Australia",36,"western australian party",99,1906,1906,2.3,1906,1,36000099,"","Western Australian Party","","","","AUS"
"Austria",40,"christlich-soziale partei",2,1919,1930,45,1923,4,40000002,"","Christlich-Soziale Partei","Christian Social Party","","","AUT"
"Austria",40,"demokratische fortschrittliche partei",3,1966,1966,3.3,1966,1,40000003,"","Demokratische Fortschrittliche Partei","Democratic Progressive Party","","","AUT"
"Austria",40,"demokratische parteien",4,1919,1920,2.4,1919,2,40000004,"","Demokratische Parteien","Democratic Party","","","AUT"
"Austria",40,"deutsch-nationale parteien",5,1919,1923,18.4,1919,3,40000005,"","Deutsch-nationale Parteien","German Nationals’ Parties","","","AUT"
"Austria",40,"die freiheitlichen",6,1995,1995,21.9,1995,1,40000006,"","Die Freiheitlichen","The Liberals","","","AUT"
"Austria",40,"die grüne alternative",7,1986,1990,4.8,1986,2,40000007,"","Die Grüne Alternative","The Green Alternative","","","AUT"
"Austria",40,"die grŸnen Ð die grŸne alternative",8,1994,2008,11,2006,6,40000008,"","Die Grünen-Die Grüne Alternative","Austrian Greens","","","AUT"
"Austria",40,"freiheitliche partei …sterreichs",9,1956,2008,26.9,1999,16,40000009,"","Freiheitliche Partei Österreichs","Austrian Freedom Party","","","AUT"
"Austria",40,"heimatblock",10,1930,1930,6.2,1930,1,40000010,"","Heimatblock","Fatherland Bloc","","","AUT"
"Austria",40,"kommunistische partei …sterreichs",11,1945,2008,5.4,1945,9,40000011,"","Kommunistische Partei Österreichs","Austrian Communist Party","","","AUT"
"Austria",40,"landbund für Österreich",12,1927,1927,6.3,1927,1,40000012,"","Landbund für Österreich","Austrian Land League","","","AUT"
"Austria",40,"liberales forum",13,1994,2008,6,1994,5,40000013,"","Liberales Forum","Liberal Forum","","","AUT"
"Austria",40,"nationaler wirtschaftsblock und landbund",14,1930,1930,11.6,1930,1,40000014,"","Nationaler Wirtschaftsblock und Landbund","National Business Bloc and Land League","","","AUT"
"Austria",40,"…sterreichische volkspartei",15,1945,2008,49.9,1945,20,40000015,"","Österreichische Volkspartei","Austrian People’s Party","","","AUT"
"Austria",40,"sozialdemokratische arbeiterpartei",16,1919,1930,42.3,1927,5,40000016,"","Sozialdemokratische Arbeiterpartei","Social Democratic Workers' Party","","","AUT"
"Austria",40,"sozialdemokratische partei …sterreichs",17,1995,2008,38.1,1995,5,40000017,"","Sozialdemokratische Partei Österreichs","Austrian Social Democratic Party","","","AUT"
"Austria",40,"sozialistische partei Österreichs",18,1945,1994,51,1979,15,40000018,"","Sozialistische Partei Österreichs","Austrian Socialist Party","","","AUT"
"Austria",40,"verband der unabhängigen",19,1949,1953,11.7,1949,2,40000019,"","Verband der Unabhängigen","League of Independents","","","AUT"
"Austria",40,"vereinte grüne Österreichs",20,1990,1990,2,1990,1,40000020,"","Vereinte Grüne Österreichs","Austrian United Greens","","","AUT"
"Austria",40,"bŸndnis zukunft …sterreich",21,2006,2008,10.7,2008,2,40000021,"","Bündnis Zukunft Österreich","Alliance for the Future of Austria","","","AUT"
"Austria",40,"liste dr. martin Ð fŸr demokratie, kontrolle, gerechtigkeit",32,2006,2006,2.8,2006,1,40000032,"","Liste Dr. Martin – Für Demokratie, Kontrolle, Gerechtigkeit","Dr. Martin's List – For Democracy, Control, Justice","","","AUT"
"Bahamas",44,"coalition & labour",3,2002,2002,2.2,2002,1,44000003,"C+L","Coalition & Labour","","","","BHS"
"Bahamas",44,"free national movement",4,1997,2012,57.6,1997,4,44000004,"FNM","Free National Movement","","","","BHS"
"Bahamas",44,"progressive liberal party",6,1997,2012,51.8,2002,4,44000006,"PLP","Progressive Liberal Party","","","","BHS"
"Bahamas",44,"Democratic National Alliance",8,2012,2012,8.6,2012,1,44000008,"DNA","Democratic National Alliance","","","","BHS"
"Bangladesh",50,"bangladesh awami league",3,1973,2008,73,1973,4,50000003,"","Awami League","","","","BGD"
"Bangladesh",50,"bangladesh jamaytee islami",10,2001,2008,4.7,2008,2,50000010,"","Bangladesh Jamaytee Islami","","","","BGD"
"Bangladesh",50,"bangladesh national awami party - bangladesh nap",26,1973,2008,5.3,1973,3,50000026,"","Bangladesh National Awami Party - Bangladesh NAP","","","","BGD"
"Bangladesh",50,"bangladesh nationalist party",28,1991,2008,41.4,2001,3,50000028,"","Bangladesh Nationalist Party","","","","BGD"
"Bangladesh",50,"jatiya party",56,1991,2008,11.9,1991,3,50000056,"","Jatiya Party","","","","BGD"
"Bangladesh",50,"jatiya samajtantric dal - jasad",61,1973,2008,6.7,1973,3,50000061,"","Jatiya Samajtantric Dal – Jasad","","","","BGD"
"Bangladesh",50,"national awami party (muzaffar group)",69,1973,1991,8.5,1973,2,50000069,"","National Awami Party (Muzaffar)","","","","BGD"
"Bangladesh",50,"Jamaat-E-Islami",102,1991,1991,12.3,1991,1,50000102,"","Jamaat-E-Islami","","","","BGD"
"Armenia",51,"Armenian Revolutionary Federation",1,2007,2012,2.4,2012,2,51000001,"","Armenian Revolutionary Federation","","","","ARM"
"Armenia",51,"Dashinq Party",8,2007,2007,2.9,2007,1,51000008,"","Dashinq Party","","","","ARM"
"Armenia",51,"Heritage Party",14,2012,2012,2.3,2012,1,51000014,"","Heritage Party","","","","ARM"
"Armenia",51,"Pan-Armenian National Movement Party",23,2007,2012,3.8,2012,2,51000023,"","Pan-Armenian National Movement Party","","","","ARM"
"Armenia",51,"Prosperous Armenia Party",27,2007,2012,17.1,2007,2,51000027,"","Prosperous Armenia Party","","","","ARM"
"Armenia",51,"Republic Party",28,2012,2012,4.2,2012,1,51000028,"","Republic Party","","","","ARM"
"Armenia",51,"Republican Party of Armenia First Candidate",30,2007,2012,35.6,2012,2,51000030,"","Republican Party of Armenia First Candidate","","","","ARM"
"Armenia",51,"Rule of Law Party",32,2007,2012,7.4,2007,2,51000032,"","Rule of Law Party","","","","ARM"
"Barbados",52,"barbados labour party",1,1966,2013,64.9,1999,11,52000001,"","Barbados Labour Party","","","","BRB"
"Barbados",52,"barbados national party",2,1966,1966,10.1,1966,1,52000002,"","Barbados National Party","","","","BRB"
"Barbados",52,"democractic labour party",3,1966,2013,59.4,1986,11,52000003,"","Democratic Labour Party","","","","BRB"
"Barbados",52,"national democratic party",4,1994,1994,12.8,1994,1,52000004,"","National Democratic Party","","","","BRB"
"Belgium",56,"agalev",1,1981,1995,4.9,1991,5,56000001,"","Agalev","Live Differently, Greens (Flemish)","","","BEL"
"Belgium",56,"bloc catholique belge",2,1939,1939,32.7,1939,1,56000002,"","Bloc catholique belge","Belgian Catholic Bloc","","","BEL"
"Belgium",56,"cartel van den boeynants",3,1968,1968,4.6,1968,1,56000003,"","Cartel Van den Boeynants","Van de Boeynants Cartel","","","BEL"
"Belgium",56,"christelijke vlaamse volksunie",4,1954,1954,2.2,1954,1,56000004,"","Christelijke vlaamse volksunie","Christian Flemish People’s Party","","","BEL"
"Belgium",56,"christelijke volkspartij",5,1968,1995,23.6,1977,10,56000005,"","Christelijke volkspartij","Christian People’s Party (Flemish)","","","BEL"
"Belgium",56,"ecolo",6,1981,1995,5.1,1991,5,56000006,"","Ecolo","Ecologist Confederation for the Organization of New Struggles (Walloon)","","","BEL"
