"ctr_n","ctr","pty_n","pty","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty"
"Albania",8,"aleanca demokratike",1,2001,2013,2.8,2005,4,8000001
"Albania",8,"lëvizja socialiste për integrim",8,2005,2013,10.5,2013,3,8000008
"Albania",8,"partia agrare ambientaliste e shqipërisë",9,2005,2013,3.6,2005,3,8000009
"Albania",8,"partia bashkimi për të drejtat e njeriut",17,2001,2013,2.5,2005,4,8000017
"Albania",8,"partia demokratike",23,2001,2013,40.2,2009,4,8000023
"Albania",8,"pdr",28,2005,2005,3.7,2005,1,8000028
"Albania",8,"partia demokracia sociale",29,2005,2013,2.4,2005,3,8000029
"Albania",8,"pr",44,2005,2005,10,2005,1,8000044
"Albania",8,"partia republikane shqiptare",46,2001,2013,3.1,2013,3,8000046
"Albania",8,"partia socialdemokrate e shqipërisë",47,2001,2013,7,2005,4,8000047
"Albania",8,"partia socialiste e shqipërisë",52,2001,2013,43.9,2001,4,8000052
"Albania",8,"pv",54,2001,2001,4.1,2001,1,8000054
"Albania",8,"partia drejtësi. integrim dhe unitet",74,2013,2013,2.6,2013,1,8000074
"Andorra",20,"Agrupament Independent per Sant Julía",1,2001,2001,3.1,2001,1,20000001
"Andorra",20,"Agrupament Nacional Democràtic",2,1997,1997,30.9,1997,1,20000002
"Andorra",20,"Andorra pel Canvi",3,2009,2011,12.3,2009,2,20000003
"Andorra",20,"Andorra pel Canvi-Units per al Progrés",4,2009,2009,2.5,2009,1,20000004
"Andorra",20,"Demòcrates per Andorra",5,2011,2011,49.1,2011,1,20000005
"Andorra",20,"Iniciativa Democràtica Nacional",7,1997,1997,9.2,1997,1,20000007
"Andorra",20,"Joint Coalició Reformista-Unió Laurediana",8,2009,2009,3.7,2009,1,20000008
"Andorra",20,"Nova Democràcia",9,1997,1997,15,1997,1,20000009
"Andorra",20,"Partit Demòcrata",10,2001,2001,22.9,2001,1,20000010
