"","ctr_n","pty","abbr","name","name_english","information","ctr","pty_n","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","country"
"1","Afghanistan",1,,"Hizb-e Wahdat-e Islami Afghanistan","Islamic Unity Party of Afghanistan",,4,"Islamic Unity Party of Afghanistan",2010,2010,4.4,2010,1,4000001,"AFG"
"2","Albania",1,"AD","Partia Aleanca Demokratike","Democratic Alliance Party",,8,"aleanca demokratike",2001,2017,2.8,2005,5,8000001,"ALB"
"3","Albania",7,"LSI","Lëvizja Socialiste për Integrim","Socialist Movement for Integration",,8,"lÃ«vizja socialiste pÃ«r integrim",2005,2017,14.3,2017,4,8000007,"ALB"
"4","Albania",8,"PAA","Partia Agrare Ambientaliste","Environmentalist Agrarian Party",,8,"partia agrare ambientaliste e shqipërisë",2005,2013,3.6,2005,3,8000008,"ALB"
"5","Albania",16,"PBDNJ","Partia Bashkimi për të Drejtat e Njeriut","Unity for Human Rights Party",,8,"partia bashkimi për të drejtat e njeriut",2001,2013,2.5,2005,4,8000016,"ALB"
"6","Albania",22,"PD","Partia Demokratike","Democratic Party",,8,"partia demokratike",2001,2017,40.2,2009,5,8000022,"ALB"
"7","Albania",26,"PDR","Partia Demokrate e Re","New Democratic Party",,8,"pdr",2005,2005,3.7,2005,1,8000026,"ALB"
"8","Albania",27,"PDSSH","Partia Demokracia Sociale e Shqiperisë","Social Democracy Party of Albania",,8,"partia demokracia sociale",2005,2017,2.4,2005,4,8000027,"ALB"
"9","Albania",41,"PR","Partia Republikane e Shqipërisë","Republican Party of Albania",,8,"partia republikane shqiptare",2001,2017,10,2005,5,8000041,"ALB"
"10","Albania",44,"PSD","Partia Social Demokrate","Social Democrat Party",,8,"partia socialdemokrate e shqipërisë",2001,2013,7,2005,4,8000044,"ALB"
"11","Albania",49,"PSSH","Partia Socialiste e Shqipërisë","Socialist Party of Albania",,8,"partia socialiste e shqipërisë",2001,2017,48.3,2017,5,8000049,"ALB"
"12","Albania",51,"PV",,,,8,"pv",2001,2001,4.1,2001,1,8000051,"ALB"
"13","Albania",71,"PDIU","Partia Drejtësi. Integrim dhe Unitet","Party for Justice, Integration and Unity",,8,"partia drejtësi. integrim dhe unitet",2013,2017,4.8,2017,2,8000071,"ALB"
"14","Andorra",1,,"Argupament Independent per Sant Julia","Independent Group for Sant Julía",,20,"Agrupament Independent per Sant Julía",2001,2001,3.1,2001,1,20000001,"AND"
"15","Andorra",2,,"Agrupament Nacional Democràtic","National Democratic Group",,20,"Agrupament Nacional Democràtic",1997,1997,30.9,1997,1,20000002,"AND"
"16","Andorra",3,,"Andorra pel Canvi","Andorra for Change",,20,"Andorra pel Canvi",2009,2011,12.3,2009,2,20000003,"AND"
"17","Andorra",4,,"Andorra pel Canvi-Units per al Progrés","Andorra for Change-United for Progress",,20,"Andorra pel Canvi-Units per al Progrés",2009,2009,2.5,2009,1,20000004,"AND"
"18","Andorra",5,,"Demòcrates per Andorra","Democrats for Andorra",,20,"DemocrÃ tesÂ per Andorra",2011,2015,49.1,2011,2,20000005,"AND"
"19","Andorra",7,,"Iniciativa Democràtica Nacional","Democratic National Initiative",,20,"Iniciativa Democràtica Nacional",1997,1997,9.2,1997,1,20000007,"AND"
"20","Andorra",8,,"Joint Coalició Reformista-Unió Laurediana","Reformist Coalition-Lauredian Union",,20,"Joint Coalició Reformista-Unió Laurediana",2009,2009,3.7,2009,1,20000008,"AND"
"21","Andorra",9,,"Nova Democràcia","New Democracy",,20,"Nova Democràcia",1997,1997,15,1997,1,20000009,"AND"
"22","Andorra",10,,"Partit Demòcrata","Democratic Party",,20,"Partit Demòcrata",2001,2001,22.9,2001,1,20000010,"AND"
"23","Andorra",11,,"Partit Liberal d'Andorra","Liberal Party of Andorra",,20,"Partit Liberal d'Andorra",2001,2015,42.1,2001,3,20000011,"AND"
"24","Andorra",12,,"Partit Socialdemòcratica","Social Democratic Party",,20,"Partit Socialdemòcratica",2001,2011,38.1,2005,4,20000012,"AND"
"25","Andorra",13,,"Renovació Democràtica","Democratic Renewal",,20,"Renovació Democràtica",2005,2005,6.2,2005,1,20000013,"AND"
"26","Andorra",14,,"Unió Laurediana","Lauredian Union",,20,"Unió Laurediana",2001,2011,4.4,2011,2,20000014,"AND"
"27","Andorra",15,,"Unió Liberal","Liberal Union",,20,"Unió Liberal",1997,1997,43.3,1997,1,20000015,"AND"
"28","Andorra",19,,"Verds d'Andorra","Greens of Andorra",,20,"Verds d'Andorra",2005,2011,3.5,2005,3,20000019,"AND"
"29","Andorra",20,,"Socialdemocràcia i Progrés","Social Democracy and Party",,20,"SocialdemocrÃ cia i ProgrÃ©s",2015,2015,10.6,2015,1,20000020,"AND"
"30","Angola",5,,"Convergência Ampla de Salvação de Angola-Coligação Eleitoral",,,24,"ConvergÃªncia Ampla de SalvaÃ§Ã£o de AngolaâColigaÃ§Ã£o Eleitoral",2012,2017,9.2,2017,2,24000005,"AGO"
"31","Angola",6,,"Frente Nacional de Libertação de Angola",,,24,"Frente Nacional de LibertaÃ§Ã£o de Angola",1992,2017,2.4,1992,4,24000006,"AGO"
"32","Angola",9,,"Movimento Popular de Libertação de Angola",,,24,"Movimento Popular de LibertaÃ§Ã£o de Angola",1992,2017,81.6,2008,4,24000009,"AGO"
"33","Angola",12,,"Partido Liberal Democrático",,,24,"Partido Liberal Democrático",1992,2008,2.4,1992,2,24000012,"AGO"
"34","Angola",16,,"Partido de Renovação Social",,,24,"Partido de RenovaÃ§Ã£o Social",1992,2017,3.2,2008,4,24000016,"AGO"
"35","Angola",18,,"União Nacional para a Independência Total de Angola",,,24,"UniÃ£o Nacional para a IndependÃªncia Total de Angola",1992,2017,34.1,1992,4,24000018,"AGO"
"36","Anguilla",1,,"Anguilla Democratic Party",,,660,"anguilla democratic party",1989,2000,32.9,1999,4,660000001,"AIA"
"37","Anguilla",2,,"Anguilla for Good Government",,,660,"anguilla for good government",1994,1994,11.7,1994,1,660000002,"AIA"
"38","Anguilla",3,,"Anguilla National Alliance",,,660,"anguilla national alliance",1989,2000,42.8,1999,4,660000003,"AIA"
"39","Anguilla",4,,"Anguilla Patriotic Movement",,,660,"anguilla patriotic movement",2000,2000,4.1,2000,1,660000004,"AIA"
"40","Anguilla",5,,"Anguilla Progressive Party",,,660,"anguilla progressive party",2005,2010,14.7,2010,2,660000005,"AIA"
"41","Anguilla",6,,"Anguilla Strategic Alliance",,,660,"anguilla strategic alliance",2005,2005,19.3,2005,1,660000006,"AIA"
"42","Anguilla",7,,"Anguilla United Movement",,,660,"anguilla united movement",2000,2010,32.7,2010,3,660000007,"AIA"
"43","Anguilla",8,,"Anguilla United Party",,,660,"anguilla united party",1989,1999,22.3,1989,3,660000008,"AIA"
