country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,partyfacts_id
ALB,clea,8000054,PV,NA,NA,2001,2001,4.1,2001,NA,NA,2015-07-20T21:04:31Z,2015-10-06T18:51:48Z,10301,2570
ALB,clea,8000046,PRSH,Partia Republikane Shqiptare,Albanian Republican Party,2001,2013,3.1,2013,NA,NA,2015-07-20T21:04:40Z,2015-10-06T18:51:27Z,10447,819
ALB,clea,8000001,AD,Partia Aleanca Demokratike,Democratic Alliance Party,2001,2013,2.8,2005,NA,NA,2015-07-20T21:04:34Z,2015-10-06T18:52:04Z,10359,594
ALB,clea,8000023,PD,Partia Demokratike,Democratic Party,2001,2013,40.2,2009,NA,NA,2015-07-20T21:05:09Z,2015-10-06T18:51:49Z,10985,190
ALB,clea,8000009,PAA,Partia Agrare Ambientaliste,Environmentalist Agrarian Party,2005,2013,3.6,2005,NA,NA,2015-07-20T21:04:45Z,2015-10-06T18:51:10Z,10553,840
ALB,clea,8000028,PDR,Partia Demokrate e Re,New Democratic Party,2005,2005,3.7,2005,NA,NA,2015-07-20T21:04:48Z,2015-10-06T18:51:09Z,10615,1558
ALB,clea,8000074,PDIU,Partia Drejtësi. Integrim dhe Unitet,"Party for Justice, Integration and Unity",2013,2013,2.6,2013,NA,NA,2015-07-20T21:05:42Z,2015-10-06T18:51:20Z,11496,3270
ALB,clea,8000044,PR,Partia Republikane,Republican Party of Albania,2005,2005,10,2005,NA,NA,2015-07-20T21:04:56Z,2015-10-06T18:51:21Z,10752,819
ALB,clea,8000029,PDSSH,Partia Demokracia Sociale e Shqiperisë,Social Democracy Party of Albania,2005,2013,2.4,2005,NA,NA,2015-07-20T21:04:31Z,2015-10-06T18:51:06Z,10308,838
ALB,clea,8000047,PSD,Partia Social Demokrate,Social Democrat Party,2001,2013,7,2005,NA,NA,2015-07-20T21:04:32Z,2015-10-06T18:51:38Z,10321,838
ALB,clea,8000008,LSI,Lëvizja Socialiste për Integrim,Socialist Movement for Integration,2005,2013,10.5,2013,NA,NA,2015-07-20T21:04:46Z,2015-10-06T18:51:07Z,10571,2297
ALB,clea,8000052,PSSH,Partia Socialiste e Shqipërisë,Socialist Party of Albania,2001,2013,43.9,2001,NA,NA,2015-07-20T21:05:03Z,2015-10-06T18:51:31Z,10890,1729
ALB,clea,8000017,PBDNJ,Partia Bashkimi për të Drejtat e Njeriut,Unity for Human Rights Party,2001,2013,2.5,2005,NA,NA,2015-07-20T21:06:01Z,2015-10-06T18:51:39Z,11805,1636
AND,clea,20000003,NA,Andorra pel Canvi,Andorra for Change,2009,2011,12.3,2009,NA,NA,2015-07-20T21:05:06Z,2015-10-06T18:51:41Z,10941,3712
AND,clea,20000004,NA,Andorra pel Canvi-Units per al Progrés,Andorra for Change-United for Progress,2009,2009,2.5,2009,NA,NA,2015-07-20T21:05:17Z,2015-10-06T18:51:27Z,11099,3712
AND,clea,20000007,NA,Iniciativa Democràtica Nacional,Democratic National Initiative,1997,1997,9.2,1997,NA,NA,2015-07-20T21:05:45Z,2015-10-06T18:51:07Z,11561,3711
AND,clea,20000010,NA,Partit Demòcrata,Democratic Party,2001,2001,22.9,2001,NA,NA,2015-07-20T21:04:45Z,2015-10-06T18:51:09Z,10549,4208
AND,clea,20000013,NA,Renovació Democràtica,Democratic Renewal,2005,2005,6.2,2005,NA,NA,2015-07-20T21:04:38Z,2015-10-06T18:51:38Z,10412,3674
AND,clea,20000005,NA,Demòcrates per Andorra,Democrats for Andorra,2011,2011,49.1,2011,NA,NA,2015-07-20T21:05:48Z,2015-10-06T18:52:04Z,11623,3713
AND,clea,20000019,NA,Verds d'Andorra,Greens of Andorra,2005,2011,3.5,2005,NA,NA,2015-07-20T21:05:26Z,2015-10-06T18:51:06Z,11240,3676
AND,clea,20000001,NA,Argupament Independent per Sant Julia,Independent Group for Sant Julía,2001,2001,3.1,2001,NA,NA,2015-07-20T21:05:47Z,2015-10-06T18:52:01Z,11589,3714
AND,clea,20000014,NA,Unió Laurediana,Lauredian Union,2001,2011,4.4,2011,NA,NA,2015-07-20T21:04:39Z,2015-10-06T18:51:43Z,10435,3708
AND,clea,20000011,NA,Partit Liberal d'Andorra,Liberal Party of Andorra,2001,2005,42.1,2001,NA,NA,2015-07-20T21:05:39Z,2015-10-06T18:51:10Z,11426,3673
AND,clea,20000015,NA,Unió Liberal,Liberal Union,1997,1997,43.3,1997,NA,NA,2015-07-20T21:05:14Z,2015-10-06T18:51:36Z,11067,3673
AND,clea,20000002,NA,Agrupament Nacional Democràtic,National Democratic Group,1997,1997,30.9,1997,NA,NA,2015-07-20T21:05:43Z,2015-10-06T18:51:58Z,11508,4207
AND,clea,20000009,NA,Nova Democràcia,New Democracy,1997,1997,15,1997,NA,NA,2015-07-20T21:04:50Z,2015-10-06T18:52:05Z,10660,3710
AND,clea,20000008,NA,Joint Coalició Reformista-Unió Laurediana,Reformist Coalition-Lauredian Union,2009,2009,3.7,2009,NA,NA,2015-07-20T21:05:02Z,2015-10-06T18:51:54Z,10874,3885
AND,clea,20000012,NA,Partit Socialdemòcratica,Social Democratic Party,2001,2011,38.1,2005,NA,NA,2015-07-20T21:05:39Z,2015-10-06T18:52:03Z,11441,3675
AGO,clea,24000005,NA,Convergência Ampla de Salvação de Angola-Coligação Eleitoral,NA,2012,2012,6,2012,NA,NA,2015-07-20T21:05:22Z,2015-10-06T18:52:01Z,11169,3556
AGO,clea,24000009,NA,Movimento Popular de Libertação de Angola,NA,2008,2012,81.6,2008,NA,NA,2015-07-20T21:04:47Z,2015-10-06T18:51:57Z,10599,2298
AGO,clea,24000016,NA,Partido de Renovação Social,NA,2008,2012,3.2,2008,NA,NA,2015-07-20T21:05:45Z,2015-10-06T18:51:18Z,11556,2342
AGO,clea,24000018,NA,União Nacional para a Independência Total de Angola,NA,2008,2012,18.7,2012,NA,NA,2015-07-20T21:05:39Z,2015-10-06T18:51:50Z,11438,2343
AIA,clea,660000001,NA,Anguilla Democratic Party,NA,1989,2000,32.9,1999,NA,NA,2015-07-20T21:05:20Z,2015-10-06T18:51:51Z,11140,3869
AIA,clea,660000003,NA,Anguilla National Alliance,NA,1989,2000,42.8,1999,NA,NA,2015-07-20T21:05:47Z,2015-10-06T18:51:21Z,11588,3872
AIA,clea,660000004,NA,Anguilla Patriotic Movement,NA,2000,2000,4.1,2000,NA,NA,2015-07-20T21:05:21Z,2015-10-06T18:51:40Z,11160,3875
AIA,clea,660000005,NA,Anguilla Progressive Party,NA,2005,2010,14.7,2010,NA,NA,2015-07-20T21:05:29Z,2015-10-06T18:51:37Z,11290,3871
AIA,clea,660000006,NA,Anguilla Strategic Alliance,NA,2005,2005,19.3,2005,NA,NA,2015-07-20T21:05:04Z,2015-10-06T18:51:11Z,10909,3876
AIA,clea,660000007,NA,Anguilla United Movement,NA,2000,2010,32.7,2010,NA,NA,2015-07-20T21:05:02Z,2015-10-06T18:51:19Z,10873,3870
AIA,clea,660000008,NA,Anguilla United Party,NA,1989,1999,22.3,1989,NA,NA,2015-07-20T21:04:50Z,2015-10-06T18:52:01Z,10650,3870
AIA,clea,660000002,NA,Anguilla for Good Government,NA,1994,1994,11.7,1994,NA,NA,2015-07-20T21:04:52Z,2015-10-06T18:51:22Z,10707,3873
AIA,clea,660000009,NA,Movement for Grass Roots Democracy,NA,2000,2000,3.7,2000,NA,NA,2015-07-20T21:05:55Z,2015-10-06T18:51:52Z,11732,3874
AIA,clea,660000010,NA,Party for Anguilla’s Culturation and Economy,NA,1989,1989,4.7,1989,NA,NA,2015-07-20T21:04:52Z,2015-10-06T18:51:11Z,10686,3868
ATG,clea,28000006,ACLM,Antigua Caribbean Liberation Movement,NA,1980,1989,2,1989,NA,NA,2015-07-20T21:04:59Z,2015-10-06T18:51:58Z,10834,4152
ATG,clea,28000007,ADLP,Antigua Democratic Labour Party,NA,1960,1960,2.6,1960,NA,NA,2015-07-20T21:05:46Z,2015-10-06T18:51:40Z,11577,4154
ATG,clea,28000002,ALP,Antigua Labour Party,NA,1951,2009,87.4,1951,NA,NA,2015-07-20T21:04:50Z,2015-10-06T18:51:39Z,10656,4144
ATG,clea,28000008,ANP,Antigua National Party,NA,1956,1956,12.5,1956,NA,NA,2015-07-20T21:04:39Z,2015-10-06T18:51:11Z,10433,4147
ATG,clea,28000009,APP,Antigua People’s Party,NA,1971,1971,3.5,1971,NA,NA,2015-07-20T21:05:22Z,2015-10-06T18:51:44Z,11168,4145
ATG,clea,28000010,ABDM,Antigua and Barbuda Democratic Movement,NA,1965,1965,20.2,1965,NA,NA,2015-07-20T21:05:04Z,2015-10-06T18:51:06Z,10908,4153
ATG,clea,28000011,BDM,Barbuda Democratic Movement,NA,1960,1989,6,1960,NA,NA,2015-07-20T21:04:42Z,2015-10-06T18:51:20Z,10496,4146
ATG,clea,28000017,PLM,Progressive Labour Movement,NA,1971,1984,57.7,1971,NA,NA,2015-07-20T21:05:12Z,2015-10-06T18:51:40Z,11034,4151
ATG,clea,28000018,UNDP,United National Democratic Party,NA,1989,1989,31,1989,NA,NA,2015-07-20T21:04:59Z,2015-10-06T18:51:34Z,10825,4149
