"ctr_n","ctr","pty_n","pty","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","abbr","name","name_english","name_other","comment","country"
"Australia",36,"emergency committee of south australia",33,1931,1931,4.9,1931,1,36000033,"","Emergency Committee of South Australia","","","","AUS"
"Austria",40,"die freiheitlichen",6,1995,1995,21.9,1995,1,40000006,"","Die Freiheitlichen","The Liberals","","","AUT"
"Germany",276,"freie demokratische partei",10,1881,2005,4.9,2005,2,276000010,"","Dänen","Regional party in Schleswig","","","DEU"
"India",356,"all india anna dravida munnetra kazhagam",59,1977,2004,2.9,1977,9,356000059,"ADK","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM","","","","IND"
"India",356,"all india trinamool congress",81,1999,2009,3.2,2009,3,356000081,"AITC","All India Trinamool Congress","","","","IND"
"India",356,"bahujan samaj party",114,1989,2004,19.7,1992,7,356000114,"BSP","BAHUJAN SAMAJ PARTY","","","","IND"
"India",356,"bharatiya janata party",138,1984,2009,25.6,1998,11,356000138,"BJP","BHARATIYA JANATA PARTY","","","","IND"
"India",356,"bharatiya lok dal",148,1977,1977,41.3,1977,1,356000148,"BLD","BHARATIYA LOK DAL","","","","IND"
"India",356,"bharatiya socialist party",172,1980,2009,6.2,2009,2,356000172,"BSP","BHARATIYA SOCIALIST PARTY","","","","IND"
"India",356,"communist party of india",201,1977,2009,3.8,1985,13,356000201,"CPI","COMMUNIST PARTY OF INDIA","","","","IND"
"India",356,"communist party of india (marxist)",202,1977,2009,6.5,1989,13,356000202,"CPM","COMMUNIST PARTY OF INDIA (MARXIST)","","","","IND"
"India",356,"dravida munnetra kazhagam",215,1977,2009,2.4,1984,10,356000215,"DMK","DRAVIDA MUMMETRA KAZHAGAM","","","","IND"
"India",356,"indian congress (socialist- sarat chandra sinha)",260,1984,1998,6.1,1985,6,356000260,"ICS","INDIAN CONGRESS (SOCIALIST)","","","","IND"
"India",356,"indian natioanl congress (i)",266,1977,2009,49.3,1992,13,356000266,"INC","INDIAN NATIONAL CONGRESS","","","","IND"
"India",356,"janata dal",293,1989,1998,17.8,1989,5,356000293,"JD","JANATA DAL","","","","IND"
"India",356,"janata dal (united)",297,1999,2009,3.1,1999,3,356000297,"JD(U)","Janata Dal (United)","","","","IND"
"India",356,"janata pary (jp)",299,1980,2004,19,1980,11,356000299,"JNP","JANATA PARTY","","","","IND"
"India",356,"janta party (secular)",306,1980,1980,9.4,1980,1,356000306,"JNP(S)","JANTA PARTY (SECULAR)","","","","IND"
"India",356,"lok dal (bahuguna)",345,1984,1996,6,1984,6,356000345,"LKD","LOK DAL","","","","IND"
"India",356,"nationalist congress party",405,1999,2009,2.3,1999,3,356000405,"NCP","Nationalist Congress Party","","","","IND"
"India",356,"plains tribals council of assam",437,1985,1998,4.2,1985,3,356000437,"PTC","PLAINS TRIBALS COUNCIL OF ASSAM","","","","IND"
"India",356,"rashtriya janata dal",472,1998,2009,2.8,1998,4,356000472,"RJD","RASHTRIYA JANATA DAL","","","","IND"
"India",356,"samajwadi party",518,1996,2009,4.9,1998,5,356000518,"SP","SAMAJWADI PARTY","","","","IND"
