dataset_party_id,partyfacts_id
4000001,5876
8000051,2570
8000007,2297
8000008,840
8000001,594
8000016,1636
8000027,838
8000026,1558
8000022,190
8005004,7075
8000071,3270
8000041,819
8000044,838
8000049,1729
20000002,4207
20000003,3712
20000004,3712
20000001,3714
20005003,6516
20005004,8802
20000005,3713
20000007,3711
20000008,8802
20000009,3710
20000010,4208
20000011,3673
20000012,3675
20005009,3885
20000013,3674
20000020,5875
20000014,3708
20000015,3673
20000019,3676
24000005,3556
24000006,5131
24000009,2298
24000016,2342
24000012,5136
24000018,2343
660000001,3869
660000002,3873
660000003,3872
660000004,3875
660000005,3871
660000006,3876
660005001,6432
660000007,3870
660000008,3870
660000009,3874
660000010,3868
28000010,4153
28000002,4144
28000006,4152
28000007,4154
28000008,4147
28000009,4145
28000011,4146
28000017,4151
28000018,4149
28000019,4148
28000005,4150
32000298,3889
32000007,1215
32005478,7049
32005434,2530
32005137,6116
32005181,623
32005257,623
32005273,2530
32000078,4181
32000168,4180
32000171,4183
32000175,623
32000211,1365
32000223,4204
32000351,1790
32000236,1724
32000237,4182
32000242,2579
51000038,2007
51000001,2020
51000008,4206
51000014,3783
51000023,4365
51000027,4205
51000029,2013
51000030,2013
51000028,2013
51000032,2007
51005004,8804
533000001,5516
533000002,5519
533000003,6921
533000004,5518
533000005,5520
533000007,6937
533000011,8803
533000006,5517
36000002,663
36000007,990
36000008,424
36000009,3772
36000010,1572
36000011,248
36000003,1756
36000020,1999
36000021,134
36000025,410
36000027,1743
36000031,1540
36000033,1139
36000142,1263
36000036,663
36000040,1642
36000152,285
36000043,1998
36000044,1998
36000045,486
36000052,1743
36000058,338
36000054,1743
36000158,1162
36000060,785
36000160,1996
36000069,454
36000081,113
36000089,672
36000091,1209
36000093,566
36000097,388
36000099,1058
40000021,599
40000002,3678
40000003,346
40000004,3679
40000005,1935
40000007,1659
40000008,1659
40005001,8805
40000009,463
40000010,3304
40000011,996
40000012,1916
40000013,605
40000032,1708
40000014,6235
40000044,1970
40000015,1329
40000016,1384
40000017,1384
40000018,1384
40000046,1971
40000019,1710
40000020,1170
31000008,5877
31000030,7050
31000032,1995
44000003,3288
44000008,3653
44000004,3652
44000006,3284
48000001,5883
48000002,5894
48000009,5914
48000007,5806
48000013,5994
48000014,5916
50000003,2299
50000010,2340
50000026,3781
50000028,3782
50000175,2340
50000056,2341
50000061,3777
50000069,3779
52000001,3694
52000002,3695
52000003,3686
52000004,3693
112000005,7406
112000007,3275
112000002,7418
56000001,528
56000002,1892
56005001,826
56000003,3672
56000040,2338
56000004,1424
56000005,622
56000035,604
56000044,1424
56000006,1563
56000008,191
56000009,3689
56000039,528
56000041,43
56000046,789
56000042,36
56000043,49
56000010,302
56000011,554
56000012,49
56000013,275
56000049,1753
56000021,49
56000014,275
56000015,2289
56000016,554
56000023,3880
56000017,633
56000018,405
56000019,500
56000020,480
56000024,1016
56000025,1829
56000026,1680
56000047,1680
56000027,1892
56000028,558
56000048,76
56000036,1968
56000029,553
56000037,49
56000030,49
56000031,1424
56000032,3879
56000033,1424
56000034,1424
84000001,4088
84000002,4084
84000003,4087
84000005,4085
84005002,3899
84000006,4086
84000011,3739
84000014,3738
204000029,5903
204000002,2300
204000005,4089
204000007,3831
204005029,6569
204000032,5900
204000008,7053
204000033,5902
204000010,3836
204000012,3828
204000036,3831
204000037,5920
204000013,2365
204000038,5921
204000040,5882
204000015,2368
204000016,3841
204000017,3839
204000018,3834
204000023,3900
204000024,4091
204000025,4090
60000002,3722
60000005,3790
60000003,3721
60000004,3723
64000001,3820
64000002,3303
64000003,3822
64000004,3823
68000002,4393
68005003,3903
68000045,715
68000007,4396
68000008,4396
68000013,4385
68000048,3903
68000012,170
68005006,3903
68000058,5143
68000017,442
68005010,442
68000018,4398
68000021,4387
68000022,4387
68000024,4392
68000049,4399
68000026,568
68000027,4389
68000029,4390
68000031,4388
68000032,4386
68000033,5139
68000035,4391
68000052,4394
68000037,4401
68000038,4384
68000059,5138
68005011,1700
68000039,1238
68000040,4395
68000060,8858
68000056,4400
70000002,3683
70000029,4717
70000006,3170
70000030,3168
70000043,1760
70005022,1340
70000013,3240
70000093,8806
70000015,1673
70000063,292
70000018,292
70000036,3171
70000020,537
70000022,1166
70000024,1222
70000025,1454
70000027,357
72000017,2301
72000018,3631
72000019,3632
72000001,3633
72000002,2337
72000003,2301
72000004,3631
72000005,2336
72000006,3632
72000013,3631
72005001,4832
76000082,4614
76000077,1536
76000083,4614
76000010,2489
76000009,565
76000045,4410
76000041,4405
76000058,225
76000019,1536
76000014,4403
76000016,1163
76000017,1009
76000046,4404
76000028,654
76000067,356
76000024,1823
76000039,267
76000037,4402
76000035,781
76000040,4408
76000043,4408
76000056,861
76000057,3816
76000062,501
76000055,723
76000060,6920
76000063,4409
76000064,4406
76000069,458
76000084,458
76000072,4650
76000075,547
76000076,4407
92000002,3760
92000005,3352
92000003,3757
92000004,3752
100005033,1665
100000149,3187
100000103,1793
100000152,3188
100005001,1665
100005002,1665
100000017,1027
100000021,2060
100000019,2060
100000090,5848
100000109,1195
100000132,2058
100000030,982
100000032,149
100000114,760
100005010,1665
100005018,1665
100000116,265
100000119,374
100000121,374
100000142,2057
100000122,2022
100000053,2635
100000055,709
100000123,272
100000068,2059
100000073,482
100000074,2025
100000075,2026
854000009,4313
854000014,3909
854000039,5769
854000051,5925
854000052,5904
854000056,5923
854000077,4317
854000119,5768
854000120,4318
854000123,4315
116000025,5521
116000004,3763
116000009,3761
116000002,3764
116000001,3765
116000010,3762
120000011,3682
120000030,5878
120000010,3774
120000012,3773
120000014,5411
120000017,3775
124000005,3640
124000007,407
124000008,1428
124000011,1332
124000021,232
124000023,1004
124000026,3629
124000037,3009
124000038,931
124000039,1941
124000041,875
124000042,1739
124000049,3642
124000056,3642
124000072,152
124000075,3009
124000083,3641
124000085,1930
124000088,232
124000094,973
124000095,1932
124000096,1757
124000100,1156
124003999,2637
132000001,3913
132000002,3793
132000003,3796
132000004,3770
132000005,3794
132000007,3792
136000005,5145
136000001,3786
136000006,5146
136000002,3787
136000003,3788
136000004,3914
152005018,6061
152005021,6060
152005017,4550
152005007,6061
152005010,6061
152005001,4550
152005009,4550
152005011,4550
152005014,6061
152005002,6061
152000008,4642
152000009,4643
152000010,4638
152000012,4633
152000014,4096
152000015,162
152000001,162
152000003,209
152000017,4825
152000018,256
152000019,6
170000129,5879
170000005,3815
170000015,569
170000018,710
170000032,1107
170000033,4486
170000049,1774
170000050,4487
170000051,3916
170000073,4488
170000116,3819
170000158,5926
170000091,561
170000092,3818
170000095,1577
170000119,3817
170000159,759
170000099,362
170000160,3817
170000102,759
170000105,3814
170000107,218
174000002,5297
174006001,4926
174000019,7485
174000009,5712
174000010,5710
174000012,5713
174000014,5711
188000001,504
188000002,1247
188000056,4421
188000057,4413
188000020,4417
188000062,4416
188000021,1252
188000063,4412
188000023,4230
188000025,2646
