"id","id_duplicate","country","year_first","year_last","name_short","name","name_source","ignore_partyfacts","comment"
1,,"BOL",1966,1966,"","Comunidad Democrática Cristiana","Comunidad Democrática Cristiana 1966",0,""
2,,"BOL",1985,1985,"","Democrático Cristiano","Democrático Cristiano 1985",0,""
3,,"BOL",1958,1962,"","Social Cristiano","Social Cristiano 1958 & 1962",0,""
4,,"BOL",1979,1989,"","Acción Democrática Nacionalista (Bánzer)","Acción Democrática Nacionalista (Bánzer) 1979–89",0,""
5,,"BOL",1966,1966,"","Alianza Institucionalista Democrática","Alianza Institucionalista Democrática 1966",0,""
6,,"BOL",1956,1993,"","Falange Socialista Boliviano","Falange Socialista Boliviano 1956–62 & 1980–93",0,""
7,,"BOL",1960,1980,"","Revolucionario Auténtico","Revolucionario Auténtico 1960–62 & 1980",0,""
8,,"BOL",1993,1993,"ADN + MIR","Acuerdo Patriótico","Acuerdo Patriótico (ADN + MIR) 1993",0,""
9,,"BOL",1980,1980,"","Alianza del MNR","Alianza del MNR 1980",0,""
10,,"BOL",1966,1966,"","Movimiento Nacionalista Pazestenssorista","Movimiento Nacionalista Pazestenssorista 1966",0,""
11,17,"BOL",1989,1989,"","Movimiento Nacionalista Revolucionario","Movimiento Nacionalista Revolucionario 1989",0,""
12,,"BOL",1966,1966,"","MNR-Andrade","MNR-Andrade 1966",0,""
13,,"BOL",1985,1985,"","Movimiento Nacionalista Revolucionario Histórico","Movimiento Nacionalista Revolucionario Histórico 1985",0,""
14,,"BOL",1993,1993,"","Movimiento Nacionalista Revolucionario–Movimiento Revolucionario Tupaj-Katari de Liberación","Movimiento Nacionalista Revolucionario–Movimiento Revolucionario Tupaj-Katari de Liberación 1993",0,""
15,,"BOL",1980,1980,"","MNR Unido","MNR Unido 1980",0,""
16,,"BOL",1985,1989,"","Movimiento de la Izquierda Revolucionaria","Movimiento de la Izquierda Revolucionaria 1985–89",0,""
17,17,"BOL",1956,1962,"","Movimiento Nacionalista Revolucionario","Movimiento Nacionalista Revolucionario 1956–62",0,""
18,,"BOL",1985,1985,"","Movimiento Nacionalista Revolucionario de Izquierda","Movimiento Nacionalista Revolucionario de Izquierda 1985",0,""
19,46,"BOL",1985,1985,"","Movimiento Nacional Revolucionario de Vanguardia","Movimiento Nacional Revolucionario de Vanguardia 1985",0,""
20,,"BOL",1979,1980,"UDP","Unión Democrática y Popular","Unión Democrática y Popular (UDP) 1979–80",0,""
21,,"BOL",1985,1985,"","Acción Cívica Popular","Acción Cívica Popular 1985",0,""
22,,"BOL",1985,1985,"AUR","Acción Humanista Revolucionaria","Acción Humanista Revolucionaria (AUR) 1985",0,""
23,,"BOL",1980,1980,"","Alianza de Fuerzas de la Izquierda Nacional","Alianza de Fuerzas de la Izquierda Nacional 1980",0,""
24,,"BOL",1985,1985,"","Alianza Renovadora Nacional","Alianza Renovadora Nacional 1985",0,""
25,,"BOL",1956,1962,"PCB","Comunista Boliviano","Comunista Boliviano (PCB) 1956–62",0,""
26,,"BOL",1966,1966,"","Frente de Liberación Nacional (Comunista)","Frente de Liberación Nacional (Comunista) 1966",0,""
27,,"BOL",1985,1985,"","Frente Popular Unido","Frente Popular Unido 1985",0,""
28,,"BOL",1985,1985,"","Fuerza Nacional Progresista","Fuerza Nacional Progresista 1985",0,""
29,,"BOL",1985,1993,"","Izquierda Unida","Izquierda Unida 1985–93",0,""
30,,"BOL",1989,1989,"","Movimiento de Izquierda Nacional","Movimiento de Izquierda Nacional 1989",0,""
31,,"BOL",1993,1993,"","Movimiento Bolivia Libre","Movimiento Bolivia Libre 1993",0,""
32,,"BOL",1985,1985,"","MNR de Izquierda–1","MNR de Izquierda–1 1985",0,""
33,,"BOL",1956,1985,"POR","Obrero Revolucionario","Obrero Revolucionario (POR) 1956–62 & 1985",0,""
34,,"BOL",1980,1980,"PRIN","Revolucionario de la Izquierda Nacional–Alianza","Revolucionario de la Izquierda Nacional–Alianza (PRIN-Alianza) 1980",0,""
35,,"BOL",1979,1989,"PS-1","Socialista-1","Socialista-1 (PS-1) 1979–89",0,""
36,,"BOL",1979,1979,"","Vanguardia Obrera","Vanguardia Obrera 1979",0,""
37,,"BOL",1989,1993,"","Vanguardia Revolucionaria 9 de abril","Vanguardia Revolucionaria 9 de abril 1989–93",0,""
38,,"BOL",1989,1989,"FULKA","Frente Unico de Liberación Katarista","Frente Unico de Liberación Katarista (FULKA) 1989",0,""
39,,"BOL",1979,1980,"","Movimiento Indio Tupaj Katari","Movimiento Indio Tupaj Katari 1979–80",0,""
40,,"BOL",1989,1989,"","Movimiento Indio Tupaj Katari–1","Movimiento Indio Tupaj Katari–1 1989",0,""
41,,"BOL",1993,1993,"","Movimiento Katarista Nacional","Movimiento Katarista Nacional 1993",0,""
42,,"BOL",1985,1985,"","Movimiento Revolucionario Tupaj-Katari","Movimiento Revolucionario Tupaj-Katari 1985",0,""
43,,"BOL",1985,1989,"","Movimiento Revolucionario Tupaj-Katari de Liberación","Movimiento Revolucionario Tupaj-Katari de Liberación 1985–89 (allied with MNR in 1993)",0,""
44,,"BOL",1989,1993,"CONDEPA","Consciencia de Patria","Consciencia de Patria (CONDEPA) (Carlos Palenque) 1989–93",0,""
45,,"BOL",1966,1966,"","Frente de la Revolución Boliviana - Movimiento Popular Cristiano","Frente de la Revolución Boliviana (aka Movimiento Popular Cristiano) (Barrientos) 1966",0,""
46,46,"BOL",1985,1985,"","Movimiento Nacional Revolucionaria de Vanguardia","Movimiento Nacional Revolucionaria de Vanguardia (Carlos Serrate Reich) 1985",0,""
47,,"BOL",1993,1993,"","Unión Cívica Solidaridad","Unión Cívica Solidaridad (Max Fernández) 1993",0,""
48,,"BOL",1993,1993,"","Vanguardia Revolucionaria 9 de abril","Vanguardia Revolucionaria 9 de abril (Carlos Serrate Reich) 1993",0,""
49,,"BOL",1979,1979,"","Alianza Popular de Integración Nacional","Alianza Popular de Integración Nacional 1979",0,""
50,,"BOL",1993,1993,"ARBOL","Alianza Renovadora Boliviana","Alianza Renovadora Boliviana (ARBOL) 1993",0,""
51,,"BOL",1993,1993,"","Alternativa del Socialismo Democrático","Alternativa del Socialismo Democrático 1993",0,""
52,,"BOL",1993,1993,"","Eje de Convergencia Patriótica","Eje de Convergencia Patriótica 1993",0,""
53,,"BOL",1980,1980,"","Frente Democrático Revolucionario–Nueva Alternativa","Frente Democrático Revolucionario–Nueva Alternativa 1980",0,""
