"country","party_id","party","party_short","comment","party_name","polity_notes","country_short"
"Albania","#0080001","Socialist Party (PS)","PS",,"Socialist Party",,"ALB"
"Albania","#0080002","Democratic Party (PD)","PD",,"Democratic Party",,"ALB"
"Albania","#0080003","Socialist Movement for Integration (LSI)","LSI",,"Socialist Movement for Integration",,"ALB"
"Albania","#0080004","Republican Party (PR)","PR",,"Republican Party",,"ALB"
"Albania","#0080005","Social Democratic Party (PSD)","PSD",,"Social Democratic Party",,"ALB"
"Albania","#0080010","Christian Democratic Party (PDK)","PDK",,"Christian Democratic Party",,"ALB"
"Albania","#0080011","Democratic Alliance Party (PAD)","PAD",,"Democratic Alliance Party",,"ALB"
"Albania","#0080030","New Democratic Party (PDR)","PDR",,"New Democratic Party",,"ALB"
"Albania","#0080031","Agrarian Party (PAA)","PAA",,"Agrarian Party",,"ALB"
"Albania","#0080032","Movement of Leka Zogu I (LZhK)","LZhK",,"Movement of Leka Zogu I",,"ALB"
"Albania","#0080033","Human Rights Union Party (PBDNj)","PBDNj",,"Human Rights Union Party",,"ALB"
"Albania","#0080100","Union for Victory (Parta Demokratike+PR+PLL+PBK+PBL)",,"Parta Demokratike+PR+PLL+PBK+PBL","Union for Victory",,"ALB"
"Argentina","#0320001","Front for the Victory (FPV)","FPV",,"Front for the Victory",,"ARG"
"Argentina","#0320002","Let's Change (Cam)","Cam",,"Let's Change","Let's Change (Cam) is an electoral coalition founded in 2015 and composed of Republican Proposal (PRO), Radical Civic Union (UCR) and Civic Coalition (CC-ARI).","ARG"
"Argentina","#0320003","United for a New Alternative (UNA)","UNA",,"United for a New Alternative","United for a New Alternative (UNA) is an electoral coalition founded in 2015. The Popular Union (UP) is a member of this coalition.","ARG"
"Argentina","#0320004","Workers' Left Front (FIT)","FIT",,"Workers' Left Front",,"ARG"
"Argentina","#0320005","Progressives (Pro)","Pro",,"Progressives",,"ARG"
"Argentina","#0320006","Federal Commitment (ACF)","ACF",,"Federal Commitment",,"ARG"
"Argentina","#0320007","Republican Proposal (PRO)","PRO",,"Republican Proposal",,"ARG"
"Argentina","#0320008","Radical Civic Union (UCR)","UCR",,"Radical Civic Union",,"ARG"
"Argentina","#0320009","Justicialist Party (PJ, Peronismo)","PJ, Peronismo",,"Justicialist Party",,"ARG"
"Argentina","#0320020","Popular Union (UP)","UP",,"Popular Union",,"ARG"
"Argentina","#0320021","Broad Progressive Front (FAP)","FAP",,"Broad Progressive Front","Broad Progressive Front (FAP) was an electoral alliance in the 2011 Argentinian Presidential Elections. It was dissolved in 2013.","ARG"
"Argentina","#0320022","Civic Coalition ARI (CC-ARI)","CC-ARI",,"Civic Coalition ARI",,"ARG"
"Australia","#0360001","Liberal Party (LP)","LP",,"Liberal Party",,"AUS"
"Australia","#0360002","National Party of Australia (NPA)","NPA",,"National Party of Australia","National Party of Australia (NPA) was listed as ""National (Country) Party (NCA)"" in the CSES MODULE 1 Codebook, which is an old name for the party. The current name was adopted in 1982 1982.","AUS"
"Australia","#0360003","Australian Labor Party (ALP)","ALP",,"Australian Labor Party",,"AUS"
"Australia","#0360004","Australian Democrats (AD)","AD",,"Australian Democrats",,"AUS"
"Australia","#0360005","Australian Greens (AG)","AG",,"Australian Greens",,"AUS"
"Australia","#0360007","Liberal Democratic Party (LDP)","LDP",,"Liberal Democratic Party",,"AUS"
"Australia","#0360008","One Nation Party (ONP)","ONP",,"One Nation Party",,"AUS"
"Australia","#0360009","Christian Democratic Party (CDP)","CDP",,"Christian Democratic Party",,"AUS"
"Australia","#0360010","The Australian Sex Party (ASXP)","ASXP",,"The Australian Sex Party",,"AUS"
"Australia","#0360011","Family First Party (FFP)","FFP",,"Family First Party",,"AUS"
"Australia","#0360012","Katter's Australia Party (KAP)","KAP",,"Katter's Australia Party",,"AUS"
"Australia","#0360013","Palmer United Party (PUP)","PUP",,"Palmer United Party",,"AUS"
"Australia","#0360014","Citizens Electoral Council (CEC)","CEC",,"Citizens Electoral Council",,"AUS"
"Australia","#0360015","Australian Shooters Party (ASP)","ASP",,"Australian Shooters Party",,"AUS"
