country,name_english,name,ees,ches,ess,country_iso3
AT,The Greens,Die Grünen – Die grüne Alternative,1040110,1304,5,AUT
AT,Austrian Social Democratic Party,Sozialdemokratische Partei Österreichs (SPÖ),1040320,1301,1,AUT
AT,Austrian Freedom Party,Freiheitliche Partei Österreichs (FPÖ),1040420,1303,3,AUT
AT,NEOS - The New Austria and Lib,NEOS - Das Neue Österreich,1040423,1309,7,AUT
AT,Austrian People's Party,Österreichische Volkspartei (ÖVP),1040520,1302,2,AUT
AT,Alliance for the Future of Aus,Bündnis Zukunft Österreich (BZÖ),1040600,1307,4,AUT
BE,Ecologists,Ecolo,1056111,104,10,BEL
BE,Francophone Socialist Party,PS (Parti Socialiste),1056322,102,13,BEL
BE,Workers Party of Belgium  (PVD,PTB-go! (Parti du Travail de Belgique),1056325,,14,BEL
BE,Socialist Party Different,sp.a (Socialistische Partij – Anders),1056327,103,5,BEL
BE,Workers Party of Belgium (PTB-,PVDA+ | PTB-go! (Partij van de Arbeid – Parti du Travail de Belgique),1056335,,6,BEL
BE,Open Flemish Liberals and Demo,Open VLD (Vlaamse Liberalen en Democraten),1056421,107,8,BEL
BE,Reform Movement,MR (Mouvement Réformateur),1056427,106,12,BEL
BE,Christian Democratic and Flemi,CD&V (Christen-Democratisch en Vlaams),1056521,109,2,BEL
BE,Humanist Democratic Centre,cdH (Centre Démocrate Humaniste),1056522,108,9,BEL
BE,People's Party,Parti populaire (PP),1056601,120,15,BEL
BE,Flemish Interest,Vlaams Belang (VB),1056711,112,7,BEL
BE,New Flemish Alliance,N-VA (Nieuw-Vlaamse Alliantie),1056913,110,3,BEL
BG,Union of Democratic Forces,СДС,1100001,2002,,BGR
BG,Coalition for Bulgaria,Коалиция за България (БСП и коалиция),1100300,2003,,BGR
BG,National Movement for Stability and Progress,НДСВ (Национално движение за стабилност и възход),1100400,,,BGR
BG,Citizens for European Developm,ГЕРБ (Граждани за европейско развитие на България),1100600,2010,,BGR
BG,Attack,Партия Атака,1100700,2007,,BGR
BG,Movement for Rights and Freedo,Коалиция за България (БСП и коалиция),1100900,2004,,BGR
HR,Coalition SDP + HNS + HSU + SD,Hrvatska stranka umirovljenika (HSU) + Samostalna demokratska srpska stranka (SDSS) + Istarski demokratski sabor (IDS),1191002,3102,,HRV
HR,Croatian Labouristi - Labour P,Hrvatski laburisti - Stranka rada (HL-SR),1191330,3112,,HRV
HR,Croatian Social-Liberal Party,Hrvatsko socijalno-liberalna stranka,1191410,3104,,HRV
HR,Croation Democratic Union,Hrvatska demokratska zajednica (HDZ),1191511,3101,,HRV
HR,Croatian Party of Rights,Hrvatska stranka prava dr. Ante Starčević (HSP AS),1191613,3113,,HRV
HR,Croatian Party of Rights,Hrvatska stranka prava (HSP),1191713,3109,,HRV
HR,Croatian Peasant Party,Hrvatska seljačka stranka (HSS),1191810,3103,,HRV
HR,Croatian Democratic Assembly o,Hrvatski demokratski savez Slavonije i Baranje (HDSSB),1191952,3107,,HRV
CY,Ecological and Environmental M,Κίνημα Οικολόγων Περιβαλλοντιστών Συμμαχία των Πολιτών,1196110,4006,,CYP
CY,Progressive Party of the Worki,Ανορθωτικό Κόμμα Εργαζόμενου Λαού (ΑΚΕΛ),1196321,4003,,CYP
CY,Social Democrats' Movement,Κινήμα Σοσιαλδημοκρατών (ΕΔΕΚ),1196322,4005,,CYP
CY,Democratic Party,Δημοκρατικό Κόμμα (ΔΗΚΟ),1196422,4004,,CYP
CY,European Party (Cyprus),Ευρωπαϊκό Κόμμα,1196600,4002,,CYP
CY,Democratic Coalition,Δημοκρατικός Συναγερμός (ΔΗΣΥ),1196711,,,CYP
CZ,Green Party,Strana zelených (SZ),1203110,2107,,CZE
CZ,Communist Party of Bohemia and,Communist Party of Bohemia and Moravia,1203220,2103,1,CZE
CZ,Czech Social Democratic Party,Česká strana sociálně demokratická (CSSD),1203320,2101,2,CZE
CZ,Civic Democratic Party,Občanská demokratická strana (ODS),1203413,2102,5,CZE
CZ,ANO 2011,Akce nespokojených občanů ANO 2011,1203423,2111,4,CZE
CZ,Christian and Democratic Union,Křesťanská a demokratická unie - Československá strana lidová (KDU/CSL),1203523,2104,6,CZE
CZ,"Tradition, Responsibility, Pro",Tradice Odpovědnost Prosperita 09 (TOP 09),1203530,2109,3,CZE
