country,name_english,year_first,year_last,share,year_share,paris_id,name_short
DEU,Greens,1983,1987,8.3,1987,10,Grue
CAN,Conservative Party of Canada (2003),2004,2015,39.6,2011,1004,CPC
CHE,Green Party,1991,2015,9.6,2007,1006,Grue
CZE,Civic Democratic Alliance,1992,1996,6.4,1996,1008,ODA
BRA,Democratic Labour Party,1982,2010,10,1990,1009,PDT
NOR,Progress Party [Anders Lange’s Party],1973,2013,22.9,2009,101,FrP
DEU,All-German Bloc / LED,1953,1953,5.9,1953,1010,GB/BHE
LTU,Labour Party,2004,2012,28.4,2004,102,DP
DNK,Danish Peoples Party,1998,2015,20.6,2015,1022,DF
IRL,Party of the Land,1943,1948,10.8,1944,1024,CnT
BGR,Bulgarian Business Bloc,1997,1997,5.3,1997,1027,BBB
CYP,Movement for Social Democracy EDEK,1970,2011,11.4,1976,1028,EDEK
MKD,Party for Democratic Prosperity,1990,1998,19.3,1998,1033,PDP
ROU,Romanian Social Democratic Party,1946,1946,,1946,1034,PSDR
GTM,National Advancement Party,1994,2003,34.3,1995,1035,PAN
ISR,Likud-National Liberal Movement,1965,2015,37.1,1981,1036,L
SVN,Socialist Party of Slovenia,1990,1990,5.4,1990,1037,SsS
ZAF,Democratic Alliance,2004,2014,22.2,2014,1038,DA
CZE,Freedom Union / Democratic Union,1998,1998,8.6,1998,104,US/DEU
EST,Estonian Greens,2007,2007,7.1,2007,1040,EER
CZE,Communist Party of Czechoslovakia,1925,1990,31.2,1946,1041,KSC
LVA,Latvian Way,1993,1998,32.4,1993,1043,LC
ITA,Movement for Autonomy,2008,2008,1.1,2008,1045,MpA
NZL,Labour Party,1911,2014,55.8,1938,1049,LP
HND,Democratic Unification Party,2005,2005,5.7,2005,1051,PUD
ISR,Israel for Immigration,1996,1999,5.7,1996,1053,YB
DDR,Party for Democratic Socialism,1990,1990,16.4,1990,1054,PDS
IRL,Fianna Fail – The Republican Party,1921,2011,51.9,1938,1055,FF
LVA,Harmony Centre,2006,2014,28.4,2011,1056,SC
TUR,Republican Peoples Party,1927,2015,100,1927,1060,CHP
ISR,Centre Party,1999,1999,5,1999,1061,MiHa/CP
TUR,Welfare Party,1987,1995,21.4,1995,1067,RP
NOR,Centre [Agrarian] Party,1921,2013,16.7,1993,1072,Sp/Bp
ISR,United Torah Judaism,2013,2015,5.2,2013,1075,YH
CYP,Progressive Party of Working People,1960,2011,35,1960,1076,AKEL
NOR,Communist Party of Norway,1924,1953,11.9,1945,1079,NKP
FRA,Gaullists,1951,1973,38,1968,1083,G
ISR,Workers Party of the Land of Israel,1944,1944,36.9,1944,109,Mapai
FIN,Finish People's Democratic Union,1922,2015,23.5,1945,1096,SKDL
NZL,Green Party,1990,2014,11.1,2011,1099,Greens
SLV,Christian Democratic Party,1961,2009,54,1985,11,PDC
