country,partyfacts_id,technical,name_short,name,name_english,name_other,year_first,year_last,share,share_year,new,wikipedia,description,comment,created,modified
AFG,6641,,SDP,Afğān Millat Gund,Afghan Social Democratic Party / Afghan Millat Party / Afghan Millat,Pashto: افغان ټولنپال ولسواک ګوند‎ / افغان ملت ګوند,1966,,1.6,2010,,https://en.wikipedia.org/wiki/Afghan_Millat_Party,4/249 seats in the 2010 Afghan parliamentary election,,2019-02-02 19:46:04.587339+00:00,2019-02-02 19:47:21.342072+00:00
AFG,8281,,HW,Hizbi Watan,Fatherland Party,,1990,1992,,,,,President & Prime minister 1990 - 1992,,2020-03-31 10:37:47.193372+00:00,2020-03-31 10:42:50.475638+00:00
AFG,6642,,IMA,Harakat-e Islami-yi Afghanistan,Islamic Movement of Afghanistan,Persian: حرکت اسلامی افغانستان‎,1978,,1.6,2010,,https://en.wikipedia.org/wiki/Islamic_Movement_of_Afghanistan,4/249 seats in the 2010 Afghan parliamentary election,,2019-02-02 19:53:35.410246+00:00,2019-02-02 19:53:35.410307+00:00
AFG,6643,,HI,Hezb-e Islami,Islamic Party,,1975,,4.8,2005,,https://en.wikipedia.org/wiki/Hezbi_Islami,12/249 seats in the 2005 Afghan parliamentary election,,2019-02-02 20:04:51.631557+00:00,2019-02-02 20:04:51.631606+00:00
AFG,5183,,JI,Jamiat-e Islami,Islamic Society,Persian: جمعیت اسلامی افغانستان‎‎;,1968,,23.7,1993,,https://en.wikipedia.org/wiki/Jamiat-e_Islami,,,2016-08-16 13:03:18.604439+00:00,2018-11-16 08:35:37.800869+00:00
AFG,8282,,IT,Ittehad-e Islami bara-ye Azadi-ye Afghanistan,Islamic Union for Liberation of Afghanistan,,1980,2005,,,,https://en.wikipedia.org/wiki/Islamic_Dawah_Organisation_of_Afghanistan,Prime minister 1994 - 1996,,2020-03-31 10:42:28.655561+00:00,2020-03-31 10:42:28.655617+00:00
AFG,5876,,HWIA,Hezb-e Wahdat-e Islami Afghanistan,Islamic Unity Party of Afghanistan,Persian: حزب وحدت اسلامی افغانستان‎,1989,2010,4.4,2010,,https://en.wikipedia.org/wiki/Hezbe_Wahdat,,,2018-05-22 15:00:22.190382+00:00,2018-11-21 16:02:18.585496+00:00
AFG,8280,,EM,Etelaf-e Milli,National Coalition of Afghanistan,Persian: ائتلاف ملی,2010,,,,,https://en.wikipedia.org/wiki/National_Coalition_of_Afghanistan,Chief executive 2014 - 2020,,2020-03-31 10:27:18.711370+00:00,2020-03-31 10:43:05.787232+00:00
AFG,5881,,NF,National (Fatherland) Front,National Front,,1978,1992,19.6,1988,,https://en.wikipedia.org/wiki/National_Front_(Afghanistan),,,2018-05-24 08:44:35.090626+00:00,2018-05-24 08:47:44.608662+00:00
AFG,6644,,Junbish,Junbish-i-Milli Islami Afghanistan,National Islamic Movement of Afghanistan,Dari: جنبش ملی اسلامی افغانستان‎,1992,,4.0,2010,,https://en.wikipedia.org/wiki/National_Islamic_Movement_of_Afghanistan,10/249 seats in the 2010 Afghan parliamentary election,,2019-02-02 20:09:13.326584+00:00,2019-02-02 20:09:13.326648+00:00
AFG,6046,,JNM,Jebh-e-Nejat-e Melli,National Liberation Front of Afghanistan,,1992,1992,,,,,leader support 1992 Mojadidi (JNM) –  see CHISOLS,,2018-07-15 18:18:18.359869+00:00,2020-02-07 17:45:09.461313+00:00
AFG,8233,,NRP,Hezb Enqilab Mile,National Revolutionary Party,Pashto: حزب انقلاب ملی,1974,1978,,,,https://en.wikipedia.org/wiki/National_Revolutionary_Party_of_Afghanistan,,,2020-03-20 20:12:12.774567+00:00,2020-03-20 20:12:12.774630+00:00
AFG,6645,,NSMA,Nahzat-e Hambastagi-ye Melli-ye Afghanistan,National Solidarity Movement of Afghanistan,Persian: نهضت همبستگی ملی افغانستان‎,2004,2010,1.2,2005,,https://en.wikipedia.org/wiki/National_Solidarity_Movement_of_Afghanistan,3/249 seats in the 2005 Afghan parliamentary election,,2019-02-02 20:12:20.586954+00:00,2019-02-02 20:12:20.587018+00:00
AFG,5184,,HDK,People's Democratic Party of Afghanistan,People's Democratic Party of Afghanistan,Persian: حزب دموکراتيک خلق افغانستان,1965,1992,100.0,1988,,https://en.wikipedia.org/wiki/People's_Democratic_Party_of_Afghanistan,,,2016-08-16 13:05:19.026146+00:00,2017-01-08 22:53:36.914849+00:00
AFG,4912,15,ally,alliance,alliance,,1800,,,,,,,,2016-07-12 16:16:20.315629+00:00,2020-06-11 20:23:55.978650+00:00
AFG,4911,12,tech,technical,technical,,1800,,,,,,,,2016-07-12 16:16:20.282452+00:00,2020-06-11 20:23:55.970030+00:00
AFG,4910,11,1-perc,1 percent,1 percent,,1800,,,,,,,,2016-07-12 16:16:20.251839+00:00,2020-06-11 20:23:55.963050+00:00
AFG,4909,10,unknown,unknown,unknown,,1800,,,,,,,,2016-07-12 16:16:20.184242+00:00,2020-06-11 20:23:55.954982+00:00
AFG,4908,8,indep,independent,independent,,1800,,,,,,,,2016-07-12 16:16:20.144247+00:00,2020-06-11 20:23:55.948382+00:00
AFG,4907,7,etc,other,other,,1800,,,,,,,,2016-07-12 16:16:17.914873+00:00,2020-06-11 20:23:55.941229+00:00
ALB,840,,PA,Partia Agrare,Agrarian Party,,1991,,2.6,2001,,https://en.wikipedia.org/wiki/Environmentalist_Agrarian_Party,,,2012-12-29 10:55:06.070000+00:00,2018-08-09 11:11:50.363919+00:00
ALB,8378,,PFS,Partia Fashiste e Shqipërisë,Albanian Fascist Party,,1939,1943,,,,https://en.wikipedia.org/wiki/Albanian_Fascist_Party,Prime minister 1939-1942,,2020-06-02 11:12:12.413014+00:00,2020-06-02 11:12:12.413073+00:00
ALB,674,,BKS,Partia Balli Kombëtar Shqiptar,Albanian National Front Party,,1991,,5.0,1996,,https://en.wikipedia.org/wiki/Albanian_National_Front_Party,member of 7075,,2012-12-29 10:54:33.531000+00:00,2019-05-25 21:35:47.602062+00:00
ALB,4715,,PKDSH,Partia Kristian Demokrate e Shqipërisë,Christian Democratic Party of Albania,,1991,,3.4,2005,True,https://en.wikipedia.org/wiki/Christian_Democratic_Party_of_Albania,,,2015-12-13 19:45:28.591722+00:00,2015-12-13 19:45:28.591772+00:00
ALB,7013,,PDK,Partia Demokristiane e Shqipërisë,Demochristian Party of Albania,,1991,,1.0,1996,,https://en.wikipedia.org/wiki/Demochristian_Party_of_Albania,,,2019-05-02 10:50:07.234416+00:00,2019-05-02 10:50:07.234480+00:00
ALB,594,,PAD,Partia Aleanca Demokratike,Democratic Alliance Party,,1992,,2.7,1997,,https://en.wikipedia.org/wiki/Democratic_Alliance_Party_%28Albania%29,,,2012-12-29 10:54:17.732000+00:00,2018-07-07 19:50:06.719914+00:00
ALB,6396,,FDSH,Fronti Demokratik i Shqipërisë,Democratic Front of Albania,,1945,1987,100.0,1987,,https://en.wikipedia.org/wiki/Democratic_Front_of_Albania,,,2018-11-18 10:10:09.372234+00:00,2018-11-18 10:14:41.137264+00:00
ALB,190,,PDS,Partia Demokratike e Shqipërisë,Democratic Party of Albania,,1990,,62.1,1992,,https://en.wikipedia.org/wiki/Democratic_Party_of_Albania,member of 7075,,2012-12-29 10:53:01.335000+00:00,2019-05-25 21:35:38.757867+00:00
ALB,717,,BLD,Bashkimi Liberal Demokrat,Liberal Democratic Union,,1995,,4.0,1996,,https://en.wikipedia.org/wiki/Liberal_Democratic_Union_(Albania),,,2012-12-29 10:54:41.973000+00:00,2019-10-24 14:59:48.132000+00:00
ALB,7328,,LO,Liberal Opposition,Liberal Opposition,,1923,1923,46.8,1923,,,36 of 77 seats in 1923 Albanian parliamentary election,ParIS,2019-07-27 19:54:38.563536+00:00,2019-07-27 19:54:38.563605+00:00
ALB,732,,PLL,Partia Lëvizja e Legalitetit,Movement of Legality Party,,1991,,3.3,1997,,https://en.wikipedia.org/wiki/Legality_Movement_Party,member of 7075,,2012-12-29 10:54:44.881000+00:00,2019-05-25 21:35:43.439859+00:00
ALB,8377,,BK,Balli Kombëtar,National Front,,1942,1945,,,,https://en.wikipedia.org/wiki/Balli_Kombëtar,Prime minister 1943; Chairman of High Council of Regency 1943,,2020-06-02 11:10:10.586292+00:00,2020-06-02 11:10:10.586328+00:00
ALB,1558,,PDR,Partia Demokrate e Re,New Democratic Party,,1999,2009,3.7,2005,,https://en.wikipedia.org/wiki/New_Democratic_Party_%28Albania%29,,,2012-12-29 10:57:33.316000+00:00,2017-06-13 09:59:55.312366+00:00
ALB,3697,,FRD,Fryma e Re Demokratike,New Democratic Spirit,,2012,,1.7,2013,,https://en.wikipedia.org/wiki/New_Democratic_Spirit,,,2015-08-01 09:34:31.421466+00:00,2015-11-07 18:32:25.269627+00:00
ALB,3270,,PDIU,"Partia Drejtësi, Integrim dhe Unitet","Party for Justice, Integration and Unity",,2011,,2.6,2013,,"https://en.wikipedia.org/wiki/Party_for_Justice,_Integration_and_Unity",,,2015-05-04 19:29:48.936215+00:00,2018-07-07 19:50:07.021803+00:00
ALB,4711,,PPSH,Partia e Punës e Shqipërisë,Party of Labour / Albanian Workers' Party,,1941,1991,100.0,1974,False,https://en.wikipedia.org/wiki/Party_of_Labour_of_Albania,,,2015-12-10 13:43:34.393961+00:00,2017-03-14 19:52:27.713580+00:00
ALB,8354,,AK,Aleanca Kuq e Zi,Red and Black Alliance,,2012,,0.6,2013,,https://en.wikipedia.org/wiki/Red_and_Black_Alliance,,,2020-04-16 12:47:19.288517+00:00,2020-04-16 12:47:19.288567+00:00
