country,id,accronym,party_name,party_name_english
Belgium,2101,N-VA,Nieuw-Vlaams Alliantie,New Flemish Alliance
Belgium,2102,VB,Vlaams Belang,Flemish Interest
Belgium,2103,CD&V,Christen-Democratisch en Vlaams,"Christian, Democratic and Flemish"
Belgium,2104,VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats
Belgium,2105,PS,Parti Socialiste,Socialist Party
Belgium,2106,MR,Mouvement Réformateur,Reformist Movement
Belgium,2107,SP.A,Socialistische Partij Anders,Socialist Party Different
Belgium,2108,UF,Union des Francophones,Union of Francophones
Belgium,2109,ProDG,Pro Deutschsprachige Gemeinschaft,Pro German-speaking Community
Bosnia and Herzegovina,7901,SDP,Socijaldemokratska Partija Bosne i Hercegovine,Social Democratic Party of Bosnia and Herzegovina
Bosnia and Herzegovina,7902,SDA,Stranka Demokratske Akcije,Party for Democratic Action
Bosnia and Herzegovina,7903,SBB BIH,Savez za Bolju Budućnost,Union for a Better Future
Bosnia and Herzegovina,7904,SBiH,Stranka za Bosnu i Hercegovinu,Party for Bosnia and Herzegovina
Bosnia and Herzegovina,7905,DNZ BIH,Demokratska Narodna Zajednica,Democratic People's Union of BiH
Bosnia and Herzegovina,7906,ASDA,Stranka Demokratske Aktivnosti,Party of Democrativ Activity
Bosnia and Herzegovina,7907,HDZ BIH,Hrvatska Demokratska Zajednica BiH,Croatian Democratic Union of BiH
Bosnia and Herzegovina,7908,HDZ1990,Hrvatska demokratska zajednica 1990,Croatian Democratic Union 1990
Bosnia and Herzegovina,7909,HSP- BiH,Hrvatska Stranka Prava,Croatian Party of Right
Bosnia and Herzegovina,7910,NSRZB,Narodna Stranka Radom za Boljitak,People's Party Work for Betterment
Bosnia and Herzegovina,7911,SNSD,Savez Nezavisnih Socijaldemokrata,Alliance of Independent Social Democrats
Bosnia and Herzegovina,7912,SDS,Srpska Demokratska Stranka,Serbian Democratic Party
Bosnia and Herzegovina,7913,PDP,Partija Demokratskog Progresa,Party of Democratic Progress
Bosnia and Herzegovina,7914,DNS,Demokratski Narodni Savez,Democratic People's Alliance
Bosnia and Herzegovina,7915,DP,Demokratska Partija Dragan Čavić,Democratic Party Dragan Čavić
Bosnia and Herzegovina,7916,SRS RS,Srpska Radikalna Stranka RS,Serb Radical Party RS
Bulgaria,8001,GERB,Grazhdani za Evropejsko razvitie na Balgaria,Citizens for European Development of Bulgaria
Bulgaria,8002,BSP,Balgarska socialisticheska partia,Bulgarian Socialist Party
Bulgaria,8003,SDS,Sayuz na demokratichnite sili,Union of Democratic Forces
Bulgaria,8004,DSB,Demokrati za silna Balgaria,Democrats for a Strong Bulgaria
Bulgaria,8005,Ataka,Partia Ataka,Party Attack
Bulgaria,8006,DPS,Dvizhenie za prava i svobodi,Movement for Rights and Freedoms
Croatia,8101,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union
Croatia,8102,SDP,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia
Croatia,8103,HNS,Hrvatska narodna stranka - liberalni demokrati,Croatian People's Party - Liberal Democrats
Croatia,8104,HSS,Hrvatska seljačka stranka,Croatian Peasant Party
Croatia,8105,HSP,Hrvatska stranka prava,Croatian Party of Rights
Croatia,8106,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serbian Party
Croatia,8107,DPS,Demokratska partija Srba,Democratic party of Serbs
Croatia,8108,NSS,Nova srpska stranka,New Serbian party
Croatia,8109,SDAH,Stranka demokratske akcije Hrvatske,Party of Democratic Action of Croatia
Croatia,8110,HDSSB,Hrvatski demokratski sabor Slavonije i Baranje,Croatian Democratic Assembly of Slavonia and Baranja
Croatia,8111,IDS,Istarski demokratski sabor,Istrian Democratic Assembly
Croatia,8112,PGS,Primorsko-goranski savez,Alliance of Primorje-Gorski Kotar
Croatia,8113,ARS,"Autonomna regionalna stranka Hrvatskog primorja, Gorskog kotara, otoka i Rijeke ","Autonomous Regional Party of the Croatian Primorje, Gorski kotar (Mountain district) and the island of Rijeka."
Croatia,8114,MDS,Međimurski demokratski savez,Medjimur Democratic Union
Denmark,1301,V,Venstre,The Liberal Party
Denmark,1302,SD,Socialdemokraterne,The Social Democrates
Denmark,1303,DF,Dansk Folkeparti,Danish People´s Party
Denmark,1304,SF,Socialistisk Folkeparti,Socialist People´s Party
Denmark,1305,K,Det Konservative Folkeparti,The Conservative Peoples Party
Denmark,1306,FLFL,Fólkaflokkurin,Conservative Party
Denmark,1307,SBFL,Sambandsflokkurin,Unionist´s Party
Denmark,1308,JVFL,Javnaðarflokkurin,Social Democratic Party
Denmark,1309,SJFL,Sjálvstýrisflokkurin,Self Government Party
Denmark,1310,TJFL,Tjóðveldisflokkurin,Republican Party
Denmark,1311,MFL,Miðflokkurin,The Centre Party
Denmark,1312,IA,Inuit Ataqatigiit,Community of the People
Denmark,1313,D,Demokraatit,Democrats
Denmark,1314,A,Atassut,Feeling of Community
Denmark,1315,S,Siumut,Forward
Estonia,8301,IRL,Isamaa ja Res Publica Liit,Pro Patria and Res Publica Union
Estonia,8302,EK,Eesti Keskerakond,Estonian Center Party
Estonia,8303,RE,Eesti Reformierakond,Estonian Reform Party
Estonia,8304,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party
Estonia,8305,VEE,Vene Erakond Eestis,Russian Party in Estonia
Finland,1401,Kok,Kansallinen Kokoomus,National Coalition Party
Finland,1402,PS,Perussuomalaiset,True Finns
Finland,1403,Kesk,Suomen Keskusta,Center Party of Finland
Finland,1404,SDP,Suomen Sosialidemokraattinen Puolue,Social Democratic Party of Finland
Finland,1405,Vas,Vasemmistoliitto,Left Alliance
Finland,1406,Vihr,Vihreä liitto,Green League
Finland,1407,SFP,Svenska folkpartiet i Finland/ Suomen ruotsalainen kansanpuolue,Swedish People's Party in Finland
Finland,1408,AF,Ålands Framtid,Future of Aland
France,3101,UMP,Union pour un mouvement populaire,Union for a Popular Movement
France,3102,PS,Parti socialiste,Socialist Party
France,3103,FN,Front national,National Front
France,3104,PNC,Parti de la nation corse/Partitu di a Nazione Corsa,Party of the corse nation
France,3105,CL,Corsica Libera,Free Corsica
France,3106,Unser,Unser Land - Le Parti Alsacien,Our Land - the Alsatian party
France,3107,UDB,Union Démocratique Bretonne/Unvaniezh Demokratel Breizh,Breton Democratic Union
France,3108,PÒc,Parti Occitan,Occitan Party
Italy,3201,PdL,Popolo della libertà,The People of Freedom
Italy,3202,PD,Partito Democratico,Democratic Party
Italy,3203,LN,Lega Nord,Northern League
Italy,3204,PNE,Progetto NordEst,North-East Project
Italy,3205,MPA,Movimento per le Autonomie,Movement for Autonomy
Italy,3206,NS,Noi Sud – Libertà e Autonomia,We the South – Freedom and Autonomy
Italy,3207,SVP,Südtiroler Volkspartei/Partito Popolare Sudtirolese,South Tyrolean People's Party
Italy,3208,UpT,Unione per il Trentino,Union for Trentino
Italy,3209,PATT,Partito Autonomista Trentino Tirolese,Trentino Tyrolean Autonomist Party
Italy,3210,STF,Süd-Tiroler Freiheit/Libertà Sud-Tirolese,South Tyrolean Freedom
Italy,3211,BU,BürgerUnion/Unione per il Sudtirolo,Union for South Tyrol
Italy,3212,UV,Union Valdôtaine,Valdotanian Union
Italy,3213,ALPE,Autonomie Liberté Participation Écologie,"Autonomy, Liberty, Participation, Ecology"
Italy,3214,PSd'Az,Partitu Sardu/Partito Sardo d'Azione,Sardinian Action Party
Italy,3215,UDS,Unione Democratica Sarda – Progetto Nazionalitario,Sardinian Democratic Union
