"party_id","natstrength"
1401,20.4
1402,19.1
1403,15.8
1404,19.1
1405,8.1
1406,7.3
1407,4.3
1408,
2101,17.4
2102,7.8
2103,10.9
2104,8.6
2105,13.7
2106,9.3
2107,9.2
2108,
2109,
3101,39.5
3102,24.7
3103,4.3
3104,
3105,
3106,
3107,
3108,
3201,37.4
3202,33.2
3203,8.3
3204,
3205,1.1
3206,
3207,0.4
3208,
3209,
3210,
3211,0
3212,
3213,
3214,0
3215,
3301,43.9
3302,
3303,39.9
3304,
3305,1.2
3306,3
3307,
3308,1.2
3309,0.8
3310,1.2
3311,
3312,
3313,
3314,0.2
3315,
5101,36.1
5102,
5103,29
5104,
5105,23
5106,1.7
5107,
5108,0.6
5109,0.6
5110,0.4
5111,
5112,
5113,0.1
5114,
7401,49.8
7402,26
7403,13
7404,
7901,26.1
7902,19
7903,12.2
7904,7.2
7905,1.5
7906,
7907,11
7908,4.9
7909,4.9
7910,4.8
7911,43.3
7912,22.2
7913,6.4
7914,4.6
7915,
7916,
8001,39.7
8002,17.7
8003,6.8
8004,6.8
8005,9.4
8006,14.4
8101,34.9
8102,32.5
8103,7.1
8104,6.8
8105,3.5
8106,0.4
8107,
8108,
8109,
8110,1.9
8111,1.6
8112,6.8
8113,
8114,
8301,20.5
8302,23.3
8303,28.6
8304,17.1
8305,0.9
8701,31.2
8702,31.2
8703,31.2
8704,26
8705,26
8706,19.7
8707,19.7
8708,7.7
8709,7.7
8710,7.7
8711,7.7
8712,1.4
8801,19.7
8802,15.1
8803,12.7
8804,11.7
8805,9
8806,4.8
8807,0.9
8901,39
8902,32.8
8903,10.2
8904,5.9
8905,2.7
8906,39
8907,39
9001,39.3
9002,29.4
9003,12.7
9004,10
9005,0.1
9101,51.9
9102,16.8
9103,9.2
9104,1.5
9105,1.9
9106,0.9
9107,0.8
9108,51.9
9109,51.9
9110,51.9
9201,41.5
9202,32.1
9203,13.1
9204,8.9
9205,0.2
9206,
9301,33.1
9302,32.4
9303,18.6
9304,3.2
9305,6.2
9306,
9307,0.3
9501,38.4
9502,
9503,29.5
9504,11.6
9505,7.6
9506,5.2
9507,1.8
9508,1.8
9509,38.4
9510,0.9
9511,
9512,0.4
9513,
9514,38.4
9601,34.8
9602,15.4
9603,8.5
9604,12.1
9605,5.1
9606,8.1
9607,4.3
9801,34.4
9802,30.7
9803,14.1
9804,5.4
9805,
9806,
9807,
9808,
9901,32.1
9902,24.7
9903,12.7
9904,11
9905,7.3
9906,2.1
9907,0.9
9908,0.1
9909,0.4
9910,0.3
9911,0.8
9912,1.2
9913,0.1
