round,country_name,party_id,party_accr,party_name,party_name_en,natstrength,seat,pec,elecyear
2016,Belgium,2101,N-VA,Nieuw-Vlaams Alliantie,New Flemish Alliance,20.26,22,0,2014
2016,Belgium,2102,VB,Vlaams Belang,Flemish Interest,3.67,2,0,2014
2016,Belgium,2103,CD&V,Christen-Democratisch en Vlaams,"Christian,Democratic and Flemish Party",11.61,12,0,2014
2016,Belgium,2104,VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats,9.78,9,0,2014
2016,Belgium,2105,PS,Parti Socialiste,Socialist Party,11.67,15,0,2014
2016,Belgium,2106,MR,Mouvement Réformateur,Reformist Movement,9.64,13,0,2014
2016,Belgium,2107,SP.A,Socialistische Partij Anders,Socialist Party Different,8.83,7,0,2014
2016,Belgium,2109,ProDG,Pro Deutschsprachige Gemeinschaft,Pro German-speaking Community,,0,0,2014
2016,Belgium,2110,DéFI,Démocrate Fédéraliste Indépendant,Francophone Democratic Federalists,,0,0,2014
2016,Belgium,2111,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggle,3.3,4,0,2014
2016,Belgium,2112,Groen,Groen,Green,5.32,4,0,2014
2016,Belgium,2113,PP,Parti populaire,Peoples Party,1.52,0.67,0,2014
2016,Bosnia and Herzegovina,7901,SDP,Socijaldemokratska Partija Bosne i Hercegovine,Social Democratic Party of BiH,9.45,7.142857143,0,2014
2016,Bosnia and Herzegovina,7902,SDA,Stranka demokratske akcije,Party for Democratic Action,27.87,21.42857143,0,2014
2016,Bosnia and Herzegovina,7903,SBB,Savez za bolju budućnost,Union for a Better Future,14.44,9.523809524,0,2014
2016,Bosnia and Herzegovina,7904,SBIH,Stranka za Bosnu i Hercegovinu,Party for Bosnia and Herzegovina,2.61,0,0,2014
2016,Bosnia and Herzegovina,7905,DNZ BiH,Demokratska narodna zajednica,Democratic People's Union of BiH,1.31,0,1,2014
2016,Bosnia and Herzegovina,7906,A-SDA,Stranka demokratske aktivnosti,Party of Democratic Activity,2.25,2.380952381,0,2014
2016,Bosnia and Herzegovina,7907,HDZ BiH,Hrvatska demokratska zajednica BiH,Croatian Democratic Union of BiH,12.15,9.523809524,0,2014
2016,Bosnia and Herzegovina,7908,HDZ 1990,Hrvatska demokratska zajednica 1990,Croatian Democratic Union 1990,4.08,2.380952381,0,2014
2016,Bosnia and Herzegovina,7909,HSP BiH,Hrvatska stranka prava Bosne i Hercegovine,Croatian Party of Rights of Bosnia and Herzegovina,0.56,0,1,2014
2016,Bosnia and Herzegovina,7910,NSRZB,Narodna stranka radom za boljitak,People's Party Work for Betterment,1.31,0,0,2014
2016,Bosnia and Herzegovina,7911,SNSD,Savez nezavisnih socijaldemokrata,Alliance of Independent Social Democrats,38.48,14.2857142857143,0,2014
2016,Bosnia and Herzegovina,7912,SDS,Srpska demokratska stranka,Serbian Democratic Party,32.67,11.9047619047619,0,2014
2016,Bosnia and Herzegovina,7913,PDP,Partija demokratskog progresa,Party of Democratic Progress,0.02,0,1,2014
2016,Bosnia and Herzegovina,7914,DNS,Demokratski narodni savez,Democratic People's Alliance,5.72,2.38,1,2014
2016,Bosnia and Herzegovina,7916,SRS RS,Srpska radikalna stranka RS,Serb Radical Party of RS,5.72,0,1,2014
2016,Bosnia and Herzegovina,7917,BPS,Bosanskohercegovačka patriotska stranka,Bosnian-Herzegovinian Patriotic Party,3.65,2.380952381,0,2014
2016,Bosnia and Herzegovina,7918,SPS,Socijalistička partija,Socialist Party,2.89,0,0,2014
2016,Bosnia and Herzegovina,7919,DF,Demokratska fronta,Democratic front,15.33,11.9047619,0,2014
2016,Bosnia and Herzegovina,7920,NDP,Narodni demokratski pokret,National Democratic Movement,7.77,2.38095238095238,1,2014
2016,Bulgaria,8001,GERB,Graždani za Evropejsko Razvitie na Bălgariya,Citizens for European Development of Bulgaria,32.7,35,0,2014
2016,Bulgaria,8005,Ataka,Partiya Ataka,Party Attack,4.5,4.58333333333333,0,2014
2016,Bulgaria,8006,DPS,Dviženie za Prava i Svobodi,Movement for Rights and Freedoms,14.8,15.8333333333333,0,2014
2016,Bulgaria,8007,KzB,Koaliciya za Bălgariya,Coalition for Bulgaria,15.4,16.25,0,2014
2016,Bulgaria,8008,RB,Reformatorski Blok,Reformist Block,8.9,14.2857142857143,0,2014
2016,Bulgaria,8009,PF,Patriotichen front,Patriotic Front,7.3,7.91666666666667,0,2014
2016,Bulgaria,8010,BBT,Bălgariya  bez tsenzura,Bulgaria without Censorship,5.7,6.25,0,2014
2016,Croatia,8101,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union,33.46,39.0728476821192,0,2015
2016,Croatia,8102,SDP,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia,32.31,37.0860927152318,0,2015
2016,Croatia,8106,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serbian Party,2,1.98675496688742,0,2015
2016,Croatia,8107,DPS,Demokratska partija Srba,Democratic Party of Serbs,2.61,0,1,2015
2016,Croatia,8109,SDAH,Stranka demokratske akcije Hrvatske,Party of Democratic Action of Croatia,,0,0,2015
2016,Croatia,8110,HDSSB,Hrvatski demokratski sabor Slavonije i Baranje,Croatian Democratic Assembly of Slavonia and Baranja,1.4,1.3,0,2015
2016,Croatia,8111,IDS,Istarski demokratski sabor,Istrian Democratic Assembly,1.83,1.98675496688742,0,2015
2016,Croatia,8115,MOST,Most nezavisnih lista,Bridge of independent lists,13.17,12.5827814569536,0,2015
2016,Croatia,8116,SNS,Srspka narodna stranka,Serb People's Party,,0,0,2015
2016,Estonia,8301,IRL,Isamaa ja Res Publica Liit,Pro Patria and Res Publica Union,13.7,13.8613861386139,0,2015
2016,Estonia,8302,EK,Eesti Keskerakond,Estonian Center Party,24.8,26.7326732673267,0,2015
2016,Estonia,8303,RE,Eesti Reformierakond,Estonian Reform Party,27.7,29.7029702970297,0,2015
2016,Estonia,8304,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party,15.2,14.8514851485149,0,2015
2016,Estonia,8305,VEE,Vene Erakond Eestis,Russian Party in Estonia,,0,0,2015
2016,Estonia,8306,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative Peoples of Estonia,8.1,6.93069306930693,0,2015
2016,Estonia,8307,EVA,Eesti Vabaerakond,Estonian Free Party,8.7,7.92079207920792,0,2015
2016,Finland,1401,Kok,Kansallinen Kokoomus r.p.,National Coalition Party,18.2,19,0,2015
2016,Finland,1402,PS,Perussuomalaiset,True Finns,21.1,25,0,2015
2016,Finland,1403,Kesk,Suomen Keskusta,Center Party of Finland,15.8,17.5,0,2015
2016,Finland,1404,SDP,Suomen Sosialidemokraattinen Puolue,Social Democratic Party of Finland,16.51,84,0,2015
2016,Finland,1405,Vas,Vasemmistoliitto,Left Alliance,7.13,12,0,2015
2016,Finland,1406,Vihr,Vihreä liitto,Green League,8.53,15,0,2015
2016,Finland,1407,SFP,Svenska folkpartiet i Finland / Suomen ruotsalainen kansanpuolue,Swedish People's Party in Finland,4.9,15,0,2015
2016,Finland,1408,AF,Ålands Framtid,Future of Aland,,0,0,2015
2016,Finland,1409,AD,Åländsk Demokrati,Alandic Democracy,,0,0,2015
2016,France,3101,UMP,Union pour un mouvement populaire,Union for a Popular Movement,27.12,33.62,0,2012
2016,France,3102,PS,Parti socialiste,Socialist Party,29.35,48.53,0,2012
2016,France,3103,FN,Front national,National Front,13.6,0.35,0,2012
2016,France,3104,PNC,Partitu di a Nazione Corsa / Parti de la nation corse,Party of the corse nation,,0,0,2012
2016,France,3105,CL,Corsica Libera,Free Corsica,,0,0,2012
2016,France,3110,Chjama,A Chjama Naziunale,The national call,,0,0,2012
2016,France,3111,EELV,Europe Écologie – Les Verts,Europe Ecology - The Greens,5.46,2.95,0,2012
2016,France,3112,FDG,Front de Gauche,Left Front,6.91,1.73,0,2012
2016,France,3109,Inseme,Inseme per a Corsica / Ensemble pour la Corse,Together for Corsica,,0,0,2012
2016,Italy,3201,PdL,Popolo della libertà,The People of freedom,21.6,15.72,0,2013
2016,Italy,3202,PD,Partito Democratico,Democratic Party,25.43,47.33,0,2013
2016,Italy,3203,LN,Lega Nord,Northern League,4.09,2.92,0,2013
2016,Italy,3207,SVP/PPS,Südtiroler Volkspartei / Partito Popolare Sudtirolese,South Tyrolean People's Party,0.43,0.81,0,2013
2016,Italy,3210,STF/LST,Süd-Tiroler Freiheit / Libertà Sud-Tirolese,South Tyrolean Freedom,,0,0,2013
2016,Italy,3211,BU/UpS,BürgerUnion / Unione per il Sudtirolo,Union for South Tyrol,,0,0,2013
2016,Italy,3212,UV,Union Valdôtaine,Valdotanian Union,,0,0,2013
2016,Italy,3214,PSd'Az,Partitu Sardu / Partito Sardo d'Azione,Sardinian Action Party,0.05,0,0,2013
2016,Italy,3215,UDS,Unione Democratica Sarda – Progetto Nazionalitario,Sardinian Democratic Union,,0,0,2013
2016,Italy,3216,M5S,Movimento 5 Stelle,Five Star Movement,25.56,17.5,0,2013
2016,Italy,3217,RS,Riformatori Sardi,Sardinian Reformers,,0,0,2013
2016,Italy,3218,SC,Scelta Civica,Civic Choice,8.3,6,0,2013
2016,Italy,3219,UVP,L'Union Valdôtaine Progressiste,Progressive Valdotanian Union,,0,0,2013
2016,Kosovo,9901,PDK,Partia Demokratike e Kosovës,Democratic Party of Kosovo,30.38,30.83,0,2014
2016,Kosovo,9902,LDK,Lidhja Demokratike e Kosovës,Democratic League of Kosovo,25.24,25,0,2014
2016,Kosovo,9903,VV,Lëvizja Vetëvendosje!,Self-Determination Movement,13.59,13.33,0,2014
2016,Kosovo,9904,AAK,Aleanca për Ardhmërinë e Kosovës,Alliance for the Future of Kosovo,9.54,9.17,0,2014
2016,Kosovo,9906,SLS,Samostalna liberalna stranka,Independent Liberal Party,5.22,3.33,1,2014
2016,Kosovo,9909,NDS,Nova demokratska stranka,New Democratic Party,0.39,0.833333333333333,0,2014
2016,Kosovo,9910,BSDAK,Bošnjačka stranka demokratske akcije Kosova,Bosniak Party of Democratic Action of Kosovo,0.1,0,0,2014
2016,Kosovo,9911,KV,Koalicija Vakat,Vakat Coalition,0.89,1.66666666666667,0,2014
2016,Kosovo,9912,KDTP,Kosova Demokratik Türk Partisi,Kosovo Turkish Democratic Party,1.02,1.66666666666667,0,2014
2016,Kosovo,9913,GIG,Građanska inicijativa Gore,Civic Initiative of Gora,0.16,0,1,2014
2016,Kosovo,9914,JGP,Jedinstvena goranska partija,Unique Goranian Party,0.16,0.833333333333333,1,2014
2016,Kosovo,9915,KNRP,Kosovaki nevi romani partia,Kosovar New Romani Party,0.09,0.833333333333333,0,2014
2016,Kosovo,9916,NISMA,Nisma për Kosovën,Initiative for Kosovo,5.15,5,0,2014
2016,Kosovo,9917,PAI,Partia e Ashkalinjëve për Integrim,Ashkali Party for Integration,0.22,0.833333333333333,0,2014
2016,Kosovo,9918,PDS,Progresivna demokratska stranka,Progressive Democratic Party,0.82,0.833333333333333,0,2014
2016,Kosovo,9919,PLE,Partia Liberale Egjiptiane,Egyptian Liberal Party,0.27,0.833333333333333,0,2014
2016,Kosovo,9920,PDAK,Partia Demokratike e Ashkanlive të Kosovës,Democratic Ashkali Party of Kosovo,0.46,0.833333333333333,0,2014
2016,Kosovo,9921,Srpska,Srpska lista,Serb List,5.22,7.5,1,2014
2016,Kosovo,9922,SD,Socijaldemokratija,Social Democracy,5.22,0,1,2014
2016,Latvia,8704,SDPS,Sociāldemokrātiska Partija 'Saskaņa',Social Democratic Party 'Harmony',23,24,0,2014
2016,Latvia,8706,LZS,Latvijas Zemnieku Savienība,Latvian Peasants' Union,19.53,9,1,2014
2016,Latvia,8707,LZP,Latvijas Zaļā Partija,Latvian Green Party,19.53,6,1,2014
2016,Latvia,8713,LKS/RSL,Latvijas Krievu savienība / Русский союз Латвии,Latvian Russian Union,1.58,0,0,2014
2016,Latvia,8714,LRA,Latvijas Reģionu apvienība,Latvian Association of Regions,6.66,8,0,2014
2016,Latvia,8715,NSL,No sirds Latvijai,For Latvia from the heart,6.85,7,0,2014
2016,Latvia,8716,V,Partija 'Vienotība',Unity' Party,21.87,23,0,2014
2016,Latvia,8717,NA,Nacionālā Apvienība,National Alliance,16.61,17,0,2014
2016,Lithuania,8801,TS-LKD,Tėvynės Sąjunga - Lietuvos Krikščionys Demokratai,Homeland Union - Christian Democrats of Lithuania,15.08,18.5714285714286,0,2012
2016,Lithuania,8803,TT,Tvarka ir teisingumas,Order and Justice,7.31,8.57142857142857,0,2012
2016,Lithuania,8804,LSDP,Lietuvos socialdemokratu partija,Social Democratic Party of Lithuania,18.37,21.4285714285714,0,2012
2016,Lithuania,8805,DP,Darbo partija,Labour Party,19.82,24.2857142857143,0,2012
2016,Lithuania,8806,LLRA,Lietuvos lenku rinkimu akcija/Akcja Wyborcza Polaków na Litwie,Election Action of Lithuania's Poles,5.83,7.14285714285714,0,2012
2016,Lithuania,8807,LRS,Lietuvos rusų sąjunga/Союз русских Литвы,Russian Union,,0,0,2012
2016,Lithuania,8808,DK,„Drąsos kelias“ politinė partija,Courage Way Party,7.99,10,0,2012
2016,Lithuania,8809,LRLS,Lietuvos Respublikos Liberalų Sąjūdis,Liberals' Movement of the Republic of Lithuania,8.57,10,0,2012
2016,Lithuania,8810,RA,Rusų aljansas/Русский альянс,Russian Allliance,,0,0,2012
2016,Macedonia,8901,VMRO-DPMNE,Внатрешна македонска револуционерна организација - Демократска партија за македонско национално единство,Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity,42.97,41.46,1,2014
2016,Macedonia,8902,SDSM,Социјалдемократски сојуз на Македонија,Social Democratic Union of Macedonia,25.34,19.51,1,2014
2016,Macedonia,8907,DPSM,Демократска Партија на Србите во Македонија / Демократска Партија Срба у Македонији,Democratic Party of Serbs in Macedonia,42.97,0.81,1,2014
2016,Macedonia,8908,DPA/PDSH,Демократската партија на Албанците / Partia Demokratike Shqiptare,Democratic Party of the Albanians,5.92,5.69,0,2014
2016,Macedonia,8909,DPTM/TDP,Демократска Партија на Турците на Македонија / Türk Demokratik Partisi Makedonya,Democratic Party of Turks in Macedonia,42.97,0.81,1,2014
2016,Macedonia,8910,DUI/BDI,Демократската унија за интеграција / Bashkimi Demokratik për Integrim,Democratic Union for Integration,13.71,15.45,0,2014
2016,Macedonia,8911,NDP/RDK,Национална Демократска Преродба / Rilindja Demokratike Kombëtare,National Democratic Revival,1.59,0.81,0,2014
2016,Macedonia,8912,PDTM/THP,Партија за движење на Турците во Македонија / Türk Hareket Partisi Makedonya,Party for the movement of Turks in Macedonia,25.34,0.81,1,2014
2016,Macedonia,8913,SDAM,Странка на Демократска Акција на Македонија,Party for Democratic Action of Macedonia,42.97,0.81,1,2014
2016,Moldova,9001,PCRM,Partidul Comuniştilor din Republica Moldova,Communists' Party of the Republic of Moldova,17.48,20.7920792079208,0,2014
2016,Moldova,9002,PLDM,Partidul Liberal Democrat din Moldova,Liberal Democratic Party of Moldova,20.16,22.7722772277228,0,2014
2016,Moldova,9003,PDM,Partidul Democrat din Moldova,Democratic Party of Moldova,15.8,18.8118811881188,0,2014
2016,Moldova,9004,PL,Partidul Liberal,Liberal Party,9.67,12.8712871287129,0,2014
2016,Moldova,9005,MSR,Mișcarea social-politică “Ravnopravie”,Social movement “Equal rights”,,0,0,2014
2016,Moldova,9006,PSRM,Partidul Socialiştilor din Republica Moldova,Party of Socialists of the Republic of Moldova,20.51,24.7524752475248,0,2014
2016,Montenegro,9103,NOVA,Nova srpska demokratija,New Serb Democracy,23.19,9.88,1,2012
