id,country_short,variable,short,name,english,comment,family,mr_id,cpd_id,seats_max,first,last
AUT v200e,AUT,v200e,KPÖ,Kommunistische Partei Österreichs ,Communist Party of Austria,,1,5,KPG,5,1945,1956
AUT v201e,AUT,v201e,GA,Die Grünen ,The Greens Alternative,Name change 1993 from Grüne Alternativen (The Green,4,15,GA,21,1987,2008
AUT v202e,AUT,v202e,SPÖ,Sozialdemokratische Partei Österreichs ,The Social Democratic Party of Austria,Until 1991 Sozialistische Partei Österreichs (Socialist Party of Austria),3,1,SPÖ,95,1945,2008
AUT v203e,AUT,v203e,ÖVP,Österreichische Volkspartei ,Austrian People's Party,,8,2,ÖVP,85,1945,2008
AUT v204e,AUT,v204e,FPÖ,Freiheitliche Partei Osterreichs ,Freedom Party of Austria,The VdU merged with the Freiheitspartei. Parts of the VdU had deserted to this new party. The FPÖ is the result of this merger in 1956.,10,11,FPO,52,1949,2008
AUT v205e,AUT,v205e,LF,Liberales Forum ,Liberal Forum,Founded 1993 as the liberal wing of FPÖ split.,7,17,LF,11,1994,1997
AUT v206e,AUT,v206e,,Other,,,,,,,,
AUT v207e,AUT,v207e,NN ,No party,,,,,NN,,,
AUT v208e,AUT,v208e,BZÖ,Bündnis Zukunft Österreich ,Alliance for the future of Austria,Founded in 2005 by a break away by the more pragmatic wing of the FPÖ,10,,,21,2007,2008
BEL v200e,BEL,v200e,PCB/KPB,Parti Communiste Beige/Kommunistische Partij van Belgie ,Belgian Communist Party,,1,10,PCB/KPB,23,1946,1981
BEL v201e,BEL,v201e,PSB/BSP,Belgische Socialistische Partij/Parti Socialiste Beige ,Dutch and French names of the unitary Belgian Socialist Party,Before 1979,3,3,BSP/PSB,86,1946,1978
BEL v202e,BEL,v202e,SP,Socialistische Partij ,[Flemish] Socialist Party) Socialistische Partij — Anders Spa,"Known as the BSP (Belgische Socialistische Partij from December 1978, when the unitary Socialist Party split. From March 1980 it became SP. Changed name to Spa in 2001. Cartel with Spirit from the election in 2003. Spirit is a split off from Volksunie 2001, in 2008 Spirit changed name to Vlaams Progressieven (Flemish Progressives.",3,30,SP,32,1979,2009
BEL v203e,BEL,v203e,PS,Parti Socialiste ,[French-speaking] Socialist Party,Born with the split of the unitary Socialist Party in December 1978,3,31,PS,40,1979,2009
BEL v204e,BEL,v204e,A,AGALEV = Anders Gaan Leven ,Another way of living) Groen,Since 1982. Changed name in 2003 to Groen (Green),4,27,A,9,1981,2009
BEL v205e,BEL,v205e,E,ECOLO = Ecologistes Confederes pour l'Organisation de Luttes Originales ,Ecologist Party,Since 1981,4,26,E,11,1981,2009
BEL v206e,BEL,v206e,RW,Rassemblement Walion ,Walloon Rally,Since 1969,6,18,RW,14,1965,1981
BEL v207e,BEL,v207e,FDF,Front Democratique des Francophones Democratic Front of French-speakers),,"Since 1964. Since 1993, the party belongs to the PRL-FDF Federation.",6,14,FDF,11,1965,1992
BEL v208e,BEL,v208e,CVP/PSC,Christelijke Volkspartij/Parti Social-Chretien ,Dutch and French names of the unitary Christian Democrat Party,Before 1968,8,1,CVP/PSC,108,1946,1966
BEL v209e,BEL,v209e,CVP,Christelijke Volkspartij ,Christian People's Party) Christen Democratisch en Vlaams CD&V,Born with the split of the unitary Christian Democratic Party in 1968. Changed name in 2001 to CD&V.,8,19,CVP,57,1968,2009
BEL v210e,BEL,v210e,PSC,Parti Social Chretien ,Christian Social Party) Centre Democrat Humaniste cdH,Born with the split of the unitary Christian Democratic Party in 1968. Changed name in 2002 to cdH,8,20,PSC,25,1968,2009
BEL v211e,BEL,v211e,VU,Volksunie ,"People's Union) Nieuw Vlaams Alliantie N VA, New Flemish Alliance",Since 1954. VU split in 2001 into N-VA and Spirit,6,8,VU,22,1954,2003
BEL v212e,BEL,v212e,LP/PL,Liberale Partij/Parti Liberal ,Dutch and French names of the unitary Liberal Party,"The party remained unitary until 1972. The French speaking part of the unitary party (PL) changed its name to PLP=Parti de la Liberte et du Progres (Freedom and Progress Party) in 1961. It remained the same until 1976 while the Flemish Liberals chose the name of PVV=Partij voor Vrijheid en Vooruitgang (Freedom and Progress Party) in 1972, when the unitary party split along linguistic lines.",7,2,PVV/PLP,48,1946,1968
BEL v213e,BEL,v213e,VLD,Vlaamse Liberalen en Democraten ,Flemish Liberals and Democrats,"Known as PVV from 1972, but changed name in 1992 to VLD.",7,21,VLD,28,1972,2009
BEL v214e,BEL,v214e,PRL,Parti Reformateur Liberal ,"Liberal Reform Party) Mouvement Reformateur MR, Reform movement","Known as PLP from 1961. In 1976, the PRLW=Parti Reformateur et Liberal de Wallonie (Reform and Liberal Party from Wallonia) formed with the joining of several RW leading members to the Walloon liberals. The Brussels francophone Liberals remained autonomous for most part of the 1970's but finally merged with the PRLW to form the PRL in 1979. Note that since 1993, the party works as a federation with the FDF under the name PRL-FDF. MR from 2002, a federation of PRL, MCC (a Christian Democrat split oft) and FDF.",7,22,PRL,24,1972,2009
BEL v215e,BEL,v215e,UDRT,Union Democrate pour le Respect du Travail ,Democratic Union for the Respect of Work,Since 1978,10,28,UDRT,3,1979,1985
BEL v216e,BEL,v216e,FN,Front National ,National Front,Since 1985,11,33,FN,2,1992,2009
BEL v217e,BEL,v217e,VB,Vlaams Blok ,Flemish Bloc) Vlaams Belang Flemish Interest,"Since 1978. Vlaams Blok disbanded itself in 2004 after being convicted by the Court of Appeal for repeated incitement to discrimination, and founded the successor Vlaams Belang",11,29,VB,18,1979,2009
BEL v218e,BEL,v218e,,Other,,,,,,3,1946,1992
BEL v219e,BEL,v219e,NN,No party,,,,,NN,,,
BEL v220e,BEL,v220e,LDD,Lijst Dedecker ,"List Dedecker) Libertair, Direct, Democratisch","LDD first took part in elections in 2007. Conservative liberalism mixed with striving for more Flemish independence. Changed name in 2011 to Libertarian, Direct, Democratic.",10,,,5,2007,2009
BGR v200e,BGR,v200e,BBB,Balgarski Biznes Blok ,Bulgarian Business Bloc,,7,9,BBB,13,1995,1997
BGR v201e,BGR,v201e,BNS,Balgarski Naroden Sayuz ,Bulgarian National Union,,8,23,BPI J,13,2005,2005
BGR v202e,BGR,v202e,BSP,Balgarska Sotsialisticheska Partiya ,Bulgarian Socialist Party; Coalition for Bulgaria,,3,1,BSP,211,1990,2009
BGR v203e,BGR,v203e,BZNS,Balgarski Zemdelski Naroden Sayuz ,Bulgarian Agrarian National Union,,5,3,BAND,16,1990,1990
BGR v204e,BGR,v204e,DPS,Dvizhenie za Prava i Svobodi ,Movement for Rights & Freedoms,,6,4,MR F,38,1990,2009
BGR v205e,BGR,v205e,DSB,Demokrati za Silna Balgariya ,Democrats for Strong Bulgaria,,8,22,DSB,17,2005,2005
BGR v206e,BGR,v206e,EL,Koalicija Evrolevica ,Euroleft Coalition,,3,15,EC,14,1997,1997
BGR v207e,BGR,v207e,NDSV,Natsionalno Dvizhenie Simeon Vtori ,National Movement Simeon II,,9,17,NDSV,120,2001,2009
BGR v208e,BGR,v208e,KA,Koalitsiya Ataka ,Attack Coalition,,10,21,AC,21,2005,2009
BGR v209e,BGR,v209e,NS,Naroden Sayuz ,People's Union,,8,11,PU,18,1995,1997
BGR v210e,BGR,v210e,ODS,Obedineni Demokratichni Sili ,United Democratic Forces,,8,2,UDF,144,1990,2009
BGR v211e,BGR,v211e,GERB,Grazdani za Evropejsko Razvitie na Balgaria ,Citizens for European Development of Bulgaria,,8,,CEDB,116,2009,2009
BGR v212e,BGR,v212e,RZS,Red Zakonnost Spravedlivost ,"Order, Lawfulness, Justice",,8,,OLJ,10,2009,2009
BGR v224e,BGR,v224e,Others,,,,,,,6,1990,1990
CYP v200e,CYP,v200e,ADIK,Agonistiko Dimokratiko Kinima ,Fighting Democratic Movement,,10,1,FDM,1,2003,2010
CYP v201e,CYP,v201e,AKEL,Anorthotikon Komma Ergazomenou Laou ,Progressive Party of the Working People,,1,2,PPWP,20,1988,2010
CYP v202e,CYP,v202e,DIKO,Dimokratiko Komma ,Democratic Party,,7,3,DP,16,1988,2010
CYP v203e,CYP,v203e,DISY,Dimokratikos Synagermos ,Democratic Rally,,9,4,DR,20,1988,2010
CYP v204e,CYP,v204e,EDI,Enomenoi Dimokrates ,United Democrats,Formed in 1996 by KED and ADISOK,7,5,UD,2,1997,2010
CYP v205e,CYP,v205e,EVROKO,Evropaiko Komma ,European Party,Formed in 2006 by NEO and AD IK,10,6,EP,3,2007,2010
CYP v206e,CYP,v206e,KOP,Kinima Oikologon Perivallontiston ,Ecological and Environmental Movement,,4,7,EEM,1,2003,2010
CYP v207e,CYP,v207e,EDEK,Kinima Sosialdemokration Eniaia Dimokratiki Enosi Kentrou ,Movement for Social Democracy,Ran as KISOS in 2001,3,8,MSD,7,1988,2010
CYP v208e,CYP,v208e,NEO,Neoi Orizontes ,New Horizons,,10,9,NH,1,2003,2003
CYP v224e,CYP,v224e,,Others,,,,,,,,
CZE v200e,CZE,v200e,CSSD,Ceska Strana Socialne Demokraticka ,Czech Social Democratic Party,,3,5,CSDP,74,1992,2010
CZE v201e,CZE,v201e,HSD-SMS,Hnuti za Samospravnou Demokracii-Spolecnost pro Moravu a Slezsko ,Moravian Silesian Movement,,6,3,MSM,14,1992,1992
CZE v202e,CZE,v202e,KDU-CSL,Krest'anska a DemokratickäUnie — Ceskoslovenska Strana Lidova ,Christian and Democratic Union,,8,4,CDU,21,1992,2009
CZE v203e,CZE,v203e,KSCM,Komunistická Strana Cech a Moravy ,Communist Party of Bohemia and Moravia,,1,2,CPBM,41,1992,2010
CZE v204e,CZE,v204e,LSU,Liberálne Sociálni Unie ,Liberal Social Union,,7,14,LSU,16,1992,1992
CZE v205e,CZE,v205e,ODA,Obcanská Demokratická Aliance ,Civic Democratic Alliance,,7,15,CDA,14,1992,1998
CZE v206e,CZE,v206e,ODS,Obcanská Demokratickä Strana ,Civic Democratic Party,,9,13,CDP,81,1992,2010
CZE v207e,CZE,v207e,SPR-RSC,Sdruzeni pro Republiku - Republikánská Strana Ceskoslovenska ,Association for the Republic,,10,10,AR,18,1992,1998
CZE v208e,CZE,v208e,SZ,Strana Zelenych ,Greens,,4,7,G,6,2006,2009
CZE v209e,CZE,v209e,US,Unie Svobody ,Freedom Union,,7,23,FU,19,1998,2005
CZE v210e,CZE,v210e,TOP09,"Tradice, Odpovednost, Prosperita a cislovky 09 ","Tradition, Responsibility, Prosperity",,,,TRP,41,2010,2010
CZE v211e,CZE,v211e,VV,Veci Verejne ,Public Affairs,,,,PA,24,2010,2010
CZE v224e,CZE,v224e,,Others,,,,,,,,
DEU v200e,DEU,v200e,KPD,Kommunistische Partei Deutschlands ,German Communist Party,,1,28,KPD,15,1949,1949
DEU v201e,DEU,v201e,PDS,Partei des Demokratischen Sozialismus ,Party of Democratic Socialism) Die Linke The Left,"From 2007 The left after a merger between The Left Party/PDS and WASG (Arbeit und Soziale Gerechtigkeit — Die Wahlalternative, consisting of dissafected SPD members and the Labour movement), which had formed an electoral alliance in 2005.",2,56,PDS,76,1990,2009
DEU v202e,DEU,v202e,GR,Die Grünen ,The Greens,Official name since 1993: Bündnis '90-Die Grünen,4,51,GR,68,1983,2009
DEU v203e,DEU,v203e,B'90,Bündnis '90 ,Alliance 90,Joined the Greens in 1993,4,53,B'90,8,1990,1991
DEU v204e,DEU,v204e,SPD,Sozialdemokratische Partei Deutschlands ,Social Democratic Party of Germany,,3,2,SPD,298,1949,2009
DEU v205e,DEU,v205e,FDP,Freie Demokratische Partei ,Free Democratic Party,,7,38,FDP,93,1949,2009
DEU v206e,DEU,v206e,CDU/CSU,Christlich Demokratische Union Deutschlands ,CDU - Christian Democratic Union) and Christlich-Soziale Union in Bayern CSU - Christian Social Union,,8,"36, 37",CDU/CSU,319,1949,2009
DEU v207e,DEU,v207e,DSU,Deutsche Soziale Union ,German Social Union,,8,54,DSU,8,1990,1990
DEU v208e,DEU,v208e,Z,Zentrum ,Center,,8,1,Z,10,1949,1949
DEU v209e,DEU,v209e,GB/BHE,Gesamtdeutscher Block/Bund der Heimatlosen und Entrechteten ,All-German Bloc,,10,45,GB/BHE,27,1953,1956
DEU v210e,DEU,v210e,DA/FVP,Freie Volkspartei ,Free People's Party,Earlier named Demokratische Arbeitsgemeinschaft (DA),7,,DA/FVP,14,1956,1956
DEU v211e,DEU,v211e,DP,Deutsche Partei ,German Party,,9,41,DP,17,1949,1960
DEU v212e,DEU,v212e,WAV,Wirschaftliche Aufbau Vereinigung ,Economic Reconstruction League,,10,40,WAV,12,1949,1949
DEU v213e,DEU,v213e,BP,Bayernpartei ,Bavaria Party,,6,39,BP,17,1949,1949
DEU v214e,DEU,v214e,NR,Nationale Rechte ,National Right,,10,,NR,6,1949,1949
DEU v215e,DEU,v215e,,Other,,,,,,9,1949,1982
DEU v216e,DEU,v216e,NN,No party,,,,,NN,,,
DNK v200e,DNK,v200e,KP,Danmarks Kommunistiske Parti ,Communist Party of Denmark,,1,9,Com,18,1945,1978
DNK v201e,DNK,v201e,GW ,Falles Kurs ,Common Course,,1,22,CC,4,1987,1987
DNK v202e,DNK,v202e,EL,Enhedslisten ,Red-Green Unity List,,2,24,LTL,6,1994,2009
DNK v203e,DNK,v203e,LS,Venstresocialisterne ,Left Socialist Party,,2,18,LS,6,1968,1984
DNK v204e,DNK,v204e,SVP,Socialistisk Folkeparti ,Socialist People's Party,,2,16,SPP,27,1960,2009
DNK v205e,DNK,v205e,SD,Socialdemokratiet ,Social Democratic Party,,3,4,SD,77,1945,2009
DNK v206e,DNK,v206e,RL,Det Radikale Venstre ,Radical Liberal Party,,7,5,RL,27,1945,2009
DNK v207e,DNK,v207e,GP,Danmarks Retsforbund ,Justice Party/Single Tax Party,,7,10,JP,12,1945,1979
DNK v208e,DNK,v208e,LZ,Liberalt Centrum ,Liberal Centre,,7,17,LC,4,1966,1966
DNK v209e,DNK,v209e,ZD,Centrum-Demokraterne ,Centre Democrats,,3,20,CD,15,1973,1998
DNK v210e,DNK,v210e,CVP,Kristeligt Folkeparti ,Christian Peoples Party,,8,19,CPP,9,1973,2001
DNK v211e,DNK,v211e,Kon,Det Konservative Folkeparti ,Conservative People's Party,,9,1,Con,42,1945,2009
DNK v212e,DNK,v212e,Lib,"Venstre, Danmarks Liberale Parti ",Liberal Party,,7,6,Lib,56,1945,2009
DNK v213e,DNK,v213e,UN,De Uafhaengige ,Independents,,10,15,Ind,6,1960,1964
DNK v214e,DNK,v214e,FP,Fremkridtspartiet ,Progress Party,,10,21,PP,28,1973,1998
DNK v215e,DNK,v215e,MG,Mikael Gaam ,Mikael Gaam,,3,,MG,,,
DNK v216e,DNK,v216e,DFP,Danske Folkeparti ,Danish Peoples Party,,10,,DPP,25,1998,2009
DNK v217e,DNK,v217e,,Others,,,,,,5,1945,2009
DNK v218e,DNK,v218e,NN,No party,,,,,NN,,,
DNK v219e,DNK,v219e,NY,Ny Alliance ,New Alliance) Liberal Alliance,Founded in 2007. Changed name to Liberal Alliance in 2009,7,,NY,5,2007,2009
ESP v200e,ESP,v200e,HB,Horn Batasuna ,United People,"Electoral participation under three names, HB, Euskal Herritarrok and EHAK. Banned from electoral participation since 2003",6,,HB,5,1979,1996
ESP v201e,ESP,v201e,IU,Izquerda Unida ,Spanish Communist Party/ United Left,United Left after 1989.,1,,PCE; IU,23,1977,2008
ESP v202e,ESP,v202e,ERC,Esquerda Republicana de Catalunya ,Catalonia's Republican Left,,6,,ERC,8,1977,2008
ESP v203e,ESP,v203e,PSOE,Partido Socialista Obrero Espanol ,Spanish Socialist \workers' Party,"Founded in 1879, absorbed several minor socialist groups",3,,PSOE,202,1977,2008
ESP v204e,ESP,v204e,UCD,Union de Centro Democritico ,Union of the Democratic Center,Founded in 1977 and disappeared after the 1982 election.,8,,UCD; CDS,168,1977,1989
ESP v205e,ESP,v205e,CIU,Convergencia i Unio de Catalunya ,Convergence and Union,,6,,CiU,18,1977,2008
ESP v206e,ESP,v206e,PNV,Partido Nacionalista Vasco ,Basque Nationalist Party,,6,,PNV,8,1977,2008
ESP v207e,ESP,v207e,CC,Coalition Canaria ,Independent Groupings of Canary; Canary Coalition,Canary Coalition after 1993,6,,AIC; CC,4,1986,2008
ESP v208e,ESP,v208e,PP,Partido Popular ,Popular Party,"Founded in 1977 as AP (Alianza Popular). Sponsored the formation of electoral coalition under the names of CD (Coalicion Democratica) and CP (Coalici6n Popular), becoming the Popular Party alter the disbandment of CD after the 1986 election.",9,,PP,183,1977,2008
ESP v209e,ESP,v209e,,Other,,,,,,14,1977,2008
ESP v210e,ESP,v210e,NN,No party,,,,,NN,,,
ESP v211e,ESP,v211e,BNG,Bloque Nacionalista Gallego ,Galician Nationalist Block,Gallician nationalist political alliance formed in 1982,6,,,3,2000,2008
