cntry,essround,ess_id,party,ess_key,share,ess_first,ess_last
AT,1,6,Andere,at -- andere,1.5,1,2
AT,3,4,BZÖ,at -- bzö,1.9,3,7
AT,7,3,FPÖ,at -- fpö,14.1,1,7
AT,2,4,Grüne,at -- grüne,17.3,1,7
AT,7,6,KPÖ,at -- kpö,1.4,3,7
AT,1,5,LIF,at -- lif,1.1,1,3
AT,7,7,NEOS,at -- neos,5.3,7,7
AT,3,8,other,at -- other,0.8,3,3
AT,2,2,ÖVP,at -- övp,40.9,1,7
AT,7,8,Piratenpartei Österreich,at -- piratenpartei österreich,0.7,7,7
AT,3,1,SPÖ,at -- spö,36.3,1,7
AT,7,9,Team Frank Stronach,at -- team frank stronach,0.9,7,7
BE,1,1,Agalev,be -- agalev,7.6,1,1
BE,3,1,Agalev/Groen!,be -- agalev/groen!,4.4,2,3
BE,6,17,Blanco,be -- blanco,3.3,5,7
BE,2,15,Blank,be -- blank,2.6,2,4
BE,3,2,CD&V,be -- cd&v,21,2,7
BE,4,2,CD&V + N-VA,be -- cd&v + n-va,23.2,4,4
BE,4,7,CDH,be -- cdh,6.6,2,7
BE,1,2,CVP,be -- cvp,20.6,1,1
BE,5,10,Ecolo,be -- ecolo,5.6,1,7
BE,2,11,Front National,be -- front national,1.7,1,7
BE,7,1,Groen!,be -- groen!,5.9,4,7
BE,4,14,Invalid,be -- invalid,0.9,2,4
BE,4,3,Lijst Dedecker,be -- lijst dedecker,2.4,4,6
BE,2,12,MR,be -- mr,10.9,2,7
BE,5,3,N-VA,be -- n-va,22.4,2,7
BE,6,18,Ongeldig,be -- ongeldig,1.4,5,7
BE,6,8,Open VLD,be -- open vld,9.9,5,7
BE,4,6,Open VLD + Vivant,be -- open vld + vivant,12.4,4,4
BE,1,16,OTHER,be -- other,1.8,1,1
BE,7,15,Parti Populaire,be -- parti populaire,1.1,5,7
BE,1,12,PRL-FDF,be -- prl-fdf,7.4,1,1
BE,6,13,PS,be -- ps,15.3,1,7
BE,1,11,PSC,be -- psc,4.7,1,1
BE,7,14,PTB,be -- ptb,2.2,5,7
BE,1,15,PTB-UA,be -- ptb-ua,0.3,1,1
BE,1,7,PVDA-AE,be -- pvda-ae,0.1,1,1
BE,7,6,PVDA+,be -- pvda+,1.5,5,7
BE,1,3,SP,be -- sp,11.6,1,1
BE,6,5,SP.A,be -- sp.a,10.8,5,7
BE,2,5,SP.A-Spirit,be -- sp.a-spirit,14.7,2,3
BE,4,4,SP.A. + Vlaams - Progressieven (Spirit),be -- sp.a. + vlaams - progressieven (spirit),11.3,4,4
BE,3,6,Vivant,be -- vivant,0.6,1,3
BE,4,5,Vlaams Belang,be -- vlaams belang,7.6,4,7
BE,2,7,Vlaams Blok,be -- vlaams blok,9.9,1,3
BE,1,5,VLD,be -- vld,19.5,1,3
BE,1,6,VU-ID,be -- vu-id,3.8,1,1
BG,6,2,Balgarska sotsialisticheska partia (BSP),bg -- balgarska sotsialisticheska partia (bsp),34.5,6,6
BG,5,15,Balgarski Natsionalen Saiuz – ND,bg -- balgarski natsionalen saiuz – nd,0.1,5,5
BG,3,7,BNS,bg -- bns,1.8,3,3
BG,3,1,BSP,bg -- bsp,55.2,3,3
BG,3,10,Coalition Ataka,bg -- coalition ataka,9.8,3,3
BG,3,3,Coalition of the rose,bg -- coalition of the rose,0.5,3,3
BG,4,4,Demokrati za Silna Balgariia,bg -- demokrati za silna balgariia,4.3,4,4
BG,3,2,DPS,bg -- dps,10.8,3,3
BG,5,3,DPS - Dvijenie za prava i svobodi,bg -- dps - dvijenie za prava i svobodi,10.6,5,5
BG,5,16,Druga politicheska sila,bg -- druga politicheska sila,0.4,5,5
BG,3,4,DSB,bg -- dsb,3,3,3
BG,4,2,Dvijenie za Prava i Svobodi,bg -- dvijenie za prava i svobodi,16.8,4,4
BG,3,9,Evroroma,bg -- evroroma,0.3,3,4
BG,5,1,GERB,bg -- gerb,53.9,5,5
BG,6,13,"Kandidati, izdignati ot Initsiativni komiteti","bg -- kandidati, izdignati ot initsiativni komiteti",1.4,6,6
BG,5,2,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb,bg -- koalitsia za balgaria (bsp; pbs; zemedelski saiuz) al. stamb,22.6,5,5
BG,4,10,Koalitziia Ataka,bg -- koalitziia ataka,8.7,4,4
BG,4,7,Koalitziia BNS,bg -- koalitziia bns,3.1,4,4
BG,4,3,Koalitziia na Rozata,bg -- koalitziia na rozata,0.3,4,4
BG,4,6,Koalitziia ODS,bg -- koalitziia ods,14,4,4
BG,4,1,Koalitziia za Balgariia,bg -- koalitziia za balgariia,41.8,4,4
BG,6,8,KP Sayuz na desnite sili,bg -- kp sayuz na desnite sili,2.3,6,6
BG,4,5,Natzionalno Dvijenie Simeon II,bg -- natzionalno dvijenie simeon ii,10.4,4,4
BG,3,5,NDSV,bg -- ndsv,8.6,3,5
BG,5,17,Nezavisim kandidat,bg -- nezavisim kandidat,0.3,5,5
BG,4,8,Novo Vreme,bg -- novo vreme,0.5,4,4
BG,3,8,Novoto Vreme,bg -- novoto vreme,1.5,3,3
BG,5,5,Partia Ataka,bg -- partia ataka,4,5,5
BG,6,3,PP Ataka,bg -- pp ataka,2.1,6,6
BG,6,12,PP Balgarska demokratichna obshtnost,bg -- pp balgarska demokratichna obshtnost,0.1,6,6
BG,6,6,PP BZNS,bg -- pp bzns,0.2,6,6
BG,6,1,PP GERB,bg -- pp gerb,57.2,6,6
BG,5,8,PP Lider,bg -- pp lider,0.6,5,5
BG,6,7,PP Natsionalen front za dpasenie na Bulgaria,bg -- pp natsionalen front za dpasenie na bulgaria,1,6,6
BG,6,9,PP Natsionalno dvizhenie Edinstvo,bg -- pp natsionalno dvizhenie edinstvo,0.1,6,6
BG,6,11,PP Partia za horata ot naroda,bg -- pp partia za horata ot naroda,0.1,6,6
BG,6,4,"PP Red, zakonnost i spravedlivost (RZS)","bg -- pp red, zakonnost i spravedlivost (rzs)",0.4,6,6
BG,6,5,PP VMRO – Balgarsko natsionalno dvizhenie,bg -- pp vmro – balgarsko natsionalno dvizhenie,0.5,6,6
BG,5,11,PP Zelenite,bg -- pp zelenite,0.2,5,5
BG,5,6,"Red, zakonnost i spravedlivost (RZS)","bg -- red, zakonnost i spravedlivost (rzs)",1,5,5
BG,3,6,SDS,bg -- sds,8.5,3,3
BG,5,4,Siniata koalitsia (SDS; DSB),bg -- siniata koalitsia (sds; dsb),5,5,5
CH,1,6,Alliance of the Independents,ch -- alliance of the independents,0.4,1,1
CH,6,14,Alternative Left,ch -- alternative left,0.1,6,7
CH,4,15,Blank paper,ch -- blank paper,4,4,7
CH,6,7,Bourgois-democratic Party,ch -- bourgois-democratic party,5.5,6,7
