cntry,essround,variable,ess_id,party,share,party_id,name_gsheet,partyfacts_id,partyfacts_name
AT,1,prtvtat,1,SPÖ,21.8,AT-3-1,SPÖ,1384,SPO
AT,1,prtvtat,2,ÖVP,23.7,AT-2-2,ÖVP,1329,OVP
AT,1,prtvtat,3,FPÖ,3.4,AT-7-3,FPÖ,463,FPO
AT,1,prtvtat,4,Grüne,10.3,AT-2-4,GRÜNE Grüne,1659,GRUENE
AT,1,prtvtat,5,LIF,0.7,AT-1-5,LIF,605,LIF
AT,1,prtvtat,6,Andere,0.9,AT-1-6,Andere Other,NA,NA
AT,1,prtvtat,7,Not applicable,18.8,NA,NA,NA,NA
AT,1,prtvtat,8,Refusal,18.9,NA,NA,NA,NA
AT,1,prtvtat,9,Don't know,1.6,NA,NA,NA,NA
AT,2,prtvtat,1,SPÖ,16.5,AT-3-1,SPÖ,1384,SPO
AT,2,prtvtat,2,ÖVP,19.5,AT-2-2,ÖVP,1329,OVP
AT,2,prtvtat,3,FPÖ,2.6,AT-7-3,FPÖ,463,FPO
AT,2,prtvtat,4,Grüne,8.2,AT-2-4,GRÜNE Grüne,1659,GRUENE
AT,2,prtvtat,5,LIF,0.2,AT-1-5,LIF,605,LIF
AT,2,prtvtat,6,Andere,0.6,AT-1-6,Andere Other,NA,NA
AT,2,prtvtat,7,Not applicable,33.3,NA,NA,NA,NA
AT,2,prtvtat,8,Refusal,16.7,NA,NA,NA,NA
AT,2,prtvtat,9,Don't know,2.3,NA,NA,NA,NA
AT,3,prtvtaat,1,SPÖ,20,AT-3-1,SPÖ,1384,SPO
AT,3,prtvtaat,2,ÖVP,21.5,AT-2-2,ÖVP,1329,OVP
AT,3,prtvtaat,3,FPÖ,3.9,AT-7-3,FPÖ,463,FPO
AT,3,prtvtaat,4,BZÖ,1,AT-3-4,BZÖ,599,BZO
AT,3,prtvtaat,5,GRÜNE,7.7,AT-2-4,GRÜNE Grüne,1659,GRUENE
AT,3,prtvtaat,6,LIF,0,AT-1-5,LIF,605,LIF
AT,3,prtvtaat,7,KPÖ,0.3,AT-7-6,KPÖ,996,KPO
AT,3,prtvtaat,8,other,0.5,AT-3-8,Andere Other,NA,NA
AT,3,prtvtaat,9,Not applicable,22.8,NA,NA,NA,NA
AT,3,prtvtaat,10,Refusal,20.8,NA,NA,NA,NA
AT,3,prtvtaat,11,Don't know,1.4,NA,NA,NA,NA
AT,7,prtvtbat,1,SPÖ,19.7,AT-3-1,SPÖ,1384,SPO
AT,7,prtvtbat,2,ÖVP,17.7,AT-2-2,ÖVP,1329,OVP
AT,7,prtvtbat,3,FPÖ,8.5,AT-7-3,FPÖ,463,FPO
AT,7,prtvtbat,4,BZÖ,0.7,AT-3-4,BZÖ,599,BZO
AT,7,prtvtbat,5,Grüne,8.7,AT-2-4,GRÜNE Grüne,1659,GRUENE
AT,7,prtvtbat,6,KPÖ,0.8,AT-7-6,KPÖ,996,KPO
AT,7,prtvtbat,7,NEOS,3.2,AT-7-7,NEOS,1970,NEOS
AT,7,prtvtbat,8,Piratenpartei Österreich,0.4,AT-7-8,Piratenpartei Österreich,2591,1-perc
AT,7,prtvtbat,9,Team Frank Stronach,0.6,AT-7-9,Team Frank Stronach,1971,TS
AT,7,prtvtbat,10,Other,0.6,AT-3-8,Andere Other,NA,NA
AT,7,prtvtbat,11,Not applicable,28.2,NA,NA,NA,NA
AT,7,prtvtbat,12,Refusal,9.5,NA,NA,NA,NA
AT,7,prtvtbat,13,Don't know,1.3,NA,NA,NA,NA
BE,1,prtvtbe,1,Agalev,4.8,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,1,prtvtbe,2,CVP,13,BE-1-2,CVP,622,CVP
BE,1,prtvtbe,3,SP,7.3,BE-1-3,SP.A,1680,SPA
BE,1,prtvtbe,5,VLD,12.3,BE-6-8,VLD Open VLD,49,PVV-OVLD
BE,1,prtvtbe,6,VU-ID,2.4,BE-1-6,VU-ID,1424,VU
BE,1,prtvtbe,7,PVDA-AE,0.1,BE-1-7,PVDA,1753,PA-PTB
BE,1,prtvtbe,8,Vlaams Blok,4.1,BE-2-7,Vlaams Blok,553,VB
BE,1,prtvtbe,9,VIVANT,0.1,BE-3-6,VIVANT Vivant,76,V
BE,1,prtvtbe,10,ECOLO,3.1,BE-5-10,ECOLO,1563,Ecolo
