cntry,essround,variable,ess_id,party,party_id,name_check
AT,1,prtvtat,1,SPÖ,AT-3-1,SPÖ 
AT,1,prtvtat,2,ÖVP,AT-2-2,ÖVP 
AT,1,prtvtat,3,FPÖ,AT-7-3,FPÖ 
AT,1,prtvtat,4,Grüne,AT-2-4,GRÜNE Grüne 
AT,1,prtvtat,5,LIF,AT-1-5,LIF 
AT,1,prtvtat,6,Andere,AT-1-6, Andere Other
AT,1,prtvtat,7,Not applicable,NA,NA
AT,1,prtvtat,8,Refusal,NA,NA
AT,1,prtvtat,9,Don't know,NA,NA
AT,2,prtvtat,1,SPÖ,AT-3-1,SPÖ 
AT,2,prtvtat,2,ÖVP,AT-2-2,ÖVP 
AT,2,prtvtat,3,FPÖ,AT-7-3,FPÖ 
AT,2,prtvtat,4,Grüne,AT-2-4,GRÜNE Grüne 
AT,2,prtvtat,5,LIF,AT-1-5,LIF 
AT,2,prtvtat,6,Andere,AT-1-6, Andere Other
AT,2,prtvtat,7,Not applicable,NA,NA
AT,2,prtvtat,8,Refusal,NA,NA
AT,2,prtvtat,9,Don't know,NA,NA
AT,3,prtvtaat,1,SPÖ,AT-3-1,SPÖ 
AT,3,prtvtaat,2,ÖVP,AT-2-2,ÖVP 
AT,3,prtvtaat,3,FPÖ,AT-7-3,FPÖ 
AT,3,prtvtaat,4,BZÖ,AT-3-4,BZÖ 
AT,3,prtvtaat,5,GRÜNE,AT-2-4,GRÜNE Grüne 
AT,3,prtvtaat,6,LIF,AT-1-5,LIF 
AT,3,prtvtaat,7,KPÖ,AT-7-6,KPÖ 
AT,3,prtvtaat,8,other,AT-3-8, Andere Other
AT,3,prtvtaat,9,Not applicable,NA,NA
AT,3,prtvtaat,10,Refusal,NA,NA
AT,3,prtvtaat,11,Don't know,NA,NA
AT,7,prtvtbat,1,SPÖ,AT-3-1,SPÖ 
AT,7,prtvtbat,2,ÖVP,AT-2-2,ÖVP 
AT,7,prtvtbat,3,FPÖ,AT-7-3,FPÖ 
AT,7,prtvtbat,4,BZÖ,AT-3-4,BZÖ 
AT,7,prtvtbat,5,Grüne,AT-2-4,GRÜNE Grüne 
AT,7,prtvtbat,6,KPÖ,AT-7-6,KPÖ 
AT,7,prtvtbat,7,NEOS,AT-7-7, NEOS 
AT,7,prtvtbat,8,Piratenpartei Österreich,AT-7-8, Piratenpartei Österreich 
AT,7,prtvtbat,9,Team Frank Stronach,AT-7-9, Team Frank Stronach 
AT,7,prtvtbat,10,Other,AT-3-8, Andere Other
AT,7,prtvtbat,11,Not applicable,NA,NA
AT,7,prtvtbat,12,Refusal,NA,NA
AT,7,prtvtbat,13,Don't know,NA,NA
