cntry,party_id,duplicate,ignore,party_short,party_english,party_name,share,party_id_old,ess_key,party
AT,AT-1-6,,1,,Other,Andere,1.5,1200,at -- andere,Andere
AT,AT-3-4,,,BZÖ,,,1.9,1798,at -- bzö,BZÖ
AT,AT-7-3,,,FPÖ,,,14.1,1724,at -- fpö,FPÖ
AT,AT-2-4,,,GRÜNE,,Grüne,17.3,1582,at -- grüne,Grüne
AT,AT-7-6,,,KPÖ,,,1.4,1115,at -- kpö,KPÖ
AT,AT-1-5,,,LIF,,,1.1,1091,at -- lif,LIF
AT,AT-7-7,,,,,NEOS,5.3,3000,at -- neos,NEOS
AT,AT-3-8,,1,,Other,Andere,0.8,1200,at -- other,other
AT,AT-2-2,,,ÖVP,,,40.9,1648,at -- övp,ÖVP
AT,AT-7-8,,,,,Piratenpartei Österreich,0.7,3001,at -- piratenpartei österreich,Piratenpartei Österreich
AT,AT-3-1,,,SPÖ,,,36.3,1479,at -- spö,SPÖ
AT,AT-7-9,,,,,Team Frank Stronach,0.9,3002,at -- team frank stronach,Team Frank Stronach
BE,BE-1-1,,,,,Agalev/Groen!,7.6,1254,be -- agalev,Agalev
BE,BE-3-1,BE-1-1,,,,Agalev/Groen!,4.4,1254,be -- agalev/groen!,Agalev/Groen!
BE,BE-6-17,,1,,,Blanco,3.3,1348,be -- blanco,Blanco
BE,BE-2-15,,1,,,Blanco,2.6,1348,be -- blank,Blank
BE,BE-3-2,,,CD&V,,,21,1262,be -- cd&v,CD&V
BE,BE-4-2,,,,,CD&V + N-VA,23.2,3003,be -- cd&v + n-va,CD&V + N-VA
BE,BE-4-7,,,PSC/CDH,,,6.6,1373,be -- cdh,CDH
BE,BE-1-2,,,CVP,,,20.6,1544,be -- cvp,CVP
BE,BE-5-10,,,ECOLO,,,5.6,1073,be -- ecolo,Ecolo
BE,BE-2-11,,,FRONT,Front National,,1.7,1772,be -- front national,Front National
BE,BE-7-1,BE-1-1,,,,Agalev/Groen!,5.9,1254,be -- groen!,Groen!
BE,BE-4-14,,,,Invalid,,0.9,1159,be -- invalid,Invalid
BE,BE-4-3,,,,,Lijst Dedecker,2.4,1299,be -- lijst dedecker,Lijst Dedecker
BE,BE-2-12,,,MR,MR,,10.9,1625,be -- mr,MR
BE,BE-5-3,,,N-VA,,,22.4,1651,be -- n-va,N-VA
BE,BE-6-18,,,,,Ongeldig,1.4,1557,be -- ongeldig,Ongeldig
BE,BE-6-8,,,VLD,Open VLD,,9.9,1694,be -- open vld,Open VLD
BE,BE-4-6,,,,,Open VLD + Vivant,12.4,3004,be -- open vld + vivant,Open VLD + Vivant
BE,BE-1-16,,1,,Other,,1.8,1546,be -- other,OTHER
BE,BE-7-15,,,,,Parti Populaire,1.1,1859,be -- parti populaire,Parti Populaire
BE,BE-1-12,,,PRL-FDF,,,7.4,1672,be -- prl-fdf,PRL-FDF
BE,BE-6-13,,,PS,,,15.3,1465,be -- ps,PS
BE,BE-1-11,BE-4-7,,PSC/CDH,,,4.7,1373,be -- psc,PSC
BE,BE-7-14,,,,,PTB,2.2,2043,be -- ptb,PTB
BE,BE-1-15,BE-7-14,,,,PTB,0.3,2043,be -- ptb-ua,PTB-UA
BE,BE-1-7,,,PVDA,,,0.1,1291,be -- pvda-ae,PVDA-AE
BE,BE-7-6,BE-1-7,,PVDA,,,1.5,1291,be -- pvda+,PVDA+
BE,BE-1-3,,,SP.A,,,11.6,1066,be -- sp,SP
BE,BE-6-5,BE-1-3,,SP.A,,,10.8,1066,be -- sp.a,SP.A
BE,BE-2-5,,,,,SP.A-Spirit,14.7,1955,be -- sp.a-spirit,SP.A-Spirit
BE,BE-4-4,BE-2-5,,,,SP.A-Spirit,11.3,1955,be -- sp.a. + vlaams - progressieven (spirit),SP.A. + Vlaams - Progressieven (Spirit)
BE,BE-3-6,,,VIVANT,,Vivant,0.6,1065,be -- vivant,Vivant
BE,BE-4-5,,,,,Vlaams Belang,7.6,1029,be -- vlaams belang,Vlaams Belang
BE,BE-2-7,,,,,Vlaams Blok,9.9,1564,be -- vlaams blok,Vlaams Blok
BE,BE-1-5,BE-6-8,,VLD,Open VLD,,19.5,1694,be -- vld,VLD
BE,BE-1-6,,,VU-ID,,,3.8,1282,be -- vu-id,VU-ID
BG,BG-6-2,,,BSP,,Balgarska sotsialisticheska partia,34.5,1240,bg -- balgarska sotsialisticheska partia (bsp),Balgarska sotsialisticheska partia (BSP)
BG,BG-5-15,,,BNS/ND,,Koalitziia Balgarski Natsionalen Saiuz,0.1,1123,bg -- balgarski natsionalen saiuz – nd,Balgarski Natsionalen Saiuz – ND
BG,BG-3-7,BG-5-15,,BNS/ND,,Koalitziia Balgarski Natsionalen Saiuz,1.8,1123,bg -- bns,BNS
BG,BG-3-1,BG-6-2,,BSP,,Balgarska sotsialisticheska partia,55.2,1240,bg -- bsp,BSP
BG,BG-3-10,,,,Coalition Ataka,Koalitziia Ataka,9.8,1956,bg -- coalition ataka,Coalition Ataka
BG,BG-3-3,,,,Coalition of the Rose,Koalitziia na Rozata,0.5,1715,bg -- coalition of the rose,Coalition of the rose
BG,BG-4-4,,,DSB,,Demokrati za silna Bulgaria,4.3,1558,bg -- demokrati za silna balgariia,Demokrati za Silna Balgariia
BG,BG-3-2,,,DPS,,Dvizhenie za prava i svobodi,10.8,1703,bg -- dps,DPS
BG,BG-5-3,BG-3-2,,DPS,,Dvizhenie za prava i svobodi,10.6,1703,bg -- dps - dvijenie za prava i svobodi,DPS - Dvijenie za prava i svobodi
BG,BG-5-16,,,,,Druga politicheska sila,0.4,2015,bg -- druga politicheska sila,Druga politicheska sila
BG,BG-3-4,BG-4-4,,DSB,,Demokrati za silna Bulgaria,3,1558,bg -- dsb,DSB
BG,BG-4-2,,,,,Dvijenie za Prava i Svobodi,16.8,1983,bg -- dvijenie za prava i svobodi,Dvijenie za Prava i Svobodi
BG,BG-3-9,,,,,Politichesko dvijenie Evroroma,0.3,1864,bg -- evroroma,Evroroma
BG,BG-5-1,,,GERB,,,53.9,1302,bg -- gerb,GERB
BG,BG-6-13,,,,,"Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti",1.4,1406,"bg -- kandidati, izdignati ot initsiativni komiteti","Kandidati, izdignati ot Initsiativni komiteti"
BG,BG-5-2,,,BSP,,Koalitziia za Balgariia,22.6,1272,bg -- koalitsia za balgaria (bsp; pbs; zemedelski saiuz) al. stamb,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb
BG,BG-4-10,BG-3-10,,,Coalition Ataka,Koalitziia Ataka,8.7,1956,bg -- koalitziia ataka,Koalitziia Ataka
BG,BG-4-7,BG-5-15,,BNS/ND,,Koalitziia Balgarski Natsionalen Saiuz,3.1,1123,bg -- koalitziia bns,Koalitziia BNS
BG,BG-4-3,BG-3-3,,,Coalition of the Rose,Koalitziia na Rozata,0.3,1715,bg -- koalitziia na rozata,Koalitziia na Rozata
BG,BG-4-6,,,ODS,,Koalitziia,14,1176,bg -- koalitziia ods,Koalitziia ODS
BG,BG-4-1,BG-5-2,,BSP,,Koalitziia za Balgariia,41.8,1272,bg -- koalitziia za balgariia,Koalitziia za Balgariia
BG,BG-6-8,,,KP,,Sayuz na desnite sili,2.3,2048,bg -- kp sayuz na desnite sili,KP Sayuz na desnite sili
BG,BG-4-5,,,,,Natzionalno Dvijenie Simeon II,10.4,1985,bg -- natzionalno dvijenie simeon ii,Natzionalno Dvijenie Simeon II
BG,BG-3-5,,,NDSV,,,8.6,1506,bg -- ndsv,NDSV
