first_ess_id,first_ess_name,year_first,year_last,ess_ids,ess_info,partyfacts_id,country,name_short,name,name_english,technical
AL-6-1-c,Partia Socialiste e Shqipërisë (PS),2012,2012,AL-6-1-c,R6 --- prtclal --- Partia Socialiste e Shqipërisë (PS),1729,ALB,PSS,Partia Socialiste e Shqipërisë,Socialist Party of Albania,
AL-6-2-c,Partia Demokratike e Shqipërisë (PD),2012,2012,AL-6-2-c,R6 --- prtclal --- Partia Demokratike e Shqipërisë (PD),190,ALB,PDS,Partia Demokratike e Shqipërisë,Democratic Party of Albania,
AL-6-3-c,Lëvizja Socialiste për Integrim (LSI),2012,2012,AL-6-3-c,R6 --- prtclal --- Lëvizja Socialiste për Integrim (LSI),2297,ALB,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,
AL-6-4-c,Partia Republikane e Shqipërisë (PR),2012,2012,AL-6-4-c,R6 --- prtclal --- Partia Republikane e Shqipërisë (PR),819,ALB,PRS,Partia Republikane e Shqipërisë,Republican Party of Albania,
AL-6-6-c,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",2012,2012,AL-6-6-c,"R6 --- prtclal --- Partia Drejtësi, Integrim dhe Unitet (PDIU)",3270,ALB,PDIU,"Partia Drejtësi, Integrim dhe Unitet","Party for Justice, Integration and Unity",
AL-6-7-c,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),2012,2012,AL-6-7-c,R6 --- prtclal --- Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),1636,ALB,PBDN,Partia Bashkimi per te Drejtat e Njeriut,Unity for Human Rights Party,
AL-6-8-c,Fryma e Re Demokratike (FRD),2012,2012,AL-6-8-c,R6 --- prtclal --- Fryma e Re Demokratike (FRD),3697,ALB,FRD,Fryma e Re Demokratike,New Democratic Spirit,
AL-6-9-c,Aleanca Kuq e Zi (AK),2012,2012,AL-6-9-c,R6 --- prtclal --- Aleanca Kuq e Zi (AK),8354,ALB,AK,Aleanca Kuq e Zi,Red and Black Alliance,
AL-6-10-c,Other,2012,2012,AL-6-10-c,R6 --- prtclal --- Other,2568,ALB,etc,other,other,7
AT-1-1-c,SPÖ,2002,2020,AT-1-1-c AT-2-1-c AT-3-1-c AT-7-1-c AT-8-1-c AT-9-1-c AT-10-1-c,"R1 --- prtclat --- SPÖ
R2 --- prtclat --- SPÖ
R3 --- prtclaat --- SPÖ
R7 --- prtclcat --- SPÖ
R8 --- prtclcat --- SPÖ
R9 --- prtcldat --- SPÖ
R10 --- prtcldat --- SPÖ",1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
