ess_cntry,essround,ess_variable,ess_party,ess_party_id,ess_id,first_ess_id,country
AL,6,prtvtal,Partia Socialiste e Shqipërisë (PS),1,AL-6-1-v,AL-6-1-v,ALB
AL,6,prtvtal,Partia Demokratike e Shqipërisë (PD),2,AL-6-2-v,AL-6-2-v,ALB
AL,6,prtvtal,Lëvizja Socialiste për Integrim (LSI),3,AL-6-3-v,AL-6-3-v,ALB
AL,6,prtvtal,Partia Republikane e Shqipërisë (PR),4,AL-6-4-v,AL-6-4-v,ALB
AL,6,prtvtal,Partia Socialdemokrate e Shqipërisë (PSD),5,AL-6-5-v,AL-6-5-v,ALB
AL,6,prtvtal,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",6,AL-6-6-v,AL-6-6-v,ALB
AL,6,prtvtal,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),7,AL-6-7-v,AL-6-7-v,ALB
AL,6,prtvtal,Other,8,AL-6-8-v,AL-6-8-v,ALB
AL,6,prtclal,Partia Socialiste e Shqipërisë (PS),1,AL-6-1-c,AL-6-1-c,ALB
AL,6,prtclal,Partia Demokratike e Shqipërisë (PD),2,AL-6-2-c,AL-6-2-c,ALB
AL,6,prtclal,Lëvizja Socialiste për Integrim (LSI),3,AL-6-3-c,AL-6-3-c,ALB
AL,6,prtclal,Partia Republikane e Shqipërisë (PR),4,AL-6-4-c,AL-6-4-c,ALB
AL,6,prtclal,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",6,AL-6-6-c,AL-6-6-c,ALB
AL,6,prtclal,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),7,AL-6-7-c,AL-6-7-c,ALB
AL,6,prtclal,Fryma e Re Demokratike (FRD),8,AL-6-8-c,AL-6-8-c,ALB
AL,6,prtclal,Aleanca Kuq e Zi (AK),9,AL-6-9-c,AL-6-9-c,ALB
AL,6,prtclal,Other,10,AL-6-10-c,AL-6-10-c,ALB
AT,1,prtvtat,SPÖ,1,AT-1-1-v,AT-1-1-v,AUT
AT,1,prtvtat,ÖVP,2,AT-1-2-v,AT-1-2-v,AUT
AT,1,prtvtat,FPÖ,3,AT-1-3-v,AT-1-3-v,AUT
AT,1,prtvtat,Grüne,4,AT-1-4-v,AT-1-4-v,AUT
AT,1,prtvtat,LIF,5,AT-1-5-v,AT-1-5-v,AUT
AT,1,prtvtat,Other,6,AT-1-6-v,AT-1-6-v,AUT
AT,1,prtclat,SPÖ,1,AT-1-1-c,AT-1-1-c,AUT
AT,1,prtclat,ÖVP,2,AT-1-2-c,AT-1-2-c,AUT
AT,1,prtclat,FPÖ,3,AT-1-3-c,AT-1-3-c,AUT
AT,1,prtclat,Grüne,4,AT-1-4-c,AT-1-4-c,AUT
AT,1,prtclat,LIF,5,AT-1-5-c,AT-1-5-c,AUT
AT,1,prtclat,Other,6,AT-1-6-c,AT-1-6-c,AUT
AT,2,prtvtat,SPÖ,1,AT-2-1-v,AT-1-1-v,AUT
AT,2,prtvtat,ÖVP,2,AT-2-2-v,AT-1-2-v,AUT
AT,2,prtvtat,FPÖ,3,AT-2-3-v,AT-1-3-v,AUT
AT,2,prtvtat,Grüne,4,AT-2-4-v,AT-1-4-v,AUT
AT,2,prtvtat,LIF,5,AT-2-5-v,AT-1-5-v,AUT
AT,2,prtvtat,Other,6,AT-2-6-v,AT-1-6-v,AUT
AT,2,prtclat,SPÖ,1,AT-2-1-c,AT-1-1-c,AUT
AT,2,prtclat,ÖVP,2,AT-2-2-c,AT-1-2-c,AUT
AT,2,prtclat,FPÖ,3,AT-2-3-c,AT-1-3-c,AUT
AT,2,prtclat,Grüne,4,AT-2-4-c,AT-1-4-c,AUT
AT,2,prtclat,LIF,5,AT-2-5-c,AT-1-5-c,AUT
AT,2,prtclat,Other,6,AT-2-6-c,AT-1-6-c,AUT
AT,3,prtvtaat,SPÖ,1,AT-3-1-v,AT-1-1-v,AUT
AT,3,prtvtaat,ÖVP,2,AT-3-2-v,AT-1-2-v,AUT
AT,3,prtvtaat,FPÖ,3,AT-3-3-v,AT-1-3-v,AUT
AT,3,prtvtaat,BZÖ,4,AT-3-4-v,AT-3-4-v,AUT
AT,3,prtvtaat,GRÜNE,5,AT-3-5-v,AT-1-4-v,AUT
AT,3,prtvtaat,LIF,6,AT-3-6-v,AT-1-5-v,AUT
