"id_partyfacts","cntry","round","year","country","label","prtvt_count","prtcl_count","prtmb_count","iso3","first","last","label_names","ess_party","ess_party_md5","name_short","name_is_english","name_english","name"
-1,"BG",6,2012,"Bulgaria","PP Balgarska demokratichna obshtnost",1,-1,,"BGR",2010,2012,,"bg pp balgarska demokratichna obshtnost","2136efaca2c4783f704679410f9e3a1d","PP",FALSE,,"PP Balgarska demokratichna obshtnost"
-1,"UA",2,2004,"Ukraine","Political Party 'Apple'",4,0,0,"UKR",2004,2012,,"ua political party 'apple'","374d6c1de2b24b13c72fee77756bcc8c",,TRUE,"Political Party 'Apple'",
-1,"EE",5,2010,"Estonia","Eesti Iseseisvuspartei",2,2,1,"EST",2004,2012,,"ee eesti iseseisvuspartei","2bc5d86968dbc1e45b9334b5fe1ee65f",,FALSE,,"Eesti Iseseisvuspartei"
-1,"AL",6,2012,"Albania","Fryma e Re Demokratike (FRD)",-1,16,,"ALB",2012,2012,,"al fryma e re demokratike (frd)","c6bde80bd551daeb31db00895e908061","FRD",FALSE,,"Fryma e Re Demokratike (FRD)"
-1,"GB",1,2002,"United Kingdom","United Unionist Assembly Party (nir)",0,0,0,"GBR",2002,2012,,"gb united unionist assembly party (nir)","f7c3837a9f073801d5dac5c04d70c116",,TRUE,"United Unionist Assembly Party (nir)",
-1,"EE",4,2008,"Estonia","campaigner",2,0,0,"EST",2004,2012,,"ee campaigner","215f35d3106d0a280d30ef68fee87dd2",,FALSE,,"campaigner"
-1,"IL",5,2010,"Israel","HaTnu`a HaYeruqa",6,3,0,"ISR",2002,2012,,"il hatnu`a hayeruqa","fc810c3bb51a278cd094b9c41a2ad920",,FALSE,,"HaTnu`a HaYeruqa"
-1,"FR",1,2002,"France","MDC (Mouvement des citoyens)",5,2,0,"FRA",2002,2012,,"fr mdc (mouvement des citoyens)","30e0edef2c970c4618bc0ae7c467d846","MDC",FALSE,,"MDC (Mouvement des citoyens)"
-1,"RU",6,2012,"Russian Federation","Just Cause",15,10,,"RUS",2006,2012,,"ru just cause","44ce5663871d43057e8a91f9ec171bcd",,TRUE,"Just Cause",
-1,"PT",3,2006,"Portugal","PH - Partido Humanista",1,1,0,"PRT",2002,2012,,"pt ph - partido humanista","901e398da49f28a9de19f40b1da0507e","PH",FALSE,,"PH - Partido Humanista"
