country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,partyfacts_id
ALB,essold,NA,AK,Aleanca Kuq e Zi (AK),NA,2012,2012,NA,NA,NA,NA,2014-06-09T08:55:09Z,2017-06-15T16:10:33Z,4584,NA
ALB,essold,NA,FRD,Fryma e Re Demokratike (FRD),NA,2012,2012,NA,NA,NA,NA,2014-06-09T08:55:15Z,2017-06-15T16:10:27Z,4960,NA
ALB,essold,NA,LSI,Lëvizja Socialiste për Integrim (LSI),NA,2012,2012,NA,NA,NA,NA,2014-06-09T08:55:17Z,2017-06-15T16:10:43Z,5114,2297
ALB,essold,NA,PBDNJ,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),NA,2012,2012,NA,NA,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),NA,2014-06-09T08:55:12Z,2017-06-15T16:10:40Z,4782,1636
ALB,essold,NA,PD,Partia Demokratike e Shqipërisë (PD),NA,2012,2012,NA,NA,Partia Demokratike e Shqipërisë (PD),NA,2014-06-09T08:55:16Z,2017-06-15T16:10:36Z,5025,190
ALB,essold,NA,PDIU,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",NA,2012,2012,NA,NA,NA,NA,2014-06-09T08:55:15Z,2017-06-15T16:10:24Z,4967,3270
ALB,essold,NA,PR,Partia Republikane e Shqipërisë (PR),NA,2012,2012,NA,NA,Partia Republikane e Shqipërisë (PR),NA,2014-06-09T08:55:18Z,2017-06-15T16:10:45Z,5172,819
ALB,essold,NA,PSD,Partia Socialdemokrate e Shqipërisë (PSD),NA,2012,2012,NA,NA,NA,NA,2014-06-09T08:55:15Z,2017-06-15T16:10:38Z,4981,838
ALB,essold,NA,PS,Partia Socialiste e Shqipërisë (PS),NA,2012,2012,NA,NA,Partia Socialiste e Shqipërisë (PS),NA,2014-06-09T08:55:13Z,2017-06-15T16:10:33Z,4831,1729
AUT,essold,NA,BZ,BZÖ,NA,2006,2008,NA,NA,BZÖ,NA,2014-06-09T08:55:15Z,2017-06-15T16:10:32Z,4968,599
