"essround","year","partyname","countryname","countrynameshort"
1,2002,"SPÖ","Austria","AUT"
1,2002,"ÖVP","Austria","AUT"
1,2002,"FPÖ","Austria","AUT"
1,2002,"Grüne","Austria","AUT"
1,2002,"LIF","Austria","AUT"
1,2002,"Andere","Austria","AUT"
1,2002,"Agalev","Belgium","BEL"
1,2002,"CVP","Belgium","BEL"
1,2002,"SP","Belgium","BEL"
1,2002,"PNPB","Belgium","BEL"
1,2002,"VLD","Belgium","BEL"
1,2002,"VU-ID","Belgium","BEL"
1,2002,"PVDA-AE","Belgium","BEL"
1,2002,"Vlaams Blok","Belgium","BEL"
1,2002,"VIVANT","Belgium","BEL"
1,2002,"ECOLO","Belgium","BEL"
1,2002,"PSC","Belgium","BEL"
1,2002,"PRL-FDF","Belgium","BEL"
1,2002,"PS","Belgium","BEL"
1,2002,"FRONT NATIONAL","Belgium","BEL"
1,2002,"PTB-UA","Belgium","BEL"
1,2002,"OTHER","Belgium","BEL"
1,2002,"Radicals","Switzerland","CHE"
1,2002,"Christian-democrats","Switzerland","CHE"
1,2002,"Social-democrats","Switzerland","CHE"
1,2002,"Swiss People's Party","Switzerland","CHE"
1,2002,"Liberal Party","Switzerland","CHE"
1,2002,"Alliance of the Independents","Switzerland","CHE"
1,2002,"Evangelical People's Party","Switzerland","CHE"
1,2002,"Christian-Social Party","Switzerland","CHE"
1,2002,"Swiss Labour Party","Switzerland","CHE"
1,2002,"Green Party","Switzerland","CHE"
1,2002,"Swiss Democrats","Switzerland","CHE"
1,2002,"Federal Democratic Union","Switzerland","CHE"
1,2002,"Freiheits-Partei","Switzerland","CHE"
1,2002,"Women's Parties","Switzerland","CHE"
1,2002,"Lega dei Ticinesi","Switzerland","CHE"
1,2002,"Others","Switzerland","CHE"
1,2002,"CSSD Cz.Social Democratic P.","Czech Republic","CZE"
1,2002,"ODA Civic Democratic Alliance","Czech Republic","CZE"
1,2002,"Nadeje (Hope)","Czech Republic","CZE"
1,2002,"RMS Republicans of Miroslav Sladek","Czech Republic","CZE"
1,2002,"CSNS Cz.National Social P.","Czech Republic","CZE"
1,2002,"SV-SOS P.of Countryside-Assoc.Civic Forces","Czech Republic","CZE"
1,2002,"Association of Independents","Czech Republic","CZE"
1,2002,"ODS Civic Democratic P.","Czech Republic","CZE"
1,2002,"KSCM Communist P.of Bohemia&Moravia","Czech Republic","CZE"
1,2002,"KDU-CSL Christian Democratic P.","Czech Republic","CZE"
1,2002,"US Freedom Union","Czech Republic","CZE"
1,2002,"SZJ P.for Life Securities","Czech Republic","CZE"
1,2002,"PB Right Block","Czech Republic","CZE"
1,2002,"SZ P.of Greens","Czech Republic","CZE"
1,2002,"Other","Czech Republic","CZE"
1,2002,"Coalition (Christian Dem.&Freedom Union)","Czech Republic","CZE"
1,2002,"SPD","Germany","DEU"
1,2002,"CDU/CSU","Germany","DEU"
1,2002,"Bündnis 90/Die Grünen","Germany","DEU"
1,2002,"FDP","Germany","DEU"
1,2002,"PDS","Germany","DEU"
1,2002,"Republikaner","Germany","DEU"
1,2002,"Andere Partei","Germany","DEU"
1,2002,"Socialdemokratiet","Denmark","DNK"
1,2002,"Det Radikale Venstre","Denmark","DNK"
1,2002,"Det Konservative Folkeparti","Denmark","DNK"
1,2002,"Centrum-Demokraterne","Denmark","DNK"
1,2002,"Socialistisk Folkeparti","Denmark","DNK"
1,2002,"Dansk Folkeparti","Denmark","DNK"
1,2002,"Kristeligt Folkeparti","Denmark","DNK"
1,2002,"Venstre","Denmark","DNK"
1,2002,"Fremskridtspartiet","Denmark","DNK"
1,2002,"Enhedslisten","Denmark","DNK"
1,2002,"Other","Denmark","DNK"
1,2002,"Partido Popular (PP)","Spain","ESP"
1,2002,"Partido Socialista Obrero Español (PSOE)","Spain","ESP"
1,2002,"Izquierda Unida (IU)","Spain","ESP"
1,2002,"Convergència i Unió (CiU)","Spain","ESP"
1,2002,"Esquerra Repubicana de Catalunya (ERC)","Spain","ESP"
1,2002,"Iniciativa per Catalunya-Verds (ICV)","Spain","ESP"
1,2002,"Partido Nacionalista Vasco (PNV)","Spain","ESP"
1,2002,"Eusko Alkartasuna (EA)","Spain","ESP"
1,2002,"Bloque Nacionalista Galego (BNG)","Spain","ESP"
1,2002,"Coalición Canaria (CC)","Spain","ESP"
1,2002,"Partido Andalucista (PA)","Spain","ESP"
1,2002,"Chunta Aragonesista (CHA)","Spain","ESP"
1,2002,"Other","Spain","ESP"
1,2002,"The National Coalition Party","Finland","FIN"
1,2002,"The Swedish People´s Party (SPP)","Finland","FIN"
1,2002,"Liberals, (The liberal party of Finland)","Finland","FIN"
1,2002,"The Centre Party","Finland","FIN"
1,2002,"True Finns","Finland","FIN"
1,2002,"Christian Democrats","Finland","FIN"
1,2002,"League for Free Finland","Finland","FIN"
1,2002,"The Green League","Finland","FIN"
1,2002,"Finnish Social Democratic Party","Finland","FIN"
1,2002,"The Left Alliance","Finland","FIN"
1,2002,"Communist Party of Finland","Finland","FIN"
1,2002,"The Communist Workers' Party of Finland","Finland","FIN"
1,2002,"Natural law party","Finland","FIN"
1,2002,"Other","Finland","FIN"
1,2002,"CPNT (Chasse, Pêche, Nature et Traditions)","France","FRA"
1,2002,"DL (Démocratie Libérale)","France","FRA"
1,2002,"FN (Front National)","France","FRA"
1,2002,"LCR (ligue communiste révolutionnaire)","France","FRA"
1,2002,"LO (Lutte ouvrière)","France","FRA"
1,2002,"MDC (Mouvement des citoyens)","France","FRA"
1,2002,"MNR (Mouvement National Républicain)","France","FRA"
1,2002,"MPF (Mouvement pour la France)","France","FRA"
1,2002,"PC (Parti communiste)","France","FRA"
1,2002,"PS (Parti Socialiste)","France","FRA"
1,2002,"RPF (Rassemblement du Peuple Français)","France","FRA"
1,2002,"UMP (Union de la Majorité Présidentielle)","France","FRA"
1,2002,"UDF (Union pour la Démocratie Française)","France","FRA"
1,2002,"Les Verts","France","FRA"
1,2002,"Autres mouvements écologistes","France","FRA"
1,2002,"Autre","France","FRA"
1,2002,"Conservative","United Kingdom","GBR"
1,2002,"Labour","United Kingdom","GBR"
1,2002,"Liberal Democrat","United Kingdom","GBR"
1,2002,"Scottish National Party","United Kingdom","GBR"
1,2002,"Plaid Cymru","United Kingdom","GBR"
1,2002,"Green Party","United Kingdom","GBR"
1,2002,"Other","United Kingdom","GBR"
1,2002,"Ulster Unionist Party (nir)","Northern Ireland","NIR"
1,2002,"Democratic Unionist Party (nir)","Northern Ireland","NIR"
1,2002,"Sinn Fein (nir)","Northern Ireland","NIR"
1,2002,"Social Democratic and Labour Party (nir)","Northern Ireland","NIR"
1,2002,"Alliance Party (nir)","Northern Ireland","NIR"
1,2002,"Progressive Unionist Party (nir)","Northern Ireland","NIR"
1,2002,"United Kingdom Unionist Party (nir)","Northern Ireland","NIR"
1,2002,"Womens Coalition (nir)","Northern Ireland","NIR"
1,2002,"United Unionist Assembly Party (nir)","Northern Ireland","NIR"
1,2002,"Northern Ireland Unionist Party (nir)","Northern Ireland","NIR"
1,2002,"Workers Party (nir)","Northern Ireland","NIR"
1,2002,"Other (nir)","Northern Ireland","NIR"
1,2002,"PASOK (Panhellenic Socialist Movement)","Greece","GRC"
1,2002,"ND (New Democracy)","Greece","GRC"
1,2002,"KKE (Communist party)","Greece","GRC"
1,2002,"SYN (Left Wing Coalition)","Greece","GRC"
1,2002,"DIKKI (Democratic Social Movement)","Greece","GRC"
1,2002,"Other parties","Greece","GRC"
1,2002,"Center Party","Hungary","HUN"
1,2002,"FYD-Federation of Young Democrats","Hungary","HUN"
1,2002,"ISHP-Independent Small Holders","Hungary","HUN"
1,2002,"HDF- Hungarian Democratic Forum","Hungary","HUN"
1,2002,"HTJP-Hungarian Truth","Hungary","HUN"
1,2002,"HSP-Hungarian Socialist Party","Hungary","HUN"
1,2002,"WP-Workers Party","Hungary","HUN"
1,2002,"FFD-Free Democrats","Hungary","HUN"
1,2002,"Other","Hungary","HUN"
1,2002,"FYD-HDF Fed.of Young Democrats&Hungarian Dem.Forum","Hungary","HUN"
1,2002,"None of them","Hungary","HUN"
1,2002,"Fianna Fail","Ireland","IRL"
1,2002,"Fine Gael","Ireland","IRL"
1,2002,"Labour","Ireland","IRL"
1,2002,"Progressive Democrats","Ireland","IRL"
1,2002,"Green Party","Ireland","IRL"
1,2002,"Sinn Fein","Ireland","IRL"
1,2002,"Other","Ireland","IRL"
1,2002,"Independent","Ireland","IRL"
1,2002,"Israel ahat","Israel","ISR"
1,2002,"Likud","Israel","ISR"
1,2002,"Shase","Israel","ISR"
1,2002,"Meretz","Israel","ISR"
1,2002,"Mafdal","Israel","ISR"
1,2002,"Yahadut-hatora, Agudat-Isarel, Degel-hatora","Israel","ISR"
1,2002,"Am ehad","Israel","ISR"
1,2002,"Shinuy","Israel","ISR"
1,2002,"Haehud haleumi","Israel","ISR"
1,2002,"The center party","Israel","ISR"
1,2002,"Israel baliya","Israel","ISR"
1,2002,"Israel byteno","Israel","ISR"
1,2002,"Hadereh hashlishit","Israel","ISR"
1,2002,"Pnina Rozenblum","Israel","ISR"
1,2002,"Tzomet","Israel","ISR"
1,2002,"Gimlaim","Israel","ISR"
1,2002,"Hadash","Israel","ISR"
1,2002,"Balad","Israel","ISR"
1,2002,"Hatnua Harabit Hameauhedet","Israel","ISR"
1,2002,"Haravi Hahadash","Israel","ISR"
1,2002,"Other party","Israel","ISR"
1,2002,"White Ballot","Israel","ISR"
1,2002,"Democratici di Sinistra","Italy","ITA"
1,2002,"La Margherita","Italy","ITA"
1,2002,"Comunisti Italiani","Italy","ITA"
1,2002,"Verdi","Italy","ITA"
1,2002,"SDI","Italy","ITA"
1,2002,"SVP (Südtirol Volksp","Italy","ITA"
1,2002,"Rifondazione Comunis","Italy","ITA"
1,2002,"Forza Italia","Italy","ITA"
1,2002,"Alleanza Nazionale","Italy","ITA"
1,2002,"CCD-CDU","Italy","ITA"
1,2002,"Lega Nord","Italy","ITA"
1,2002,"Nuovo PSI","Italy","ITA"
1,2002,"Lista di Pietro","Italy","ITA"
1,2002,"Democrazia Europea","Italy","ITA"
1,2002,"Pannella-Bonino","Italy","ITA"
