"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1885,"ALB","Albania","AK","","Aleanca Kuq e Zi","aleanca kuq e zi ak",2012,2012,"","","","","","","Aleanca Kuq e Zi (AK)"
1217,"ALB","Albania","FRD","","Fryma e Re Demokratike","fryma e re demokratike frd",2012,2012,"","","","","","","Fryma e Re Demokratike (FRD)"
1372,"ALB","Albania","LSI","","Lëvizja Socialiste për Integrim","lëvizja socialiste për integrim lsi",2012,2012,"","","","","","","Lëvizja Socialiste për Integrim (LSI)"
1378,"ALB","Albania","","Other","","other",2012,2012,"","","","","","","Other"
1698,"ALB","Albania","PBDNJ","","Partia Bashkimi për të Drejtat e Njeriut","partia bashkimi për të drejtat e njeriut pbdnj",2012,2012,"","","","","","","Partia Bashkimi për të Drejtat e Njeriut (PBDNJ)"
1072,"ALB","Albania","PD","","Partia Demokratike e Shqipërisë","partia demokratike e shqipërisë pd",2012,2012,"","","","","","","Partia Demokratike e Shqipërisë (PD)"
1686,"ALB","Albania","PDIU","","Partia Drejtësi, Integrim dhe Unitet","partia drejtësi integrim dhe unitet pdiu",2012,2012,"","","","","","","Partia Drejtësi, Integrim dhe Unitet (PDIU)"
1658,"ALB","Albania","PR","","Partia Republikane e Shqipërisë","partia republikane e shqipërisë pr",2012,2012,"","","","","","","Partia Republikane e Shqipërisë (PR)"
1053,"ALB","Albania","PSD","","Partia Socialdemokrate e Shqipërisë","partia socialdemokrate e shqipërisë psd",2012,2012,"","","","","","","Partia Socialdemokrate e Shqipërisë (PSD)"
1521,"ALB","Albania","PS","","Partia Socialiste e Shqipërisë","partia socialiste e shqipërisë ps",2012,2012,"","","","","","","Partia Socialiste e Shqipërisë (PS)"
1798,"AUT","Austria","BZÖ","","","bzö",2006,2006,"","","","BZÖ","","",""
1724,"AUT","Austria","FPÖ","","","fpö",2002,2006,"","FPÖ","FPÖ","FPÖ","","",""
1582,"AUT","Austria","GRÜNE","","Grüne","grüne",2002,2006,"","Grüne","Grüne","GRÜNE","","",""
1115,"AUT","Austria","KPÖ","","","kpö",2006,2006,"","","","KPÖ","","",""
1091,"AUT","Austria","LIF","","","lif",2002,2006,"","LIF","LIF","LIF","","",""
1200,"AUT","Austria","","Other","Andere","other",2002,2006,"","Andere","Andere","other","","",""
1479,"AUT","Austria","SPÖ","","","spö",2002,2006,"","SPÖ","SPÖ","SPÖ","","",""
1648,"AUT","Austria","ÖVP","","","övp",2002,2006,"","ÖVP","ÖVP","ÖVP","","",""
1348,"BEL","Belgium","","","Blanco","blanco",2004,2012,"","","Blank","Blank","Blank","Blanco","Blanco"
1262,"BEL","Belgium","CD&V","","","cd v",2004,2012,"","","CD&V","CD&V","CD&V","CD&V","CD&V"
1373,"BEL","Belgium","PSC/CDH","","","cdh",2002,2012,"","PSC","CDH","CDH","CDH","CDH","CDH"
1544,"BEL","Belgium","CVP","","","cvp",2002,2002,"","CVP","","","","",""
1073,"BEL","Belgium","ECOLO","","","ecolo",2002,2012,"","ECOLO","Ecolo","Ecolo","Ecolo","Ecolo","Ecolo"
1772,"BEL","Belgium","FRONT","Front National","","front national",2002,2012,"","FRONT NATIONAL","Front National","Front National","Front National","Front National","Front National"
1254,"BEL","Belgium","","","Agalev/Groen!","groen",2002,2012,"","Agalev","Agalev/Groen!","Agalev/Groen!","Groen!","Groen!","Groen!"
1159,"BEL","Belgium","","Invalid","","invalid",2004,2008,"","","Invalid","Invalid","Invalid","",""
1299,"BEL","Belgium","","","Lijst Dedecker","lijst dedecker",2008,2012,"","","","","Lijst Dedecker","Lijst Dedecker","Lijst Dedecker"
1625,"BEL","Belgium","MR","MR","","mr",2004,2012,"","","MR","MR","MR","MR","MR"
1651,"BEL","Belgium","N-VA","","","n va",2004,2012,"","","N-VA","N-VA","N-VA","N-VA","N-VA"
1557,"BEL","Belgium","","","Ongeldig","ongeldig",2010,2012,"","","","","","Ongeldig","Ongeldig"
1694,"BEL","Belgium","VLD","Open VLD","","open vld",2002,2012,"","VLD","VLD","VLD","Open VLD","Open VLD","Open VLD"
1546,"BEL","Belgium","","Other","","other",2002,2012,"","OTHER","Other","Other","Other","Other","Other"
1859,"BEL","Belgium","","","Parti Populaire","parti populaire",2010,2012,"","","","","","Parti Populaire","Parti Populaire"
1730,"BEL","Belgium","PNPB","","","pnpb",2002,2002,"","PNPB","","","","",""
1672,"BEL","Belgium","PRL-FDF","","","prl fdf",2002,2002,"","PRL-FDF","","","","",""
1465,"BEL","Belgium","PS","","","ps",2002,2012,"","PS","PS","PS","PS","PS","PS"
2043,"BEL","Belgium","","","PTB","ptb",2002,2012,"","PTB-UA","","","","PTB","PTB"
1291,"BEL","Belgium","PVDA","","","pvda",2002,2012,"","PVDA-AE","","","","PVDA+","PVDA+"
1458,"BEL","Belgium","RESIST","RESIST","","resist",2004,2006,"","","RESIST","RESIST","","",""
1066,"BEL","Belgium","SP.A","","","sp a",2002,2012,"","SP","SP.A","SP.A","SP.A.","SP.A","SP.A"
1955,"BEL","Belgium","","","SP.A-Spirit","sp a vlaams progressieven spirit",2004,2008,"","","SP.A-Spirit","SP.A-Spirit","SP.A. + Vlaams - Progressieven (Spirit)","",""
1065,"BEL","Belgium","VIVANT","","Vivant","vivant",2002,2008,"","VIVANT","Vivant","Vivant","Vivant","",""
1029,"BEL","Belgium","","","Vlaams Belang","vlaams belang",2008,2012,"","","","","Vlaams Belang","Vlaams Belang","Vlaams Belang"
1564,"BEL","Belgium","","","Vlaams Blok","vlaams blok",2002,2006,"","Vlaams Blok","Vlaams Blok","Vlaams Blok","","",""
1284,"BEL","Belgium","","Spirit","Vlaams - Progressieven Spirit","vlaams progressieven spirit",2004,2008,"","","Spirit","Spirit","Vlaams - Progressieven (Spirit)","",""
1282,"BEL","Belgium","VU-ID","","","vu id",2002,2002,"","VU-ID","","","","",""
1240,"BGR","Bulgaria","BSP","","Balgarska sotsialisticheska partia","balgarska sotsialisticheska partia bsp",2006,2012,"","","","BSP","BSP","BSP","Balgarska sotsialisticheska partia (BSP)"
1123,"BGR","Bulgaria","BNS/ND","","Koalitziia Balgarski Natsionalen Saiuz","balgarski natsionalen saiuz nd",2006,2010,"","","","BNS","Koalitziia BNS","Balgarski Natsionalen Saiuz – ND",""
1558,"BGR","Bulgaria","DSB","","Demokrati za silna Bulgaria","demokrati za silna bulgaria dsb",2006,2012,"","","","DSB","Demokrati za Silna Balgariia","DSB","Demokrati za silna Bulgaria (DSB)"
1803,"BGR","Bulgaria","DP","","","dp",2006,2008,"","","","DP","DP","",""
2015,"BGR","Bulgaria","","","Druga politicheska sila","druga politicheska sila",2010,2010,"","","","","","Druga politicheska sila",""
1128,"BGR","Bulgaria","","","Drugata Bulgaria","drugata bulgaria",2012,2012,"","","","","","","Drugata Bulgaria"
1759,"BGR","Bulgaria","","","Dvijenie 'Gergiovden'","dvijenie gergiovden",2006,2008,"","","","Gergiovden","Dvijenie 'Gergiovden'","",""
1983,"BGR","Bulgaria","","","Dvijenie za Prava i Svobodi","dvijenie za prava i svobodi",2008,2008,"","","","","Dvijenie za Prava i Svobodi","",""
1703,"BGR","Bulgaria","DPS","","Dvizhenie za prava i svobodi","dvizhenie za prava i svobodi dps",2006,2012,"","","","DPS","DPS","DPS - Dvijenie za prava i svobodi","Dvizhenie za prava i svobodi (DPS)"
1302,"BGR","Bulgaria","GERB","","","gerb",2006,2012,"","","","GERB","GERB","GERB","GERB"
1080,"BGR","Bulgaria","ABV","","Grajdansko dvijenie","grajdansko dvijenie abv",2010,2010,"","","","","","Grajdansko dvijenie ABV",""
1390,"BGR","Bulgaria","","","Grazhdansko obedinenie za realna demokratsia (S.Binev)","grazhdansko obedinenie za realna demokratsia s binev",2012,2012,"","","","","","","Grazhdansko obedinenie za realna demokratsia (S.Binev)"
1406,"BGR","Bulgaria","","","Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti","kandidati izdignati ot initsiativni komiteti",2010,2012,"","","","","","Nezavisim kandidat","Kandidati, izdignati ot Initsiativni komiteti"
1272,"BGR","Bulgaria","BSP","","Koalitziia za Balgariia","koalitsia za balgaria bsp pbs zemedelski saiuz al stamb",2008,2010,"","","","","Koalitziia za Balgariia","Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb",""
1956,"BGR","Bulgaria","","Coalition Ataka","Koalitziia Ataka","koalitziia ataka",2006,2008,"","","","Coalition Ataka","Koalitziia Ataka","",""
1715,"BGR","Bulgaria","","Coalition of the Rose","Koalitziia na Rozata","koalitziia na rozata",2006,2008,"","","","Coalition of the rose","Koalitziia na Rozata","",""
1176,"BGR","Bulgaria","ODS","","Koalitziia","koalitziia ods",2008,2008,"","","","","Koalitziia ODS","",""
2048,"BGR","Bulgaria","KP","","Sayuz na desnite sili","kp sayuz na desnite sili",2012,2012,"","","","","","","KP Sayuz na desnite sili"
1153,"BGR","Bulgaria","","","Narodna partia „Svoboda i dostoynstvo“","narodna partia svoboda i dostoynstvo",2012,2012,"","","","","","","Narodna partia „Svoboda i dostoynstvo“"
1985,"BGR","Bulgaria","","","Natzionalno Dvijenie Simeon II","natzionalno dvijenie simeon ii",2008,2008,"","","","","Natzionalno Dvijenie Simeon II","",""
1506,"BGR","Bulgaria","NDSV","","","ndsv",2006,2012,"","","","NDSV","NDSV","NDSV","NDSV"
1986,"BGR","Bulgaria","","","Novo Vreme","novo vreme",2008,2008,"","","","","Novo Vreme","",""
1164,"BGR","Bulgaria","OBT","","","obt",2008,2008,"","","","","OBT","",""
1213,"BGR","Bulgaria","","Other","Druga partia/koalitsia","other",2006,2012,"","","","Other","Other","Druga partia/koalitsia","Other"
1826,"BGR","Bulgaria","","","P.P. Drugata Balgaria","p p drugata balgaria",2010,2010,"","","","","","P.P. Drugata Balgaria",""
1569,"BGR","Bulgaria","Ataka","","Partia Ataka","partia ataka",2006,2012,"","","","Ataka","Ataka","Ataka","Partia Ataka"
1163,"BGR","Bulgaria","SSD","","Partia „Balgarski sotsialdemokrati”","partia balgarski sotsialdemokrati",2006,2012,"","","","SSD","SSD","SSD","Partia „Balgarski sotsialdemokrati”"
