cntry,essround,variable,ess_id,party,n
AT,1,prtvtat,1,SPÖ,493
AT,1,prtvtat,2,ÖVP,534
AT,1,prtvtat,3,FPÖ,76
AT,1,prtvtat,4,Grüne,233
AT,1,prtvtat,5,LIF,15
AT,1,prtvtat,6,Andere,20
AT,1,prtvtat,7,Not applicable,424
AT,1,prtvtat,8,Refusal,426
AT,1,prtvtat,9,Don't know,36
AT,2,prtvtat,1,SPÖ,372
AT,2,prtvtat,2,ÖVP,440
AT,2,prtvtat,3,FPÖ,59
AT,2,prtvtat,4,Grüne,186
AT,2,prtvtat,5,LIF,4
AT,2,prtvtat,6,Andere,14
AT,2,prtvtat,7,Not applicable,752
AT,2,prtvtat,8,Refusal,376
AT,2,prtvtat,9,Don't know,53
AT,3,prtvtaat,1,SPÖ,480
AT,3,prtvtaat,2,ÖVP,518
AT,3,prtvtaat,3,FPÖ,93
AT,3,prtvtaat,4,BZÖ,25
AT,3,prtvtaat,5,GRÜNE,186
AT,3,prtvtaat,6,LIF,1
AT,3,prtvtaat,7,KPÖ,8
AT,3,prtvtaat,8,other,11
AT,3,prtvtaat,9,Not applicable,549
AT,3,prtvtaat,10,Refusal,501
AT,3,prtvtaat,11,Don't know,33
AT,7,prtvtbat,1,SPÖ,354
AT,7,prtvtbat,2,ÖVP,317
AT,7,prtvtbat,3,FPÖ,153
AT,7,prtvtbat,4,BZÖ,13
AT,7,prtvtbat,5,Grüne,157
AT,7,prtvtbat,6,KPÖ,15
AT,7,prtvtbat,7,NEOS,57
AT,7,prtvtbat,8,Piratenpartei Österreich,8
AT,7,prtvtbat,9,Team Frank Stronach,10
AT,7,prtvtbat,10,Other,10
AT,7,prtvtbat,11,Not applicable,506
AT,7,prtvtbat,12,Refusal,171
AT,7,prtvtbat,13,Don't know,24
BE,1,prtvtbe,1,Agalev,91
BE,1,prtvtbe,2,CVP,247
BE,1,prtvtbe,3,SP,139
BE,1,prtvtbe,5,VLD,234
BE,1,prtvtbe,6,VU-ID,45
BE,1,prtvtbe,7,PVDA-AE,1
BE,1,prtvtbe,8,Vlaams Blok,78
BE,1,prtvtbe,9,VIVANT,1
BE,1,prtvtbe,10,ECOLO,58
BE,1,prtvtbe,11,PSC,56
BE,1,prtvtbe,12,PRL-FDF,89
BE,1,prtvtbe,13,PS,129
BE,1,prtvtbe,14,FRONT NATIONAL,6
BE,1,prtvtbe,15,PTB-UA,4
BE,1,prtvtbe,16,OTHER,21
BE,1,prtvtbe,17,Not applicable,401
BE,1,prtvtbe,18,Refusal,159
BE,1,prtvtbe,19,Don't know,125
BE,1,prtvtbe,20,No answer,15
BE,2,prtvtabe,1,Agalev/Groen!,43
BE,2,prtvtabe,2,CD&V,193
BE,2,prtvtabe,3,N-VA,24
BE,2,prtvtabe,5,SP.A-Spirit,189
BE,2,prtvtabe,6,Vivant,5
BE,2,prtvtabe,7,Vlaams Blok,127
BE,2,prtvtabe,8,VLD,192
BE,2,prtvtabe,9,CDH,72
BE,2,prtvtabe,10,Ecolo,51
BE,2,prtvtabe,11,Front National,22
BE,2,prtvtabe,12,MR,141
BE,2,prtvtabe,13,PS,190
BE,2,prtvtabe,14,Other,7
BE,2,prtvtabe,15,Blank,34
BE,2,prtvtabe,16,Invalid,6
BE,2,prtvtabe,17,Not applicable,280
BE,2,prtvtabe,18,Refusal,106
BE,2,prtvtabe,19,Don't know,96
BE,3,prtvtabe,1,Agalev/Groen!,55
BE,3,prtvtabe,2,CD&V,261
BE,3,prtvtabe,3,N-VA,26
BE,3,prtvtabe,5,SP.A-Spirit,150
BE,3,prtvtabe,6,Vivant,8
BE,3,prtvtabe,7,Vlaams Blok,108
BE,3,prtvtabe,8,VLD,188
BE,3,prtvtabe,9,CDH,62
BE,3,prtvtabe,10,Ecolo,49
BE,3,prtvtabe,11,Front National,10
BE,3,prtvtabe,12,MR,134
BE,3,prtvtabe,13,PS,167
BE,3,prtvtabe,14,Other,9
BE,3,prtvtabe,15,Blank,22
BE,3,prtvtabe,16,Invalid,5
BE,3,prtvtabe,17,Not applicable,350
BE,3,prtvtabe,18,Refusal,92
BE,3,prtvtabe,19,Don't know,102
BE,4,prtvtbbe,1,Groen!,45
BE,4,prtvtbbe,2,CD&V + N-VA,295
BE,4,prtvtbbe,3,Lijst Dedecker,31
BE,4,prtvtbbe,4,SP.A. + Vlaams - Progressieven (Spirit),144
BE,4,prtvtbbe,5,Vlaams Belang,97
BE,4,prtvtbbe,6,Open VLD + Vivant,158
BE,4,prtvtbbe,7,CDH,84
BE,4,prtvtbbe,8,Ecolo,65
BE,4,prtvtbbe,9,Front National,6
BE,4,prtvtbbe,10,MR,130
BE,4,prtvtbbe,11,PS,185
BE,4,prtvtbbe,12,Other,16
BE,4,prtvtbbe,13,Blank,23
BE,4,prtvtbbe,14,Invalid,11
BE,4,prtvtbbe,15,Not applicable,326
BE,4,prtvtbbe,16,Refusal,84
BE,4,prtvtbbe,17,Don't know,60
BE,5,prtvtcbe,1,Groen!,63
BE,5,prtvtcbe,2,CD&V,150
BE,5,prtvtcbe,3,N-VA,279
BE,5,prtvtcbe,4,Lijst Dedecker,5
BE,5,prtvtcbe,5,SP.A,128
BE,5,prtvtcbe,6,PVDA+,5
BE,5,prtvtcbe,7,Vlaams Belang,61
BE,5,prtvtcbe,8,Open VLD,96
BE,5,prtvtcbe,9,CDH,61
BE,5,prtvtcbe,10,Ecolo,70
BE,5,prtvtcbe,11,Front National,1
BE,5,prtvtcbe,12,MR,108
BE,5,prtvtcbe,13,PS,157
BE,5,prtvtcbe,14,PTB,8
BE,5,prtvtcbe,15,Parti Populaire,8
BE,5,prtvtcbe,16,Other,10
BE,5,prtvtcbe,17,Blanco,31
BE,5,prtvtcbe,18,Ongeldig,13
BE,5,prtvtcbe,19,Not applicable,316
BE,5,prtvtcbe,20,Refusal,84
BE,5,prtvtcbe,21,Don't know,50
BE,6,prtvtcbe,1,Groen!,64
BE,6,prtvtcbe,2,CD&V,195
BE,6,prtvtcbe,3,N-VA,194
BE,6,prtvtcbe,4,Lijst Dedecker,6
BE,6,prtvtcbe,5,SP.A,143
BE,6,prtvtcbe,6,PVDA+,6
BE,6,prtvtcbe,7,Vlaams Belang,47
BE,6,prtvtcbe,8,Open VLD,132
BE,6,prtvtcbe,9,CDH,72
BE,6,prtvtcbe,10,Ecolo,70
BE,6,prtvtcbe,11,Front National,8
BE,6,prtvtcbe,12,MR,122
BE,6,prtvtcbe,13,PS,203
BE,6,prtvtcbe,14,PTB,4
BE,6,prtvtcbe,15,Parti Populaire,1
BE,6,prtvtcbe,16,Other,29
BE,6,prtvtcbe,17,Blanco,44
BE,6,prtvtcbe,18,Ongeldig,18
BE,6,prtvtcbe,19,Not applicable,403
BE,6,prtvtcbe,20,Refusal,3
BE,6,prtvtcbe,21,Don't know,105
BE,7,prtvtcbe,1,Groen!,78
BE,7,prtvtcbe,2,CD&V,184
BE,7,prtvtcbe,3,N-VA,275
BE,7,prtvtcbe,5,SP.A,94
BE,7,prtvtcbe,6,PVDA+,20
BE,7,prtvtcbe,7,Vlaams Belang,29
BE,7,prtvtcbe,8,Open VLD,104
BE,7,prtvtcbe,9,CDH,65
BE,7,prtvtcbe,10,Ecolo,49
BE,7,prtvtcbe,11,Front National,4
BE,7,prtvtcbe,12,MR,144
BE,7,prtvtcbe,13,PS,193
BE,7,prtvtcbe,14,PTB,29
BE,7,prtvtcbe,15,Parti Populaire,14
BE,7,prtvtcbe,16,Other,29
BE,7,prtvtcbe,17,Blanco,42
BE,7,prtvtcbe,18,Ongeldig,7
BE,7,prtvtcbe,19,Not applicable,338
BE,7,prtvtcbe,20,Refusal,2
BE,7,prtvtcbe,21,Don't know,69
BG,3,prtvtbg,1,BSP,404
BG,3,prtvtbg,2,DPS,79
BG,3,prtvtbg,3,Coalition of the rose,4
BG,3,prtvtbg,4,DSB,22
BG,3,prtvtbg,5,NDSV,63
BG,3,prtvtbg,6,SDS,62
BG,3,prtvtbg,7,BNS,13
BG,3,prtvtbg,8,Novoto Vreme,11
BG,3,prtvtbg,9,Evroroma,2
BG,3,prtvtbg,10,Coalition Ataka,72
BG,3,prtvtbg,11,Other,4
BG,3,prtvtbg,12,Not applicable,472
BG,3,prtvtbg,13,Refusal,169
BG,3,prtvtbg,14,Don't know,20
BG,3,prtvtbg,15,No answer,3
BG,4,prtvtabg,1,Koalitziia za Balgariia,488
BG,4,prtvtabg,2,Dvijenie za Prava i Svobodi,196
BG,4,prtvtabg,3,Koalitziia na Rozata,3
BG,4,prtvtabg,4,Demokrati za Silna Balgariia,50
BG,4,prtvtabg,5,Natzionalno Dvijenie Simeon II,121
BG,4,prtvtabg,6,Koalitziia ODS,163
BG,4,prtvtabg,7,Koalitziia BNS,36
BG,4,prtvtabg,8,Novo Vreme,6
BG,4,prtvtabg,9,Evroroma,2
BG,4,prtvtabg,10,Koalitziia Ataka,102
BG,4,prtvtabg,11,Other,13
BG,4,prtvtabg,12,Not applicable,706
BG,4,prtvtabg,13,Refusal,285
BG,4,prtvtabg,14,Don't know,59
BG,5,prtvtbbg,1,GERB,827
BG,5,prtvtbbg,2,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb,346
BG,5,prtvtbbg,3,DPS - Dvijenie za prava i svobodi,163
BG,5,prtvtbbg,4,Siniata koalitsia (SDS; DSB),77
BG,5,prtvtbbg,5,Partia Ataka,61
BG,5,prtvtbbg,6,"Red, zakonnost i spravedlivost (RZS)",15
BG,5,prtvtbbg,7,NDSV,21
BG,5,prtvtbbg,8,PP Lider,9
BG,5,prtvtbbg,11,PP Zelenite,3
BG,5,prtvtbbg,15,Balgarski Natsionalen Saiuz – ND,1
BG,5,prtvtbbg,16,Druga politicheska sila,6
BG,5,prtvtbbg,17,Nezavisim kandidat,5
BG,5,prtvtbbg,18,Not applicable,603
BG,5,prtvtbbg,19,Refusal,279
BG,5,prtvtbbg,20,Don't know,17
BG,5,prtvtbbg,21,No answer,1
BG,6,prtvtcbg,1,PP GERB,774
BG,6,prtvtcbg,2,Balgarska sotsialisticheska partia (BSP),467
BG,6,prtvtcbg,3,PP Ataka,28
BG,6,prtvtcbg,4,"PP Red, zakonnost i spravedlivost (RZS)",6
BG,6,prtvtcbg,5,PP VMRO – Balgarsko natsionalno dvizhenie,7
BG,6,prtvtcbg,6,PP BZNS,3
