cntry,party_id,party_short,party_english,party_name,share,party_id_old,ess_key,country,duplicate_ids,share_year,ess_first,ess_last
AT,AT-3-4,BZÖ,,,1.9,1798,at -- bzö,AUT,,2006,2006,2014
AT,AT-7-3,FPÖ,,,14.1,1724,at -- fpö,AUT,,2014,2002,2014
AT,AT-2-4,GRÜNE,,Grüne,17.3,1582,at -- grüne,AUT,,2004,2002,2014
AT,AT-7-6,KPÖ,,,1.4,1115,at -- kpö,AUT,,2014,2006,2014
AT,AT-1-5,LIF,,,1.1,1091,at -- lif,AUT,,2002,2002,2006
AT,AT-7-7,,,NEOS,5.3,3000,at -- neos,AUT,,2014,2014,2014
AT,AT-2-2,ÖVP,,,40.9,1648,at -- övp,AUT,,2004,2002,2014
AT,AT-7-8,,,Piratenpartei Österreich,0.7,3001,at -- piratenpartei österreich,AUT,,2014,2014,2014
AT,AT-3-1,SPÖ,,,36.3,1479,at -- spö,AUT,,2006,2002,2014
AT,AT-7-9,,,Team Frank Stronach,0.9,3002,at -- team frank stronach,AUT,,2014,2014,2014
BE,BE-1-1,,,Agalev/Groen!,7.6,1254,be -- agalev,BEL,BE-3-1 BE-7-1,2002,2002,2002
BE,BE-3-2,CD&V,,,21,1262,be -- cd&v,BEL,,2006,2004,2014
BE,BE-4-2,,,CD&V + N-VA,23.2,3003,be -- cd&v + n-va,BEL,,2008,2008,2008
BE,BE-4-7,PSC/CDH,,,6.6,1373,be -- cdh,BEL,BE-1-11,2008,2004,2014
BE,BE-1-2,CVP,,,20.6,1544,be -- cvp,BEL,,2002,2002,2002
BE,BE-5-10,ECOLO,,,5.6,1073,be -- ecolo,BEL,,2010,2002,2014
BE,BE-2-11,FRONT,Front National,,1.7,1772,be -- front national,BEL,,2004,2002,2014
BE,BE-4-14,,Invalid,,0.9,1159,be -- invalid,BEL,,2008,2004,2008
BE,BE-4-3,,,Lijst Dedecker,2.4,1299,be -- lijst dedecker,BEL,,2008,2008,2012
BE,BE-2-12,MR,MR,,10.9,1625,be -- mr,BEL,,2004,2004,2014
BE,BE-5-3,N-VA,,,22.4,1651,be -- n-va,BEL,,2010,2004,2014
BE,BE-6-18,,,Ongeldig,1.4,1557,be -- ongeldig,BEL,,2012,2010,2014
BE,BE-6-8,VLD,Open VLD,,9.9,1694,be -- open vld,BEL,BE-1-5,2012,2010,2014
BE,BE-4-6,,,Open VLD + Vivant,12.4,3004,be -- open vld + vivant,BEL,,2008,2008,2008
BE,BE-7-15,,,Parti Populaire,1.1,1859,be -- parti populaire,BEL,,2014,2010,2014
BE,BE-1-12,PRL-FDF,,,7.4,1672,be -- prl-fdf,BEL,,2002,2002,2002
BE,BE-6-13,PS,,,15.3,1465,be -- ps,BEL,,2012,2002,2014
BE,BE-7-14,,,PTB,2.2,2043,be -- ptb,BEL,BE-1-15,2014,2010,2014
BE,BE-1-7,PVDA,,,0.1,1291,be -- pvda-ae,BEL,BE-7-6,2002,2002,2002
BE,BE-1-3,SP.A,,,11.6,1066,be -- sp,BEL,BE-6-5,2002,2002,2002
BE,BE-2-5,,,SP.A-Spirit,14.7,1955,be -- sp.a-spirit,BEL,BE-4-4,2004,2004,2006
BE,BE-3-6,VIVANT,,Vivant,0.6,1065,be -- vivant,BEL,,2006,2002,2006
BE,BE-4-5,,,Vlaams Belang,7.6,1029,be -- vlaams belang,BEL,,2008,2008,2014
BE,BE-2-7,,,Vlaams Blok,9.9,1564,be -- vlaams blok,BEL,,2004,2002,2006
BE,BE-1-6,VU-ID,,,3.8,1282,be -- vu-id,BEL,,2002,2002,2002
BG,BG-6-2,BSP,,Balgarska sotsialisticheska partia,34.5,1240,bg -- balgarska sotsialisticheska partia (bsp),BGR,BG-3-1,2012,2012,2012
BG,BG-5-15,BNS/ND,,Koalitziia Balgarski Natsionalen Saiuz,0.1,1123,bg -- balgarski natsionalen saiuz – nd,BGR,BG-3-7 BG-4-7,2010,2010,2010
BG,BG-3-10,,Coalition Ataka,Koalitziia Ataka,9.8,1956,bg -- coalition ataka,BGR,BG-4-10 BG-5-5 BG-6-3,2006,2006,2006
BG,BG-3-3,,Coalition of the Rose,Koalitziia na Rozata,0.5,1715,bg -- coalition of the rose,BGR,BG-4-3,2006,2006,2006
BG,BG-4-4,DSB,,Demokrati za silna Bulgaria,4.3,1558,bg -- demokrati za silna balgariia,BGR,BG-3-4,2008,2008,2008
BG,BG-3-2,DPS,,Dvizhenie za prava i svobodi,10.8,1703,bg -- dps,BGR,BG-5-3,2006,2006,2006
