ess_cntry,essround,ess_variable,ess_party,ess_party_id,ess_id,first_ess_id,partyfacts_id,country,name_short,name,name_english,technical
AL,6,prtclal,Partia Socialiste e Shqipërisë (PS),1,AL-6-1-c,AL-6-1-c,1729,ALB,PSS,Partia Socialiste e Shqipërisë,Socialist Party of Albania,
AL,6,prtclal,Partia Demokratike e Shqipërisë (PD),2,AL-6-2-c,AL-6-2-c,190,ALB,PDS,Partia Demokratike e Shqipërisë,Democratic Party of Albania,
AL,6,prtclal,Lëvizja Socialiste për Integrim (LSI),3,AL-6-3-c,AL-6-3-c,2297,ALB,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,
AL,6,prtclal,Partia Republikane e Shqipërisë (PR),4,AL-6-4-c,AL-6-4-c,819,ALB,PRS,Partia Republikane e Shqipërisë,Republican Party of Albania,
AL,6,prtclal,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",6,AL-6-6-c,AL-6-6-c,3270,ALB,PDIU,"Partia Drejtësi, Integrim dhe Unitet","Party for Justice, Integration and Unity",
AL,6,prtclal,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),7,AL-6-7-c,AL-6-7-c,1636,ALB,PBDN,Partia Bashkimi per te Drejtat e Njeriut,Unity for Human Rights Party,
AL,6,prtclal,Fryma e Re Demokratike (FRD),8,AL-6-8-c,AL-6-8-c,3697,ALB,FRD,Fryma e Re Demokratike,New Democratic Spirit,
AL,6,prtclal,Aleanca Kuq e Zi (AK),9,AL-6-9-c,AL-6-9-c,8354,ALB,AK,Aleanca Kuq e Zi,Red and Black Alliance,
AL,6,prtclal,Other,10,AL-6-10-c,AL-6-10-c,2568,ALB,etc,other,other,7
AL,6,prtvtal,Partia Socialiste e Shqipërisë (PS),1,AL-6-1-v,AL-6-1-v,1729,ALB,PSS,Partia Socialiste e Shqipërisë,Socialist Party of Albania,
AL,6,prtvtal,Partia Demokratike e Shqipërisë (PD),2,AL-6-2-v,AL-6-2-v,190,ALB,PDS,Partia Demokratike e Shqipërisë,Democratic Party of Albania,
