first_ess_id,first_ess_name,year_first,year_last,ess_ids,ess_info,partyfacts_id,country,name_short,name,name_english,technical
AL-6-1-v,Partia Socialiste e Shqipërisë (PS),2012,2012,AL-6-1-v,R6 --- prtvtal --- Partia Socialiste e Shqipërisë (PS),1729,ALB,PSS,Partia Socialiste e Shqipërisë,Socialist Party of Albania,
AL-6-2-v,Partia Demokratike e Shqipërisë (PD),2012,2012,AL-6-2-v,R6 --- prtvtal --- Partia Demokratike e Shqipërisë (PD),190,ALB,PDS,Partia Demokratike e Shqipërisë,Democratic Party of Albania,
AL-6-3-v,Lëvizja Socialiste për Integrim (LSI),2012,2012,AL-6-3-v,R6 --- prtvtal --- Lëvizja Socialiste për Integrim (LSI),2297,ALB,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,
AL-6-4-v,Partia Republikane e Shqipërisë (PR),2012,2012,AL-6-4-v,R6 --- prtvtal --- Partia Republikane e Shqipërisë (PR),819,ALB,PRS,Partia Republikane e Shqipërisë,Republican Party of Albania,
AL-6-5-v,Partia Socialdemokrate e Shqipërisë (PSD),2012,2012,AL-6-5-v,R6 --- prtvtal --- Partia Socialdemokrate e Shqipërisë (PSD),838,ALB,PSD,Partia Socialdemokrate e Shqipërisë,Social Democratic Party of Albania,
AL-6-6-v,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",2012,2012,AL-6-6-v,"R6 --- prtvtal --- Partia Drejtësi, Integrim dhe Unitet (PDIU)",3270,ALB,PDIU,"Partia Drejtësi, Integrim dhe Unitet","Party for Justice, Integration and Unity",
AL-6-7-v,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),2012,2012,AL-6-7-v,R6 --- prtvtal --- Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),1636,ALB,PBDN,Partia Bashkimi per te Drejtat e Njeriut,Unity for Human Rights Party,
AL-6-8-v,Other,2012,2012,AL-6-8-v,R6 --- prtvtal --- Other,2568,ALB,etc,other,other,7
AT-1-1-v,SPÖ,2002,2020,AT-1-1-v AT-2-1-v AT-3-1-v AT-7-1-v AT-8-1-v AT-9-1-v AT-10-1-v,"R1 --- prtvtat --- SPÖ
R2 --- prtvtat --- SPÖ
R3 --- prtvtaat --- SPÖ
R7 --- prtvtbat --- SPÖ
R8 --- prtvtbat --- SPÖ
R9 --- prtvtcat --- SPÖ
R10 --- prtvtcat --- SPÖ",1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT-1-2-v,ÖVP,2002,2020,AT-1-2-v AT-2-2-v AT-3-2-v AT-7-2-v AT-8-2-v AT-9-2-v AT-10-2-v,"R1 --- prtvtat --- ÖVP
R2 --- prtvtat --- ÖVP
R3 --- prtvtaat --- ÖVP
R7 --- prtvtbat --- ÖVP
R8 --- prtvtbat --- ÖVP
R9 --- prtvtcat --- ÖVP
R10 --- prtvtcat --- ÖVP",1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT-1-3-v,FPÖ,2002,2020,AT-1-3-v AT-2-3-v AT-3-3-v AT-7-3-v AT-8-3-v AT-9-3-v AT-10-3-v,"R1 --- prtvtat --- FPÖ
R2 --- prtvtat --- FPÖ
R3 --- prtvtaat --- FPÖ
R7 --- prtvtbat --- FPÖ
R8 --- prtvtbat --- FPÖ
R9 --- prtvtcat --- FPÖ
R10 --- prtvtcat --- FPÖ",463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT-1-4-v,Grüne,2002,2020,AT-1-4-v AT-2-4-v AT-3-5-v AT-7-5-v AT-8-5-v AT-9-5-v AT-10-5-v,"R1 --- prtvtat --- Grüne
R2 --- prtvtat --- Grüne
R3 --- prtvtaat --- GRÜNE
R7 --- prtvtbat --- Grüne
R8 --- prtvtbat --- Grüne
R9 --- prtvtcat --- Grüne
R10 --- prtvtcat --- Grüne",1659,AUT,GRUENE,Die Grünen — Die grüne Alternative,The Greens — The Green Alternative,
AT-1-5-v,LIF,2002,2006,AT-1-5-v AT-2-5-v AT-3-6-v,"R1 --- prtvtat --- LIF
R2 --- prtvtat --- LIF
R3 --- prtvtaat --- LIF",605,AUT,LIF,Liberales Forum,Liberal Forum,
AT-1-6-v,Other,2002,2020,AT-1-6-v AT-2-6-v AT-3-8-v AT-7-10-v AT-8-10-v AT-9-9-v AT-10-9-v,"R1 --- prtvtat --- Other
R2 --- prtvtat --- Other
R3 --- prtvtaat --- Other
R7 --- prtvtbat --- Other
R8 --- prtvtbat --- Other
R9 --- prtvtcat --- Other
R10 --- prtvtcat --- Other",1857,AUT,etc,other,other,7
AT-3-4-v,BZÖ,2006,2016,AT-3-4-v AT-7-4-v AT-8-4-v,"R3 --- prtvtaat --- BZÖ
R7 --- prtvtbat --- BZÖ
R8 --- prtvtbat --- BZÖ",599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
