country,country_short,name_short,name,party_id
Austria,AUT,BZO,Bündnis Zukunft Österreichs,AUT-BZO
Austria,AUT,FPO,Freiheitliche Partei Österreichs,AUT-FPO
Austria,AUT,GRUNEN,Die Grünen,AUT-GRUNEN
Austria,AUT,NEOS,das Neue Österreich,AUT-NEOS
Austria,AUT,OVP,Österreichische Volkspartei,AUT-OVP
Austria,AUT,SPO,Sozialdemokratische Partei Österreichs,AUT-SPO
Bulgaria,BGR,ABV,Alternative for Bulgarian Renaissance,BGR-ABV
Bulgaria,BGR,BBC,Bulgaria without Censorship,BGR-BBC
Bulgaria,BGR,BSP,Bulgarian Socialist Party,BGR-BSP
Bulgaria,BGR,DPS,Movement for Rights and Freedom,BGR-DPS
Bulgaria,BGR,GERB,Citizens for European Development of Bulgaria,BGR-GERB
Bulgaria,BGR,NFSB,National Front for the salvation of Bulgaria,BGR-NFSB
Bulgaria,BGR,RB,Reformatorski Blok,BGR-RB
Bulgaria,BGR,АТАКА,Attack,BGR-АТАКА
Croatia,HRV,HDZ,Koalicija HDZ-HSS-HSPAS,HRV-HDZ
Croatia,HRV,HL,Hrvatski laburisti - Stranka rada,HRV-HL
Croatia,HRV,HSLS,Hrvatska socijalno liberalna stranka,HRV-HSLS
Croatia,HRV,KUKURIKU,KUKURIKU,HRV-KUKURIKU
Croatia,HRV,NF,Nacionalni Forum,HRV-NF
Croatia,HRV,ORAH,Odrzivi razvoj Hrvatske,HRV-ORAH
Croatia,HRV,SZH,Savez za Hrvatsku,HRV-SZH
Cyprus,CYP,AKEL,Ανορθωτικό Κόμμα Εργαζόμενου Λαού,CYP-AKEL
Cyprus,CYP,DIKO,Δημοκρατικό Κόμμα,CYP-DIKO
Cyprus,CYP,DISY,Δημοκρατικός Συναγερμός,CYP-DISY
Cyprus,CYP,EDEK,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,CYP-EDEK
Cyprus,CYP,ELAM,Εθνικό Λαϊκό Μέτωπο,CYP-ELAM
Cyprus,CYP,EVROKO,Ευρωπαϊκό Κόμμα,CYP-EVROKO
Cyprus,CYP,KOP,Κίνημα Οικολόγων Περιβαλλοντιστών,CYP-KOP
Cyprus,CYP,SYPO,Συμμαχία Πολιτών - Γιώργος Λιλλήκας,CYP-SYPO
Czech Republic,CZE,ANO,ANO 2011,CZE-ANO
Czech Republic,CZE,CSSD,Česká strana sociálně demokratická,CZE-CSSD
Czech Republic,CZE,KDUCSL,KDU-CSL,CZE-KDUCSL
Czech Republic,CZE,KSCM,Komunistická strana Čech a Moravy,CZE-KSCM
Czech Republic,CZE,LEV21,Národní socialisté – levice 21. století,CZE-LEV21
Czech Republic,CZE,ODS,Občanská demokratická strana,CZE-ODS
Czech Republic,CZE,PIRATI,Česká pirátská strana,CZE-PIRATI
Czech Republic,CZE,SZH,Strana zelených,CZE-SZH
Czech Republic,CZE,TOP09,Tradice Odpovědnost Prosperita,CZE-TOP09
Czech Republic,CZE,USVIT,Úsvit přímé demokracie Tomia Okamury,CZE-USVIT
Denmark,DNK,B,Det Radikale Venstre,DNK-B
Denmark,DNK,C,Det Konservative Folkeparti,DNK-C
Denmark,DNK,I,Liberal Alliance,DNK-I
Denmark,DNK,N,Folkebevægelsen mod EU,DNK-N
Denmark,DNK,O,Dansk Folkeparti,DNK-O
Denmark,DNK,S,Socialdemokraterne,DNK-S
Denmark,DNK,SF,Socialistisk Folkeparti,DNK-SF
Denmark,DNK,V,Venstre,DNK-V
Estonia,EST,EER,Erakond Eestimaa Rohelised,EST-EER
Estonia,EST,EKRE,Eesti Konservatiivne Rahvaerakond,EST-EKRE
Estonia,EST,IRL,Isamaa ja Res Publica Liit,EST-IRL
Estonia,EST,KESK,Keskerakond,EST-KESK
Estonia,EST,REF,Reformierakond,EST-REF
Estonia,EST,SDE,Sotsiaaldemokraatlik Erakond,EST-SDE
Estonia,EST,TARAND,Indrek Tarand,EST-TARAND
Finland,FIN,KD,Christian Democrats in Finland,FIN-KD
Finland,FIN,KESK,Centre Party of Finland,FIN-KESK
Finland,FIN,KOK,National Coalition Party,FIN-KOK
Finland,FIN,MUUTOS2011,Change 2011,FIN-MUUTOS2011
Finland,FIN,PIRAATTI,Pirate Party of Finland,FIN-PIRAATTI
Finland,FIN,PS,The Finns Party,FIN-PS
Finland,FIN,SDP,The Finnish Social Democratic Party,FIN-SDP
Finland,FIN,SFP,Swedish People's Party in Finland,FIN-SFP
Finland,FIN,VAS,The Left Alliance,FIN-VAS
Finland,FIN,VIHR,Green League,FIN-VIHR
Flanders,BEL,CDV,Christen-Democratisch & Vlaams,BEL-CDV
Flanders,BEL,GROEN,Groen,BEL-GROEN
Flanders,BEL,NVA,Nieuw-Vlaamse Alliantie,BEL-NVA
Flanders,BEL,OVLD,Open Vlaamse Liberalen en Democraten,BEL-OVLD
Flanders,BEL,PVDA,Partij van de Arbeid,BEL-PVDA
Flanders,BEL,SPA,Socialistische Partij Anders,BEL-SPA
Flanders,BEL,VB,Vlaams Belang,BEL-VB
France,FRA,DLR,Debout la République,FRA-DLR
France,FRA,EELV,Europe Ecologie - Les Verts,FRA-EELV
France,FRA,FG,Front de Gauche,FRA-FG
France,FRA,FN,Front National,FRA-FN
France,FRA,LO,Lutte Ouvrière,FRA-LO
France,FRA,MRC,Mouvement Républicain et Citoyen,FRA-MRC
France,FRA,NPA,Nouveau Parti Anticapitaliste,FRA-NPA
France,FRA,PS,Parti Socialiste,FRA-PS
France,FRA,UDIMODEM,Union des Démocrates et Indépendants Modem,FRA-UDIMODEM
France,FRA,UMP,Union pour un Mouvement Populaire,FRA-UMP
Germany,DEU,AFD,Alternative für Deutschland,DEU-AFD
Germany,DEU,CDU,Christlich Demokratische Union Deutschlands,DEU-CDU
Germany,DEU,CSU,Christlich-Soziale Union in Bayern,DEU-CSU
Germany,DEU,FAMILIE,Familien Partei Deutschlands,DEU-FAMILIE
Germany,DEU,FDP,Freie Demokratische Partei,DEU-FDP
Germany,DEU,FW,Freie Wähler,DEU-FW
Germany,DEU,GRUNEN,Bündnis 90/Die Grünen,DEU-GRUNEN
Germany,DEU,LINKE,DIE LINKE,DEU-LINKE
Germany,DEU,NPD,Nationaldemokratische Partei Deutschlands,DEU-NPD
Germany,DEU,PIRATEN,Piratenpartei Deutschland,DEU-PIRATEN
Germany,DEU,REP,Die Republikaner,DEU-REP
Germany,DEU,SPD,Sozialdemokratische Partei Deutschlands,DEU-SPD
Germany,DEU,TIERSCHUTZ,Partei Mensch Umwelt Tierschutz,DEU-TIERSCHUTZ
Greece,GRC,ANEL,Ανεξάρτητοι Έλληνες,GRC-ANEL
Greece,GRC,DIMAR,Δημοκρατική Αριστερά,GRC-DIMAR
Greece,GRC,DRASSI,Δράση,GRC-DRASSI
Greece,GRC,DX,Δημιουργία Ξανά!,GRC-DX
Greece,GRC,KKE,Κομμουνιστικό Κόμμα Ελλάδας,GRC-KKE
Greece,GRC,LAOS,Λαϊκός Ορθόδοξος Συναγερμός,GRC-LAOS
Greece,GRC,ND,Νέα Δημοκρατία,GRC-ND
Greece,GRC,OP,Οικολόγοι Πράσινοι,GRC-OP
Greece,GRC,PASOK,ΠΑΣΟΚ - Ελιά - Δημοκρατική Παράταξη,GRC-PASOK
