country,type,party_abbreviation,party_native,party_english,partyfacts_id,election_years,party_id,dup
AUT,parliament,BZO,Bundnis Zukunft Osterreich,Alliance for the Future of Austria,599,"2006, 2008, 2013",AUT-BZO,FALSE
AUT,parliament,FPO,Freiheitliche Partei Osterreichs,Freedom Party of Austria,463,"1990, 1994, 1995,
2002, 2006, 2008,
2013, 2017, 2019",AUT-FPO,FALSE
AUT,parliament,FRANK,Team Stronach,Team Stronach,1971,2013,AUT-FRANK,FALSE
AUT,parliament,FRITZ,Burgerforum Osterreich - Liste Fritz Dinkhauser,The Citizens`Forum Austria,439,2008,AUT-FRITZ,FALSE
AUT,parliament,GRUNE,Die Grunen - Die grune Alternative,The Greens -- The Green Alternative,1659,"1990, 1994, 1995,
2002, 2006, 2008,
2013, 2017, 2019",AUT-GRUNE,FALSE
AUT,parliament,KPO,Kommunistische Partei Osterreichs,Communist Party of Austria,996,"2006, 2013",AUT-KPO,FALSE
AUT,parliament,LIF,Liberales Forum,Liberal Forum,605,"1994, 1995, 2008",AUT-LIF,FALSE
AUT,parliament,MARTIN,Liste Dr. Hans-Peter Martin,Hans-Peter Martin's List,1708,2006,AUT-MARTIN,FALSE
AUT,parliament,NEIN,Nein - Burgerinitiative gegen die EU Mitgliedschaft,No -- Citizens' Initiative against EU membership,1678,1995,AUT-NEIN,FALSE
AUT,parliament,NEOS,NEOS - Das Neue Osterreich,NEOS – The New Austria,1970,"2013, 2017, 2019",AUT-NEOS,FALSE
AUT,parliament,OVP,Osterreichische Volkspartei,Austrian People's Party,1329,"1990, 1994, 1995,
2002, 2006, 2008,
2013, 2017, 2019",AUT-OVP,FALSE
AUT,parliament,PILZ,Liste Peter Pilz,Peter Pilz List,6137,2017,AUT-PILZ,FALSE
AUT,parliament,SPO,Sozialdemokratische Partei Osterreichs,Social Democratic Party of Austria,1384,"1990, 1994, 1995,
2002, 2006, 2008,
2013, 2017, 2019",AUT-SPO,FALSE
AUT,parliament,VGO,Vereinte Grune Osterreichs,United Greens Austria,1170,1990,AUT-VGO,FALSE
AUT,ep,N,Die Neutralen - Burgerinitiative,"Citizens' Initiative for the retention of
neutrality",1814,1996,AUT-N,FALSE
AUT,ep,REKOS,Die Reformkonservative n,The Reform Conservatives,2991,2014,AUT-REKOS,FALSE
BEL,parliament,CD&V,Christen- Democratisch & Vlaams / Nieuw- Vlaams Alliantie,Christian-Democrat and Flemish / New Flemish Alliance,756,"1991, 1995, 1999,
2003, 2007, 2010,
2014, 2019",BEL-CD&V,FALSE
