"country_short","cnty","party_name","year_first","year_last","share_year","vote_share","seats","TotalSeats","party_id"
"ALB","Albania","Democratic Alliance Party","2001",2005,"2005",2.8,3,140,"ALBP1"
"ALB","Albania","Socialist Party of Albania","2001",2005,"2001",43,34,140,"ALBP10"
"ALB","Albania","Socialist Movement for Integration","2005",2005,"2005",8.3,5,140,"ALBP11"
"ALB","Albania","Movement for National Development","2005",2005,"2005",2.5,0,140,"ALBP12"
"ALB","Albania","Environmentalist Agrarian Party","2005",2005,"2005",3.6,4,140,"ALBP14"
"ALB","Albania","Alternative Liberal Party","2001",2001,"2001",0.1,0,140,"ALBP16"
"ALB","Albania","National Alliance Party/Albanian National Alliance Party","2001",2001,"2001",0,0,140,"ALBP17"
"ALB","Albania","People's Alliance Party","2005",2005,"2005",0,0,140,"ALBP18"
"ALB","Albania","Agrarian Party of Albania","2001",2001,"2001",1.8,3,140,"ALBP19"
"ALB","Albania","National Unity Party","2001",2001,"2001",0.2,0,140,"ALBP2"
"ALB","Albania","Albanian Future Party","2005",2005,"2005",0,0,140,"ALBP20"
"ALB","Albania","Albanian Socialist Alliance Party","2005",2005,"2005",0.3,0,140,"ALBP21"
"ALB","Albania","National Democratic Front Party","2005",2005,"2005",0.3,0,140,"ALBP23"
"ALB","Albania","Albanian Christian-Democratic Union Party","2001",2001,"2001",0.1,0,140,"ALBP24"
"ALB","Albania","Party for Human Rights","2001",2005,"2005",2.5,2,140,"ALBP25"
"ALB","Albania","Democratic Union Party","2001",2001,"2001",0.4,0,140,"ALBP26"
"ALB","Albania","Albanian National Front Party","2005",2005,"2005",0.9,0,140,"ALBP27"
"ALB","Albania","Social Christian Party of Albania","2001",2005,"2001",0.4,0,140,"ALBP28"
"ALB","Albania","Albanian National Unity Party","2001",2001,"2001",0.1,0,140,"ALBP29"
"ALB","Albania","Social Spectrum Parties-Party of National Unity","2005",2005,"2005",0.2,0,140,"ALBP3"
"ALB","Albania","Albanian Republican Union Party","2001",2001,"2001",0.1,0,140,"ALBP31"
"ALB","Albania","Albanian Business Party","2001",2001,"2001",0.1,0,140,"ALBP32"
"ALB","Albania","Democratic Party","2001",2005,"2005",25.9,56,140,"ALBP34"
"ALB","Albania","Union for Victory","2001",2001,"2001",37.7,40,140,"ALBP35"
"ALB","Albania","Democratic Party of Democracy and New Albanian Right","2005",2005,"2005",0.1,0,140,"ALBP36"
"ALB","Albania","Party for Justice and Integration","2005",2005,"2005",0.6,0,140,"ALBP37"
"ALB","Albania","Christian Democratic Party of Albania","2001",2005,"2005",1.6,2,140,"ALBP38"
