country,party,year_first,year_last,party_id
ALB,Socialist Party of Albania,2013,2017,ALB SPA 2013
ALB,Democratic Party of Albania,2005,2013,ALB DPA 2005
ARG,Justicialist Party,1946,2003,ARG JP 1946
ARG,Republican Proposal,2016,2019,ARG RP 2016
ARG,Front for Victory,2003,2015,ARG FV 2003
ARG,Radical Civic Union,1999,2001,ARG RCU 1999
ARM,Republican Party of Armenia,2008,2018,ARM RPA 2008
ARM,Independent,1998,2008,ARM I 1998
AUT,Austrian People's Party,2000,2019,AUT APP 2000
AUT,Social Democratic Party of Austria,2007,2017,AUT SDPA 2007
AZE,New Azerbaijan Party,2008,2013,AZE NAP 2008
BGR,Bulgarian Socialist Party,2005,2009,BGR BSP 2005
BGR,National Movement for Stability and Progress,2001,2005,BGR NMSP 2001
BGR,Citizens for European Development of Bulgaria,2009,2018,BGR CEDB 2009
BLR,Independent,2001,2018,BLR I 2001
BOL,Movement for Socialism,2006,2019,BOL MS 2006
BOL,Independent,2003,2005,BOL I 2003
BOL,Revolutionary Nationalist Movement,2002,2003,BOL RNM 2002
BRA,Brazilian Democratic Movement Party,2016,2018,BRA BDMP 2016
BRA,Workers' Party,2003,2016,BRA WP 2003
BRA,Social Liberal Party,2019,2019,BRA SLP 2019
BRA,Independent,1934,1945,BRA I 1934
BRA,Brazilian Labor Party,1934,1954,BRA BLP 1934
BRA,Brazilian Social Democratic Party,1999,2002,BRA BSDP 1999
CAN,Conservative Party,2006,2015,CAN CP 2006
CAN,Liberal Party,2001,2019,CAN LP 2001
CHE,Swiss People's Party,2015,2019,CHE SPP 2015
CHE,Christian Democrats,2015,2019,CHE CD 2015
CHE,Social Democrats,2015,2019,CHE SD 2015
CHL,National Renewal,2010,2019,CHL NR 2010
CHL,Socialist Party of Chile,2006,2018,CHL SPC 2006
CHL,Party for Democracy,2000,2006,CHL PD 2000
COL,Social National Unity Party,2002,2018,COL SNUP 2002
COL,Colombian Conservative Party,1998,2002,COL CCP 1998
CRI,National Liberation Party,2006,2014,CRI NLP 2006
CRI,Social Christian Unity Party,1998,2006,CRI SCUP 1998
CRI,Citizens' Action Party,2014,2018,CRI CAP 2014
CZE,Independent,2008,2013,CZE I 2008
CZE,Civic Democratic Party,2003,2013,CZE CDP 2003
CZE,Czech Social Democratic Party,1998,2018,CZE CSDP 1998
DEU,Social Democrat Party,1998,2005,DEU SDP 1998
DEU,Christian Democratic Union,2006,2018,DEU CDU 2006
DOM,Dominican Liberation Party,2004,2019,DOM DLP 2004
DOM,Dominican Revolutionary Party,2000,2004,DOM DRP 2000
ECU,Proud and Sovereign Fatherland Alliance,2007,2019,ECU PSFA 2007
ECU,January 21Patriotic Society,2003,2005,ECU JPS 2003
ECU,Conservative Party,1968,1971,ECU CP 1968
ECU,Christian Democratic Union,2000,2002,ECU CDU 2000
ECU,Independent,2005,2006,ECU I 2005
ESP,People's Party,2012,2018,ESP PP 2012
ESP,Spanish Socialist Workers' Party,1996,2011,ESP SSWP 1996
EST,Estonian Reform Party,2005,2014,EST ERP 2005
FIN,Social Democratic Party,2006,2012,FIN SDP 2006
