country,name_short,name_english,year,share,party_id
AFG,JI,Islamic Society,2018,,1
AFG,HWIA,Islamic Unity Party of Afghanistan,2018,,2
AFG,Junbish,National Islamic Movement of Afghanistan,2018,,3
AFG,PIUPA,People's Islamic Unity Party of Afghanistan,2018,,4
AFG,RPA,Republican Party of Afghanistan,2018,,5
AGO,CASA-CE,Broad Convergence for the Salvation of Angola – Electoral Coalition,2017,9.4,6
AGO,FNLA,National Front for the Liberation of Angola,2017,0.9,7
AGO,UNITA,National Union for the Total Independence of Angola,2017,26.7,8
AGO,MPLA,People's Movement for the Liberation of Angola,2017,61.1,9
AGO,PRS,Social Renewal Party,2017,1.4,10
ALB,PD,Democratic Party of Albania,2017,28.8,11
ALB,LIBRA,Libra Party,2017,1.2,12
ALB,PDIU,"Party for Justice, Integration and Unity",2017,4.8,13
ALB,PSD,Social Democratic Party of Albania,2017,0.9,14
ALB,LSI,Socialist Movement for Integration,2017,14.3,15
ALB,PS,Socialist Party of Albania,2017,48.3,16
ARG,PRO-UCR,Cambiemos,2017,41.7,17
ARG,UC,Citizen's Unity,2017,22.5,18
ARG,FCpS,Civic Front for Santiago,2017,1.6,19
ARG,Evolucion,Evolución,2017,1,20
ARG,FR,Front for the Renewal of Concord,2017,1.1,21
ARG,PJ,Justicialist Party,2017,10.9,22
ARG,FPCyS,"Progressive, Civic and Social Front",2017,1.2,23
ARG,UpC,Union for Córdoba ,2017,2.6,24
ARG,1País,United for a New Alternative,2017,5.9,25
ARG,FIT,Workers' Left Front,2017,4.3,26
ARM,BA,Bright Armenia,2018,0,27
ARM,IKD,My Step Alliance,2018,0.7,28
ARM,PAP,Prosperous Armenia,2018,0.1,29
AUS,AG,Australia Greens,2016,10.3,30
AUS,ALP,Australian Labor Party,2016,35.1,31
AUS,Ind.,Independent,2016,2.8,32
AUS,KAP,Katters Australia Party,2016,0.5,33
AUS,LNP,Liberal National Party,2016,8.6,34
AUS,LP,Liberal Party of Australia,2016,29,35
AUS,NAT,National Party of Australia,2016,4.7,36
AUS,NXT,Nick Xenophon,2016,1.9,37
AUT,ÖVP,Austrian People's Party,2017,31.2,38
AUT,FPÖ,Freedom Party of Austria,2017,25.7,39
AUT,NEOS,NEOS – The New Austria ,2017,5.2,40
AUT,PILZ,Peter Pilz List ,2017,4.4,41
AUT,SPÖ,Social Democratic Party of Austria,2017,26.6,42
AUT,GRÜNE,The Greens – The Green Alternative,2017,3.8,43
AZE,Ind.,Independents,2015,0.4,44
AZE,YAP,New Azerbaijan Party,2015,0.5,45
BDI,FRODEBU,Front for Democracy in Burundi,2015,13.9,46
BDI,CNDD-FDD,National Council for the Defense of Democracy,2015,74.8,47
BDI,UPRONA,Union for National Progress,2015,3.1,48
BEL,CD&V,Christian Democrats and Flemish,2014,11.6,49
BEL,VB,Flemish Interest,2014,3.7,50
BEL,PRL/MR,Francophone Reformist Movement,2014,9.6,51
BEL,Groen,Green,2014,5.3,52
BEL,cdH,Humanist Democratic Centre,2014,5,53
BEL,N-VA,New Flemish Alliance,2014,20.3,54
BEL,Open-VLD,Open Flemish Liberals and Democrats,2014,9.8,55
BEL,PS,Socialist Party,2014,11.7,56
BEL,SPA,Socialist Party Differently,2014,8.8,57
BEL,PA-PTB,Worker's Party,2014,3.7,58
BEN,AND,Alliance nationale pour le developpement et la democratie,2015,7.6,59
BEN,ABT,Alliance pour un Benin triomphant,2015,2.9,60
BEN,AS,Alliance Soleil,2015,6.7,61
BEN,UN,Build the Nation Union,2015,14.3,62
BEN,FCBE,Cauri Forces for an Emerging Benin,2015,30.2,63
BEN,AE,Eclaireur,2015,3.7,64
BEN,FDU,Forces democratiques unies,2015,4,65
BEN,PRD,Party of Democratic Renovation,2015,14,66
BEN,RB-RP,Renaissance du Benin-Reveil Patriotique,2015,7.1,67
BEN,UB,Union for Benin,2015,3.4,68
BFA,ADF-RDA,Alliance for Democracy,2012,11.2,69
BFA,CDP,Congress for Democracy and Progress,2012,48.7,70
BFA,CFDB,Convention of the Democratic Forces,2012,2.4,71
BFA,ODT,Organisation for Democracy and Labour,2012,2.1,72
BFA,PDS,Party for Democracy and Socialism,2012,3.9,73
BFA,FA,The Other Burkina Faso,2012,1.3,74
BFA,UDD,Union for Democracy and Development,2012,1.5,75
BFA,UPC,Union for Progress and Change,2012,11.1,76
BFA,UPR-PS,Union for Rebirth-Sankarist,2012,4.4,77
BFA,UPR,Union for the Republic,2012,3.1,78
BGD,AL,Bangladesh Awami League,2014,79.1,79
BGD,BNP,Bangladesh Nationalist Party,2014,,80
BGD,BTF,Bangladesh Tarikat Federation,2014,,81
BGD,JP,Jatiya Party,2014,11.3,82
BGD,JP(M),Jatiya Party  (Manju),2014,,83
BGD,JSD,Jatiyo Samajtantrik Dal ,2014,1.7,84
BGD,WPB,Worker's Party of Bangladesh,2014,2.1,85
BGR,BSP,Bulgarian Socialist Party,2017,27.2,86
BGR,GERB,Citizens for European Development of Bulgaria,2017,32.7,87
BGR,DPS,Movement for Rights and Freedoms (DPS),2017,9,88
BGR,UP,United Patriots,2017,9.1,89
BGR,Volya,Will,2017,4.1,90
BHR,AM,National Islamic Al-Menbar,2018,,91
BHR,Ind.,Independents,2018,,92
BHR,AA,Islamic Al Asalah,2018,,93
BHS,DNA,Democratic National Alliance,2017,,94
BHS,FNM,Free National Movement,2017,57,95
BHS,PLP,Progressive Liberal Party,2017,36.9,96
BIH,SNSD,Alliance of Independent Social Democrats,2018,14.7,97
BIH,DF,Democratic Front,2018,5.3,98
BIH,DNS,Democratic People's Alliance,2018,3.8,99
BIH,HDZ-HSS-,HDZ-HSS-HSP-HNS-HKDU-HSP-AS BiH-HDU BiH,2018,8.3,100
BIH,NS,Our Party,2018,2.7,101
BIH,SDA,Party of Democratic Action,2018,15.5,102
BIH,PDP,Party of Democratic Progress,2018,4.6,103
BIH,SDS-List,SDS-NDP-NS-SRS,2018,9,104
BIH,SDP,Social Democratic Party of Bosnia and Herzegovina,2018,8.2,105
BIH,SBB-BiH,Union for a Better Future of BiH,2018,3.8,106
BLR,BPR,Belarusian Patriotic Party,2016,,107
BLR,PKB,Communist Party of Belarus,2016,,108
BLR,LDPB,Liberal Democratic Party of Belarus,2016,,109
BLR,Non-Part,Non-partisans,2016,,110
BLR,RPTS,Republican Party of Labour and Justice,2016,,111
BLR,UCP,United Civil Party,2016,,112
BLZ,Other,Others,2015,1.7,113
BLZ,PUP,People's United Party,2015,47.8,114
BLZ,UDP,United Democratic Party,2015,50.5,115
BOL,PDC,Christian Democratic Party,2014,9,116
BOL,MAS,Movement for Socialism,2014,61.4,117
BOL,UN,National Unity Front,2014,24.2,118
BRA,PRB,Brazilian Republican Party,2018,,119
BRA,PSB,Brazilian Socialist Party,2018,,120
BRA,DEM,Democrats,2018,,121
BRA,MDB,Brazilian Democratic Movement,2018,,122
BRA,PP,Progressive Party,2018,,123
BRA,PSDB,Social Democracy Party,2018,,125
BRA,PSL,Social Liberal Party ,2018,,128
BRA,PT,Workers' Party,2018,,129
BRB,BLP,Barbados Labor Party,2018,72.8,130
BRB,DLP,Democratic Labor Party,2018,22.1,131
BTN,DNT,Bhutan United,2018,0.5,132
BTN,DPT,Peace and Prosperity,2018,0.5,133
BWA,BCP,Botswana Congress Party,2014,20.4,134
BWA,BDP,Botswana Democratic Party,2014,46.5,135
BWA,UDC,Umbrella for Democratic Change,2014,30,136
CAN,BQ,Bloc Quebecois,2015,4.7,137
CAN,CPC,Conservative Party,2015,31.9,138
CAN,GPC,Green Party,2015,3.5,139
CAN,LP,Liberal Party,2015,39.5,140
