national_party,abbrev,member_state,code,party_family,country_name,year_first,year_last,share_year,share
Freiheitliche Partei Österreichs,FPO,A,1001,Right,Austria,1994,1999,1994,31.6
Die Grünen – Die Grüne Alternative,GRUNE,A,1002,Grn,Austria,1994,1999,1999,9.5
Liberales Forum,LIF,A,1003,Lib,Austria,1994,1994,1994,5.3
Österreichische Volkspartei,OVP,A,1004,CDem,Austria,1994,1999,1999,33.3
Sozialdemokratische Partei Österreichs,SPO,A,1005,Soc,Austria,1994,1999,1999,33.3
"Anders gaan arbeiden, leven en vrijen",AGALEV,B,1101,Grn,Belgium,1984,1999,1999,8.3
Christlische Soziale Partei: Europäische Volkspartei,CSP-EVP,B,1102,CDem,Belgium,1994,1999,1994,3.6
Christelijke Volkspartij / Christen-Democratisch & Vlaams,CVP / CD&V,B,1103,CDem,Belgium,1979,1999,1979,31.4
Ecolo,ECOLO,B,1104,Grn,Belgium,1984,1999,1999,8.3
Front démocratique des francophones / Mouvement des Citoyens pour le Changement,FDF-RW / MCC,B,1105,Reg,Belgium,1979,1999,1979,5.7
Front national,FN,B,1106,Right,Belgium,1994,1994,1994,3.6
Parti réformateur libéral,PRL,B,1107,Lib,Belgium,1979,1999,1984,14.8
Parti socialiste,PS,B,1108,Soc,Belgium,1979,1999,1984,22.2
Parti social-chrétien,PSC,B,1109,CDem,Belgium,1979,1999,1979,11.4
Vlaamse liberalen en democraten,PVV / VLD,B,1110,Lib,Belgium,1979,1999,1979,11.4
Socialistische Partij,SP,B,1111,Soc,Belgium,1979,1999,1984,18.5
Vlaams Blok,VB,B,1112,Right,Belgium,1989,1999,1999,11.1
Volskunie / België Spirit,VU / BS,B,1113,Reg,Belgium,1979,1999,1984,7.4
Christlich Demokratische Union,CDU,D,1201,CDem,Germany,1979,1999,1999,42.6
Christlich-Soziale Union,CSU,D,1202,CDem,Germany,1979,1999,1989,12.1
Freie Demokratische Partei,FDP,D,1203,Lib,Germany,1979,1989,1979,4.4
Bündnis 90/Die Grünen,GRUNE,D,1204,Grn,Germany,1984,1999,1994,12.6
Partei des Demokratischen Sozialismus,PDS,D,1205,Left,Germany,1979,1999,1999,5.9
Die Republikaner,REP,D,1206,Right,Germany,1989,1989,1989,6.6
Sozialdemokratische Partei Deutschlands,SPD,D,1207,Soc,Germany,1979,1999,1979,43.3
Partido Popular / Partido Demócrata Popular,PP / PDP,E,1301,Con,Spain,1984,1999,1999,42.7
Bloque Nacionalista Gallego,BNG,E,1302,Reg,Spain,1999,1999,1999,1.3
Convergència Democràtica Catalunya,CDC,E,1303,Lib,Spain,1984,1999,1999,4
Centro Democràtico y Social,CDS,E,1304,Lib,Spain,1984,1989,1989,8.2
Coalición Canaria,CC,E,1305,Reg,Spain,1989,1999,1989,1.4
Eusko Alkartasuna,EA,E,1306,Reg,Spain,1984,1999,1989,1.4
Herri Battasuna / Euskal Herritarrok,EH / HB,E,1307,Reg,Spain,1984,1999,1989,2.7
Coalición por la Europa de los Pueblos: Esquerra Republicana de Catalunya,CEP-ERC,E,1308,Reg,Spain,1989,1999,1989,1.4
Izquierda de los Pueblos,IP,E,1309,Reg,Spain,1984,1989,1989,1.4
Grupo Mixto Senado,GMS,E,1310,Lib,Spain,1984,1984,1984,1.2
Izquierda Unida / Izquierda Unida-Iniciativa per Catalunya,IU / IU-IPC,E,1311,Left,Spain,1984,1999,1994,13.7
Partido Andalucista,PA,E,1312,Reg,Spain,1989,1999,1989,2.7
