huber_id,country,name_english,name,name_short,country_short,dummy_nir
101,ARGENTINA,Radical Civic Union,Union Civica Radical,UCR,ARG,0
102,ARGENTINA,Justice Party,Partido Justicialista,PJ,ARG,0
203,AUSTRALIA,Australian Democrats,Australian Democrats,AD,AUS,0
204,AUSTRALIA,Australian Labour Party,Australian Labour Party,ALP,AUS,0
205,AUSTRALIA,Liberal Party,Liberal Party,LPA,AUS,0
206,AUSTRALIA,National Party of Australia,National Party of Australia,NPA,AUS,0
307,AUSTRIA,Green Alternative,Gruene Alternativen,GA,AUT,0
308,AUSTRIA,Austrian Socialist Party,Sozialistische Partei,SPO,AUT,0
309,AUSTRIA,Austrian People's Party,Volkspartei,OVP,AUT,0
310,AUSTRIA,Liberal Forum,Liberales Forum,LF,AUT,0
311,AUSTRIA,Austrian Freedom Party,Freiheitliche Partei,FPO,AUT,0
401,BELGIUM,Ecologist,Agalev,A,BEL,0
402,BELGIUM,Ecologist,Ecolo,E,BEL,0
403,BELGIUM,Socialist,Parti Socialiste,PS,BEL,0
404,BELGIUM,Flemish Socialist Party,Socialistische Partij,SP,BEL,0
405,BELGIUM,Christian-Social Party,Parti Social Chretien,PSC,BEL,0
406,BELGIUM,Flemish Christian People's Party,Christelijke Volkspartij,CVP,BEL,0
407,BELGIUM,People's Union,Volksunie,VU,BEL,0
408,BELGIUM,Democratic Front of the Francophones,Front Democratique des Francophones,FDF,BEL,0
409,BELGIUM,Liberal Reform Party,Parti Reformateur Liberal,PRL,BEL,0
501,BRAZIL,Brazilian Communist Party,Partido Comunista do Brasil,PCdoB,BRA,0
502,BRAZIL,Brasileire Workers' Party,Partido Trabalhista,PTB,BRA,0
503,BRAZIL,People's Social Party,Partido Popular Social,PPS,BRA,0
504,BRAZIL,Democratic Labour Party,Partido Democratico Trabalhista,PDT,BRA,0
505,BRAZIL,Brazilian Social Democracy,Partido da Social Democrata Brasileira,PSDB,BRA,0
506,BRAZIL,Party of Brazilian Democratic Movement,Partido do Movimento Democratico Brasiliero,PMDB,BRA,0
507,BRAZIL,Liberal Party,Partido Liberal,PL,BRA,0
508,BRAZIL,Liberal Front,Partido da Frente Liberal,PFL,BRA,0
509,BRAZIL,Social Democratic Party,Partido Democratico Social,PDS,BRA,0
601,BRITAIN,Labour,Labour,Lab,GBR,0
602,BRITAIN,Liberal Democratic Party,Liberal Democratic Party,LDP,GBR,0
603,BRITAIN,Conservative Party,Conservative Party,Con,GBR,0
701,BULGARIA,Bulgarian Communist Party,Bulgarska Komunisticheska Partiya,BKP,BGR,0
702,BULGARIA,Bulgarian Socialist Party,Bulgarska Socialisticheska Partiya,BSP,BGR,0
703,BULGARIA,Bulgarian Social Democratic Party,,BSDP,BGR,0
704,BULGARIA,Naroden Soyuz Bulgarian Agrarian National Movement,Bulgarski Zemedelski,BANU,BGR,0
705,BULGARIA,Green Party,,GP,BGR,0
706,BULGARIA,Union of Democratic Forces,Soyuz na Demokratichnite Sili,SDS,BGR,0
707,BULGARIA,Bulgarian Liberal Party,,BPL,BGR,0
708,BULGARIA,Bulgarian Business Bloc,,BBB,BGR,0
709,BULGARIA,Democratic Party,,DP,BGR,0
801,CANADA,New Democratic Party,New Democratic Party,NDP,CAN,0
802,CANADA,Bloc Quebecois,Bloc Quebecois,BQ,CAN,0
803,CANADA,Liberal Party,Liberal Party,L,CAN,0
804,CANADA,Progressive Conservative Party,Progressive Conservative Party,PCP,CAN,0
805,CANADA,Reform Party,Reform Party,RP,CAN,0
901,CHILE,Communist,Partido Comunista,PC,CHL,0
902,CHILE,Socialist,Partido Socialista,PS,CHL,0
903,CHILE,Reformed Socialist,Partido por la Democracia,PPD,CHL,0
904,CHILE,Christian Democrat,Partido Democrata Cristiano,PDC,CHL,0
905,CHILE,Radical Party,Partido Radical,PR,CHL,0
906,CHILE,Moderate right,Renovacion National,RN,CHL,0
907,CHILE,Pinochet,Union Democrata Independiente,UDI,CHL,0
1001,CZECH REPUBLIC,Left Bloc,Komunisticka Strana C.a.M.,KSCM,CZE,0
1002,CZECH REPUBLIC,Social Democrats,Ceskastrana Socialne Demokraticka,CSSD,CZE,0
1003,CZECH REPUBLIC,Liberal Social,Liberalni Socialni Unie,LSU,CZE,0
1004,CZECH REPUBLIC,Civic Movement,Obcanske Hunte,OH,CZE,0
1005,CZECH REPUBLIC,Civic Democratic Party,Obcansko Demokraticka Strana,ODS,CZE,0
1006,CZECH REPUBLIC,Civic Democratic Alliance,Obcansko Demokraticka Aliance,ODA,CZE,0
1007,CZECH REPUBLIC,Christian Democratic Union -- Czech People's Party,Krestanska Demokraticka Unie-Ceska Strana Lidova,KDU-CSL,CZE,0
1008,CZECH REPUBLIC,Christian Democratic Party,Krestansko Demokracie,KDS,CZE,0
1009,CZECH REPUBLIC,Republican Party,Republik Duska Strana Ceska,SPR-RSC,CZE,0
1101,DENMARK,Red-Green List,Rod-Gron Enhedsliste,RGE,DNK,0
1102,DENMARK,Socialist People's,Socialistik Folkeparti,SF,DNK,0
1103,DENMARK,Social Democrat,Socialdemokratiet,SD,DNK,0
1104,DENMARK,Radical Liberals,Radikale Venstre,RV,DNK,0
1105,DENMARK,Centre Democrats,Centrum-demokraterne,CD,DNK,0
1106,DENMARK,Christian People's,Kristeligt Folkeparti,KRF,DNK,0
1107,DENMARK,Conservatives,Konservative Folkeparti,KF,DNK,0
1108,DENMARK,Liberal,Venstre,V,DNK,0
1109,DENMARK,Progress Party,Fremskridtspartiet,FRP,DNK,0
1201,ESTONIA,Russian Democratic Movement,,RDM,EST,0
1202,ESTONIA,Estonian Democratic Labor Party,,EDLP,EST,0
1203,ESTONIA,Estonian Rural Union,,ERU,EST,0
1204,ESTONIA,Estonian Center Party,,ECP,EST,0
1205,ESTONIA,Estonian Social Democratic Party,,ESDP,EST,0
1206,ESTONIA,Greens,,-,EST,0
1207,ESTONIA,Estonian Rural Center Party,,ERCP,EST,0
1208,ESTONIA,Liberal Democratic Party,,ELDP,EST,0
1209,ESTONIA,Coalition Party,,CP,EST,0
1210,ESTONIA,Estonian National Independence Party,,ENIP,EST,0
1211,ESTONIA,Estonian Party of Entrepreneurs,,EPE,EST,0
1212,ESTONIA,Pro Patria,,NCP,EST,0
1213,ESTONIA,National Party of the Unlawfully Repressed,,NPUR,EST,0
1214,ESTONIA,Estonian Farmers' Party,,EFP,EST,0
1301,FINLAND,left-Wing Alliance,Vasemmistoliitto,VAS,FIN,0
1302,FINLAND,Green League,Vihrea Liitto,VIHR,FIN,0
