"country","party_id","party_name_english","year_first","year_last","share","share_year","partyfacts_id"
"AUS",120,"Australian Democrats",1977,2015,11.3,1990,990
"AUS",184,"National Party",1946,2015,11.5,1987,1743
"AUS",751,"Australian Greens",1990,2015,11.8,2010,1209
"AUS",1253,"Labor Party",1946,2015,50.1,1954,424
"AUS",1306,"Democratic Labor Party",1955,1977,9.4,1958,1540
"AUS",1411,"Liberal Party of Australia",1946,2015,41.8,1975,486
"AUT",50,"Freedom Movement",1949,2015,26.9,1999,463
"AUT",769,"Communist Party of Austria",1945,2015,5.3,1953,996
"AUT",955,"Liberal Forum",1993,2008,6,1994,605
"AUT",973,"Social Democratic Party",1945,2015,51,1979,1384
"AUT",1013,"People's Party",1945,2015,48.4,1966,1329
"AUT",1429,"Green Party",1983,2015,12.4,2013,1659
"AUT",1536,"Alliance for the Future of Austria",2005,2015,10.7,2008,599
"AUT",2150,"Team Stronach",2012,2015,5.7,2013,1971
"BEL",63,"Party of Liberty and Progress",1946,1970,21.6,1965,275
"BEL",161,"Confederated Ecologists (W)",1980,2015,7.3,1999,1563
"BEL",167,"Belgian Socialist Party",1946,1977,37.3,1954,480
"BEL",171,"National Front (W)",1991,2015,2.3,1995,191
"BEL",221,"List Dedecker (F)",2007,2015,2.3,2010,43
"BEL",290,"People's Union (F)",1954,2002,11.1,1971,1424
"BEL",454,"Liberal Reformist Party (W)",1971,2002,10.3,1995,554
"BEL",460,"Walloon Rally",1968,1985,6.7,1971,281
"BEL",501,"New Flemish Alliance",2003,2015,17.4,2010,36
"BEL",640,"Liberal Democratic and Pluralist Party",1971,1981,1.4,1974,382
"BEL",708,"Belgian Communist Party",1946,1989,12.7,1946,302
"BEL",723,"Christian People's Party (F)",1968,2015,26.2,1977,622
"BEL",915,"Reform Movement (W)",2003,2015,11.4,2003,789
"BEL",969,"Francophone Democratic Front",1965,2015,5,1974,698
"BEL",993,"Flemish Bloc",1978,2015,11.6,2003,553
"BEL",1029,"Socialist Party (F)",1978,2015,14.9,1987,1680
"BEL",1051,"Christian People's Party",1946,1967,47.7,1950,405
"BEL",1110,"Flemish Liberals and Democrats",1971,2015,15.4,2003,49
"BEL",1192,"Christian Social Party (W)",1968,2015,11.7,1968,633
"BEL",1378,"Socialist Party (W)",1978,2015,15.7,1987,500
"BEL",1594,"Live Differently (F)",1981,2015,7,1999,528
"CAN",296,"New Democratic Party",1945,2015,30.6,2011,152
"CAN",368,"Liberal Party of Canada",1945,2015,50.1,1949,1739
"CAN",448,"Bloc Quebecois",1991,2015,13.5,1993,1428
"CAN",794,"Progressive Conservative Party",1945,2004,53.7,1958,232
"CAN",897,"Reform Party",1987,2004,25.5,2000,1757
"CAN",1255,"Conservative Party of Canada",2003,2015,39.6,2011,1004
"CAN",1259,"Green Party of Canada",2004,2015,6.8,2008,931
"CAN",1392,"Socred Social Credit",1945,1980,11.9,1963,1156
"DNK",189,"Left Socialist Party",1967,1988,3.7,1979,1136
"DNK",211,"Radical Party",1945,2015,15,1968,1507
"DNK",306,"Red-Green Alliance / Unity List",1989,2015,6.6,2011,1527
"DNK",367,"Common Course",1986,1990,2.2,1987,1676
"DNK",376,"Liberal Alliance",2007,2015,4.9,2011,212
"DNK",412,"Danish Union",1945,1964,3.1,1945,637
"DNK",538,"Independents' Party",1953,1975,3.3,1960,932
"DNK",590,"Conservative People's Party",1945,2015,23.4,1984,536
"DNK",978,"Progress Party",1972,2015,15.9,1973,1601
"DNK",1239,"Communist Party of Denmark",1945,2011,12.5,1945,277
"DNK",1324,"Centre Democrats",1973,2015,8.3,1981,800
"DNK",1331,"Christian People's Party",1970,2015,5.3,1975,53
"DNK",1418,"Danish People's Party",1995,2015,13.9,2007,1022
"DNK",1478,"Liberal Centre",1965,1969,2.5,1966,1118
"DNK",1605,"Liberal Party",1945,2015,31.2,2001,1204
"DNK",1606,"Justice Party",1945,1984,8.2,1950,1134
"DNK",1629,"Social Democratic Party",1945,2015,42.1,1960,379
"DNK",1644,"Socialist People's Party",1959,2015,14.6,1987,329
"FIN",94,"Centre Party",1945,2015,24.8,1991,901
"FIN",200,"True Finns",1959,2015,19.1,2011,1689
"FIN",229,"Democratic Alternative",1986,1990,4.2,1987,166
"FIN",395,"Social Democratic Party of Finland",1945,2015,28.3,1995,1303
"FIN",585,"Swedish People's Party",1945,2015,7.9,1945,1229
"FIN",1009,"Young Finnish Party",1994,1999,2.8,1995,856
"FIN",1062,"Green League",1983,2015,8.5,2007,479
"FIN",1108,"Social Democratic Union of Workers and Smallholders",1958,1974,4.4,1962,1164
"FIN",1118,"National Coalition",1945,2015,23.1,1987,495
"FIN",1219,"People's Party",1945,2007,7.9,1954,249
"FIN",1292,"People's Democratic Union",1945,2015,23.5,1945,1096
"FIN",1463,"Christian Democrats",1966,2015,5.3,2003,703
"FRA",138,"Rally for the Republic",1978,2001,22.5,1978,509
"FRA",213,"Reformers' Movement",1973,1978,13.3,1973,167
"FRA",259,"Hunting, Fishing, Nature, Tradition",1987,2015,1.7,2002,1313
"FRA",270,"National Front",1986,2015,14.9,1997,433
"FRA",401,"Radical Socialist Party",1945,1973,11.1,1956,14
"FRA",509,"Union for French Democracy",1978,2015,26.2,1978,213
"FRA",658,"Union for the Presidential Majority",2002,2015,33.3,2002,1595
"FRA",686,"French Communist Party",1945,2015,28.6,1946,1251
"FRA",873,"The Greens",1993,2015,7.6,1993,1108
"FRA",885,"Centre for Democracy and Progress",1973,1978,3.8,1973,288
"FRA",898,"Union for the Defence of Traders and Artisans",1956,1959,11.7,1956,1580
"FRA",1058,"New Centre",2007,2015,2.2,2012,1255
"FRA",1086,"Popular Republican Movement",1945,1967,26.3,1946,737
"FRA",1094,"Union for the Defense of the Republic",1946,1977,38,1968,1083
"FRA",1297,"Republic Party for Liberty",1945,1993,12.8,1946,1473
"FRA",1491,"Democratic Centre",1967,1973,14.1,1967,399
"FRA",1492,"Radical Left Party",1973,2012,1.5,2002,1783
"FRA",1539,"Socialist Party",1945,2015,36,1981,1478
"DEU",137,"Centre Party",1946,1957,3.1,1949,1798
"DEU",187,"German Reich Party",1946,1957,1.8,1949,1151
"DEU",543,"Free Democratic Party",1946,2015,14.6,2009,573
"DEU",558,"Social Democratic Party",1946,2015,45.8,1972,383
