parlgov_id,partyfacts_id
1935,777
120,990
751,1209
1253,424
1760,1756
1650,323
2285,1999
1922,134
215,143
1933,410
1914,297
1306,1540
1904,1139
446,1263
1913,303
1938,663
1917,550
1903,754
2258,1997
303,248
1919,1642
1939,1781
1927,1098
154,285
2286,1998
1411,486
184,1743
1925,1244
1918,151
1905,338
2003,1736
2630,5453
386,1162
1936,785
2259,1996
1898,454
1928,782
1897,505
1911,113
1908,672
1912,566
1920,1411
1929,388
1906,1058
1536,599
1739,666
1013,1329
2678,6142
2688,6167
1752,2589
1750,1814
769,996
2689,1934
1743,346
2699,6235
2340,2990
50,463
2675,3679
2676,6140
2672,1935
2673,6169
2674,1917
669,1708
2685,3304
955,605
2652,6138
2679,6168
2684,1936
2255,1970
1744,1678
2651,6137
2681,6170
973,1384
2677,6141
2150,1971
1746,439
1429,1659
1745,1500
2339,2991
2683,6139
1740,1170
1594,528
620,76
1181,780
2422,2289
167,480
1335,826
2564,4541
2486,4542
2423,1892
972,756
2481,1915
119,2609
708,302
161,1563
993,553
723,622
1051,405
1192,633
969,698
2424,3689
470,1544
63,275
640,382
454,554
221,43
171,191
501,36
1110,49
438,639
290,1424
748,1016
915,789
1440,558
2425,1829
1029,1680
1113,1586
1378,500
460,281
256,1753
353,747
2364,3187
535,1793
1254,58
2213,2058
2173,2060
599,1027
364,1496
1375,263
982,757
2362,3188
2595,4095
1541,760
1160,1665
2179,2054
1570,603
2170,2059
57,1195
2639,5860
710,149
2178,2055
1362,1820
2212,2056
800,222
566,265
2379,3200
1286,982
2211,2057
544,374
2176,2021
2180,2022
636,272
1161,661
2177,2023
2214,2024
2363,3189
2640,5862
15,5848
996,1765
1149,709
423,482
2174,2025
2175,2026
784,1183
2637,5863
2638,5861
1307,407
556,875
1255,1004
296,152
1259,931
2427,1941
2085,2638
368,1739
2142,2000
794,232
2566,1930
448,1428
2565,1932
897,1757
2148,1940
1392,1156
677,973
2162,1972
2196,3133
2615,4865
316,1568
2135,2347
2198,2029
276,1431
2185,3138
2182,3143
2134,2062
2199,3142
1044,253
1465,72
2202,2028
2203,6568
1384,799
1102,214
1081,78
2188,3137
2612,4867
2133,2348
1627,513
1457,381
2628,5452
90,2524
2187,2061
2614,4866
2190,3109
1493,1475
2382,3201
2186,3136
2627,4884
2341,3117
851,635
1575,563
1779,108
1621,858
491,1817
1049,1625
768,697
1735,1066
1151,1837
2342,3116
945,1028
1768,1013
1778,1379
6,1191
1776,1510
572,1076
2626,4883
1777,834
1523,321
2263,2141
2101,138
440,824
1245,676
1123,1008
829,466
743,1349
574,1796
2220,2142
1173,1728
665,1041
29,1813
2219,2139
2261,2047
789,177
2262,2049
1616,1171
1454,165
2102,980
2654,6125
688,104
196,1554
653,1425
2221,2140
2224,2138
1218,936
2042,1127
2024,1707
19,952
2223,2143
406,1272
363,254
2222,2137
77,670
336,1202
872,1657
2033,904
1532,751
1613,293
2,223
795,805
1324,800
1331,53
367,1676
1239,277
1891,2660
590,536
1418,1022
211,1507
412,637
2428,1901
797,112
538,932
2429,1912
1450,1421
1606,1134
189,1136
1478,1118
1605,1204
2430,1914
2431,1913
2432,1900
376,212
749,333
978,1601
306,1527
812,1200
1629,379
1644,329
2567,4070
1590,18
2267,1973
1137,533
609,790
1064,1319
486,1556
1516,814
1796,175
219,1040
2631,5850
2416,3692
552,1299
1792,850
113,821
2409,3271
1794,429
25,1361
243,908
1395,83
417,110
450,331
846,779
428,491
2266,1975
1448,1150
1553,831
1597,685
2568,5523
1894,5524
66,1062
1649,6128
94,901
1463,703
2433,1928
1389,414
229,166
1292,1096
2434,3684
200,1689
1576,1573
139,372
920,806
1062,479
979,1259
1109,488
1118,495
1219,249
2645,5859
2293,1962
957,725
638,250
1108,1164
395,1303
585,1229
1009,856
2400,2536
2399,3207
885,288
2265,3155
2143,3156
2589,4626
1297,1473
2280,2470
1491,399
650,1273
686,1251
2617,4862
1094,1083
873,1108
259,1313
2585,3108
59,1246
2590,2688
2587,3160
2593,3105
1101,364
1414,1629
270,433
1263,1634
1058,1255
2249,1898
2083,1594
2079,452
177,126
285,1776
670,1383
2260,3157
2583,3107
1086,737
2586,4627
1492,1783
401,14
2271,1898
138,509
890,1662
213,167
2358,3181
2592,4628
2594,3102
2581,3159
442,1506
2264,3024
1539,1478
2618,2536
2643,5857
2644,5858
516,912
658,1595
509,213
898,1580
2269,2537
2273,3229
1176,617
1507,1010
1701,1031
238,845
772,1816
255,865
2253,1976
301,749
1131,61
2701,2068
2697,1825
137,1798
808,1375
1727,211
2709,1831
2713,1895
2700,2070
1180,1731
649,1135
1720,2702
2698,1828
1420,735
1235,2702
2703,2702
543,573
358,1152
41,1090
2691,1826
2696,1883
2692,1830
912,1502
633,24
2693,1827
1506,695
865,1287
187,1151
2705,2072
2690,1884
1537,1723
2695,1893
1718,270
2710,2107
2704,2702
558,383
292,1652
791,86
2649,6126
524,720
2096,1130
2124,274
1441,516
1592,301
614,48
1311,334
2094,1284
2093,1160
1374,648
720,1682
2408,3211
1280,378
2097,95
2164,1276
2347,3120
2091,1651
1059,1269
2125,207
2407,3212
1027,943
2230,2414
1162,231
47,794
2169,2511
1338,1468
252,1030
2167,2508
463,1298
2092,1660
1412,312
1179,965
2596,4512
2123,619
2095,471
2166,2509
2346,3118
2348,3119
2165,2510
489,82
74,5535
1183,1132
1426,910
434,1412
1970,469
2349,3115
1203,184
437,NA
921,1691
546,1697
95,1597
1591,1408
2660,6129
1202,859
870,1294
600,42
2659,859
198,1323
403,1650
2588,3795
418,1726
988,854
817,264
2204,2517
2111,1074
828,1433
587,224
2004,1769
2437,1881
2206,2518
2439,1951
2440,1958
2207,2519
2598,1070
2208,2514
2115,125
1342,363
2561,1954
1800,196
210,457
506,1224
2441,1890
2114,122
2116,1071
1172,673
1360,1249
205,494
2632,5852
2205,2048
1455,964
2210,2515
2005,77
2633,5454
2209,2516
1006,1396
228,1325
53,1517
1319,1208
147,525
1323,1316
2523,4556
1580,1172
2371,3209
2563,2292
280,1055
1393,1288
1573,1775
2326,2533
2370,2735
2328,2735
2526,4555
318,562
1199,880
2442,2443
156,1391
2443,2115
2218,2053
523,187
923,1024
1804,242
651,924
2620,4869
92,1354
2217,4
433,208
2619,4870
1014,1448
2447,2442
1835,3152
1832,1491
244,615
2410,3273
1150,447
2357,3153
249,942
1862,3148
1863,1061
1850,557
387,1417
1839,1616
61,555
976,745
1829,1149
1824,3144
1471,1380
1419,3131
2309,3122
1845,3123
1870,484
1889,219
1204,1655
1472,1489
2323,3129
31,425
2361,3192
980,1664
188,434
277,1053
1816,235
767,396
1343,1398
765,678
2355,3132
1828,613
2360,3190
305,1358
588,1734
2354,2740
805,1663
1841,770
214,1447
1357,953
732,907
2312,3149
615,640
106,1394
1873,3121
1838,3126
1834,1722
390,784
1822,712
1837,1786
1660,638
1831,22
788,455
2043,2740
1833,1167
2322,3146
678,1036
2421,3700
2320,3127
2321,3128
279,729
938,597
1969,1561
2411,3274
1269,999
265,641
1846,1337
2311,3151
1821,909
1303,1075
1168,169
2324,3125
2310,920
1827,1560
1330,817
712,3956
927,2415
2154,2280
1048,1737
67,365
99,1767
627,962
1633,934
2156,2281
1088,34
1321,1404
961,643
1005,279
382,802
397,445
809,878
350,630
488,1327
910,851
176,1101
2155,2046
2666,878
409,1498
596,1626
1304,851
1702,1371
242,1126
1278,750
487,1461
142,1701
630,259
1475,742
831,1696
693,768
465,1212
1050,773
1040,1045
366,131
373,813
1713,1482
1714,1464
613,939
2268,2052
1287,888
1436,1221
1661,1635
502,772
1528,3956
421,684
840,3956
1424,1429
968,598
1296,1449
325,99
93,394
335,877
827,688
323,327
1593,1505
1030,1369
2158,2279
1246,1372
226,1758
399,115
1145,734
128,763
974,548
1080,718
2657,6135
1738,436
1734,136
439,1804
163,2750
1053,867
1540,736
1722,778
1726,1435
1327,88
547,1109
2136,2080
940,3
837,1515
1736,423
1723,239
1193,1746
1165,348
462,13
1755,935
1733,1304
