country,countryid,partyid,year_first,year_last,share_year,share_max
Australia,2,2,1940,2016,1951,50
Australia,2,1,1940,2016,1974,53
Australia,2,3,1975,2001,1987,11.3
Australia,2,5,1996,1998,1996,8.4
Australia,2,4,2001,2016,2007,11.8
Austria,3,1,2002,2013,2002,35.3
Austria,3,2,2002,2013,2002,34.3
Austria,3,4,2006,2008,2006,10.7
Austria,3,3,2002,2013,2008,20.5
Austria,3,5,2002,2013,2008,12.4
Austria,3,6,2008,2013,2008,5.7
Belgium,42,1,2003,2010,2003,19.2
Belgium,42,2,2003,2010,2003,16.7
Belgium,42,3,2003,2007,2003,30.2
Belgium,42,6,2003,2010,2003,19.3
Belgium,42,8,2003,2007,2003,6.6
Belgium,42,4,2007,2010,2007,17.6
Belgium,42,5,2007,2010,2007,28.2
Belgium,42,7,2003,2010,2007,7.1
Bulgaria,5,1,2005,2013,2005,39.7
Bulgaria,5,3,2005,2013,2005,14
Bulgaria,5,4,2005,2013,2005,9.4
Bulgaria,5,5,2005,2009,2005,6.8
Bulgaria,5,2,2005,2013,2009,26.6
Canada,6,2,1940,2015,1945,49.2
Canada,6,1,1940,2015,1957,53.7
Canada,6,6,1949,1974,1962,11.9
Canada,6,4,1988,2011,1988,13.5
Canada,6,8,1988,1997,1993,19.4
Canada,6,7,1997,2000,1997,25.5
Canada,6,5,2006,2008,2006,6.8
Canada,6,3,1940,2015,2008,30.6
Croatia,9,1,2007,2011,2007,23.4
Croatia,9,2,2007,2011,2007,40.4
Croatia,9,7,2007,2011,2007,5.1
Denmark,43,1,1957,2015,1957,42.1
Denmark,43,2,1957,2011,1966,15
Denmark,43,6,1971,1994,1971,15.9
Denmark,43,9,1973,1975,1973,5.3
Denmark,43,7,1971,1990,1979,8.3
Denmark,43,8,1957,2007,1981,23.4
Denmark,43,5,1957,2011,1984,14.6
Denmark,43,3,1957,2015,1998,31.2
Finland,13,1,2007,2011,2007,15.8
Finland,13,2,2007,2011,2007,20.4
Finland,13,3,2007,2011,2007,19.1
Finland,13,4,2007,2011,2007,8.1
Finland,13,5,2007,2011,2007,7.3
Finland,13,8,2007,2011,2007,19.1
Germany,15,2,1957,2017,1969,45.8
Germany,15,1,1957,2017,1980,48.8
Germany,15,3,1980,2017,2005,10.7
Germany,15,4,1957,2017,2005,14.6
Germany,15,5,1994,2017,2005,11.9
Greece,16,1,2004,2015,2004,41.8
Greece,16,2,2004,2015,2007,43.9
Greece,16,4,2007,2009,2007,5.6
Greece,16,10,2009,2012,2009,10.6
Greece,16,3,2004,2015,2009,8.5
Greece,16,7,2009,2012,2012,6.2
Hungary,45,1,2006,2014,2006,52.7
Hungary,45,2,2006,2010,2006,19.3
Hungary,45,5,2006,2014,2006,7.5
Iceland,17,1,2007,2016,2007,21.7
Iceland,17,2,2007,2016,2007,29.8
Iceland,17,6,2007,2009,2007,7.2
Iceland,17,3,2007,2016,2009,24.4
Iceland,17,5,2009,2016,2009,8.2
Ireland,18,1,1973,2016,1973,50.6
Ireland,18,2,1973,2016,1982,39.2
Ireland,18,4,1982,1989,1982,11.8
Ireland,18,3,1973,2016,2007,19.5
Italy,19,1,2008,2013,2008,25.4
Italy,19,3,2008,2013,2008,25.5
Italy,19,7,2008,2013,2008,21.6
Italy,19,8,2008,2013,2008,8.3
Japan,20,4,1996,2000,1996,11
Japan,20,5,1996,2012,1996,11.2
Japan,20,6,1996,2005,1996,9.4
Japan,20,3,1996,2012,2000,14.8
Japan,20,1,1996,2012,2003,38.2
Japan,20,2,1996,2012,2005,42.4
Japan,20,7,2009,2012,2009,20.5
Japan,20,8,2009,2012,2009,8.8
Malta,21,1,2008,2013,2008,43.3
Malta,21,2,2008,2013,2008,54.8
Netherlands,23,3,1959,1972,1959,31.9
Netherlands,23,5,1959,1971,1959,8.6
Netherlands,23,4,1959,1972,1963,9.9
Netherlands,23,9,1967,1971,1967,5.3
Netherlands,23,1,1959,2012,1972,33.8
Netherlands,23,6,1972,2012,1986,35.3
Netherlands,23,8,1967,2012,1989,15.5
Netherlands,23,7,1994,2010,1994,7.3
Netherlands,23,12,1998,2003,1998,17
Netherlands,23,11,1998,2012,2003,16.6
Netherlands,23,13,2003,2012,2006,15.4
Netherlands,23,2,1959,2012,2010,26.6
New Zealand,24,10,1972,1975,1972,5.2
New Zealand,24,9,1972,1987,1978,20.6
New Zealand,24,12,1981,1984,1981,12.2
New Zealand,24,1,1972,2017,1984,48
New Zealand,24,11,1987,1990,1987,5.2
New Zealand,24,2,1972,2017,1987,47.8
New Zealand,24,8,1990,1999,1990,18.2
New Zealand,24,3,1990,2017,1993,13.4
New Zealand,24,4,1993,2002,1999,7.1
New Zealand,24,6,1999,2002,1999,6.7
New Zealand,24,5,1987,2017,2008,11.1
Norway,25,6,1961,2013,1961,10.2
Norway,25,1,1961,2017,1965,46.5
Norway,25,2,1961,2017,1977,31.7
Norway,25,4,1961,2017,1989,16.7
Norway,25,3,1961,2013,1993,13.7
Norway,25,5,1961,2017,1997,12.5
Norway,25,7,1969,2017,2005,22.9
Poland,28,1,2007,2011,2007,39.2
Poland,28,2,2007,2011,2007,29.9
Poland,28,3,2007,2011,2007,8.2
Poland,28,4,2007,2011,2007,8.4
Poland,28,6,2007,2011,2007,10
Portugal,29,4,1983,2011,1983,15.5
Portugal,29,6,1983,1985,1983,17.9
Portugal,29,1,1983,2011,1987,50.6
Portugal,29,2,1983,2015,2002,45
Portugal,29,3,1983,2011,2009,11.7
Romania,30,1,2004,2012,2004,6.2
Romania,30,2,2004,2008,2004,33.1
Romania,30,3,2004,2008,2004,18.6
Romania,30,5,2004,2008,2004,32.4
Romania,30,7,2008,2012,2008,16.7
Romania,30,8,2008,2012,2008,60.1
Romania,30,9,2008,2012,2008,14.6
Serbia,31,1,2008,2012,2008,22.1
Serbia,31,2,2008,2012,2008,24
Serbia,31,4,2008,2012,2008,7
Serbia,31,5,2008,2012,2008,14.5
Serbia,31,6,2008,2012,2008,6.5
Serbia,31,7,2008,2012,2008,5.5
Slovakia,32,2,2006,2010,2006,5.1
Slovakia,32,3,2006,2012,2006,15.4
Slovakia,32,4,2006,2012,2006,12.1
Slovakia,32,6,2006,2012,2006,8.1
Slovakia,32,1,2006,2012,2010,44.4
Slovakia,32,5,2006,2012,2010,8.8
Slovakia,32,8,2010,2012,2010,8.6
South Korea,34,1,2008,2012,2008,43.3
South Korea,34,2,2008,2012,2008,37.9
South Korea,34,3,2008,2012,2008,6
Spain,35,2,1979,2016,1979,48.1
Spain,35,8,1979,1982,1979,6.8
