country,countryid,election,partyid,partyname,year_first,year_last,share_year,share_max,party_short,party_name,party_id,country_iso
Australia,2,legislative,3,Australian Democrats,1975,2001,1987,11.3,"",Australian Democrats,2-3,AUS
Australia,2,legislative,4,Australian Greens,2001,2016,2007,11.8,"",Australian Greens,2-4,AUS
Australia,2,legislative,2,Australian Labor Party (ALP),1940,2016,1951,50,ALP,Australian Labor Party,2-2,AUS
Australia,2,legislative,5,Hanson/One Nation,1996,1998,1996,8.4,"",Hanson/One Nation,2-5,AUS
Australia,2,legislative,1,Liberal/National Party,1940,2016,1974,53,"",Liberal/National Party,2-1,AUS
Austria,3,legislative,4,Alliance for the Future of Austria,2006,2008,2006,10.7,"",Alliance for the Future of Austria,3-4,AUT
Austria,3,legislative,3,Austrian Freedom Party (FPÖ),2002,2013,2008,20.5,FPÖ,Austrian Freedom Party,3-3,AUT
Austria,3,legislative,2,Austrian People’s Party (ÖVP),2002,2013,2002,34.3,ÖVP,Austrian People’s Party,3-2,AUT
Austria,3,legislative,1,Austrian Social Democratic Party (SPÖ),2002,2013,2002,35.3,SPÖ,Austrian Social Democratic Party,3-1,AUT
Austria,3,legislative,6,Team Stronach for Austria,2008,2013,2008,5.7,"",Team Stronach for Austria,3-6,AUT
Austria,3,legislative,5,The Greens,2002,2013,2008,12.4,"",The Greens,3-5,AUT
Belgium,42,legislative,4,Christian Democratic and Flemish (CD&V),2007,2010,2007,17.6,CD&V,Christian Democratic and Flemish,42-4,BEL
Belgium,42,legislative,3,Christian Democratic and Flemish/New Flemish Alliance (CD&V/N-VA),2003,2007,2003,30.2,CD&V/N-VA,Christian Democratic and Flemish/New Flemish Alliance,42-3,BEL
Belgium,42,legislative,6,Flemish Interest (VB),2003,2010,2003,19.3,VB,Flemish Interest,42-6,BEL
Belgium,42,legislative,7,Green! (Groen!),2003,2010,2007,7.1,Groen!,Green!,42-7,BEL
Belgium,42,legislative,8,"Libertarian, Direct, Democratic (LDD)",2003,2007,2003,6.6,LDD,"Libertarian, Direct, Democratic",42-8,BEL
Belgium,42,legislative,5,New Flemish Alliance (N-VA),2007,2010,2007,28.2,N-VA,New Flemish Alliance,42-5,BEL
Belgium,42,legislative,1,Open Flemish Liberals and Democrats (OpenVLD),2003,2010,2003,19.2,OpenVLD,Open Flemish Liberals and Democrats,42-1,BEL
Belgium,42,legislative,2,Socialist Party Differently (SP-A),2003,2010,2003,16.7,SP-A,Socialist Party Differently,42-2,BEL
Bulgaria,5,legislative,5,Blue Coalition (SDS-DSB),2005,2009,2005,6.8,SDS-DSB,Blue Coalition,5-5,BGR
Bulgaria,5,legislative,2,Bulgarian Socialist Party (BSP),2005,2013,2009,26.6,BSP,Bulgarian Socialist Party,5-2,BGR
Bulgaria,5,legislative,1,Citizens for European Development of Bulgaria (GERB),2005,2013,2005,39.7,GERB,Citizens for European Development of Bulgaria,5-1,BGR
Bulgaria,5,legislative,3,Movement for Rights and Freedom (DPS),2005,2013,2005,14,DPS,Movement for Rights and Freedom,5-3,BGR
Bulgaria,5,legislative,4,National Union Attack (ATAKA),2005,2013,2005,9.4,ATAKA,National Union Attack,5-4,BGR
Canada,6,legislative,7,Alliance,1997,2000,1997,25.5,"",Alliance,6-7,CAN
Canada,6,legislative,4,Bloc Quebec,1988,2011,1988,13.5,"",Bloc Quebec,6-4,CAN
Canada,6,legislative,5,Green Party,2006,2008,2006,6.8,"",Green Party,6-5,CAN
Canada,6,legislative,2,Liberal Party of Canada,1940,2015,1945,49.2,"",Liberal Party of Canada,6-2,CAN
Canada,6,legislative,3,New Democratic Party,1940,2015,2008,30.6,"",New Democratic Party,6-3,CAN
Canada,6,legislative,1,Progressive Conservative Party/Conservative Party,1940,2015,1957,53.7,"",Progressive Conservative Party/Conservative Party,6-1,CAN
Canada,6,legislative,8,Reform Party of Canada,1988,1997,1993,19.4,"",Reform Party of Canada,6-8,CAN
Canada,6,legislative,6,Social Credit,1949,1974,1962,11.9,"",Social Credit,6-6,CAN
Croatia,9,legislative,1,Croatian Democratic Union,2007,2011,2007,23.4,"",Croatian Democratic Union,9-1,HRV
Croatia,9,legislative,2,Kukuriku Coalition,2007,2011,2007,40.4,"",Kukuriku Coalition,9-2,HRV
Croatia,9,legislative,7,Labour Party,2007,2011,2007,5.1,"",Labour Party,9-7,HRV
Denmark,43,legislative,7,Centre Democrats (CD),1971,1990,1979,8.3,CD,Centre Democrats,43-7,DNK
Denmark,43,legislative,9,Christian People's Party (KF)/Christian Democrats (K),1973,1975,1973,5.3,KF-K,Christian People's Party,43-9,DNK
Denmark,43,legislative,8,Conservative People's Party (DKF/KFP),1957,2007,1981,23.4,DKF/KFP,Conservative People's Party,43-8,DNK
Denmark,43,legislative,11,Danish People's Party (DF),1994,2015,2015,21.1,DF,Danish People's Party,43-11,DNK
Denmark,43,legislative,12,Liberal Alliance,2007,2015,2015,7.5,"",Liberal Alliance,43-12,DNK
Denmark,43,legislative,3,Liberals (V),1957,2015,1998,31.2,V,Liberals,43-3,DNK
Denmark,43,legislative,6,Progress Party (FP),1971,1994,1971,15.9,FP,Progress Party,43-6,DNK
Denmark,43,legislative,2,Radical Party (RV),1957,2011,1966,15,RV,Radical Party,43-2,DNK
Denmark,43,legislative,10,Red-Green Unity List,2007,2015,2015,7.8,"",Red-Green Unity List,43-10,DNK
Denmark,43,legislative,1,Social Democratic Party (SD),1957,2015,1957,42.1,SD,Social Democratic Party,43-1,DNK
Denmark,43,legislative,5,Socialist People's Party (SFP),1957,2011,1984,14.6,SFP,Socialist People's Party,43-5,DNK
Finland,13,legislative,1,Centre Party,2007,2011,2007,15.8,"",Centre Party,13-1,FIN
