country_iso,index_table,country,party_name,label,country_nr,country_name,codebook_entry
BGR,1101,Bulgaria,Bulgarian Socialist Party,CfB,1,Bulgaria,1
BGR,1102,Bulgaria,National Movement for Stability and Progress,NMSS,1,Bulgaria,1
BGR,1103,Bulgaria,Movement for Rights and Freedoms,MrF,1,Bulgaria,1
BGR,1104,Bulgaria,Union of Democratic Forces,UDF,1,Bulgaria,1
BGR,1105,Bulgaria,National Union Attack,NUA,1,Bulgaria,1
BGR,1106,Bulgaria,Democrats for a Strong Bulgaria,DSB,1,Bulgaria,1
BGR,1107,Bulgaria,Bulgarian People's Union,BPU,1,Bulgaria,0
BGR,1108,Bulgaria,Citizens for European Development of Bulgaria,CEDB,1,Bulgaria,0
CZE,1201,Czech-Republic,Civic Democratic Party,ODS,2,Czech Republic,1
CZE,1202,Czech-Republic,Czech Social Democratic Party,CSSD,2,Czech Republic,1
CZE,1203,Czech-Republic,Communist Party of Bohemia and Moravia,KSCM,2,Czech Republic,1
CZE,1204,Czech-Republic,Christian and Democratic Union,KDU-CSL,2,Czech Republic,1
CZE,1205,Czech-Republic,Green Party,SZ,2,Czech Republic,1
EST,1301,Estonia,Estonian Reform Party,RE,3,Estonia,1
EST,1302,Estonia,Estonian Centre Party,EK,3,Estonia,1
EST,1303,Estonia,Pro Patria and Res Publica Union,IrL,3,Estonia,1
EST,1304,Estonia,Social Democratic Party,SDE,3,Estonia,1
EST,1305,Estonia,Estonian Greens,Er,3,Estonia,1
EST,1306,Estonia,Estonian People's Union,RL,3,Estonia,1
HUN,1401,Hungary,Hungarian Socialist Party,MSZP,4,Hungary,1
HUN,1402,Hungary,Fidesz - Hungarian Civic Union,FIDESZ,4,Hungary,1
HUN,1403,Hungary,Union of Free Democrats,SZDSZ,4,Hungary,1
HUN,1404,Hungary,Hungarian Democratic Forum,MDF,4,Hungary,1
HUN,1405,Hungary,Christian Democratic People's Party,KDNP,4,Hungary,1
HUN,1406,Hungary,Hungarian Justice and Life Party,MIEP,4,Hungary,0
LVA,1501,Latvia,People's Party,TP,5,Latvia,1
LVA,1502,Latvia,Union of Greens and Peasants,LZS,5,Latvia,1
LVA,1503,Latvia,New Era,JL,5,Latvia,1
LVA,1504,Latvia,Harmony Centre,SC,5,Latvia,1
LVA,1505,Latvia,Latvia's First Party / Latvia's Way,LPP,5,Latvia,1
LVA,1506,Latvia,Fatherland and Freedom,TB/LNNK,5,Latvia,1
LVA,1507,Latvia,For Human Rights in United Latvia,PCTVL,5,Latvia,1
LVA,1508,Latvia,Latvian Social Democratic Workers' Party,LSdSP,5,Latvia,1
LTU,1601,Lithuania,Lithuanian Social Democratic Party,LSDP,6,Lithuania,1
LTU,1602,Lithuania,Fatherland Union,TS-LK,6,Lithuania,1
LTU,1603,Lithuania,New Union - Social Liberals,NS,6,Lithuania,1
LTU,1604,Lithuania,Order and Justice - Liberal Democrats,TiT,6,Lithuania,1
LTU,1605,Lithuania,Liberals' Movement of the Republic of Lithuania,LrLS,6,Lithuania,1
LTU,1606,Lithuania,Labour Party,DP,6,Lithuania,1
LTU,1607,Lithuania,Liberal and Centre Union,LCS,6,Lithuania,1
LTU,1608,Lithuania,Lithuanian Peasant Popular Union,LVLS,6,Lithuania,1
LTU,1609,Lithuania,Lithuanian Poles' Electoral Alliance,AWPL,6,Lithuania,1
LTU,1610,Lithuania,Civic Democratic Party,PDP,6,Lithuania,1
MDA,1701,Moldova,Communist Party of the Republic of Moldova,PCRM,7,Moldova,1
MDA,1702,Moldova,Party Alliance Our Moldova,PAMN,7,Moldova,1
MDA,1703,Moldova,Democratic Party of Moldova,PDM,7,Moldova,1
MDA,1704,Moldova,Social-Liberal Party,PSL,7,Moldova,1
MDA,1705,Moldova,Christian Democratic People's Party,PPCD,7,Moldova,1
MDA,1706,Moldova,Socialist Party from Moldova,PSM,7,Moldova,1
MDA,1707,Moldova,Party of Socialists from Republic of Moldova,PSRM,7,Moldova,1
POL,1801,Poland,Law and Justice,PIS,8,Poland,1
POL,1802,Poland,Civic Platform,PO,8,Poland,1
POL,1803,Poland,Left and Democrats,LiD,8,Poland,1
POL,1804,Poland,Self-Defense of the Republic of Poland,SrP,8,Poland,1
POL,1805,Poland,League of Polish Families,LPr,8,Poland,1
POL,1806,Poland,Polish People's Party,PSL,8,Poland,1
ROU,1901,Romania,Social Democratic Party,PSD,9,Romania,1
ROU,1902,Romania,Democratic Party,PD,9,Romania,1
ROU,1903,Romania,National Liberal Party,PNL,9,Romania,1
ROU,1904,Romania,Great Romania Party,PrM,9,Romania,1
ROU,1905,Romania,Conservative Party,PC,9,Romania,1
ROU,1906,Romania,Democratic Alliance of Hungarians in Romania,UDMr,9,Romania,1
ROU,1907,Romania,New Generation Party,PNG,9,Romania,1
ROU,1908,Romania,Liberal Democratic Party,PLD,9,Romania,1
ROU,1909,Romania,Christian Democratic National Peasant's Party,PNTCD,9,Romania,1
ROU,1910,Romania,National Iniziative Party,PIN,9,Romania,1
RUS,2001,Russia,Unified Russia,ER,10,Russia,1
RUS,2002,Russia,Communist Party of the Russian Federation,KPRF,10,Russia,1
RUS,2003,Russia,Liberal-Democratic Party of Russia,LDPR,10,Russia,1
RUS,2004,Russia,Fair Russia,SR,10,Russia,1
RUS,2005,Russia,Union of Rightist Forces,SPS,10,Russia,1
RUS,2006,Russia,Rodina Motherland-National Patriotic Union,Rodina,10,Russia,0
SVK,2101,Slovakia,Christian Democratic Movement,KDH,11,Slovakia,1
SVK,2102,Slovakia,People's Party - Movement for a Democratic Slovakia,HZDS,11,Slovakia,1
