country_short,party_name_short,party_name,year_first,year_last,share_year,share,seats,seats_total,party_id
ARG,ARI,Alternativa para una República de Iguales,2001,2001,2001,6.61,17,257,ARG ARI Alternativa para una República de Iguales
ARG,MODIN,Movimiento de Dignidad y Indendencia,1991,1995,1993,2.72,7,257,ARG MODIN Movimiento de Dignidad y Indendencia
ARG,,Accion Chaquena,1991,1995,1993,0.78,2,257,ARG NA Accion Chaquena
ARG,,Accion por la Republica,1997,2001,1999,4.67,12,257,ARG NA Accion por la Republica
ARG,,Afirmacion Peronista,1991,1991,1991,1.17,3,257,ARG NA Afirmacion Peronista
ARG,,Alianza,1997,2001,1999,48.2,124,257,ARG NA Alianza
ARG,,Alianza Frente Pais Solidario,1995,1997,1995,10.1,26,257,ARG NA Alianza Frente Pais Solidario
ARG,,Alianza Popular Federalista,1973,1973,1973,2.06,5,243,ARG NA Alianza Popular Federalista
ARG,,Autonomista-Liberal,1989,1989,1989,1.18,3,254,ARG NA Autonomista-Liberal
ARG,,Autonomista de Corrientes,1963,1965,1965,1.05,2,191,ARG NA Autonomista de Corrientes
ARG,,Autonomista Lib. De Corrientes,1973,1999,1987,1.57,4,254,ARG NA Autonomista Lib. De Corrientes
ARG,,Blanco de los Jubilados,1989,1991,1989,0.39,1,254,ARG NA Blanco de los Jubilados
ARG,,Bloquista de San Juan,1991,1995,1991,0.39,1,257,ARG NA Bloquista de San Juan
ARG,,Confederacion Federalista Independiente,1989,1989,1989,2.76,7,254,ARG NA Confederacion Federalista Independiente
ARG,,Conservador Popular,1993,1993,1993,0.39,1,257,ARG NA Conservador Popular
ARG,,Cruzada Renovadora,1989,1989,1989,0.39,1,254,ARG NA Cruzada Renovadora
ARG,,Cruzada Renovadora (San Juan),1991,1999,1991,0.78,2,257,ARG NA Cruzada Renovadora (San Juan)
ARG,,Defensa Provincial,1960,1989,1989,0.79,2,254,ARG NA Defensa Provincial
ARG,,Democrata,1963,1999,1963,2.08,4,192,ARG NA Democrata
ARG,,Demócrata Cristiano,1963,1993,1963,3.65,7,192,ARG NA Demócrata Cristiano
ARG,,Democráta de Mendoza,1985,2001,1995,0.78,2,257,ARG NA Democráta de Mendoza
ARG,,Democrata Nacional,1946,1946,1946,0.63,1,158,ARG NA Democrata Nacional
ARG,,Demócrata Progresista,1946,2001,1963,6.25,12,192,ARG NA Demócrata Progresista
ARG,,Desarrollo y Justicia,1997,1999,1997,0.39,1,257,ARG NA Desarrollo y Justicia
ARG,,Federacion de partidos de Centro,1960,1965,1965,5.24,10,191,ARG NA Federacion de partidos de Centro
ARG,,Federal,1991,1991,1991,0.39,1,257,ARG NA Federal
ARG,,Frente Corriente Renovadora,1989,1999,1997,0.78,2,257,ARG NA Frente Corriente Renovadora
ARG,,Frente Grande,1995,1995,1995,0.78,2,257,ARG NA Frente Grande
ARG,,Fuerza Republicana,1991,2001,1991,1.56,4,257,ARG NA Fuerza Republicana
ARG,,Humanista,2001,2001,2001,0,0,257,ARG NA Humanista
ARG,,Intransigente,1983,1993,1985,2.36,6,254,ARG NA Intransigente
ARG,,Izquierda Unida,1989,2001,1989,0.39,1,254,ARG NA Izquierda Unida
ARG,,Justicialista,1973,2001,1973,53.9,131,243,ARG NA Justicialista
ARG,,Laborista,1946,1946,1946,6.96,11,158,ARG NA Laborista
