country,name_short,name,year_first,year_last,share,share_year,party_id
ARG,, Acción por la República,1998,2001,8.7,2001,32030
ARG,ARI, Afirmación para una República Igualitaria ,2009,2010,6.2,2009,104
ARG,Elisa Carrió, Alternativa por una República de Iguales ,2002,2007,8.6,2007,32016
ARG,A y L, Autodeterminación y Libertad ,2005,2005,0.7,2005,32020
ARG,CC, Coalición Cívica ,2013,2018,1.1,2013,32039
ARG,FAP, Frente Amplio Progresista ,2013,2013,1.4,2013,32040
ARG,FIT, Frente de Izquierda y los Trabajadores ,2013,2018,10.3,2017,32041
ARG,FREPASO, Frente País Solidario ,2009,2010,0.5,2009,103
ARG,FREPASO, Frente País Solidario ,1995,2008,32.4,1995,32003
ARG,FPV, Frente para la Victoria ,2009,2010,33.6,2010,101
ARG,FPV, Frente para la Victoria ,2008,2018,63.1,2013,32001
ARG,FR, Frente Renovador ,2015,2018,13.1,2015,32042
ARG,, Fuerza Republicana,1995,1995,0.1,1995,32035
ARG,IU, Izquierda Unida ,2001,2007,18.8,2002,32017
ARG,UCR, La Alianza ,1998,2001,51.9,1998,32029
ARG,López Murphy, Mov,2002,2007,15.5,2002,32015
ARG,MST, Movimiento Socialista de los Trabajadores ,2009,2009,0.8,2009,112
ARG,MST, Movimiento Socialista de los Trabajadores ,2006,2018,3.8,2013,32012
ARG,, Nueva Dirigencia,2000,2000,0.6,2000,32033
ARG,EDE, Nuevo Encuentro ,2013,2013,0.5,2013,32038
ARG,MAS, Nuevo Movimiento al Socialismo ,1995,1995,1.2,1995,32037
ARG,, Partido Coalición Cívica,2005,2011,6.4,2005,32004
ARG,CPC, Partido Compromiso para el Cambio ,2005,2008,4.1,2008,32014
ARG,PC, Partido Comunista ,2009,2010,0.5,2009,109
ARG,PC, Partido Comunista ,1998,2018,1.1,2006,32009
ARG,, Partido de Rico Modín,1995,1998,1.9,1995,32031
ARG,PDC, Partido Demócrata Cristiano ,2006,2006,0.9,2006,32010
ARG,PDP, Partido Demócrata Progresista ,1995,2006,1.1,2006,32011
ARG,, Partido Humanista,2015,2017,0.2,2015,32043
ARG,PH/ IU, Partido Humanista ,2009,2010,1,2009,107
ARG,PH/ IU, Partido Humanista ,1998,2011,4.6,2008,32007
