country,name_short,name,year_first,year_last,share,share_year,party_id
ARG,,Acción por la República,1998,2001,8.7,2001,32030
ARG,ARI,Afirmación para una República Igualitaria,2009,2010,6.2,2009,104
ARG,Elisa Carrió,Alternativa por una República de Iguales,2002,2007,8.6,2007,32016
ARG,FIT,Frente de Izquierda y los Trabajadores,2013,2018,10.3,2017,32041
ARG,FREPASO,Frente País Solidario,1995,2008,32.4,1995,32003
ARG,FPV,Frente para la Victoria,2009,2010,33.6,2010,101
ARG,FPV,Frente para la Victoria,2008,2018,63.1,2013,32001
ARG,FR,Frente Renovador,2015,2018,13.1,2015,32042
ARG,IU,Izquierda Unida,2001,2007,18.8,2002,32017
ARG,UCR,La Alianza,1998,2001,51.9,1998,32029
ARG,López Murphy,Mov,2002,2007,15.5,2002,32015
ARG,,Partido Coalición Cívica,2005,2011,6.4,2005,32004
ARG,PJ,Partido Justicialista,2009,2010,36.7,2010,102
ARG,PJ,Partido Justicialista,1995,2013,100,1997,32002
ARG,PO,Partido Obrero,1998,2011,8.7,2002,32013
ARG,,Partido Peronismo Federal,1995,2018,22.4,2016,32022
ARG,,Partido Proyecto Sur,1995,2018,16.2,2018,32021
ARG,PS,Partido Socialista,2009,2010,10.9,2009,108
ARG,PS,Partido Socialista,1998,2018,7.1,2011,32008
ARG,PRO,Propuesta Republicana,2009,2010,13.7,2009,106
ARG,PRO,Propuesta Republicana,2011,2018,36.7,2016,32006
ARG,UCR,Unión Cívica Radical,2009,2010,19.4,2009,105
ARG,UCR,Unión Cívica Radical,1995,2018,36.3,1996,32005
ARG,Alianza UCR/PRO/CC,Cambiemos,2017,2018,32.2,2017,32044
BOL,ADN,Acción Democratica Nacionalista,1996,2018,86.1,2000,68019
BOL,CONDEPA,Conciencia de Patria,1996,2003,10.4,1996,68016
BOL,FRI,Frente Revolucionario de Izquierda,2000,2000,5.9,2000,68022
BOL,IU,Izquierda Unida,1996,2004,43.4,2004,68023
BOL,,Jorge Tuto Quiroga,2005,2005,9.2,2005,68031
BOL,MAS,Movimiento al Socialismo,2009,2010,79.1,2010,201
BOL,MAS,Movimiento al Socialismo,2002,2018,88,2016,68001
BOL,MBL,Movimiento Bolivia Libre,1996,2006,9.1,1996,68013
