country,country_iso,party,partyname,party_id
AT,AUT,FPO,Freedom Party of Austria,AT-FPO
AT,AUT,Gru,The Greens,AT-Gru
AT,AUT,KPO,Communist Party of Austria,AT-KPO
AT,AUT,OVP,Austrian People's Party,AT-OVP
AT,AUT,SPO,Austrian Social Democratic Party,AT-SPO
AU,AUS,AD,Australian Democrats,AU-AD
AU,AUS,ALP,Australian Labor Party,AU-ALP
AU,AUS,LPA,Liberal Party of Australia,AU-LPA
AU,AUS,NP,National Party of Australia,AU-NP
BE,BEL,AGA,Flemish Environmentalist Party (Agalev),BE-AGA
BE,BEL,CVP,Flemish Cristian People's Party,BE-CVP
BE,BEL,Eco,Ecolo,BE-Eco
BE,BEL,FB,Flemish Nationalist Party,BE-FB
BE,BEL,FDF,Francophone Democratic Front,BE-FDF
BE,BEL,PRL,Francophone Reform Liberal Party,BE-PRL
BE,BEL,PS,Socialist Party,BE-PS
BE,BEL,PSC,Francophone Christian Democrat Party,BE-PSC
BE,BEL,PVV,Flemish Party of Liberty and Progress,BE-PVV
BE,BEL,SPSp,SP.A-Spirit,BE-SPSp
BE,BEL,VU,Flemish People's Union,BE-VU
CA,CAN,BQ,Bloc QuÈbÈcois,CA-BQ
CA,CAN,CON,Canadian Conservative Party,CA-CON
CA,CAN,LPC,Liberal Party of Canada,CA-LPC
CA,CAN,NDP,New Democratic Party,CA-NDP
DE,DEU,CDU/C,Christian Democratic Union/Christian Social Union,DE-CDU/C
DE,DEU,FDP,Free Democratic Party,DE-FDP
DE,DEU,GR‹,Green Party,DE-GR‹
DE,DEU,NPD,National Democratic Party,DE-NPD
DE,DEU,SPD,Social Democratic Party of Germany,DE-SPD
DK,DNK,CC,Common Course,DK-CC
DK,DNK,CD,Centrumdemokraterne,DK-CD
DK,DNK,DKP,Danish Communist Party,DK-DKP
DK,DNK,FP,Progress Party,DK-FP
DK,DNK,G,Greens,DK-G
DK,DNK,KF,Konservative Folkeparti,DK-KF
DK,DNK,KrF,Kristeligt Folkeparti,DK-KrF
DK,DNK,RF,???? name not given in L&H,DK-RF
DK,DNK,RV,Radikale Venstre,DK-RV
DK,DNK,SD,Socialdemokratiet i Danmark,DK-SD
DK,DNK,SF,Socialistisk Folkeparti,DK-SF
DK,DNK,V,"Venstre, Danmarks liberale parti",DK-V
DK,DNK,VS,Left Socialists,DK-VS
ES,ESP,CDS,Democratic adn Social Centre,ES-CDS
ES,ESP,CiU,ConvergËncia i UniÛ de Catalunya,ES-CiU
ES,ESP,HB,Herri Batsuna,ES-HB
ES,ESP,IU,Izquerda Unida,ES-IU
ES,ESP,MUC,Communist Unity,ES-MUC
ES,ESP,PNV,Partido Nacionalista Vasco,ES-PNV
ES,ESP,PP,Partido Popular,ES-PP
ES,ESP,PRD,Democratic Reformist Party,ES-PRD
ES,ESP,PSOE,Partido Socialista Obrero EspaÒol,ES-PSOE
FI,FIN,DA,Democratic Alternative,FI-DA
FI,FIN,FCL,Christian League,FI-FCL
FI,FIN,FDPL,Finnish People's Democratic Union,FI-FDPL
FI,FIN,FRP,Rural Party,FI-FRP
FI,FIN,KESK,Suomen Keskusta,FI-KESK
FI,FIN,KOK,Kansallinen Kokoomus,FI-KOK
FI,FIN,LPP,Liberal People's Party,FI-LPP
FI,FIN,P,Pensioner's Party,FI-P
FI,FIN,SDP,Suomen Sosialidemokraattinen Puolue,FI-SDP
FI,FIN,SFP,Svenska Folkepartiet i Finland,FI-SFP
FI,FIN,VIHR,Vihre‰ Liitto,FI-VIHR
FR,FRA,FN,Front National,FR-FN
FR,FRA,MRG,Left Radicals,FR-MRG
FR,FRA,PCF,Parti Communiste Francais,FR-PCF
FR,FRA,PS,Parti Socialiste,FR-PS
FR,FRA,RPR,Rassemblement pour la Republique,FR-RPR
FR,FRA,UDF,Union pour la Democratie Francaise,FR-UDF
FR,FRA,V,Les Verts,FR-V
GR,GRC,KKE,Kommunistiko Koma Ellados,GR-KKE
GR,GRC,KKEes,Communist Party of the Interior,GR-KKEes
GR,GRC,ND,Nea Dimokratia,GR-ND
GR,GRC,PASOK,Panellinio Sosialistiko Kinima,GR-PASOK
IE,IRL,DSP,Democratic Socialist Party,IE-DSP
IE,IRL,FF,Fianna F&aacute;il,IE-FF
IE,IRL,FG,Fine Gael,IE-FG
IE,IRL,LB,Labour,IE-LB
IE,IRL,PD,Progressive Democrats,IE-PD
IE,IRL,SF,Sinn F&eacute;in,IE-SF
IE,IRL,WP,Workers Party,IE-WP
IL,ISR,AG,Agudat Israel,IL-AG
