country_short,name_short,name_english,party_id,year_first,year_last,hos_first,hog_first
AFG,NRP,National Revolutionary Party,8233,1975,1977,1975 Mohammad Daud Khan Mohammadzay (President),
AFG,HDK,People's Democratic Party of Afghanistan,5184,1978,1989,1978 Nur Mohammad Taraki (President of the Revolutionary Council),1981 Sultan Ali Keshtmand (President of the Revolutionary Council)
AFG,HW,Fatherland Party,8281,1990,1992,1990 Mohammad Najibullah Ahmadzay (President),1990 Fazal Haq Khaliqyar (President)
AFG,JI,Islamic Society,5183,1992,1995,1992 Burhanuddin Rabbani (President of the Leadership Council and President),
AGO,MPLA,People's Movement for the Liberation of Angola – Labour Party,2298,1975,2020,1975 António Agostinho Neto (President),1975 Lopo Fortunato Ferreira do Nascimento (President)
ALB,PPSH,Party of Labour / Albanian Workers' Party,4711,1944,1990,1946 Omer Nishan (Chairman of the Presidium of the People's Assembly),1944 Enver Hoxha (German Director-general)
ALB,PSS,Socialist Party of Albania,1729,1991,2020,1991 Ramiz Tafë Alia (President),1997 Fatos Thanas Nano (President)
ALB,PDS,Democratic Party of Albania,190,1992,2016,1992 Sali Ram Berisha (President),1992 Aleksandër Gabriel Meksi (President)
ARG,PAN,Partido Autonomista Nacional / Partido Conservador,5192,1880,1915,1880 Nicolás Remigio Aurelio Avellaneda Silva (President),
ARG,UCR,Radical Civic Union,1724,1916,2001,1916 Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem (President),
ARG,C,Concordancia,5088,1932,1937,1932 Agustín Pedro Justo Rolón (President),
ARG,UCRA,Radical Civic Union Antipersonnel,6145,1938,1939,1938 Jaime Gerardo Roberto Marcelino María Ortiz Lizardi (President),
ARG,PDN/PC,National Democratic Party / Partido Conservador,5085,1940,1942,1940 Ramón S. Castillo Barrionuevo (President),
ARG,PL,Labour Party,5193,1946,1946,1946 Juan Domingo Perón Sosa (President),
ARG,PJ,Justicialist [Peronist] Party,623,1947,2020,1947 Juan Domingo Perón Sosa (President),
ARG,UCRI,Intransigent Radical Civic Union,5087,1958,1962,1958 Arturo Frondizi Ercoli (President),
ARG,UCRP,Radical Civic Union of the People,8289,1963,1965,1963 Arturo Umberto Illia Francesconi (President),
ARG,PRO,Republican Proposal,1790,2015,2018,2015 Mauricio Macri (President),
